,USDSEK BGN Curncy
2011-04-01,6.2952
2011-04-02,6.2952
2011-04-03,6.2952
2011-04-04,6.3275
2011-04-05,6.3313
2011-04-06,6.3025
2011-04-07,6.318
2011-04-08,6.2029
2011-04-09,6.2029
2011-04-10,6.2029
2011-04-11,6.262
2011-04-12,6.2999
2011-04-13,6.2589
2011-04-14,6.2157
2011-04-15,6.1848
2011-04-16,6.1848
2011-04-17,6.1848
2011-04-18,6.3038
2011-04-19,6.2227
2011-04-20,6.1302
2011-04-21,6.1037
2011-04-22,6.1059
2011-04-23,6.1059
2011-04-24,6.1059
2011-04-25,6.1014
2011-04-26,6.1138
2011-04-27,6.0374
2011-04-28,6.0144
2011-04-29,6.0419
2011-04-30,6.0419
2011-05-01,6.0419
2011-05-02,6.0168
2011-05-03,6.0479
2011-05-04,6.0973
2011-05-05,6.2332
2011-05-06,6.309
2011-05-07,6.309
2011-05-08,6.309
2011-05-09,6.2564
2011-05-10,6.2208
2011-05-11,6.3367
2011-05-12,6.2974
2011-05-13,6.3884
2011-05-14,6.3884
2011-05-15,6.3884
2011-05-16,6.356
2011-05-17,6.3253
2011-05-18,6.2996
2011-05-19,6.2547
2011-05-20,6.3083
2011-05-21,6.3083
2011-05-22,6.3083
2011-05-23,6.363
2011-05-24,6.3409
2011-05-25,6.3332
2011-05-26,6.2923
2011-05-27,6.2195
2011-05-28,6.2195
2011-05-29,6.2195
2011-05-30,6.2247
2011-05-31,6.1718
2011-06-01,6.2679
2011-06-02,6.2018
2011-06-03,6.1315
2011-06-04,6.1315
2011-06-05,6.1315
2011-06-06,6.19
2011-06-07,6.1416
2011-06-08,6.1936
2011-06-09,6.2382
2011-06-10,6.3273
2011-06-11,6.3273
2011-06-12,6.3273
2011-06-13,6.3266
2011-06-14,6.3421
2011-06-15,6.4753
2011-06-16,6.4542
2011-06-17,6.4142
2011-06-18,6.4142
2011-06-19,6.4142
2011-06-20,6.4086
2011-06-21,6.3572
2011-06-22,6.3658
2011-06-23,6.4501
2011-06-24,6.4973
2011-06-25,6.4973
2011-06-26,6.4973
2011-06-27,6.4369
2011-06-28,6.4365
2011-06-29,6.3439
2011-06-30,6.3284
2011-07-01,6.2647
2011-07-02,6.2647
2011-07-03,6.2647
2011-07-04,6.2602
2011-07-05,6.2894
2011-07-06,6.3555
2011-07-07,6.3149
2011-07-08,6.3832
2011-07-09,6.3832
2011-07-10,6.3832
2011-07-11,6.5634
2011-07-12,6.5865
2011-07-13,6.4859
2011-07-14,6.5057
2011-07-15,6.4892
2011-07-16,6.4892
2011-07-17,6.4892
2011-07-18,6.5549
2011-07-19,6.5073
2011-07-20,6.4425
2011-07-21,6.3024
2011-07-22,6.332
2011-07-23,6.332
2011-07-24,6.332
2011-07-25,6.3367
2011-07-26,6.2434
2011-07-27,6.3475
2011-07-28,6.3224
2011-07-29,6.2772
2011-07-30,6.2772
2011-07-31,6.2772
2011-08-01,6.3214
2011-08-02,6.4127
2011-08-03,6.3456
2011-08-04,6.5513
2011-08-05,6.4772
2011-08-06,6.4772
2011-08-07,6.4772
2011-08-08,6.4891
2011-08-09,6.4384
2011-08-10,6.5835
2011-08-11,6.4866
2011-08-12,6.5111
2011-08-13,6.5111
2011-08-14,6.5111
2011-08-15,6.4067
2011-08-16,6.394
2011-08-17,6.3296
2011-08-18,6.4434
2011-08-19,6.3881
2011-08-20,6.3881
2011-08-21,6.3881
2011-08-22,6.3698
2011-08-23,6.3152
2011-08-24,6.332
2011-08-25,6.3244
2011-08-26,6.2939
2011-08-27,6.2939
2011-08-28,6.2939
2011-08-29,6.2966
2011-08-30,6.3572
2011-08-31,6.3436
2011-09-01,6.4161
2011-09-02,6.388
2011-09-03,6.388
2011-09-04,6.388
2011-09-05,6.4616
2011-09-06,6.4651
2011-09-07,6.3625
2011-09-08,6.4329
2011-09-09,6.539
2011-09-10,6.539
2011-09-11,6.539
2011-09-12,6.6921
2011-09-13,6.6732
2011-09-14,6.695
2011-09-15,6.5821
2011-09-16,6.6152
2011-09-17,6.6152
2011-09-18,6.6152
2011-09-19,6.6689
2011-09-20,6.6119
2011-09-21,6.7708
2011-09-22,6.9034
2011-09-23,6.9347
2011-09-24,6.9347
2011-09-25,6.9347
2011-09-26,6.8026
2011-09-27,6.7698
2011-09-28,6.8105
2011-09-29,6.8025
2011-09-30,6.874
2011-10-01,6.874
2011-10-02,6.874
2011-10-03,6.9401
2011-10-04,6.8423
2011-10-05,6.8552
2011-10-06,6.8132
2011-10-07,6.8061
2011-10-08,6.8061
2011-10-09,6.8061
2011-10-10,6.6621
2011-10-11,6.6784
2011-10-12,6.6275
2011-10-13,6.6503
2011-10-14,6.591
2011-10-15,6.591
2011-10-16,6.591
2011-10-17,6.6675
2011-10-18,6.6315
2011-10-19,6.633
2011-10-20,6.622
2011-10-21,6.5566
2011-10-22,6.5566
2011-10-23,6.5566
2011-10-24,6.5413
2011-10-25,6.5628
2011-10-26,6.5227
2011-10-27,6.3393
2011-10-28,6.3855
2011-10-29,6.3855
2011-10-30,6.3855
2011-10-31,6.5036
2011-11-01,6.6117
2011-11-02,6.6083
2011-11-03,6.575
2011-11-04,6.576
2011-11-05,6.576
2011-11-06,6.576
2011-11-07,6.5612
2011-11-08,6.5289
2011-11-09,6.6902
2011-11-10,6.6857
2011-11-11,6.6179
2011-11-12,6.6179
2011-11-13,6.6179
2011-11-14,6.6826
2011-11-15,6.7377
2011-11-16,6.8131
2011-11-17,6.8136
2011-11-18,6.7842
2011-11-19,6.7842
2011-11-20,6.7842
2011-11-21,6.8174
2011-11-22,6.8261
2011-11-23,6.9214
2011-11-24,6.9412
2011-11-25,7.0063
2011-11-26,7.0063
2011-11-27,7.0063
2011-11-28,6.9687
2011-11-29,6.8912
2011-11-30,6.7635
2011-12-01,6.7708
2011-12-02,6.7562
2011-12-03,6.7562
2011-12-04,6.7562
2011-12-05,6.7587
2011-12-06,6.7372
2011-12-07,6.7146
2011-12-08,6.7929
2011-12-09,6.7265
2011-12-10,6.7265
2011-12-11,6.7265
2011-12-12,6.8737
2011-12-13,6.9834
2011-12-14,6.9963
2011-12-15,6.977
2011-12-16,6.9244
2011-12-17,6.9244
2011-12-18,6.9244
2011-12-19,6.9296
2011-12-20,6.8652
2011-12-21,6.8941
2011-12-22,6.8722
2011-12-23,6.881
2011-12-24,6.881
2011-12-25,6.881
2011-12-26,6.8828
2011-12-27,6.8529
2011-12-28,6.909
2011-12-29,6.8936
2011-12-30,6.8872
2011-12-31,6.8872
2012-01-01,6.8872
2012-01-02,6.902
2012-01-03,6.8243
2012-01-04,6.8379
2012-01-05,6.9341
2012-01-06,6.9418
2012-01-07,6.9418
2012-01-08,6.9418
2012-01-09,6.8971
2012-01-10,6.8966
2012-01-11,6.9391
2012-01-12,6.9299
2012-01-13,6.9919
2012-01-14,6.9919
2012-01-15,6.9919
2012-01-16,6.984
2012-01-17,6.9273
2012-01-18,6.8437
2012-01-19,6.7496
2012-01-20,6.7826
2012-01-21,6.7826
2012-01-22,6.7826
2012-01-23,6.7445
2012-01-24,6.7558
2012-01-25,6.7424
2012-01-26,6.7851
2012-01-27,6.7431
2012-01-28,6.7431
2012-01-29,6.7431
2012-01-30,6.7419
2012-01-31,6.8
2012-02-01,6.7349
2012-02-02,6.7414
2012-02-03,6.6783
2012-02-04,6.6783
2012-02-05,6.6783
2012-02-06,6.723
2012-02-07,6.6597
2012-02-08,6.639
2012-02-09,6.6283
2012-02-10,6.6618
2012-02-11,6.6618
2012-02-12,6.6618
2012-02-13,6.6643
2012-02-14,6.6805
2012-02-15,6.724
2012-02-16,6.7227
2012-02-17,6.7275
2012-02-18,6.7275
2012-02-19,6.7275
2012-02-20,6.6533
2012-02-21,6.657
2012-02-22,6.6609
2012-02-23,6.616
2012-02-24,6.558
2012-02-25,6.558
2012-02-26,6.558
2012-02-27,6.5957
2012-02-28,6.5513
2012-02-29,6.6194
2012-03-01,6.6246
2012-03-02,6.6782
2012-03-03,6.6782
2012-03-04,6.6782
2012-03-05,6.7001
2012-03-06,6.797
2012-03-07,6.7797
2012-03-08,6.7022
2012-03-09,6.8027
2012-03-10,6.8027
2012-03-11,6.8027
2012-03-12,6.8041
2012-03-13,6.7723
2012-03-14,6.8505
2012-03-15,6.7881
2012-03-16,6.7438
2012-03-17,6.7438
2012-03-18,6.7438
2012-03-19,6.715
2012-03-20,6.7406
2012-03-21,6.7176
2012-03-22,6.7699
2012-03-23,6.7333
2012-03-24,6.7333
2012-03-25,6.7333
2012-03-26,6.665
2012-03-27,6.6878
2012-03-28,6.6594
2012-03-29,6.6646
2012-03-30,6.6147
2012-03-31,6.6147
2012-04-01,6.6147
2012-04-02,6.6052
2012-04-03,6.6414
2012-04-04,6.6961
2012-04-05,6.7528
2012-04-06,6.7522
2012-04-07,6.7522
2012-04-08,6.7522
2012-04-09,6.7558
2012-04-10,6.805
2012-04-11,6.8
2012-04-12,6.7459
2012-04-13,6.7897
2012-04-14,6.7897
2012-04-15,6.7897
2012-04-16,6.7652
2012-04-17,6.7698
2012-04-18,6.7457
2012-04-19,6.7303
2012-04-20,6.6864
2012-04-21,6.6864
2012-04-22,6.6864
2012-04-23,6.756
2012-04-24,6.7367
2012-04-25,6.7241
2012-04-26,6.7169
2012-04-27,6.7153
2012-04-28,6.7153
2012-04-29,6.7153
2012-04-30,6.7232
2012-05-01,6.7254
2012-05-02,6.7385
2012-05-03,6.7549
2012-05-04,6.8171
2012-05-05,6.8171
2012-05-06,6.8171
2012-05-07,6.826
2012-05-08,6.8541
2012-05-09,6.8864
2012-05-10,6.9434
2012-05-11,6.9553
2012-05-12,6.9553
2012-05-13,6.9553
2012-05-14,7.0532
2012-05-15,7.1742
2012-05-16,7.1741
2012-05-17,7.2068
2012-05-18,7.1408
2012-05-19,7.1408
2012-05-20,7.1408
2012-05-21,7.1112
2012-05-22,7.1649
2012-05-23,7.1683
2012-05-24,7.189
2012-05-25,7.1769
2012-05-26,7.1769
2012-05-27,7.1769
2012-05-28,7.1621
2012-05-29,7.199
2012-05-30,7.2656
2012-05-31,7.2684
2012-06-01,7.2499
2012-06-02,7.2499
2012-06-03,7.2499
2012-06-04,7.1729
2012-06-05,7.2061
2012-06-06,7.1544
2012-06-07,7.14
2012-06-08,7.1271
2012-06-09,7.1271
2012-06-10,7.1271
2012-06-11,7.1271
2012-06-12,7.0724
2012-06-13,7.0343
2012-06-14,7.0096
2012-06-15,7.0003
2012-06-16,7.0003
2012-06-17,7.0003
2012-06-18,7.0219
2012-06-19,6.9671
2012-06-20,6.9492
2012-06-21,7.0309
2012-06-22,7.0084
2012-06-23,7.0084
2012-06-24,7.0084
2012-06-25,7.0624
2012-06-26,7.066
2012-06-27,7.0478
2012-06-28,7.0508
2012-06-29,6.9224
2012-06-30,6.9224
2012-07-01,6.9224
2012-07-02,6.927
2012-07-03,6.9301
2012-07-04,6.91
2012-07-05,6.9657
2012-07-06,7.02
2012-07-07,7.02
2012-07-08,7.02
2012-07-09,7.0068
2012-07-10,6.9834
2012-07-11,6.9988
2012-07-12,7.0302
2012-07-13,7.0319
2012-07-14,7.0319
2012-07-15,7.0319
2012-07-16,7.0416
2012-07-17,6.9612
2012-07-18,6.9345
2012-07-19,6.9204
2012-07-20,6.9426
2012-07-21,6.9426
2012-07-22,6.9426
2012-07-23,6.9332
2012-07-24,6.9795
2012-07-25,6.9666
2012-07-26,6.8716
2012-07-27,6.8665
2012-07-28,6.8665
2012-07-29,6.8665
2012-07-30,6.787
2012-07-31,6.7988
2012-08-01,6.8038
2012-08-02,6.8087
2012-08-03,6.7063
2012-08-04,6.7063
2012-08-05,6.7063
2012-08-06,6.7121
2012-08-07,6.7263
2012-08-08,6.686
2012-08-09,6.6871
2012-08-10,6.6575
2012-08-11,6.6575
2012-08-12,6.6575
2012-08-13,6.711
2012-08-14,6.6997
2012-08-15,6.6788
2012-08-16,6.6932
2012-08-17,6.6688
2012-08-18,6.6688
2012-08-19,6.6688
2012-08-20,6.6759
2012-08-21,6.6575
2012-08-22,6.6367
2012-08-23,6.5938
2012-08-24,6.6054
2012-08-25,6.6054
2012-08-26,6.6054
2012-08-27,6.5983
2012-08-28,6.6105
2012-08-29,6.6632
2012-08-30,6.6892
2012-08-31,6.6261
2012-09-01,6.6261
2012-09-02,6.6261
2012-09-03,6.6884
2012-09-04,6.7169
2012-09-05,6.7294
2012-09-06,6.7465
2012-09-07,6.5963
2012-09-08,6.5963
2012-09-09,6.5963
2012-09-10,6.6383
2012-09-11,6.609
2012-09-12,6.5671
2012-09-13,6.5712
2012-09-14,6.5542
2012-09-15,6.5542
2012-09-16,6.5542
2012-09-17,6.5742
2012-09-18,6.5426
2012-09-19,6.51
2012-09-20,6.5239
2012-09-21,6.5619
2012-09-22,6.5619
2012-09-23,6.5619
2012-09-24,6.5595
2012-09-25,6.5703
2012-09-26,6.5911
2012-09-27,6.5268
2012-09-28,6.565
2012-09-29,6.565
2012-09-30,6.565
2012-10-01,6.5937
2012-10-02,6.6081
2012-10-03,6.6856
2012-10-04,6.6041
2012-10-05,6.6057
2012-10-06,6.6057
2012-10-07,6.6057
2012-10-08,6.639
2012-10-09,6.6965
2012-10-10,6.7006
2012-10-11,6.7021
2012-10-12,6.6975
2012-10-13,6.6975
2012-10-14,6.6975
2012-10-15,6.6605
2012-10-16,6.6092
2012-10-17,6.589
2012-10-18,6.5652
2012-10-19,6.5826
2012-10-20,6.5826
2012-10-21,6.5826
2012-10-22,6.5945
2012-10-23,6.6473
2012-10-24,6.6836
2012-10-25,6.7109
2012-10-26,6.7003
2012-10-27,6.7003
2012-10-28,6.7003
2012-10-29,6.6829
2012-10-30,6.6453
2012-10-31,6.6346
2012-11-01,6.6498
2012-11-02,6.7062
2012-11-03,6.7062
2012-11-04,6.7062
2012-11-05,6.6913
2012-11-06,6.6878
2012-11-07,6.6891
2012-11-08,6.6721
2012-11-09,6.746
2012-11-10,6.746
2012-11-11,6.746
2012-11-12,6.757
2012-11-13,6.7889
2012-11-14,6.7854
2012-11-15,6.766
2012-11-16,6.7903
2012-11-17,6.7903
2012-11-18,6.7903
2012-11-19,6.7262
2012-11-20,6.7666
2012-11-21,6.7181
2012-11-22,6.6798
2012-11-23,6.6228
2012-11-24,6.6228
2012-11-25,6.6228
2012-11-26,6.6097
2012-11-27,6.6853
2012-11-28,6.6491
2012-11-29,6.6657
2012-11-30,6.6608
2012-12-01,6.6608
2012-12-02,6.6608
2012-12-03,6.633
2012-12-04,6.5949
2012-12-05,6.5969
2012-12-06,6.6356
2012-12-07,6.6798
2012-12-08,6.6798
2012-12-09,6.6798
2012-12-10,6.6914
2012-12-11,6.6463
2012-12-12,6.6497
2012-12-13,6.6789
2012-12-14,6.6767
2012-12-15,6.6767
2012-12-16,6.6767
2012-12-17,6.656
2012-12-18,6.6028
2012-12-19,6.5497
2012-12-20,6.5057
2012-12-21,6.553
2012-12-22,6.553
2012-12-23,6.553
2012-12-24,6.5511
2012-12-25,6.5515
2012-12-26,6.5102
2012-12-27,6.5042
2012-12-28,6.5169
2012-12-29,6.5169
2012-12-30,6.5169
2012-12-31,6.5032
2013-01-01,6.5028
2013-01-02,6.4866
2013-01-03,6.531
2013-01-04,6.5374
2013-01-05,6.5374
2013-01-06,6.5374
2013-01-07,6.5011
2013-01-08,6.5608
2013-01-09,6.5638
2013-01-10,6.4888
2013-01-11,6.4655
2013-01-12,6.4655
2013-01-13,6.4655
2013-01-14,6.4425
2013-01-15,6.5002
2013-01-16,6.5034
2013-01-17,6.4926
2013-01-18,6.5147
2013-01-19,6.5147
2013-01-20,6.5147
2013-01-21,6.5335
2013-01-22,6.509
2013-01-23,6.5163
2013-01-24,6.4908
2013-01-25,6.4584
2013-01-26,6.4584
2013-01-27,6.4584
2013-01-28,6.4194
2013-01-29,6.371
2013-01-30,6.3507
2013-01-31,6.3617
2013-02-01,6.3087
2013-02-02,6.3087
2013-02-03,6.3087
2013-02-04,6.3265
2013-02-05,6.3231
2013-02-06,6.3628
2013-02-07,6.4141
2013-02-08,6.4472
2013-02-09,6.4472
2013-02-10,6.4472
2013-02-11,6.393
2013-02-12,6.3652
2013-02-13,6.2843
2013-02-14,6.3127
2013-02-15,6.3222
2013-02-16,6.3222
2013-02-17,6.3222
2013-02-18,6.3459
2013-02-19,6.3061
2013-02-20,6.3474
2013-02-21,6.4206
2013-02-22,6.4173
2013-02-23,6.4173
2013-02-24,6.4173
2013-02-25,6.4806
2013-02-26,6.4593
2013-02-27,6.4313
2013-02-28,6.466
2013-03-01,6.4362
2013-03-02,6.4362
2013-03-03,6.4362
2013-03-04,6.4146
2013-03-05,6.3798
2013-03-06,6.4235
2013-03-07,6.3282
2013-03-08,6.4032
2013-03-09,6.4032
2013-03-10,6.4032
2013-03-11,6.3883
2013-03-12,6.3576
2013-03-13,6.4269
2013-03-14,6.4327
2013-03-15,6.3925
2013-03-16,6.3925
2013-03-17,6.3925
2013-03-18,6.433
2013-03-19,6.4673
