,USDPLN BGN Curncy
2011-05-13,2.7898
2011-05-14,2.7898
2011-05-15,2.7898
2011-05-16,2.7784
2011-05-17,2.7582
2011-05-18,2.747
2011-05-19,2.7394
2011-05-20,2.7694
2011-05-21,2.7694
2011-05-22,2.7694
2011-05-23,2.8106
2011-05-24,2.8004
2011-05-25,2.8143
2011-05-26,2.8168
2011-05-27,2.771
2011-05-28,2.771
2011-05-29,2.771
2011-05-30,2.7845
2011-05-31,2.7429
2011-06-01,2.7703
2011-06-02,2.7244
2011-06-03,2.705
2011-06-04,2.705
2011-06-05,2.705
2011-06-06,2.7168
2011-06-07,2.681
2011-06-08,2.7095
2011-06-09,2.7178
2011-06-10,2.7457
2011-06-11,2.7457
2011-06-12,2.7457
2011-06-13,2.7281
2011-06-14,2.7234
2011-06-15,2.7825
2011-06-16,2.8044
2011-06-17,2.7802
2011-06-18,2.7802
2011-06-19,2.7802
2011-06-20,2.7876
2011-06-21,2.7621
2011-06-22,2.7753
2011-06-23,2.8009
2011-06-24,2.8116
2011-06-25,2.8116
2011-06-26,2.8116
2011-06-27,2.7991
2011-06-28,2.7905
2011-06-29,2.7614
2011-06-30,2.7426
2011-07-01,2.7133
2011-07-02,2.7133
2011-07-03,2.7133
2011-07-04,2.7086
2011-07-05,2.7386
2011-07-06,2.7604
2011-07-07,2.7371
2011-07-08,2.768
2011-07-09,2.768
2011-07-10,2.768
2011-07-11,2.8519
2011-07-12,2.8885
2011-07-13,2.8323
2011-07-14,2.8476
2011-07-15,2.8366
2011-07-16,2.8366
2011-07-17,2.8366
2011-07-18,2.8584
2011-07-19,2.8359
2011-07-20,2.8098
2011-07-21,2.7589
2011-07-22,2.7761
2011-07-23,2.7761
2011-07-24,2.7761
2011-07-25,2.7895
2011-07-26,2.7561
2011-07-27,2.8033
2011-07-28,2.7978
2011-07-29,2.7757
2011-07-30,2.7757
2011-07-31,2.7757
2011-08-01,2.8047
2011-08-02,2.8351
2011-08-03,2.8108
2011-08-04,2.8693
2011-08-05,2.8251
2011-08-06,2.8251
2011-08-07,2.8251
2011-08-08,2.8769
2011-08-09,2.839
2011-08-10,2.9824
2011-08-11,2.9109
2011-08-12,2.9208
2011-08-13,2.9208
2011-08-14,2.9208
2011-08-15,2.8652
2011-08-16,2.8772
2011-08-17,2.8682
2011-08-18,2.9193
2011-08-19,2.9017
2011-08-20,2.9017
2011-08-21,2.9017
2011-08-22,2.9047
2011-08-23,2.8689
2011-08-24,2.8898
2011-08-25,2.9005
2011-08-26,2.8636
2011-08-27,2.8636
2011-08-28,2.8636
2011-08-29,2.8546
2011-08-30,2.8767
2011-08-31,2.8801
2011-09-01,2.9094
2011-09-02,2.9495
2011-09-03,2.9495
2011-09-04,2.9495
2011-09-05,2.9932
2011-09-06,3.026
2011-09-07,2.9799
2011-09-08,3.0696
2011-09-09,3.1472
2011-09-10,3.1472
2011-09-11,3.1472
2011-09-12,3.1642
2011-09-13,3.1659
2011-09-14,3.1871
2011-09-15,3.1134
2011-09-16,3.1168
2011-09-17,3.1168
2011-09-18,3.1168
2011-09-19,3.1926
2011-09-20,3.1959
2011-09-21,3.2962
2011-09-22,3.3546
2011-09-23,3.2433
2011-09-24,3.2433
2011-09-25,3.2433
2011-09-26,3.2646
2011-09-27,3.2315
2011-09-28,3.2809
2011-09-29,3.2575
2011-09-30,3.3017
2011-10-01,3.3017
2011-10-02,3.3017
2011-10-03,3.3529
2011-10-04,3.2944
2011-10-05,3.2829
2011-10-06,3.2552
2011-10-07,3.2721
2011-10-08,3.2721
2011-10-09,3.2721
2011-10-10,3.1574
2011-10-11,3.1636
2011-10-12,3.1105
2011-10-13,3.1192
2011-10-14,3.1009
2011-10-15,3.1009
2011-10-16,3.1009
2011-10-17,3.1716
2011-10-18,3.165
2011-10-19,3.1561
2011-10-20,3.195
2011-10-21,3.1605
2011-10-22,3.1605
2011-10-23,3.1605
2011-10-24,3.1287
2011-10-25,3.1393
2011-10-26,3.15
2011-10-27,3.0279
2011-10-28,3.0619
2011-10-29,3.0619
2011-10-30,3.0619
2011-10-31,3.1742
2011-11-01,3.2349
2011-11-02,3.1779
2011-11-03,3.1353
2011-11-04,3.1671
2011-11-05,3.1671
2011-11-06,3.1671
2011-11-07,3.171
2011-11-08,3.1451
2011-11-09,3.2461
2011-11-10,3.248
2011-11-11,3.1869
2011-11-12,3.1869
2011-11-13,3.1869
2011-11-14,3.2338
2011-11-15,3.2774
2011-11-16,3.3061
2011-11-17,3.3047
2011-11-18,3.2726
2011-11-19,3.2726
2011-11-20,3.2726
2011-11-21,3.3097
2011-11-22,3.3027
2011-11-23,3.3684
2011-11-24,3.3643
2011-11-25,3.4316
2011-11-26,3.4316
2011-11-27,3.4316
2011-11-28,3.4035
2011-11-29,3.4037
2011-11-30,3.3501
2011-12-01,3.3313
2011-12-02,3.3547
2011-12-03,3.3547
2011-12-04,3.3547
2011-12-05,3.3346
2011-12-06,3.334
2011-12-07,3.3271
2011-12-08,3.383
2011-12-09,3.3727
2011-12-10,3.3727
2011-12-11,3.3727
2011-12-12,3.4567
2011-12-13,3.5083
2011-12-14,3.5087
2011-12-15,3.4813
2011-12-16,3.4485
2011-12-17,3.4485
2011-12-18,3.4485
2011-12-19,3.4533
2011-12-20,3.4036
2011-12-21,3.4126
2011-12-22,3.4017
2011-12-23,3.4029
2011-12-24,3.4029
2011-12-25,3.4029
2011-12-26,3.3984
2011-12-27,3.3646
2011-12-28,3.4014
2011-12-29,3.3995
2011-12-30,3.4454
2011-12-31,3.4454
2012-01-01,3.4454
2012-01-02,3.4541
2012-01-03,3.426
2012-01-04,3.4745
2012-01-05,3.5224
2012-01-06,3.5377
2012-01-07,3.5377
2012-01-08,3.5377
2012-01-09,3.5177
2012-01-10,3.4862
2012-01-11,3.5144
2012-01-12,3.4349
2012-01-13,3.4779
2012-01-14,3.4779
2012-01-15,3.4779
2012-01-16,3.4743
2012-01-17,3.4211
2012-01-18,3.3739
2012-01-19,3.3213
2012-01-20,3.3355
2012-01-21,3.3355
2012-01-22,3.3355
2012-01-23,3.2868
2012-01-24,3.2786
2012-01-25,3.2476
2012-01-26,3.2336
2012-01-27,3.1972
2012-01-28,3.1972
2012-01-29,3.1972
2012-01-30,3.2377
2012-01-31,3.2289
2012-02-01,3.1835
2012-02-02,3.1872
2012-02-03,3.1714
2012-02-04,3.1714
2012-02-05,3.1714
2012-02-06,3.1792
2012-02-07,3.1361
2012-02-08,3.1563
2012-02-09,3.1585
2012-02-10,3.1938
2012-02-11,3.1938
2012-02-12,3.1938
2012-02-13,3.1686
2012-02-14,3.1809
2012-02-15,3.2217
2012-02-16,3.1963
2012-02-17,3.1835
2012-02-18,3.1835
2012-02-19,3.1835
2012-02-20,3.1503
2012-02-21,3.1576
2012-02-22,3.1716
2012-02-23,3.1215
2012-02-24,3.0965
2012-02-25,3.0965
2012-02-26,3.0965
2012-02-27,3.1101
2012-02-28,3.0658
2012-02-29,3.0998
2012-03-01,3.0817
2012-03-02,3.1159
2012-03-03,3.1159
2012-03-04,3.1159
2012-03-05,3.1286
2012-03-06,3.1824
2012-03-07,3.1592
2012-03-08,3.0882
2012-03-09,3.1159
2012-03-10,3.1159
2012-03-11,3.1159
2012-03-12,3.1221
2012-03-13,3.1474
2012-03-14,3.1903
2012-03-15,3.1517
2012-03-16,3.1273
2012-03-17,3.1273
2012-03-18,3.1273
2012-03-19,3.1028
2012-03-20,3.1175
2012-03-21,3.1423
2012-03-22,3.1553
2012-03-23,3.1285
2012-03-24,3.1285
2012-03-25,3.1285
2012-03-26,3.0914
2012-03-27,3.1113
2012-03-28,3.1277
2012-03-29,3.1252
2012-03-30,3.1121
2012-03-31,3.1121
2012-04-01,3.1121
2012-04-02,3.1064
2012-04-03,3.1315
2012-04-04,3.1609
2012-04-05,3.1818
2012-04-06,3.1771
2012-04-07,3.1771
2012-04-08,3.1771
2012-04-09,3.1845
2012-04-10,3.21
2012-04-11,3.2004
2012-04-12,3.1655
2012-04-13,3.2005
2012-04-14,3.2005
2012-04-15,3.2005
2012-04-16,3.1868
2012-04-17,3.1763
2012-04-18,3.1883
2012-04-19,3.1894
2012-04-20,3.1686
2012-04-21,3.1686
2012-04-22,3.1686
2012-04-23,3.1977
2012-04-24,3.1787
2012-04-25,3.1597
2012-04-26,3.1585
2012-04-27,3.1449
2012-04-28,3.1449
2012-04-29,3.1449
2012-04-30,3.1531
2012-05-01,3.139
2012-05-02,3.1616
2012-05-03,3.1817
2012-05-04,3.2038
2012-05-05,3.2038
2012-05-06,3.2038
2012-05-07,3.2024
2012-05-08,3.2324
2012-05-09,3.2785
2012-05-10,3.272
2012-05-11,3.2985
2012-05-12,3.2985
2012-05-13,3.2985
2012-05-14,3.3744
2012-05-15,3.4314
2012-05-16,3.4247
2012-05-17,3.4344
2012-05-18,3.4021
2012-05-19,3.4021
2012-05-20,3.4021
2012-05-21,3.3647
2012-05-22,3.4308
2012-05-23,3.4763
2012-05-24,3.4827
2012-05-25,3.4876
2012-05-26,3.4876
2012-05-27,3.4876
2012-05-28,3.4655
2012-05-29,3.4821
2012-05-30,3.5519
2012-05-31,3.552
2012-06-01,3.5448
2012-06-02,3.5448
2012-06-03,3.5448
2012-06-04,3.5108
2012-06-05,3.5121
2012-06-06,3.4286
2012-06-07,3.3975
2012-06-08,3.431
2012-06-09,3.431
2012-06-10,3.431
2012-06-11,3.485
2012-06-12,3.4566
2012-06-13,3.4347
2012-06-14,3.3931
2012-06-15,3.3625
2012-06-16,3.3625
2012-06-17,3.3625
2012-06-18,3.3933
2012-06-19,3.3495
2012-06-20,3.3326
2012-06-21,3.4235
2012-06-22,3.3986
2012-06-23,3.3986
2012-06-24,3.3986
2012-06-25,3.4085
2012-06-26,3.4043
2012-06-27,3.4144
2012-06-28,3.4469
2012-06-29,3.3481
2012-06-30,3.3481
2012-07-01,3.3481
2012-07-02,3.3518
2012-07-03,3.3274
2012-07-04,3.3651
2012-07-05,3.3994
2012-07-06,3.455
2012-07-07,3.455
2012-07-08,3.455
2012-07-09,3.4223
2012-07-10,3.4182
2012-07-11,3.4187
2012-07-12,3.4468
2012-07-13,3.416
2012-07-14,3.416
2012-07-15,3.416
2012-07-16,3.4139
2012-07-17,3.3866
2012-07-18,3.3932
2012-07-19,3.3774
2012-07-20,3.4256
2012-07-21,3.4256
2012-07-22,3.4256
2012-07-23,3.4706
2012-07-24,3.4973
2012-07-25,3.438
2012-07-26,3.3687
2012-07-27,3.3522
2012-07-28,3.3522
2012-07-29,3.3522
2012-07-30,3.3594
2012-07-31,3.3463
2012-08-01,3.3578
2012-08-02,3.3805
2012-08-03,3.2829
2012-08-04,3.2829
2012-08-05,3.2829
2012-08-06,3.2576
2012-08-07,3.2865
2012-08-08,3.2877
2012-08-09,3.2952
2012-08-10,3.3133
2012-08-11,3.3133
2012-08-12,3.3133
2012-08-13,3.3129
2012-08-14,3.316
2012-08-15,3.3193
2012-08-16,3.2828
2012-08-17,3.298
2012-08-18,3.298
2012-08-19,3.298
2012-08-20,3.2948
2012-08-21,3.2694
2012-08-22,3.2531
2012-08-23,3.261
2012-08-24,3.2707
2012-08-25,3.2707
2012-08-26,3.2707
2012-08-27,3.2671
2012-08-28,3.269
2012-08-29,3.3333
2012-08-30,3.3568
2012-08-31,3.314
2012-09-01,3.314
2012-09-02,3.314
2012-09-03,3.3266
2012-09-04,3.3377
2012-09-05,3.317
2012-09-06,3.268
2012-09-07,3.1963
2012-09-08,3.1963
2012-09-09,3.1963
2012-09-10,3.2256
2012-09-11,3.17
2012-09-12,3.1756
2012-09-13,3.1382
2012-09-14,3.093
2012-09-15,3.093
2012-09-16,3.093
2012-09-17,3.1259
2012-09-18,3.1513
2012-09-19,3.1755
2012-09-20,3.1984
2012-09-21,3.1864
2012-09-22,3.1864
2012-09-23,3.1864
2012-09-24,3.2097
2012-09-25,3.2106
2012-09-26,3.2254
2012-09-27,3.1939
2012-09-28,3.2011
2012-09-29,3.2011
2012-09-30,3.2011
2012-10-01,3.187
2012-10-02,3.1841
2012-10-03,3.1659
2012-10-04,3.1387
2012-10-05,3.1277
2012-10-06,3.1277
2012-10-07,3.1277
2012-10-08,3.1386
2012-10-09,3.1621
2012-10-10,3.1823
2012-10-11,3.1679
2012-10-12,3.1638
2012-10-13,3.1638
2012-10-14,3.1638
2012-10-15,3.1598
2012-10-16,3.1286
2012-10-17,3.1245
2012-10-18,3.1355
2012-10-19,3.1528
2012-10-20,3.1528
2012-10-21,3.1528
2012-10-22,3.1457
2012-10-23,3.1789
2012-10-24,3.2059
2012-10-25,3.2126
2012-10-26,3.1964
2012-10-27,3.1964
2012-10-28,3.1964
2012-10-29,3.2141
2012-10-30,3.1858
2012-10-31,3.1933
2012-11-01,3.1829
2012-11-02,3.2017
2012-11-03,3.2017
2012-11-04,3.2017
2012-11-05,3.213
2012-11-06,3.2133
2012-11-07,3.2422
2012-11-08,3.2728
2012-11-09,3.273
2012-11-10,3.273
2012-11-11,3.273
2012-11-12,3.2773
2012-11-13,3.2947
2012-11-14,3.2772
2012-11-15,3.252
2012-11-16,3.2659
2012-11-17,3.2659
2012-11-18,3.2659
2012-11-19,3.2223
2012-11-20,3.211
2012-11-21,3.2091
2012-11-22,3.1882
2012-11-23,3.1697
2012-11-24,3.1697
2012-11-25,3.1697
2012-11-26,3.1621
2012-11-27,3.1681
2012-11-28,3.1695
2012-11-29,3.1502
2012-11-30,3.1601
2012-12-01,3.1601
2012-12-02,3.1601
2012-12-03,3.1662
2012-12-04,3.1566
2012-12-05,3.1521
2012-12-06,3.185
2012-12-07,3.1873
2012-12-08,3.1873
2012-12-09,3.1873
2012-12-10,3.1747
2012-12-11,3.1411
2012-12-12,3.1293
2012-12-13,3.1336
2012-12-14,3.0983
2012-12-15,3.0983
2012-12-16,3.0983
2012-12-17,3.1065
2012-12-18,3.0793
2012-12-19,3.0793
2012-12-20,3.0628
2012-12-21,3.0951
2012-12-22,3.0951
2012-12-23,3.0951
2012-12-24,3.097
2012-12-25,3.0985
2012-12-26,3.1106
2012-12-27,3.0772
2012-12-28,3.0843
2012-12-29,3.0843
2012-12-30,3.0843
2012-12-31,3.0936
2013-01-01,3.0857
2013-01-02,3.0838
2013-01-03,3.138
2013-01-04,3.1456
2013-01-05,3.1456
2013-01-06,3.1456
2013-01-07,3.1435
2013-01-08,3.1409
2013-01-09,3.1212
2013-01-10,3.0829
2013-01-11,3.0794
2013-01-12,3.0794
2013-01-13,3.0794
2013-01-14,3.0666
2013-01-15,3.091
2013-01-16,3.0999
2013-01-17,3.0711
2013-01-18,3.1173
2013-01-19,3.1173
2013-01-20,3.1173
2013-01-21,3.1328
2013-01-22,3.1331
2013-01-23,3.1317
2013-01-24,3.1309
2013-01-25,3.0971
2013-01-26,3.0971
2013-01-27,3.0971
2013-01-28,3.1205
2013-01-29,3.1029
2013-01-30,3.0918
2013-01-31,3.0899
2013-02-01,3.0557
2013-02-02,3.0557
2013-02-03,3.0557
2013-02-04,3.0923
2013-02-05,3.0753
2013-02-06,3.0896
2013-02-07,3.1139
2013-02-08,3.1048
2013-02-09,3.1048
2013-02-10,3.1048
2013-02-11,3.0965
2013-02-12,3.1037
2013-02-13,3.0886
2013-02-14,3.1262
2013-02-15,3.135
2013-02-16,3.135
2013-02-17,3.135
2013-02-18,3.1357
2013-02-19,3.114
2013-02-20,3.1346
2013-02-21,3.1594
2013-02-22,3.1534
2013-02-23,3.1534
2013-02-24,3.1534
2013-02-25,3.1838
2013-02-26,3.1852
2013-02-27,3.1648
2013-02-28,3.1789
2013-03-01,3.1781
2013-03-02,3.1781
2013-03-03,3.1781
2013-03-04,3.1741
2013-03-05,3.1614
2013-03-06,3.199
2013-03-07,3.1661
2013-03-08,3.1775
2013-03-09,3.1775
2013-03-10,3.1775
2013-03-11,3.1751
2013-03-12,3.1759
2013-03-13,3.1935
2013-03-14,3.1956
2013-03-15,3.1706
2013-03-16,3.1706
2013-03-17,3.1706
2013-03-18,3.2031
2013-03-19,3.2323
