,USDDKK BGN Curncy
2011-01-14,5.5645
2011-01-15,5.5645
2011-01-16,5.5645
2011-01-17,5.6041
2011-01-18,5.5655
2011-01-19,5.5306
2011-01-20,5.5312
2011-01-21,5.4723
2011-01-22,5.4723
2011-01-23,5.4723
2011-01-24,5.4655
2011-01-25,5.4481
2011-01-26,5.4352
2011-01-27,5.4275
2011-01-28,5.4768
2011-01-29,5.4768
2011-01-30,5.4768
2011-01-31,5.4434
2011-02-01,5.3907
2011-02-02,5.3975
2011-02-03,5.4676
2011-02-04,5.4891
2011-02-05,5.4891
2011-02-06,5.4891
2011-02-07,5.4881
2011-02-08,5.4716
2011-02-09,5.4294
2011-02-10,5.4818
2011-02-11,5.5019
2011-02-12,5.5019
2011-02-13,5.5019
2011-02-14,5.5271
2011-02-15,5.5284
2011-02-16,5.4953
2011-02-17,5.4774
2011-02-18,5.4441
2011-02-19,5.4441
2011-02-20,5.4441
2011-02-21,5.4503
2011-02-22,5.4616
2011-02-23,5.4222
2011-02-24,5.4029
2011-02-25,5.4217
2011-02-26,5.4217
2011-02-27,5.4217
2011-02-28,5.4011
2011-03-01,5.4124
2011-03-02,5.3776
2011-03-03,5.3378
2011-03-04,5.3309
2011-03-05,5.3309
2011-03-06,5.3309
2011-03-07,5.3393
2011-03-08,5.3636
2011-03-09,5.3624
2011-03-10,5.4054
2011-03-11,5.3645
2011-03-12,5.3645
2011-03-13,5.3645
2011-03-14,5.3305
2011-03-15,5.3286
2011-03-16,5.366
2011-03-17,5.319
2011-03-18,5.2585
2011-03-19,5.2585
2011-03-20,5.2585
2011-03-21,5.2417
2011-03-22,5.2532
2011-03-23,5.2935
2011-03-24,5.2602
2011-03-25,5.2934
2011-03-26,5.2934
2011-03-27,5.2934
2011-03-28,5.2936
2011-03-29,5.284
2011-03-30,5.2788
2011-03-31,5.2663
2011-04-01,5.2375
2011-04-02,5.2375
2011-04-03,5.2375
2011-04-04,5.244
2011-04-05,5.2432
2011-04-06,5.2036
2011-04-07,5.212
2011-04-08,5.1485
2011-04-09,5.1485
2011-04-10,5.1485
2011-04-11,5.1662
2011-04-12,5.1516
2011-04-13,5.1642
2011-04-14,5.1486
2011-04-15,5.1687
2011-04-16,5.1687
2011-04-17,5.1687
2011-04-18,5.2394
2011-04-19,5.203
2011-04-20,5.1352
2011-04-21,5.1246
2011-04-22,5.1213
2011-04-23,5.1213
2011-04-24,5.1213
2011-04-25,5.1145
2011-04-26,5.0916
2011-04-27,5.0421
2011-04-28,5.0313
2011-04-29,5.0371
2011-04-30,5.0371
2011-05-01,5.0371
2011-05-02,5.0287
2011-05-03,5.03
2011-05-04,5.0293
2011-05-05,5.1291
2011-05-06,5.2091
2011-05-07,5.2091
2011-05-08,5.2091
2011-05-09,5.1908
2011-05-10,5.175
2011-05-11,5.2538
2011-05-12,5.2338
2011-05-13,5.2809
2011-05-14,5.2809
2011-05-15,5.2809
2011-05-16,5.2676
2011-05-17,5.2376
2011-05-18,5.2339
2011-05-19,5.2125
2011-05-20,5.2674
2011-05-21,5.2674
2011-05-22,5.2674
2011-05-23,5.308
2011-05-24,5.2887
2011-05-25,5.2929
2011-05-26,5.2713
2011-05-27,5.2072
2011-05-28,5.2072
2011-05-29,5.2072
2011-05-30,5.2204
2011-05-31,5.1785
2011-06-01,5.2036
2011-06-02,5.1445
2011-06-03,5.0943
2011-06-04,5.0943
2011-06-05,5.0943
2011-06-06,5.1152
2011-06-07,5.0759
2011-06-08,5.1138
2011-06-09,5.1399
2011-06-10,5.1995
2011-06-11,5.1995
2011-06-12,5.1995
2011-06-13,5.1749
2011-06-14,5.1657
2011-06-15,5.2606
2011-06-16,5.2512
2011-06-17,5.2135
2011-06-18,5.2135
2011-06-19,5.2135
2011-06-20,5.2149
2011-06-21,5.1757
2011-06-22,5.1955
2011-06-23,5.2318
2011-06-24,5.2572
2011-06-25,5.2572
2011-06-26,5.2572
2011-06-27,5.2201
2011-06-28,5.19
2011-06-29,5.1675
2011-06-30,5.1433
2011-07-01,5.1351
2011-07-02,5.1351
2011-07-03,5.1351
2011-07-04,5.1305
2011-07-05,5.1697
2011-07-06,5.209
2011-07-07,5.1929
2011-07-08,5.2291
2011-07-09,5.2291
2011-07-10,5.2291
2011-07-11,5.3161
2011-07-12,5.336
2011-07-13,5.2632
2011-07-14,5.2732
2011-07-15,5.2669
2011-07-16,5.2669
2011-07-17,5.2669
2011-07-18,5.2838
2011-07-19,5.2669
2011-07-20,5.2442
2011-07-21,5.1675
2011-07-22,5.1909
2011-07-23,5.1909
2011-07-24,5.1909
2011-07-25,5.1842
2011-07-26,5.136
2011-07-27,5.1859
2011-07-28,5.1971
2011-07-29,5.1741
2011-07-30,5.1741
2011-07-31,5.1741
2011-08-01,5.228
2011-08-02,5.2445
2011-08-03,5.2002
2011-08-04,5.2852
2011-08-05,5.2156
2011-08-06,5.2156
2011-08-07,5.2156
2011-08-08,5.2542
2011-08-09,5.183
2011-08-10,5.2554
2011-08-11,5.2313
2011-08-12,5.2284
2011-08-13,5.2284
2011-08-14,5.2284
2011-08-15,5.1573
2011-08-16,5.1712
2011-08-17,5.1645
2011-08-18,5.1979
2011-08-19,5.1736
2011-08-20,5.1736
2011-08-21,5.1736
2011-08-22,5.1879
2011-08-23,5.1587
2011-08-24,5.1683
2011-08-25,5.1808
2011-08-26,5.1387
2011-08-27,5.1387
2011-08-28,5.1387
2011-08-29,5.1343
2011-08-30,5.1596
2011-08-31,5.1842
2011-09-01,5.2247
2011-09-02,5.244
2011-09-03,5.244
2011-09-04,5.244
2011-09-05,5.2837
2011-09-06,5.3209
2011-09-07,5.2828
2011-09-08,5.3647
2011-09-09,5.4535
2011-09-10,5.4535
2011-09-11,5.4535
2011-09-12,5.4449
2011-09-13,5.4452
2011-09-14,5.4145
2011-09-15,5.3673
2011-09-16,5.3976
2011-09-17,5.3976
2011-09-18,5.3976
2011-09-19,5.4421
2011-09-20,5.4358
2011-09-21,5.4865
2011-09-22,5.529
2011-09-23,5.5128
2011-09-24,5.5128
2011-09-25,5.5128
2011-09-26,5.4984
2011-09-27,5.4784
2011-09-28,5.4958
2011-09-29,5.4725
2011-09-30,5.5585
2011-10-01,5.5585
2011-10-02,5.5585
2011-10-03,5.6482
2011-10-04,5.5752
2011-10-05,5.5758
2011-10-06,5.5399
2011-10-07,5.5652
2011-10-08,5.5652
2011-10-09,5.5652
2011-10-10,5.4558
2011-10-11,5.4575
2011-10-12,5.3986
2011-10-13,5.4036
2011-10-14,5.3636
2011-10-15,5.3636
2011-10-16,5.3636
2011-10-17,5.4201
2011-10-18,5.4143
2011-10-19,5.411
2011-10-20,5.4032
2011-10-21,5.358
2011-10-22,5.358
2011-10-23,5.358
2011-10-24,5.3452
2011-10-25,5.3528
2011-10-26,5.3531
2011-10-27,5.2467
2011-10-28,5.2601
2011-10-29,5.2601
2011-10-30,5.2601
2011-10-31,5.3695
2011-11-01,5.4301
2011-11-02,5.4126
2011-11-03,5.3837
2011-11-04,5.3967
2011-11-05,5.3967
2011-11-06,5.3967
2011-11-07,5.404
2011-11-08,5.3817
2011-11-09,5.4965
2011-11-10,5.4694
2011-11-11,5.4117
2011-11-12,5.4117
2011-11-13,5.4117
2011-11-14,5.4592
2011-11-15,5.4971
2011-11-16,5.5282
2011-11-17,5.5302
2011-11-18,5.5033
2011-11-19,5.5033
2011-11-20,5.5033
2011-11-21,5.5172
2011-11-22,5.5099
2011-11-23,5.573
2011-11-24,5.5713
2011-11-25,5.6175
2011-11-26,5.6175
2011-11-27,5.6175
2011-11-28,5.5844
2011-11-29,5.5841
2011-11-30,5.5305
2011-12-01,5.5228
2011-12-02,5.5517
2011-12-03,5.5517
2011-12-04,5.5517
2011-12-05,5.5489
2011-12-06,5.5474
2011-12-07,5.543
2011-12-08,5.5736
2011-12-09,5.5545
2011-12-10,5.5545
2011-12-11,5.5545
2011-12-12,5.6386
2011-12-13,5.7036
2011-12-14,5.7249
2011-12-15,5.7098
2011-12-16,5.6962
2011-12-17,5.6962
2011-12-18,5.6962
2011-12-19,5.7185
2011-12-20,5.6821
2011-12-21,5.6973
2011-12-22,5.6965
2011-12-23,5.6994
2011-12-24,5.6994
2011-12-25,5.6994
2011-12-26,5.6911
2011-12-27,5.6865
2011-12-28,5.7454
2011-12-29,5.7353
2011-12-30,5.734
2011-12-31,5.734
2012-01-01,5.734
2012-01-02,5.7467
2012-01-03,5.6982
2012-01-04,5.7458
2012-01-05,5.8146
2012-01-06,5.8452
2012-01-07,5.8452
2012-01-08,5.8452
2012-01-09,5.8248
2012-01-10,5.8202
2012-01-11,5.8522
2012-01-12,5.8034
2012-01-13,5.8641
2012-01-14,5.8641
2012-01-15,5.8641
2012-01-16,5.8699
2012-01-17,5.8376
2012-01-18,5.7809
2012-01-19,5.7341
2012-01-20,5.7501
2012-01-21,5.7501
2012-01-22,5.7501
2012-01-23,5.714
2012-01-24,5.7032
2012-01-25,5.6726
2012-01-26,5.6711
2012-01-27,5.6233
2012-01-28,5.6233
2012-01-29,5.6233
2012-01-30,5.6559
2012-01-31,5.6818
2012-02-01,5.6485
2012-02-02,5.6552
2012-02-03,5.6496
2012-02-04,5.6496
2012-02-05,5.6496
2012-02-06,5.6614
2012-02-07,5.6054
2012-02-08,5.6047
2012-02-09,5.5937
2012-02-10,5.6319
2012-02-11,5.6319
2012-02-12,5.6319
2012-02-13,5.6369
2012-02-14,5.6596
2012-02-15,5.6885
2012-02-16,5.6608
2012-02-17,5.6567
2012-02-18,5.6567
2012-02-19,5.6567
2012-02-20,5.6136
2012-02-21,5.6187
2012-02-22,5.6132
2012-02-23,5.5605
2012-02-24,5.529
2012-02-25,5.529
2012-02-26,5.529
2012-02-27,5.5502
2012-02-28,5.5251
2012-02-29,5.5798
2012-03-01,5.5854
2012-03-02,5.633
2012-03-03,5.633
2012-03-04,5.633
2012-03-05,5.6242
2012-03-06,5.6699
2012-03-07,5.654
2012-03-08,5.6003
2012-03-09,5.6653
2012-03-10,5.6653
2012-03-11,5.6653
2012-03-12,5.6517
2012-03-13,5.6826
2012-03-14,5.7049
2012-03-15,5.6842
2012-03-16,5.6438
2012-03-17,5.6438
2012-03-18,5.6438
2012-03-19,5.6164
2012-03-20,5.6221
2012-03-21,5.6262
2012-03-22,5.6323
2012-03-23,5.6034
2012-03-24,5.6034
2012-03-25,5.6034
2012-03-26,5.5659
2012-03-27,5.5851
2012-03-28,5.5843
2012-03-29,5.5915
2012-03-30,5.5765
2012-03-31,5.5765
2012-04-01,5.5765
2012-04-02,5.5858
2012-04-03,5.6225
2012-04-04,5.6613
2012-04-05,5.6947
2012-04-06,5.6804
2012-04-07,5.6804
2012-04-08,5.6804
2012-04-09,5.6771
2012-04-10,5.6859
2012-04-11,5.6736
2012-04-12,5.6407
2012-04-13,5.6881
2012-04-14,5.6881
2012-04-15,5.6881
2012-04-16,5.6603
2012-04-17,5.6671
2012-04-18,5.6686
2012-04-19,5.6621
2012-04-20,5.6273
2012-04-21,5.6273
2012-04-22,5.6273
2012-04-23,5.6551
2012-04-24,5.6378
2012-04-25,5.6287
2012-04-26,5.6274
2012-04-27,5.6123
2012-04-28,5.6123
2012-04-29,5.6123
2012-04-30,5.6194
2012-05-01,5.6194
2012-05-02,5.6526
2012-05-03,5.655
2012-05-04,5.6844
2012-05-05,5.6844
2012-05-06,5.6844
2012-05-07,5.698
2012-05-08,5.7165
2012-05-09,5.7496
2012-05-10,5.7461
2012-05-11,5.7553
2012-05-12,5.7553
2012-05-13,5.7553
2012-05-14,5.7969
2012-05-15,5.839
2012-05-16,5.8453
2012-05-17,5.8535
2012-05-18,5.8158
2012-05-19,5.8158
2012-05-20,5.8158
2012-05-21,5.7977
2012-05-22,5.8586
2012-05-23,5.9067
2012-05-24,5.9297
2012-05-25,5.9363
2012-05-26,5.9363
2012-05-27,5.9363
2012-05-28,5.925
2012-05-29,5.9435
2012-05-30,6.0088
2012-05-31,6.0096
2012-06-01,5.9762
2012-06-02,5.9762
2012-06-03,5.9762
2012-06-04,5.9452
2012-06-05,5.9679
2012-06-06,5.9079
2012-06-07,5.9185
2012-06-08,5.9381
2012-06-09,5.9381
2012-06-10,5.9381
2012-06-11,5.9546
2012-06-12,5.9437
2012-06-13,5.9176
2012-06-14,5.8827
2012-06-15,5.8773
2012-06-16,5.8773
2012-06-17,5.8773
2012-06-18,5.9096
2012-06-19,5.86
2012-06-20,5.8503
2012-06-21,5.9285
2012-06-22,5.9132
2012-06-23,5.9132
2012-06-24,5.9132
2012-06-25,5.945
2012-06-26,5.9504
2012-06-27,5.9622
2012-06-28,5.9727
2012-06-29,5.8691
2012-06-30,5.8691
2012-07-01,5.8691
2012-07-02,5.9118
2012-07-03,5.897
2012-07-04,5.9361
2012-07-05,6.0052
2012-07-06,6.053
2012-07-07,6.053
2012-07-08,6.053
2012-07-09,6.0413
2012-07-10,6.0712
2012-07-11,6.0768
2012-07-12,6.0947
2012-07-13,6.0732
2012-07-14,6.0732
2012-07-15,6.0732
2012-07-16,6.0626
2012-07-17,6.0523
2012-07-18,6.0561
2012-07-19,6.057
2012-07-20,6.1192
2012-07-21,6.1192
2012-07-22,6.1192
2012-07-23,6.1391
2012-07-24,6.1682
2012-07-25,6.1179
2012-07-26,6.0562
2012-07-27,6.0376
2012-07-28,6.0376
2012-07-29,6.0376
2012-07-30,6.0665
2012-07-31,6.0484
2012-08-01,6.0883
2012-08-02,6.1098
2012-08-03,6.008
2012-08-04,6.008
2012-08-05,6.008
2012-08-06,6.0021
2012-08-07,6.0041
2012-08-08,6.0202
2012-08-09,6.0479
2012-08-10,6.056
2012-08-11,6.056
2012-08-12,6.056
2012-08-13,6.0353
2012-08-14,6.0404
2012-08-15,6.0565
2012-08-16,6.0256
2012-08-17,6.0373
2012-08-18,6.0373
2012-08-19,6.0373
2012-08-20,6.0314
2012-08-21,5.9706
2012-08-22,5.9453
2012-08-23,5.9279
2012-08-24,5.9532
2012-08-25,5.9532
2012-08-26,5.9532
2012-08-27,5.9593
2012-08-28,5.9291
2012-08-29,5.9469
2012-08-30,5.9574
2012-08-31,5.9237
2012-09-01,5.9237
2012-09-02,5.9237
2012-09-03,5.9171
2012-09-04,5.9295
2012-09-05,5.9134
2012-09-06,5.8993
2012-09-07,5.814
2012-09-08,5.814
2012-09-09,5.814
2012-09-10,5.8409
2012-09-11,5.7976
2012-09-12,5.7789
2012-09-13,5.7391
2012-09-14,5.6777
2012-09-15,5.6777
2012-09-16,5.6777
2012-09-17,5.6836
2012-09-18,5.7129
2012-09-19,5.7127
2012-09-20,5.7485
2012-09-21,5.7439
2012-09-22,5.7439
2012-09-23,5.7439
2012-09-24,5.7663
2012-09-25,5.7805
2012-09-26,5.7923
2012-09-27,5.7738
2012-09-28,5.797
2012-09-29,5.797
2012-09-30,5.797
2012-10-01,5.7852
2012-10-02,5.7709
2012-10-03,5.7774
2012-10-04,5.7277
2012-10-05,5.7158
2012-10-06,5.7158
2012-10-07,5.7158
2012-10-08,5.7504
2012-10-09,5.7884
2012-10-10,5.7934
2012-10-11,5.77
2012-10-12,5.7593
2012-10-13,5.7593
2012-10-14,5.7593
2012-10-15,5.7605
2012-10-16,5.7141
2012-10-17,5.6862
2012-10-18,5.7083
2012-10-19,5.7272
2012-10-20,5.7272
2012-10-21,5.7272
2012-10-22,5.7107
2012-10-23,5.7436
2012-10-24,5.7496
2012-10-25,5.7671
2012-10-26,5.7654
2012-10-27,5.7654
2012-10-28,5.7654
2012-10-29,5.781
2012-10-30,5.7561
2012-10-31,5.7558
2012-11-01,5.7638
2012-11-02,5.8121
2012-11-03,5.8121
2012-11-04,5.8121
2012-11-05,5.8295
2012-11-06,5.8219
2012-11-07,5.841
2012-11-08,5.8522
2012-11-09,5.8669
2012-11-10,5.8669
2012-11-11,5.8669
2012-11-12,5.8679
2012-11-13,5.8703
2012-11-14,5.8564
2012-11-15,5.8359
2012-11-16,5.8534
2012-11-17,5.8534
2012-11-18,5.8534
2012-11-19,5.8211
2012-11-20,5.819
2012-11-21,5.8128
2012-11-22,5.7883
2012-11-23,5.7479
2012-11-24,5.7479
2012-11-25,5.7479
2012-11-26,5.7493
2012-11-27,5.7624
2012-11-28,5.7593
2012-11-29,5.748
2012-11-30,5.7442
2012-12-01,5.7442
2012-12-02,5.7442
2012-12-03,5.7149
2012-12-04,5.6973
2012-12-05,5.7085
2012-12-06,5.751
2012-12-07,5.7684
2012-12-08,5.7684
2012-12-09,5.7684
2012-12-10,5.7638
2012-12-11,5.7358
2012-12-12,5.7062
2012-12-13,5.705
2012-12-14,5.6684
2012-12-15,5.6684
2012-12-16,5.6684
2012-12-17,5.6676
2012-12-18,5.6389
2012-12-19,5.6407
2012-12-20,5.6334
2012-12-21,5.658
2012-12-22,5.658
2012-12-23,5.658
2012-12-24,5.6589
2012-12-25,5.6597
2012-12-26,5.6409
2012-12-27,5.6352
2012-12-28,5.6447
2012-12-29,5.6447
2012-12-30,5.6447
2012-12-31,5.6553
2013-01-01,5.6501
2013-01-02,5.658
2013-01-03,5.7165
2013-01-04,5.7077
2013-01-05,5.7077
2013-01-06,5.7077
2013-01-07,5.6875
2013-01-08,5.7031
2013-01-09,5.7106
2013-01-10,5.622
2013-01-11,5.5928
2013-01-12,5.5928
2013-01-13,5.5928
2013-01-14,5.5765
2013-01-15,5.6085
2013-01-16,5.6152
2013-01-17,5.5792
2013-01-18,5.6026
2013-01-19,5.6026
2013-01-20,5.6026
2013-01-21,5.6058
2013-01-22,5.6021
2013-01-23,5.6032
2013-01-24,5.5775
2013-01-25,5.5424
2013-01-26,5.5424
2013-01-27,5.5424
2013-01-28,5.5445
2013-01-29,5.529
2013-01-30,5.4991
2013-01-31,5.4944
2013-02-01,5.4694
2013-02-02,5.4694
2013-02-03,5.4694
2013-02-04,5.52
2013-02-05,5.4915
2013-02-06,5.5161
2013-02-07,5.5683
2013-02-08,5.5831
2013-02-09,5.5831
2013-02-10,5.5831
2013-02-11,5.566
2013-02-12,5.5459
2013-02-13,5.5469
2013-02-14,5.582
2013-02-15,5.5827
2013-02-16,5.5827
2013-02-17,5.5827
2013-02-18,5.5868
2013-02-19,5.5718
2013-02-20,5.6158
2013-02-21,5.6558
2013-02-22,5.6542
2013-02-23,5.6542
2013-02-24,5.6542
2013-02-25,5.7113
2013-02-26,5.7091
2013-02-27,5.6761
2013-02-28,5.7114
2013-03-01,5.7262
2013-03-02,5.7262
2013-03-03,5.7262
2013-03-04,5.724
2013-03-05,5.7127
2013-03-06,5.7496
2013-03-07,5.6877
2013-03-08,5.7345
2013-03-09,5.7345
2013-03-10,5.7345
2013-03-11,5.7165
2013-03-12,5.7219
2013-03-13,5.7538
2013-03-14,5.7346
2013-03-15,5.7035
2013-03-16,5.7035
2013-03-17,5.7035
2013-03-18,5.7538
