,USDCHF BGN Curncy
2010-12-20,0.9649
2010-12-21,0.9581
2010-12-22,0.952
2010-12-23,0.9587
2010-12-24,0.9623
2010-12-25,0.9623
2010-12-26,0.9623
2010-12-27,0.9603
2010-12-28,0.9521
2010-12-29,0.9456
2010-12-30,0.9353
2010-12-31,0.9352
2011-01-01,0.9352
2011-01-02,0.9352
2011-01-03,0.9334
2011-01-04,0.9486
2011-01-05,0.9659
2011-01-06,0.9655
2011-01-07,0.9673
2011-01-08,0.9673
2011-01-09,0.9673
2011-01-10,0.9676
2011-01-11,0.9737
2011-01-12,0.9666
2011-01-13,0.9639
2011-01-14,0.9634
2011-01-15,0.9634
2011-01-16,0.9634
2011-01-17,0.9647
2011-01-18,0.9634
2011-01-19,0.9549
2011-01-20,0.9674
2011-01-21,0.9584
2011-01-22,0.9584
2011-01-23,0.9584
2011-01-24,0.9491
2011-01-25,0.9423
2011-01-26,0.9417
2011-01-27,0.9454
2011-01-28,0.9419
2011-01-29,0.9419
2011-01-30,0.9419
2011-01-31,0.944
2011-02-01,0.9354
2011-02-02,0.9401
2011-02-03,0.9456
2011-02-04,0.955
2011-02-05,0.955
2011-02-06,0.955
2011-02-07,0.9555
2011-02-08,0.9633
2011-02-09,0.9578
2011-02-10,0.9691
2011-02-11,0.9732
2011-02-12,0.9732
2011-02-13,0.9732
2011-02-14,0.97
2011-02-15,0.9671
2011-02-16,0.9594
2011-02-17,0.9497
2011-02-18,0.9446
2011-02-19,0.9446
2011-02-20,0.9446
2011-02-21,0.9468
2011-02-22,0.9389
2011-02-23,0.933
2011-02-24,0.9264
2011-02-25,0.9282
2011-02-26,0.9282
2011-02-27,0.9282
2011-02-28,0.9289
2011-03-01,0.9284
2011-03-02,0.9236
2011-03-03,0.9316
2011-03-04,0.9245
2011-03-05,0.9245
2011-03-06,0.9245
2011-03-07,0.9266
2011-03-08,0.9352
2011-03-09,0.9296
2011-03-10,0.932
2011-03-11,0.9298
2011-03-12,0.9298
2011-03-13,0.9298
2011-03-14,0.9244
2011-03-15,0.9165
2011-03-16,0.9082
2011-03-17,0.8985
2011-03-18,0.901
2011-03-19,0.901
2011-03-20,0.901
2011-03-21,0.9045
2011-03-22,0.9035
2011-03-23,0.9084
2011-03-24,0.9086
2011-03-25,0.9199
2011-03-26,0.9199
2011-03-27,0.9199
2011-03-28,0.9168
2011-03-29,0.9201
2011-03-30,0.9184
2011-03-31,0.919
2011-04-01,0.9238
2011-04-02,0.9238
2011-04-03,0.9238
2011-04-04,0.9231
2011-04-05,0.9253
2011-04-06,0.9189
2011-04-07,0.9164
2011-04-08,0.9065
2011-04-09,0.9065
2011-04-10,0.9065
2011-04-11,0.9067
2011-04-12,0.8969
2011-04-13,0.8964
2011-04-14,0.8924
2011-04-15,0.8922
2011-04-16,0.8922
2011-04-17,0.8922
2011-04-18,0.8964
2011-04-19,0.8998
2011-04-20,0.888
2011-04-21,0.8862
2011-04-22,0.8861
2011-04-23,0.8861
2011-04-24,0.8861
2011-04-25,0.8812
2011-04-26,0.8752
2011-04-27,0.8747
2011-04-28,0.8737
2011-04-29,0.8653
2011-04-30,0.8653
2011-05-01,0.8653
2011-05-02,0.8652
2011-05-03,0.8613
2011-05-04,0.8617
2011-05-05,0.8706
2011-05-06,0.879
2011-05-07,0.879
2011-05-08,0.879
2011-05-09,0.8718
2011-05-10,0.8798
2011-05-11,0.8877
2011-05-12,0.8841
2011-05-13,0.8925
2011-05-14,0.8925
2011-05-15,0.8925
2011-05-16,0.8846
2011-05-17,0.8802
2011-05-18,0.881
2011-05-19,0.8808
2011-05-20,0.8774
2011-05-21,0.8774
2011-05-22,0.8774
2011-05-23,0.8838
2011-05-24,0.88
2011-05-25,0.8726
2011-05-26,0.8656
2011-05-27,0.8494
2011-05-28,0.8494
2011-05-29,0.8494
2011-05-30,0.8523
2011-05-31,0.854
2011-06-01,0.842
2011-06-02,0.8425
2011-06-03,0.8335
2011-06-04,0.8335
2011-06-05,0.8335
2011-06-06,0.8346
2011-06-07,0.8363
2011-06-08,0.836
2011-06-09,0.8415
2011-06-10,0.843
2011-06-11,0.843
2011-06-12,0.843
2011-06-13,0.8372
2011-06-14,0.8454
2011-06-15,0.853
2011-06-16,0.8476
2011-06-17,0.8482
2011-06-18,0.8482
2011-06-19,0.8482
2011-06-20,0.8462
2011-06-21,0.8405
2011-06-22,0.8392
2011-06-23,0.8388
2011-06-24,0.8331
2011-06-25,0.8331
2011-06-26,0.8331
2011-06-27,0.8352
2011-06-28,0.8319
2011-06-29,0.8342
2011-06-30,0.8404
2011-07-01,0.8478
2011-07-02,0.8478
2011-07-03,0.8478
2011-07-04,0.848
2011-07-05,0.8405
2011-07-06,0.8392
2011-07-07,0.8443
2011-07-08,0.8366
2011-07-09,0.8366
2011-07-10,0.8366
2011-07-11,0.8358
2011-07-12,0.8306
2011-07-13,0.8178
2011-07-14,0.816
2011-07-15,0.8152
2011-07-16,0.8152
2011-07-17,0.8152
2011-07-18,0.8176
2011-07-19,0.8241
2011-07-20,0.8197
2011-07-21,0.8152
2011-07-22,0.8192
2011-07-23,0.8192
2011-07-24,0.8192
2011-07-25,0.8061
2011-07-26,0.8013
2011-07-27,0.8017
2011-07-28,0.8012
2011-07-29,0.7855
2011-07-30,0.7855
2011-07-31,0.7855
2011-08-01,0.7836
2011-08-02,0.7622
2011-08-03,0.7704
2011-08-04,0.7637
2011-08-05,0.7674
2011-08-06,0.7674
2011-08-07,0.7674
2011-08-08,0.755
2011-08-09,0.7209
2011-08-10,0.7266
2011-08-11,0.7614
2011-08-12,0.7779
2011-08-13,0.7779
2011-08-14,0.7779
2011-08-15,0.7842
2011-08-16,0.7962
2011-08-17,0.7901
2011-08-18,0.7941
2011-08-19,0.7851
2011-08-20,0.7851
2011-08-21,0.7851
2011-08-22,0.7902
2011-08-23,0.7923
2011-08-24,0.7959
2011-08-25,0.793
2011-08-26,0.8063
2011-08-27,0.8063
2011-08-28,0.8063
2011-08-29,0.8158
2011-08-30,0.8201
2011-08-31,0.806
2011-09-01,0.7955
2011-09-02,0.7883
2011-09-03,0.7883
2011-09-04,0.7883
2011-09-05,0.7872
2011-09-06,0.8621
2011-09-07,0.8575
2011-09-08,0.8755
2011-09-09,0.8838
2011-09-10,0.8838
2011-09-11,0.8838
2011-09-12,0.8802
2011-09-13,0.8804
2011-09-14,0.876
2011-09-15,0.8694
2011-09-16,0.8756
2011-09-17,0.8756
2011-09-18,0.8756
2011-09-19,0.8821
2011-09-20,0.8877
2011-09-21,0.9
2011-09-22,0.9087
2011-09-23,0.9056
2011-09-24,0.9056
2011-09-25,0.9056
2011-09-26,0.9015
2011-09-27,0.8961
2011-09-28,0.9002
2011-09-29,0.8971
2011-09-30,0.9082
2011-10-01,0.9082
2011-10-02,0.9082
2011-10-03,0.9216
2011-10-04,0.9165
2011-10-05,0.9232
2011-10-06,0.9205
2011-10-07,0.9272
2011-10-08,0.9272
2011-10-09,0.9272
2011-10-10,0.9037
2011-10-11,0.9087
2011-10-12,0.8949
2011-10-13,0.8982
2011-10-14,0.8915
2011-10-15,0.8915
2011-10-16,0.8915
2011-10-17,0.8993
2011-10-18,0.8987
2011-10-19,0.9028
2011-10-20,0.8938
2011-10-21,0.8825
2011-10-22,0.8825
2011-10-23,0.8825
2011-10-24,0.8808
2011-10-25,0.878
2011-10-26,0.881
2011-10-27,0.86
2011-10-28,0.8633
2011-10-29,0.8633
2011-10-30,0.8633
2011-10-31,0.877
2011-11-01,0.8871
2011-11-02,0.8841
2011-11-03,0.8778
2011-11-04,0.8847
2011-11-05,0.8847
2011-11-06,0.8847
2011-11-07,0.9007
2011-11-08,0.8949
2011-11-09,0.9095
2011-11-10,0.9061
2011-11-11,0.8995
2011-11-12,0.8995
2011-11-13,0.8995
2011-11-14,0.9082
2011-11-15,0.915
2011-11-16,0.9194
2011-11-17,0.9221
2011-11-18,0.9166
2011-11-19,0.9166
2011-11-20,0.9166
2011-11-21,0.9173
2011-11-22,0.9141
2011-11-23,0.9201
2011-11-24,0.9196
2011-11-25,0.93
2011-11-26,0.93
2011-11-27,0.93
2011-11-28,0.9224
2011-11-29,0.9209
2011-11-30,0.9132
2011-12-01,0.9158
2011-12-02,0.9214
2011-12-03,0.9214
2011-12-04,0.9214
2011-12-05,0.9207
2011-12-06,0.9259
2011-12-07,0.9236
2011-12-08,0.9261
2011-12-09,0.923
2011-12-10,0.923
2011-12-11,0.923
2011-12-12,0.9372
2011-12-13,0.9456
2011-12-14,0.9536
2011-12-15,0.94
2011-12-16,0.9359
2011-12-17,0.9359
2011-12-18,0.9359
2011-12-19,0.9374
2011-12-20,0.9317
2011-12-21,0.9357
2011-12-22,0.9361
2011-12-23,0.9366
2011-12-24,0.9366
2011-12-25,0.9366
2011-12-26,0.9359
2011-12-27,0.934
2011-12-28,0.9427
2011-12-29,0.9402
2011-12-30,0.9381
2011-12-31,0.9381
2012-01-01,0.9381
2012-01-02,0.9398
2012-01-03,0.9321
2012-01-04,0.9417
2012-01-05,0.9525
2012-01-06,0.9552
2012-01-07,0.9552
2012-01-08,0.9552
2012-01-09,0.9496
2012-01-10,0.9492
2012-01-11,0.9541
2012-01-12,0.9446
2012-01-13,0.9524
2012-01-14,0.9524
2012-01-15,0.9524
2012-01-16,0.9542
2012-01-17,0.9495
2012-01-18,0.9395
2012-01-19,0.9321
2012-01-20,0.9345
2012-01-21,0.9345
2012-01-22,0.9345
2012-01-23,0.9278
2012-01-24,0.9276
2012-01-25,0.9216
2012-01-26,0.9205
2012-01-27,0.9126
2012-01-28,0.9126
2012-01-29,0.9126
2012-01-30,0.917
2012-01-31,0.9202
2012-02-01,0.9153
2012-02-02,0.9168
2012-02-03,0.9182
2012-02-04,0.9182
2012-02-05,0.9182
2012-02-06,0.9187
2012-02-07,0.9117
2012-02-08,0.9124
2012-02-09,0.9118
2012-02-10,0.9165
2012-02-11,0.9165
2012-02-12,0.9165
2012-02-13,0.9165
2012-02-14,0.9194
2012-02-15,0.9235
2012-02-16,0.9192
2012-02-17,0.92
2012-02-18,0.92
2012-02-19,0.92
2012-02-20,0.9116
2012-02-21,0.9124
2012-02-22,0.91
2012-02-23,0.9014
2012-02-24,0.896
2012-02-25,0.896
2012-02-26,0.896
2012-02-27,0.8993
2012-02-28,0.8955
2012-02-29,0.9044
2012-03-01,0.9061
2012-03-02,0.9142
2012-03-03,0.9142
2012-03-04,0.9142
2012-03-05,0.9122
2012-03-06,0.9189
2012-03-07,0.9167
2012-03-08,0.9082
2012-03-09,0.9188
2012-03-10,0.9188
2012-03-11,0.9188
2012-03-12,0.9165
2012-03-13,0.9231
2012-03-14,0.9306
2012-03-15,0.923
2012-03-16,0.9156
2012-03-17,0.9156
2012-03-18,0.9156
2012-03-19,0.9112
2012-03-20,0.9117
2012-03-21,0.9123
2012-03-22,0.9133
2012-03-23,0.908
2012-03-24,0.908
2012-03-25,0.908
2012-03-26,0.903
2012-03-27,0.9052
2012-03-28,0.9052
2012-03-29,0.9063
2012-03-30,0.9025
2012-03-31,0.9025
2012-04-01,0.9025
2012-04-02,0.9037
2012-04-03,0.9101
2012-04-04,0.9159
2012-04-05,0.9198
2012-04-06,0.9173
2012-04-07,0.9173
2012-04-08,0.9173
2012-04-09,0.9172
2012-04-10,0.9185
2012-04-11,0.9174
2012-04-12,0.9112
2012-04-13,0.9195
2012-04-14,0.9195
2012-04-15,0.9195
2012-04-16,0.9145
2012-04-17,0.9153
2012-04-18,0.9158
2012-04-19,0.9151
2012-04-20,0.9089
2012-04-21,0.9089
2012-04-22,0.9089
2012-04-23,0.9135
2012-04-24,0.9104
2012-04-25,0.9093
2012-04-26,0.909
2012-04-27,0.9064
2012-04-28,0.9064
2012-04-29,0.9064
2012-04-30,0.9075
2012-05-01,0.9078
2012-05-02,0.9131
2012-05-03,0.9135
2012-05-04,0.9182
2012-05-05,0.9182
2012-05-06,0.9182
2012-05-07,0.9206
2012-05-08,0.9236
2012-05-09,0.929
2012-05-10,0.9285
2012-05-11,0.9299
2012-05-12,0.9299
2012-05-13,0.9299
2012-05-14,0.9367
2012-05-15,0.9435
2012-05-16,0.9446
2012-05-17,0.9458
2012-05-18,0.9397
2012-05-19,0.9397
2012-05-20,0.9397
2012-05-21,0.9372
2012-05-22,0.947
2012-05-23,0.9546
2012-05-24,0.9585
2012-05-25,0.9595
2012-05-26,0.9595
2012-05-27,0.9595
2012-05-28,0.9584
2012-05-29,0.9606
2012-05-30,0.971
2012-05-31,0.9713
2012-06-01,0.9661
2012-06-02,0.9661
2012-06-03,0.9661
2012-06-04,0.9609
2012-06-05,0.9643
2012-06-06,0.9544
2012-06-07,0.9562
2012-06-08,0.9596
2012-06-09,0.9596
2012-06-10,0.9596
2012-06-11,0.9621
2012-06-12,0.9606
2012-06-13,0.9565
2012-06-14,0.9507
2012-06-15,0.9501
2012-06-16,0.9501
2012-06-17,0.9501
2012-06-18,0.955
2012-06-19,0.9467
2012-06-20,0.9452
2012-06-21,0.9576
2012-06-22,0.9553
2012-06-23,0.9553
2012-06-24,0.9553
2012-06-25,0.9605
2012-06-26,0.9614
2012-06-27,0.9632
2012-06-28,0.9651
2012-06-29,0.9485
2012-06-30,0.9485
2012-07-01,0.9485
2012-07-02,0.9548
2012-07-03,0.9526
2012-07-04,0.9588
2012-07-05,0.9694
2012-07-06,0.9773
2012-07-07,0.9773
2012-07-08,0.9773
2012-07-09,0.9754
2012-07-10,0.9803
2012-07-11,0.9811
2012-07-12,0.9841
2012-07-13,0.9804
2012-07-14,0.9804
2012-07-15,0.9804
2012-07-16,0.9786
2012-07-17,0.9771
2012-07-18,0.9778
2012-07-19,0.978
2012-07-20,0.988
2012-07-21,0.988
2012-07-22,0.988
2012-07-23,0.9911
2012-07-24,0.9958
2012-07-25,0.9879
2012-07-26,0.9778
2012-07-27,0.9749
2012-07-28,0.9749
2012-07-29,0.9749
2012-07-30,0.9797
2012-07-31,0.9764
2012-08-01,0.9829
2012-08-02,0.9859
2012-08-03,0.9701
2012-08-04,0.9701
2012-08-05,0.9701
2012-08-06,0.9688
2012-08-07,0.9689
2012-08-08,0.9714
2012-08-09,0.976
2012-08-10,0.9772
2012-08-11,0.9772
2012-08-12,0.9772
2012-08-13,0.9739
2012-08-14,0.9748
2012-08-15,0.9772
2012-08-16,0.9721
2012-08-17,0.9739
2012-08-18,0.9739
2012-08-19,0.9739
2012-08-20,0.973
2012-08-21,0.9629
2012-08-22,0.9586
2012-08-23,0.9559
2012-08-24,0.9597
2012-08-25,0.9597
2012-08-26,0.9597
2012-08-27,0.9609
2012-08-28,0.9558
2012-08-29,0.9585
2012-08-30,0.9603
2012-08-31,0.9549
2012-09-01,0.9549
2012-09-02,0.9549
2012-09-03,0.9537
2012-09-04,0.9559
2012-09-05,0.9557
2012-09-06,0.9536
2012-09-07,0.9444
2012-09-08,0.9444
2012-09-09,0.9444
2012-09-10,0.9463
2012-09-11,0.9389
2012-09-12,0.9372
2012-09-13,0.9353
2012-09-14,0.9267
2012-09-15,0.9267
2012-09-16,0.9267
2012-09-17,0.9275
2012-09-18,0.9286
2012-09-19,0.9273
2012-09-20,0.9332
2012-09-21,0.9327
2012-09-22,0.9327
2012-09-23,0.9327
2012-09-24,0.9358
2012-09-25,0.9376
2012-09-26,0.9395
2012-09-27,0.9373
2012-09-28,0.9398
2012-09-29,0.9398
2012-09-30,0.9398
2012-10-01,0.9382
2012-10-02,0.9363
2012-10-03,0.9386
2012-10-04,0.9306
2012-10-05,0.9293
2012-10-06,0.9293
2012-10-07,0.9293
2012-10-08,0.9334
2012-10-09,0.9402
2012-10-10,0.9393
2012-10-11,0.935
2012-10-12,0.9335
2012-10-13,0.9335
2012-10-14,0.9335
2012-10-15,0.9331
2012-10-16,0.9261
2012-10-17,0.9223
2012-10-18,0.9248
2012-10-19,0.9286
2012-10-20,0.9286
2012-10-21,0.9286
2012-10-22,0.9269
2012-10-23,0.9325
2012-10-24,0.9325
2012-10-25,0.9352
2012-10-26,0.9347
2012-10-27,0.9347
2012-10-28,0.9347
2012-10-29,0.9367
2012-10-30,0.9324
2012-10-31,0.9315
2012-11-01,0.9319
2012-11-02,0.9403
2012-11-03,0.9403
2012-11-04,0.9403
2012-11-05,0.9436
2012-11-06,0.9428
2012-11-07,0.9448
2012-11-08,0.9458
2012-11-09,0.9488
2012-11-10,0.9488
2012-11-11,0.9488
2012-11-12,0.9483
2012-11-13,0.9474
2012-11-14,0.945
2012-11-15,0.9421
2012-11-16,0.9455
2012-11-17,0.9455
2012-11-18,0.9455
2012-11-19,0.94
2012-11-20,0.94
2012-11-21,0.9387
2012-11-22,0.9349
2012-11-23,0.9282
2012-11-24,0.9282
2012-11-25,0.9282
2012-11-26,0.9276
2012-11-27,0.9305
2012-11-28,0.9292
2012-11-29,0.9274
2012-11-30,0.9281
2012-12-01,0.9281
2012-12-02,0.9281
2012-12-03,0.9256
2012-12-04,0.9264
2012-12-05,0.9264
2012-12-06,0.9324
2012-12-07,0.9345
2012-12-08,0.9345
2012-12-09,0.9345
2012-12-10,0.9336
2012-12-11,0.9323
2012-12-12,0.9264
2012-12-13,0.9236
2012-12-14,0.9178
2012-12-15,0.9178
2012-12-16,0.9178
2012-12-17,0.9176
2012-12-18,0.913
2012-12-19,0.9133
2012-12-20,0.9116
2012-12-21,0.9153
2012-12-22,0.9153
2012-12-23,0.9153
2012-12-24,0.9159
2012-12-25,0.916
2012-12-26,0.9133
2012-12-27,0.9133
2012-12-28,0.9135
2012-12-29,0.9135
2012-12-30,0.9135
2012-12-31,0.9154
2013-01-01,0.9155
2013-01-02,0.9179
2013-01-03,0.9267
2013-01-04,0.9246
2013-01-05,0.9246
2013-01-06,0.9246
2013-01-07,0.9213
2013-01-08,0.9241
2013-01-09,0.9253
2013-01-10,0.9142
2013-01-11,0.9135
2013-01-12,0.9135
2013-01-13,0.9135
2013-01-14,0.9219
2013-01-15,0.9319
2013-01-16,0.931
2013-01-17,0.9325
2013-01-18,0.9342
2013-01-19,0.9342
2013-01-20,0.9342
2013-01-21,0.9324
2013-01-22,0.9293
2013-01-23,0.9294
2013-01-24,0.9289
2013-01-25,0.9265
2013-01-26,0.9265
2013-01-27,0.9265
2013-01-28,0.9263
2013-01-29,0.9214
2013-01-30,0.9108
2013-01-31,0.91
2013-02-01,0.908
2013-02-02,0.908
2013-02-03,0.908
2013-02-04,0.9083
2013-02-05,0.9083
2013-02-06,0.9102
2013-02-07,0.9184
2013-02-08,0.9174
2013-02-09,0.9174
2013-02-10,0.9174
2013-02-11,0.9203
2013-02-12,0.917
2013-02-13,0.9168
2013-02-14,0.9212
2013-02-15,0.9218
2013-02-16,0.9218
2013-02-17,0.9218
2013-02-18,0.9234
2013-02-19,0.9226
2013-02-20,0.927
2013-02-21,0.9311
2013-02-22,0.9295
2013-02-23,0.9295
2013-02-24,0.9295
2013-02-25,0.932
2013-02-26,0.9319
2013-02-27,0.9296
2013-02-28,0.9367
2013-03-01,0.9429
2013-03-02,0.9429
2013-03-03,0.9429
2013-03-04,0.9409
2013-03-05,0.9408
2013-03-06,0.9488
2013-03-07,0.9426
2013-03-08,0.9514
2013-03-09,0.9514
2013-03-10,0.9514
2013-03-11,0.9471
2013-03-12,0.9471
2013-03-13,0.9524
2013-03-14,0.9472
2013-03-15,0.9387
2013-03-16,0.9387
2013-03-17,0.9387
