,NPI CN Equity,NPI CN Equity,NPI CN Equity,NPI CN Equity,NPI CN Equity
2010-05-23,6.0921,6.4182,6.0526,6.3095,301239.0
2010-05-24,6.0921,6.4182,6.0526,6.3095,301239.0
2010-05-25,6.1761,6.3491,6.102,6.2502,118786.0
2010-05-26,6.3491,6.3491,6.1514,6.1811,256367.0
2010-05-27,6.2955,6.4896,6.2458,6.4896,210518.0
2010-05-28,6.5046,6.5095,6.3851,6.5095,93588.0
2010-05-29,6.5046,6.5095,6.3851,6.5095,93588.0
2010-05-30,6.5046,6.5095,6.3851,6.5095,93588.0
2010-05-31,6.5095,6.6389,6.4697,6.6389,65632.0
2010-06-01,6.619,6.619,6.4548,6.5643,108465.0
2010-06-02,6.5444,6.6439,6.4747,6.619,81393.0
2010-06-03,6.5941,6.6539,6.4797,6.5444,211215.0
2010-06-04,6.5394,6.5593,6.4946,6.5344,66383.0
2010-06-05,6.5394,6.5593,6.4946,6.5344,66383.0
2010-06-06,6.5394,6.5593,6.4946,6.5344,66383.0
2010-06-07,6.4946,6.6439,6.4946,6.5195,160916.0
2010-06-08,6.5046,6.6588,6.5046,6.619,185781.0
2010-06-09,6.6439,6.6439,6.5792,6.5892,68763.0
2010-06-10,6.5941,6.619,6.4797,6.5195,133060.0
2010-06-11,6.5145,6.5643,6.4448,6.5543,129499.0
2010-06-12,6.5145,6.5643,6.4448,6.5543,129499.0
2010-06-13,6.5145,6.5643,6.4448,6.5543,129499.0
2010-06-14,6.5344,6.7932,6.5294,6.7335,115741.0
2010-06-15,6.7683,6.9425,6.7633,6.843,224441.0
2010-06-16,6.8032,6.9126,6.7783,6.8927,182088.0
2010-06-17,6.8927,6.9276,6.8927,6.8977,129043.0
2010-06-18,6.9027,6.9425,6.8479,6.8479,158796.0
2010-06-19,6.9027,6.9425,6.8479,6.8479,158796.0
2010-06-20,6.9027,6.9425,6.8479,6.8479,158796.0
2010-06-21,6.9077,6.9923,6.8828,6.9923,168161.0
2010-06-22,6.9923,7.0868,6.9624,6.9724,174952.0
2010-06-23,7.0172,7.0619,6.8728,6.9325,284387.0
2010-06-24,6.9325,6.9375,6.8778,6.9325,130314.0
2010-06-25,6.9325,6.9873,6.8977,6.9425,114532.0
2010-06-26,6.9325,6.9873,6.8977,6.9425,114532.0
2010-06-27,6.9325,6.9873,6.8977,6.9425,114532.0
2010-06-28,6.9926,7.0126,6.8874,6.9525,112694.0
2010-06-29,6.8874,6.9525,6.8273,6.8473,142757.0
2010-06-30,6.8373,6.9225,6.8123,6.8874,163715.0
2010-07-01,6.8373,6.9225,6.8123,6.8874,163715.0
2010-07-02,6.8924,6.8924,6.7722,6.8123,70467.0
2010-07-03,6.8924,6.8924,6.7722,6.8123,70467.0
2010-07-04,6.8924,6.8924,6.7722,6.8123,70467.0
2010-07-05,6.8373,6.8373,6.667,6.7371,99684.0
2010-07-06,6.7371,6.8273,6.6971,6.7672,210526.0
2010-07-07,6.8123,7.0427,6.8123,7.0126,251994.0
2010-07-08,7.0277,7.0427,6.9876,7.0126,171100.0
2010-07-09,7.0126,7.1128,7.0126,7.1128,75068.0
2010-07-10,7.0126,7.1128,7.0126,7.1128,75068.0
2010-07-11,7.0126,7.1128,7.0126,7.1128,75068.0
2010-07-12,7.1328,7.2581,7.0377,7.1529,345553.0
2010-07-13,7.1379,7.213,7.1128,7.1779,232821.0
2010-07-14,7.1779,7.1779,7.0527,7.0878,131480.0
2010-07-15,7.0477,7.1028,7.0176,7.0327,125453.0
2010-07-16,7.0627,7.1128,6.9625,6.9625,321149.0
2010-07-17,7.0627,7.1128,6.9625,6.9625,321149.0
2010-07-18,7.0627,7.1128,6.9625,6.9625,321149.0
2010-07-19,7.0327,7.0327,6.9826,7.0126,147897.0
2010-07-20,7.0026,7.0377,6.9625,7.0126,233188.0
2010-07-21,7.0377,7.0377,6.9675,7.0126,199317.0
2010-07-22,7.0377,7.0627,7.0026,7.0627,110232.0
2010-07-23,7.1178,7.1328,7.0377,7.1278,92542.0
2010-07-24,7.1178,7.1328,7.0377,7.1278,92542.0
2010-07-25,7.1178,7.1328,7.0377,7.1278,92542.0
2010-07-26,7.1128,7.1629,7.1128,7.1328,98623.0
2010-07-27,7.1328,7.208,7.1128,7.208,88568.0
2010-07-28,7.2382,7.2382,7.0971,7.1576,179923.0
2010-07-29,7.208,7.208,7.1425,7.2029,234833.0
2010-07-30,7.2029,7.2533,7.1777,7.2533,86064.0
2010-07-31,7.2029,7.2533,7.1777,7.2533,86064.0
2010-08-01,7.2029,7.2533,7.1777,7.2533,86064.0
2010-08-02,7.2029,7.2533,7.1777,7.2533,86064.0
2010-08-03,7.1878,7.334,7.1878,7.2836,220216.0
2010-08-04,7.2836,7.4046,7.2785,7.3995,111168.0
2010-08-05,7.3642,7.3642,7.2584,7.2584,106806.0
2010-08-06,7.2584,7.3945,7.2332,7.3542,121973.0
2010-08-07,7.2584,7.3945,7.2332,7.3542,121973.0
2010-08-08,7.2584,7.3945,7.2332,7.3542,121973.0
2010-08-09,7.2987,7.46,7.2937,7.3491,141243.0
2010-08-10,7.3945,7.4096,7.3189,7.3592,147651.0
2010-08-11,7.3945,7.4852,7.3592,7.3743,157078.0
2010-08-12,7.4096,7.4096,7.329,7.334,396152.0
2010-08-13,7.3491,7.3491,7.208,7.2937,107312.0
2010-08-14,7.3491,7.3491,7.208,7.2937,107312.0
2010-08-15,7.3491,7.3491,7.208,7.2937,107312.0
2010-08-16,7.2332,7.2584,7.1828,7.2533,139406.0
2010-08-17,7.3088,7.339,7.2281,7.2987,145323.0
2010-08-18,7.3491,7.3743,7.2987,7.3441,256301.0
2010-08-19,7.3592,7.3592,7.3088,7.339,161194.0
2010-08-20,7.3239,7.3693,7.2886,7.3592,199172.0
2010-08-21,7.3239,7.3693,7.2886,7.3592,199172.0
2010-08-22,7.3239,7.3693,7.2886,7.3592,199172.0
2010-08-23,7.3592,7.3844,7.329,7.3693,70454.0
2010-08-24,7.3693,7.3995,7.334,7.3894,168442.0
2010-08-25,7.3894,7.4096,7.339,7.339,103714.0
2010-08-26,7.3844,7.3995,7.3441,7.3794,139698.0
2010-08-27,7.425,7.4301,7.3895,7.4098,176511.0
2010-08-28,7.425,7.4301,7.3895,7.4098,176511.0
2010-08-29,7.425,7.4301,7.3895,7.4098,176511.0
2010-08-30,7.4149,7.5062,7.4098,7.5062,293561.0
2010-08-31,7.5062,7.638,7.496,7.5873,242543.0
2010-09-01,7.6076,7.6532,7.5264,7.5569,164571.0
2010-09-02,7.5569,7.6127,7.4757,7.6127,149860.0
2010-09-03,7.6076,7.6076,7.5011,7.5873,137935.0
2010-09-04,7.6076,7.6076,7.5011,7.5873,137935.0
2010-09-05,7.6076,7.6076,7.5011,7.5873,137935.0
2010-09-06,7.6076,7.6076,7.5011,7.5873,137935.0
2010-09-07,7.5974,7.6279,7.5417,7.6279,113928.0
2010-09-08,7.6482,7.6482,7.5569,7.5772,110662.0
2010-09-09,7.5974,7.6076,7.5062,7.5924,128382.0
2010-09-10,7.5873,7.5924,7.5366,7.567,82149.0
2010-09-11,7.5873,7.5924,7.5366,7.567,82149.0
2010-09-12,7.5873,7.5924,7.5366,7.567,82149.0
2010-09-13,7.5822,7.6431,7.567,7.6076,282246.0
2010-09-14,7.6076,7.6076,7.5112,7.5366,231372.0
2010-09-15,7.5366,7.5974,7.5112,7.5417,130480.0
2010-09-16,7.5315,7.5974,7.5315,7.567,117933.0
2010-09-17,7.5619,7.6532,7.5619,7.6076,174722.0
2010-09-18,7.5619,7.6532,7.5619,7.6076,174722.0
2010-09-19,7.5619,7.6532,7.5619,7.6076,174722.0
2010-09-20,7.6127,7.709,7.5619,7.5822,138180.0
2010-09-21,7.6076,7.6076,7.5264,7.5569,133115.0
2010-09-22,7.5822,7.5822,7.4909,7.4909,172226.0
2010-09-23,7.5062,7.5315,7.4554,7.4554,151769.0
2010-09-24,7.4808,7.5467,7.4656,7.5112,123696.0
2010-09-25,7.4808,7.5467,7.4656,7.5112,123696.0
2010-09-26,7.4808,7.5467,7.4656,7.5112,123696.0
2010-09-27,7.5214,7.7242,7.5062,7.6837,138350.0
2010-09-28,7.7296,7.8316,7.6378,7.7653,191193.0
2010-09-29,7.7653,7.9745,7.7551,7.8878,141419.0
2010-09-30,7.9031,7.9745,7.8571,7.9184,144036.0
2010-10-01,7.9592,8.1378,7.9082,8.0357,198964.0
2010-10-02,7.9592,8.1378,7.9082,8.0357,198964.0
2010-10-03,7.9592,8.1378,7.9082,8.0357,198964.0
2010-10-04,8.0357,8.1071,7.9031,7.9184,135878.0
2010-10-05,7.8826,7.9541,7.8367,7.9439,132163.0
2010-10-06,8.0306,8.0357,7.9592,8.0357,113986.0
2010-10-07,7.9949,8.0612,7.7806,7.898,101880.0
2010-10-08,7.8112,7.8724,7.7602,7.7908,121562.0
2010-10-09,7.8112,7.8724,7.7602,7.7908,121562.0
2010-10-10,7.8112,7.8724,7.7602,7.7908,121562.0
2010-10-11,7.8112,7.8724,7.7602,7.7908,121562.0
2010-10-12,7.7755,7.9184,7.7602,7.9031,91732.0
2010-10-13,7.8622,7.9847,7.8622,7.9439,229488.0
2010-10-14,7.9592,8.0612,7.9031,7.9235,87472.0
2010-10-15,7.9592,7.9592,7.7755,7.7806,108213.0
2010-10-16,7.9592,7.9592,7.7755,7.7806,108213.0
2010-10-17,7.9592,7.9592,7.7755,7.7806,108213.0
2010-10-18,7.7704,7.9082,7.7704,7.9031,112171.0
2010-10-19,7.9082,8.0816,7.8469,7.9133,180242.0
2010-10-20,7.8775,8.1071,7.8775,8.0357,128636.0
2010-10-21,8.0663,8.0663,7.9592,8.0,83820.0
2010-10-22,8.0561,8.0765,7.9337,7.9949,56638.0
2010-10-23,8.0561,8.0765,7.9337,7.9949,56638.0
2010-10-24,8.0561,8.0765,7.9337,7.9949,56638.0
2010-10-25,7.9949,8.1633,7.9949,8.1633,121276.0
2010-10-26,8.1531,8.3826,8.1173,8.2959,495668.0
2010-10-27,8.3113,8.3113,8.0804,8.2497,174257.0
2010-10-28,8.3113,8.3267,8.1163,8.1471,92444.0
2010-10-29,8.1574,8.2241,8.1061,8.2087,115472.0
2010-10-30,8.1574,8.2241,8.1061,8.2087,115472.0
2010-10-31,8.1574,8.2241,8.1061,8.2087,115472.0
2010-11-01,8.2087,8.2292,8.0599,8.1061,142317.0
2010-11-02,8.1061,8.1061,7.9317,7.9317,187751.0
2010-11-03,7.9009,7.9983,7.7931,7.9983,327282.0
2010-11-04,8.0291,8.1112,8.0189,8.0804,192805.0
2010-11-05,8.0907,8.1779,8.0548,8.1779,139801.0
2010-11-06,8.0907,8.1779,8.0548,8.1779,139801.0
2010-11-07,8.0907,8.1779,8.0548,8.1779,139801.0
2010-11-08,8.2036,8.2087,8.1061,8.2087,129560.0
2010-11-09,8.2036,8.2343,8.0189,8.1266,157138.0
2010-11-10,8.1317,8.1523,7.9522,8.065,118203.0
2010-11-11,8.0394,8.0445,7.8239,7.8444,143125.0
2010-11-12,7.8137,7.8137,7.5674,7.5879,179787.0
2010-11-13,7.8137,7.8137,7.5674,7.5879,179787.0
2010-11-14,7.8137,7.8137,7.5674,7.5879,179787.0
2010-11-15,7.5417,7.6905,7.239,7.6597,181290.0
2010-11-16,7.6597,7.6649,7.4904,7.552,135118.0
2010-11-17,7.5366,7.6546,7.5315,7.593,159113.0
2010-11-18,7.7008,7.8239,7.6443,7.8034,134034.0
2010-11-19,7.8034,8.024,7.7008,7.9983,143281.0
2010-11-20,7.8034,8.024,7.7008,7.9983,143281.0
2010-11-21,7.8034,8.024,7.7008,7.9983,143281.0
2010-11-22,7.9932,8.1933,7.9368,8.1933,231035.0
2010-11-23,8.024,8.1933,8.024,8.0856,224153.0
2010-11-24,8.0445,8.1933,8.0445,8.1471,161939.0
2010-11-25,8.1317,8.1779,8.0958,8.1061,60288.0
2010-11-26,8.1267,8.1525,8.0493,8.1216,114875.0
2010-11-27,8.1267,8.1525,8.0493,8.1216,114875.0
2010-11-28,8.1267,8.1525,8.0493,8.1216,114875.0
2010-11-29,8.1009,8.1886,8.0545,8.1319,157293.0
2010-11-30,8.1525,8.1938,8.1009,8.1474,176424.0
2010-12-01,8.1474,8.2299,8.1112,8.2299,202335.0
2010-12-02,8.2299,8.2299,8.039,8.0906,211481.0
2010-12-03,8.1009,8.1732,7.9513,8.1525,166439.0
2010-12-04,8.1009,8.1732,7.9513,8.1525,166439.0
2010-12-05,8.1009,8.1732,7.9513,8.1525,166439.0
2010-12-06,8.1886,8.1938,8.137,8.1938,111928.0
2010-12-07,8.1938,8.1938,8.1422,8.1525,185119.0
2010-12-08,8.1525,8.168,8.1112,8.1474,200410.0
2010-12-09,8.1267,8.1525,8.0029,8.0493,99614.0
2010-12-10,8.1267,8.1422,7.9761,7.9874,122930.0
2010-12-11,8.1267,8.1422,7.9761,7.9874,122930.0
2010-12-12,8.1267,8.1422,7.9761,7.9874,122930.0
2010-12-13,7.9719,8.1732,7.9719,8.1474,253397.0
2010-12-14,8.0751,8.1422,8.0751,8.0906,133797.0
2010-12-15,8.0287,8.137,8.0287,8.1216,123947.0
2010-12-16,8.1216,8.2557,8.0493,8.1319,204893.0
2010-12-17,8.1628,8.2299,8.0545,8.1267,185546.0
2010-12-18,8.1628,8.2299,8.0545,8.1267,185546.0
2010-12-19,8.1628,8.2299,8.0545,8.1267,185546.0
2010-12-20,8.0287,8.1422,8.0287,8.0751,238295.0
2010-12-21,8.0545,8.1216,8.0493,8.0958,103998.0
2010-12-22,8.1164,8.1577,8.0751,8.1474,136799.0
2010-12-23,8.1422,8.1422,8.0596,8.1112,131073.0
2010-12-24,8.1525,8.1525,8.0751,8.137,44087.0
2010-12-25,8.1525,8.1525,8.0751,8.137,44087.0
2010-12-26,8.1525,8.1525,8.0751,8.137,44087.0
2010-12-27,8.1525,8.1525,8.0751,8.137,44087.0
2010-12-28,8.1525,8.1525,8.0751,8.137,44087.0
2010-12-29,8.1941,8.1941,8.1059,8.1163,159048.0
2010-12-30,8.1319,8.1837,8.1101,8.1163,80129.0
2010-12-31,8.1682,8.1837,8.1215,8.1267,67979.0
2011-01-01,8.1682,8.1837,8.1215,8.1267,67979.0
2011-01-02,8.1682,8.1837,8.1215,8.1267,67979.0
2011-01-03,8.1682,8.1837,8.1215,8.1267,67979.0
2011-01-04,8.1734,8.2045,8.137,8.1941,144353.0
2011-01-05,8.1786,8.1993,8.1111,8.1474,129751.0
2011-01-06,8.1837,8.2979,8.163,8.2979,213231.0
2011-01-07,8.2979,8.4277,8.2979,8.3758,273416.0
2011-01-08,8.2979,8.4277,8.2979,8.3758,273416.0
2011-01-09,8.2979,8.4277,8.2979,8.3758,273416.0
2011-01-10,8.4692,8.5626,8.355,8.5107,98093.0
2011-01-11,8.5263,8.5366,8.4297,8.5366,192479.0
2011-01-12,8.5107,8.5314,8.4588,8.5107,199235.0
2011-01-13,8.5314,8.5366,8.3135,8.4847,189811.0
2011-01-14,8.5055,8.5366,8.4173,8.5107,306522.0
2011-01-15,8.5055,8.5366,8.4173,8.5107,306522.0
2011-01-16,8.5055,8.5366,8.4173,8.5107,306522.0
2011-01-17,8.5574,8.5574,8.4121,8.4121,115976.0
2011-01-18,8.4173,8.4951,8.4017,8.4017,114434.0
2011-01-19,8.4121,8.5065,8.3965,8.5003,409531.0
2011-01-20,8.4484,8.4484,8.0955,8.2772,819253.0
2011-01-21,8.2512,8.6871,8.1319,8.438,4344573.0
2011-01-22,8.2512,8.6871,8.1319,8.438,4344573.0
2011-01-23,8.2512,8.6871,8.1319,8.438,4344573.0
2011-01-24,8.3965,8.4744,8.2772,8.3913,423881.0
2011-01-25,8.3758,8.3809,8.1422,8.1837,392742.0
2011-01-26,8.2201,8.2668,8.1474,8.1941,243270.0
2011-01-27,8.2463,8.2724,8.1889,8.2724,385017.0
2011-01-28,8.2463,8.2985,8.2202,8.2985,90718.0
2011-01-29,8.2463,8.2985,8.2202,8.2985,90718.0
2011-01-30,8.2463,8.2985,8.2202,8.2985,90718.0
2011-01-31,8.3246,8.4029,8.2985,8.3403,205123.0
2011-02-01,8.3977,8.4029,8.3142,8.3872,168939.0
2011-02-02,8.3507,8.4029,8.2985,8.3455,294657.0
2011-02-03,8.3507,8.3716,8.3037,8.309,292083.0
2011-02-04,8.335,8.3507,8.1993,8.2307,244043.0
2011-02-05,8.335,8.3507,8.1993,8.2307,244043.0
2011-02-06,8.335,8.3507,8.1993,8.2307,244043.0
2011-02-07,8.2776,8.2776,8.1158,8.2515,363257.0
2011-02-08,8.262,8.3507,8.2307,8.3455,159174.0
2011-02-09,8.3403,8.3768,8.2985,8.3194,173023.0
2011-02-10,8.3142,8.3611,8.2829,8.2829,220543.0
2011-02-11,8.2829,8.3455,8.2307,8.2881,114867.0
2011-02-12,8.2829,8.3455,8.2307,8.2881,114867.0
2011-02-13,8.2829,8.3455,8.2307,8.2881,114867.0
2011-02-14,8.2881,8.3142,8.2307,8.2411,247506.0
2011-02-15,8.2202,8.2881,8.2202,8.2776,141986.0
2011-02-16,8.2515,8.2933,8.2254,8.2463,143433.0
2011-02-17,8.2359,8.2359,8.0793,8.2098,794443.0
2011-02-18,8.2046,8.2359,8.1158,8.1315,119354.0
2011-02-19,8.2046,8.2359,8.1158,8.1315,119354.0
2011-02-20,8.2046,8.2359,8.1158,8.1315,119354.0
2011-02-21,8.2046,8.2359,8.1158,8.1315,119354.0
2011-02-22,8.1315,8.1889,8.0689,8.1211,173050.0
2011-02-23,8.1419,8.1691,8.0897,8.1263,126146.0
2011-02-24,8.184,8.2365,8.1158,8.2155,192391.0
2011-02-25,8.2103,8.2943,8.1735,8.2418,398980.0
2011-02-26,8.2103,8.2943,8.1735,8.2418,398980.0
2011-02-27,8.2103,8.2943,8.1735,8.2418,398980.0
2011-02-28,8.289,8.3993,8.247,8.394,580729.0
2011-03-01,8.373,8.373,8.2628,8.2995,151325.0
2011-03-02,8.3048,8.3048,8.1525,8.2103,396752.0
2011-03-03,8.2103,8.2418,8.1263,8.163,383443.0
2011-03-04,8.1578,8.1788,8.1053,8.1105,269290.0
2011-03-05,8.1578,8.1788,8.1053,8.1105,269290.0
2011-03-06,8.1578,8.1788,8.1053,8.1105,269290.0
2011-03-07,8.184,8.184,8.0213,8.0738,147415.0
2011-03-08,8.0843,8.1368,8.0108,8.0265,100792.0
2011-03-09,8.079,8.079,7.9425,7.9478,164341.0
2011-03-10,7.953,7.9793,7.8376,7.9058,193651.0
2011-03-11,7.9058,7.974,7.9005,7.9005,140669.0
2011-03-12,7.9058,7.974,7.9005,7.9005,140669.0
2011-03-13,7.9058,7.974,7.9005,7.9005,140669.0
