,GTII CN Equity,GTII CN Equity,GTII CN Equity,GTII CN Equity,GTII CN Equity
2020-02-09,11.4,11.48,10.85,11.05,468525.0
2020-02-10,10.85,11.05,10.75,11.0,224405.0
2020-02-11,10.72,11.25,10.72,11.05,196433.0
2020-02-12,11.05,11.18,10.97,11.08,110035.0
2020-02-13,11.0,11.82,11.0,11.79,226710.0
2020-02-14,11.95,12.1,11.84,11.96,351361.0
2020-02-15,11.95,12.1,11.84,11.96,351361.0
2020-02-16,11.95,12.1,11.84,11.96,351361.0
2020-02-17,11.95,12.1,11.84,11.96,351361.0
2020-02-18,11.96,12.19,11.52,11.88,221597.0
2020-02-19,11.75,11.88,11.59,11.78,186755.0
2020-02-20,11.78,12.05,11.67,11.72,159365.0
2020-02-21,11.77,11.82,11.11,11.3,186740.0
2020-02-22,11.77,11.82,11.11,11.3,186740.0
2020-02-23,11.77,11.82,11.11,11.3,186740.0
2020-02-24,10.83,10.98,10.49,10.78,348472.0
2020-02-25,10.8,10.89,10.09,10.43,376089.0
2020-02-26,10.16,10.46,9.53,9.85,455174.0
2020-02-27,9.66,9.85,9.08,9.4,608565.0
2020-02-28,8.7,9.59,8.65,9.5,551440.0
2020-02-29,8.7,9.59,8.65,9.5,551440.0
2020-03-01,8.7,9.59,8.65,9.5,551440.0
2020-03-02,9.31,9.5,8.77,9.01,589835.0
2020-03-03,9.05,9.05,8.17,8.26,585129.0
2020-03-04,8.33,9.14,8.24,8.92,417383.0
2020-03-05,8.7,9.53,8.43,9.42,451206.0
2020-03-06,9.21,9.33,8.65,8.92,414417.0
2020-03-07,9.21,9.33,8.65,8.92,414417.0
2020-03-08,9.21,9.33,8.65,8.92,414417.0
2020-03-09,8.01,8.6,7.64,7.75,571778.0
2020-03-10,8.06,8.36,7.61,7.84,510807.0
2020-03-11,7.8,7.8,6.88,6.93,458044.0
2020-03-12,6.05,6.88,5.6,5.72,561609.0
2020-03-13,6.05,6.29,5.67,6.0,528968.0
2020-03-14,6.05,6.29,5.67,6.0,528968.0
2020-03-15,6.05,6.29,5.67,6.0,528968.0
2020-03-16,5.55,6.15,5.05,5.69,577923.0
2020-03-17,5.57,6.77,5.57,6.77,918413.0
2020-03-18,6.6,6.84,5.49,6.48,924748.0
2020-03-19,6.13,6.83,5.85,6.63,397932.0
2020-03-20,6.69,7.25,6.51,6.65,428055.0
2020-03-21,6.69,7.25,6.51,6.65,428055.0
2020-03-22,6.69,7.25,6.51,6.65,428055.0
2020-03-23,6.31,7.25,6.31,7.17,440769.0
2020-03-24,7.32,8.38,7.27,8.25,578607.0
2020-03-25,8.21,8.83,7.83,8.68,485493.0
2020-03-26,8.74,9.3,8.63,9.25,708291.0
2020-03-27,9.17,9.18,8.46,8.75,651191.0
2020-03-28,9.17,9.18,8.46,8.75,651191.0
2020-03-29,9.17,9.18,8.46,8.75,651191.0
2020-03-30,8.73,8.92,8.15,8.45,475037.0
2020-03-31,8.44,8.74,8.05,8.2,217133.0
2020-04-01,8.0,8.15,7.5,7.7,254140.0
2020-04-02,7.7,8.33,7.49,8.19,354573.0
2020-04-03,8.19,8.28,7.77,8.03,210453.0
2020-04-04,8.19,8.28,7.77,8.03,210453.0
2020-04-05,8.19,8.28,7.77,8.03,210453.0
2020-04-06,8.05,8.38,7.98,8.24,197447.0
2020-04-07,8.45,8.58,7.92,8.14,153364.0
2020-04-08,8.14,8.55,7.75,7.99,259355.0
2020-04-09,7.8,8.15,7.62,8.0,217337.0
2020-04-10,7.8,8.15,7.62,8.0,217337.0
2020-04-11,7.8,8.15,7.62,8.0,217337.0
2020-04-12,7.8,8.15,7.62,8.0,217337.0
2020-04-13,8.09,8.09,7.7,7.75,179845.0
2020-04-14,8.1,8.13,7.81,7.9,106826.0
2020-04-15,7.88,8.0,7.57,7.91,120840.0
2020-04-16,7.95,7.96,7.64,7.8,116803.0
2020-04-17,7.8,7.98,7.64,7.87,199954.0
2020-04-18,7.8,7.98,7.64,7.87,199954.0
2020-04-19,7.8,7.98,7.64,7.87,199954.0
2020-04-20,7.9,8.5,7.69,8.38,366192.0
2020-04-21,8.45,8.8,7.99,8.53,503024.0
2020-04-22,8.68,9.15,8.61,9.09,276142.0
2020-04-23,9.0,9.9,8.95,9.8,517869.0
2020-04-24,9.78,10.08,9.6,9.91,388570.0
2020-04-25,9.78,10.08,9.6,9.91,388570.0
2020-04-26,9.78,10.08,9.6,9.91,388570.0
2020-04-27,10.28,10.55,10.05,10.3,409713.0
2020-04-28,10.4,10.45,9.61,9.97,305459.0
2020-04-29,10.38,10.38,9.94,10.04,377514.0
2020-04-30,9.95,10.34,9.85,10.01,167346.0
2020-05-01,9.81,10.0,9.23,9.63,753086.0
2020-05-02,9.81,10.0,9.23,9.63,753086.0
2020-05-03,9.81,10.0,9.23,9.63,753086.0
2020-05-04,9.75,9.75,9.3,9.5,273455.0
2020-05-05,9.52,10.14,9.49,10.1,170926.0
2020-05-06,10.1,10.24,9.88,10.07,215450.0
2020-05-07,9.88,10.15,9.66,9.73,218039.0
2020-05-08,9.79,10.01,9.66,9.93,182237.0
2020-05-09,9.79,10.01,9.66,9.93,182237.0
2020-05-10,9.79,10.01,9.66,9.93,182237.0
2020-05-11,10.04,10.37,9.92,10.31,342637.0
2020-05-12,10.37,10.96,10.14,10.35,677106.0
2020-05-13,10.48,10.65,10.04,10.44,388688.0
2020-05-14,10.49,11.24,10.18,11.1,772644.0
2020-05-15,11.5,13.09,11.5,13.0,2176709.0
2020-05-16,11.5,13.09,11.5,13.0,2176709.0
2020-05-17,11.5,13.09,11.5,13.0,2176709.0
2020-05-18,11.5,13.09,11.5,13.0,2176709.0
2020-05-19,13.0,13.25,12.66,13.1,565039.0
2020-05-20,13.1,13.1,12.37,12.73,538562.0
2020-05-21,12.66,13.0,12.45,12.9,360309.0
2020-05-22,12.97,13.65,12.82,13.52,642272.0
2020-05-23,12.97,13.65,12.82,13.52,642272.0
2020-05-24,12.97,13.65,12.82,13.52,642272.0
2020-05-25,13.22,13.75,13.22,13.54,229878.0
2020-05-26,13.48,13.69,13.16,13.54,529392.0
2020-05-27,13.6,13.6,13.16,13.56,354155.0
2020-05-28,13.55,13.57,13.28,13.45,374516.0
2020-05-29,12.84,14.15,12.84,14.08,1252457.0
2020-05-30,12.84,14.15,12.84,14.08,1252457.0
2020-05-31,12.84,14.15,12.84,14.08,1252457.0
2020-06-01,14.06,14.15,13.41,14.07,678213.0
2020-06-02,13.55,14.12,13.55,14.05,431197.0
2020-06-03,14.0,14.23,13.67,14.13,535014.0
2020-06-04,14.01,14.16,13.69,13.83,146210.0
2020-06-05,13.93,13.94,13.5,13.79,363267.0
2020-06-06,13.93,13.94,13.5,13.79,363267.0
2020-06-07,13.93,13.94,13.5,13.79,363267.0
2020-06-08,13.99,14.0,13.65,13.84,173971.0
2020-06-09,13.99,14.0,13.55,13.65,175346.0
2020-06-10,13.69,13.8,13.27,13.46,293802.0
2020-06-11,13.01,13.21,12.1,12.4,511739.0
2020-06-12,12.5,12.95,12.22,12.5,303311.0
2020-06-13,12.5,12.95,12.22,12.5,303311.0
2020-06-14,12.5,12.95,12.22,12.5,303311.0
2020-06-15,12.24,13.54,12.0,13.54,279483.0
2020-06-16,13.55,13.8,13.45,13.55,229019.0
2020-06-17,13.59,13.7,13.3,13.7,210469.0
2020-06-18,13.65,14.24,13.57,13.86,789910.0
2020-06-19,14.09,14.24,13.68,13.75,340474.0
2020-06-20,14.09,14.24,13.68,13.75,340474.0
2020-06-21,14.09,14.24,13.68,13.75,340474.0
2020-06-22,13.79,14.2,13.68,13.94,161051.0
2020-06-23,13.9,14.25,13.84,14.17,428708.0
2020-06-24,13.96,14.09,13.51,13.8,225117.0
2020-06-25,13.51,13.9,13.32,13.81,105577.0
2020-06-26,13.4,13.82,13.4,13.7,177563.0
2020-06-27,13.4,13.82,13.4,13.7,177563.0
2020-06-28,13.4,13.82,13.4,13.7,177563.0
2020-06-29,13.85,13.85,13.17,13.28,339204.0
2020-06-30,12.72,13.7,12.72,13.55,150413.0
2020-07-01,12.72,13.7,12.72,13.55,150413.0
2020-07-02,13.6,13.79,13.44,13.56,195852.0
2020-07-03,13.41,13.82,13.23,13.31,35799.0
2020-07-04,13.41,13.82,13.23,13.31,35799.0
2020-07-05,13.41,13.82,13.23,13.31,35799.0
2020-07-06,13.5,13.75,13.41,13.57,261643.0
2020-07-07,13.55,13.77,13.35,13.77,290261.0
2020-07-08,13.5,13.97,13.5,13.97,300381.0
2020-07-09,13.61,14.12,13.61,13.95,401488.0
2020-07-10,13.9,15.44,13.88,15.39,1120533.0
2020-07-11,13.9,15.44,13.88,15.39,1120533.0
2020-07-12,13.9,15.44,13.88,15.39,1120533.0
2020-07-13,15.29,16.32,15.16,15.45,1870101.0
2020-07-14,15.1,16.08,15.05,15.65,443960.0
2020-07-15,15.39,16.0,15.39,15.5,505625.0
2020-07-16,15.5,15.75,15.29,15.3,190732.0
2020-07-17,15.32,15.5,15.0,15.15,455355.0
2020-07-18,15.32,15.5,15.0,15.15,455355.0
2020-07-19,15.32,15.5,15.0,15.15,455355.0
2020-07-20,15.0,15.66,14.9,15.6,170626.0
2020-07-21,15.6,16.5,15.6,16.34,492565.0
2020-07-22,16.5,16.8,16.345,16.72,342885.0
2020-07-23,16.4,16.8,16.35,16.5,150284.0
2020-07-24,16.38,16.67,15.61,16.34,185197.0
2020-07-25,16.38,16.67,15.61,16.34,185197.0
2020-07-26,16.38,16.67,15.61,16.34,185197.0
2020-07-27,16.49,17.14,16.44,17.02,451613.0
2020-07-28,17.09,18.25,17.0,17.7,1064536.0
2020-07-29,17.99,18.37,17.85,18.12,696252.0
2020-07-30,18.12,18.25,17.85,18.1,553760.0
2020-07-31,17.88,18.25,17.31,18.0,264766.0
2020-08-01,17.88,18.25,17.31,18.0,264766.0
2020-08-02,17.88,18.25,17.31,18.0,264766.0
2020-08-03,17.88,18.25,17.31,18.0,264766.0
2020-08-04,18.13,18.71,18.0,18.5,524048.0
2020-08-05,18.5,18.5,18.1,18.43,307443.0
2020-08-06,18.55,19.24,18.39,19.19,490189.0
2020-08-07,19.2,19.55,18.75,19.16,514470.0
2020-08-08,19.2,19.55,18.75,19.16,514470.0
2020-08-09,19.2,19.55,18.75,19.16,514470.0
2020-08-10,19.39,20.04,19.3,20.0,373025.0
2020-08-11,19.95,19.95,18.76,19.25,652429.0
2020-08-12,19.4,20.29,19.4,19.76,760190.0
2020-08-13,20.0,20.65,19.25,20.4,1687543.0
2020-08-14,20.0,21.27,19.96,21.25,1332155.0
2020-08-15,20.0,21.27,19.96,21.25,1332155.0
2020-08-16,20.0,21.27,19.96,21.25,1332155.0
2020-08-17,21.24,21.52,20.72,20.89,559054.0
2020-08-18,20.88,20.9,19.74,19.98,671027.0
2020-08-19,19.8,20.39,19.32,19.33,582782.0
2020-08-20,19.34,19.69,18.5,18.9,724544.0
2020-08-21,18.43,18.8,17.595,18.48,611284.0
2020-08-22,18.43,18.8,17.595,18.48,611284.0
2020-08-23,18.43,18.8,17.595,18.48,611284.0
2020-08-24,18.48,19.41,18.46,19.3,466672.0
2020-08-25,19.49,19.82,18.95,19.0,239749.0
2020-08-26,19.5,19.5,18.42,18.65,393526.0
2020-08-27,18.51,19.5,17.79,19.2,619678.0
2020-08-28,19.01,20.06,18.9,19.97,469822.0
2020-08-29,19.01,20.06,18.9,19.97,469822.0
2020-08-30,19.01,20.06,18.9,19.97,469822.0
2020-08-31,20.07,20.07,19.06,19.9,554974.0
2020-09-01,19.8,19.97,19.1,19.35,338629.0
2020-09-02,19.75,19.75,18.04,18.34,533119.0
2020-09-03,18.35,18.86,17.72,17.96,447357.0
2020-09-04,17.53,18.64,16.65,17.99,537036.0
2020-09-05,17.53,18.64,16.65,17.99,537036.0
2020-09-06,17.53,18.64,16.65,17.99,537036.0
2020-09-07,17.53,18.64,16.65,17.99,537036.0
2020-09-08,18.09,18.1,17.34,17.7,207581.0
2020-09-09,17.99,18.53,17.83,17.95,249067.0
2020-09-10,17.66,18.35,17.3,17.59,336577.0
2020-09-11,17.4,18.34,17.4,18.11,238970.0
2020-09-12,17.4,18.34,17.4,18.11,238970.0
2020-09-13,17.4,18.34,17.4,18.11,238970.0
2020-09-14,17.8,18.25,17.63,18.0,249907.0
2020-09-15,17.71,17.95,17.57,17.7,129499.0
2020-09-16,17.63,18.51,17.5,18.45,238243.0
2020-09-17,17.95,18.63,17.86,18.63,225691.0
2020-09-18,18.74,18.87,18.23,18.55,250965.0
2020-09-19,18.74,18.87,18.23,18.55,250965.0
2020-09-20,18.74,18.87,18.23,18.55,250965.0
2020-09-21,18.0,18.27,17.33,17.95,464569.0
2020-09-22,17.51,18.25,17.44,18.05,111188.0
2020-09-23,18.0,18.0,17.11,17.4,313115.0
2020-09-24,17.0,17.24,16.14,16.45,525719.0
2020-09-25,16.4,16.99,15.93,16.55,962981.0
2020-09-26,16.4,16.99,15.93,16.55,962981.0
2020-09-27,16.4,16.99,15.93,16.55,962981.0
2020-09-28,15.7,17.07,15.7,16.99,211790.0
2020-09-29,17.33,17.4,17.01,17.2,157409.0
2020-09-30,17.24,17.4,17.01,17.2,113117.0
2020-10-01,15.99,17.45,15.99,17.19,138418.0
2020-10-02,16.97,17.35,16.36,17.25,242112.0
2020-10-03,16.97,17.35,16.36,17.25,242112.0
2020-10-04,16.97,17.35,16.36,17.25,242112.0
2020-10-05,17.14,17.99,17.14,17.7,287748.0
2020-10-06,17.5,18.14,17.43,17.7,212940.0
2020-10-07,17.54,18.46,17.54,18.24,714736.0
2020-10-08,18.63,20.02,18.5,20.0,833670.0
2020-10-09,20.32,20.71,19.59,20.1,804182.0
2020-10-10,20.32,20.71,19.59,20.1,804182.0
2020-10-11,20.32,20.71,19.59,20.1,804182.0
2020-10-12,20.32,20.71,19.59,20.1,804182.0
2020-10-13,20.13,20.9,19.56,20.9,1227394.0
2020-10-14,20.9,21.0,20.5,20.52,719645.0
2020-10-15,20.17,20.9,20.04,20.45,712759.0
2020-10-16,20.48,21.55,20.0,20.88,856367.0
2020-10-17,20.48,21.55,20.0,20.88,856367.0
2020-10-18,20.48,21.55,20.0,20.88,856367.0
2020-10-19,20.66,21.19,20.47,20.84,547571.0
2020-10-20,21.0,21.5,20.78,21.29,836404.0
2020-10-21,21.13,21.93,21.13,21.5,902309.0
2020-10-22,21.51,21.89,21.25,21.89,784154.0
2020-10-23,21.5,21.86,20.95,21.83,424311.0
2020-10-24,21.5,21.86,20.95,21.83,424311.0
2020-10-25,21.5,21.86,20.95,21.83,424311.0
2020-10-26,21.38,21.79,20.67,21.25,694870.0
2020-10-27,20.86,21.41,20.45,20.75,400285.0
2020-10-28,20.05,20.88,19.5,19.96,830736.0
2020-10-29,20.25,21.08,19.92,20.88,552390.0
2020-10-30,20.54,21.44,20.47,20.85,588602.0
2020-10-31,20.54,21.44,20.47,20.85,588602.0
2020-11-01,20.54,21.44,20.47,20.85,588602.0
2020-11-02,21.3,22.11,20.96,22.08,1189624.0
2020-11-03,21.95,22.65,21.95,22.4,878109.0
2020-11-04,21.52,23.75,21.52,23.5,1897428.0
2020-11-05,23.87,24.65,23.65,24.65,1510691.0
2020-11-06,24.87,25.74,24.67,25.65,1927437.0
2020-11-07,24.87,25.74,24.67,25.65,1927437.0
2020-11-08,24.87,25.74,24.67,25.65,1927437.0
2020-11-09,25.89,26.7,25.66,25.92,1360026.0
2020-11-10,26.2,26.56,25.28,26.56,729306.0
2020-11-11,26.01,26.82,25.78,26.55,946021.0
2020-11-12,27.25,28.66,26.5,26.58,2165385.0
2020-11-13,26.61,27.15,25.73,26.73,1599661.0
2020-11-14,26.61,27.15,25.73,26.73,1599661.0
2020-11-15,26.61,27.15,25.73,26.73,1599661.0
2020-11-16,26.74,27.44,25.63,26.29,948874.0
2020-11-17,26.35,26.61,25.59,26.02,459787.0
2020-11-18,26.25,26.58,25.84,25.85,453592.0
2020-11-19,25.77,26.25,25.59,25.77,276908.0
2020-11-20,25.6,25.74,24.03,24.57,598125.0
2020-11-21,25.6,25.74,24.03,24.57,598125.0
2020-11-22,25.6,25.74,24.03,24.57,598125.0
2020-11-23,24.02,24.82,23.55,24.5,1550213.0
2020-11-24,25.69,25.79,24.95,25.35,628801.0
2020-11-25,25.69,27.02,25.37,26.5,782512.0
2020-11-26,26.68,26.96,26.15,26.96,84509.0
2020-11-27,27.51,27.84,26.65,27.25,680913.0
2020-11-28,27.51,27.84,26.65,27.25,680913.0
2020-11-29,27.51,27.84,26.65,27.25,680913.0
2020-11-30,27.65,28.0,27.33,27.59,484073.0
2020-12-01,28.0,28.0,27.03,27.7,322589.0
2020-12-02,27.95,27.95,27.15,27.59,528340.0
2020-12-03,26.68,27.91,26.68,26.89,478343.0
2020-12-04,27.11,27.83,26.83,27.5,696714.0
2020-12-05,27.11,27.83,26.83,27.5,696714.0
2020-12-06,27.11,27.83,26.83,27.5,696714.0
2020-12-07,28.0,28.0,27.03,27.53,354563.0
2020-12-08,27.4,27.74,26.56,27.55,417623.0
2020-12-09,27.66,27.84,27.51,27.54,294903.0
2020-12-10,27.48,27.93,27.23,27.52,282549.0
2020-12-11,27.8,28.0,27.5,27.91,257116.0
2020-12-12,27.8,28.0,27.5,27.91,257116.0
2020-12-13,27.8,28.0,27.5,27.91,257116.0
2020-12-14,27.88,28.05,27.74,27.74,181011.0
2020-12-15,27.8,28.4,27.66,28.32,438160.0
2020-12-16,28.3,29.08,28.1,28.91,580895.0
2020-12-17,28.9,29.39,28.81,29.35,307822.0
2020-12-18,29.41,30.04,29.26,29.69,365161.0
2020-12-19,29.41,30.04,29.26,29.69,365161.0
2020-12-20,29.41,30.04,29.26,29.69,365161.0
2020-12-21,29.62,29.75,28.9,29.55,423557.0
2020-12-22,29.55,30.33,29.11,30.27,549748.0
2020-12-23,30.24,30.7,30.14,30.49,392456.0
2020-12-24,31.22,31.28,30.45,30.96,187361.0
2020-12-25,31.22,31.28,30.45,30.96,187361.0
2020-12-26,31.22,31.28,30.45,30.96,187361.0
2020-12-27,31.22,31.28,30.45,30.96,187361.0
2020-12-28,31.22,31.28,30.45,30.96,187361.0
2020-12-29,30.89,31.5,30.28,30.8,780543.0
2020-12-30,30.65,30.95,30.29,30.42,151404.0
2020-12-31,30.83,31.26,29.42,31.18,365252.0
2021-01-01,30.83,31.26,29.42,31.18,365252.0
2021-01-02,30.83,31.26,29.42,31.18,365252.0
2021-01-03,30.83,31.26,29.42,31.18,365252.0
2021-01-04,30.55,32.0,29.4,31.8,945716.0
2021-01-05,31.75,32.59,31.51,32.0,412128.0
2021-01-06,33.84,35.43,33.26,34.35,1366140.0
2021-01-07,34.88,35.62,33.71,35.2,791809.0
2021-01-08,35.89,36.0,34.63,34.7,821869.0
2021-01-09,35.89,36.0,34.63,34.7,821869.0
2021-01-10,35.89,36.0,34.63,34.7,821869.0
2021-01-11,34.48,37.67,34.48,37.2,1029161.0
2021-01-12,37.72,38.19,36.97,36.97,936113.0
2021-01-13,37.8,38.13,37.15,38.0,787195.0
2021-01-14,38.0,39.25,37.74,37.9,1072362.0
2021-01-15,38.0,38.81,35.33,35.89,790353.0
2021-01-16,38.0,38.81,35.33,35.89,790353.0
2021-01-17,38.0,38.81,35.33,35.89,790353.0
2021-01-18,36.24,36.5,35.65,36.5,58978.0
2021-01-19,36.52,37.12,36.14,36.8,520940.0
2021-01-20,36.61,37.92,36.61,37.16,425525.0
2021-01-21,37.2,38.21,36.35,38.06,437963.0
2021-01-22,37.85,39.6,37.17,39.1,843543.0
2021-01-23,37.85,39.6,37.17,39.1,843543.0
2021-01-24,37.85,39.6,37.17,39.1,843543.0
2021-01-25,39.1,39.8,36.79,37.52,552242.0
2021-01-26,37.53,37.72,33.445,33.73,1098957.0
2021-01-27,33.5,33.5,30.22,32.31,1882058.0
2021-01-28,32.0,36.87,31.9,35.89,1595905.0
2021-01-29,36.64,37.14,35.3,37.035,621329.0
2021-01-30,36.64,37.14,35.3,37.035,621329.0
2021-01-31,36.64,37.14,35.3,37.035,621329.0
2021-02-01,36.1,38.97,36.1,38.58,572371.0
2021-02-02,39.25,41.16,39.18,40.98,1288427.0
2021-02-03,41.21,43.99,40.87,40.96,1007897.0
2021-02-04,41.32,42.72,39.86,42.5,571693.0
2021-02-05,43.0,44.0,41.78,42.17,392793.0
2021-02-06,43.0,44.0,41.78,42.17,392793.0
2021-02-07,43.0,44.0,41.78,42.17,392793.0
2021-02-08,43.5,44.09,42.58,43.13,679561.0
2021-02-09,44.44,48.37,44.2,45.38,1400965.0
2021-02-10,47.68,49.68,45.71,48.71,2209827.0
2021-02-11,48.03,48.11,43.86,46.43,1485705.0
2021-02-12,45.64,48.5,44.66,46.25,1419102.0
2021-02-13,45.64,48.5,44.66,46.25,1419102.0
2021-02-14,45.64,48.5,44.66,46.25,1419102.0
2021-02-15,45.64,48.5,44.66,46.25,1419102.0
2021-02-16,47.49,48.0,46.36,46.51,703978.0
2021-02-17,46.4,46.69,44.68,45.8,451013.0
2021-02-18,45.0,46.79,44.36,44.69,466176.0
2021-02-19,45.95,46.53,44.53,46.3,1164370.0
2021-02-20,45.95,46.53,44.53,46.3,1164370.0
2021-02-21,45.95,46.53,44.53,46.3,1164370.0
2021-02-22,45.31,46.16,44.21,44.58,566119.0
2021-02-23,43.6,44.44,40.55,43.85,995322.0
2021-02-24,44.0,45.0,43.51,43.51,512646.0
2021-02-25,44.0,44.4,41.0,41.35,770132.0
2021-02-26,41.42,42.35,40.25,41.4,691125.0
2021-02-27,41.42,42.35,40.25,41.4,691125.0
2021-02-28,41.42,42.35,40.25,41.4,691125.0
2021-03-01,40.81,43.0,40.81,42.36,609362.0
2021-03-02,43.0,44.89,42.52,44.74,779755.0
2021-03-03,44.98,45.69,44.3,45.09,557242.0
2021-03-04,45.0,45.03,38.35,41.15,1142159.0
2021-03-05,41.55,42.18,35.32,40.9,1419650.0
2021-03-06,41.55,42.18,35.32,40.9,1419650.0
2021-03-07,41.55,42.18,35.32,40.9,1419650.0
2021-03-08,40.99,41.39,38.0,38.0,635007.0
2021-03-09,39.71,40.75,39.15,39.53,809119.0
2021-03-10,41.34,41.34,37.89,38.8,859735.0
2021-03-11,38.8,41.01,38.8,41.01,897588.0
2021-03-12,40.65,42.75,39.35,42.65,701205.0
2021-03-13,40.65,42.75,39.35,42.65,701205.0
2021-03-14,40.65,42.75,39.35,42.65,701205.0
2021-03-15,42.96,44.3,42.85,43.915,1062704.0
2021-03-16,44.36,44.84,42.41,43.46,569049.0
2021-03-17,43.0,44.33,41.58,44.13,808702.0
2021-03-18,45.98,46.42,43.74,43.84,1529431.0
2021-03-19,44.41,44.41,42.05,43.14,621889.0
2021-03-20,44.41,44.41,42.05,43.14,621889.0
2021-03-21,44.41,44.41,42.05,43.14,621889.0
2021-03-22,42.73,43.44,41.16,42.37,660135.0
2021-03-23,41.785,42.0,38.46,38.86,1213618.0
2021-03-24,39.66,40.39,38.34,39.62,592252.0
2021-03-25,39.24,39.62,37.81,38.6,576759.0
2021-03-26,39.05,39.71,37.64,38.5,362857.0
2021-03-27,39.05,39.71,37.64,38.5,362857.0
2021-03-28,39.05,39.71,37.64,38.5,362857.0
2021-03-29,37.95,39.0,36.05,36.1,673529.0
2021-03-30,32.15,34.01,31.0,32.22,3441238.0
2021-03-31,32.22,37.29,32.22,37.29,1491541.0
2021-04-01,38.1,39.68,36.0,36.39,641367.0
2021-04-02,38.1,39.68,36.0,36.39,641367.0
2021-04-03,38.1,39.68,36.0,36.39,641367.0
2021-04-04,38.1,39.68,36.0,36.39,641367.0
2021-04-05,36.56,38.8,36.53,36.55,377385.0
2021-04-06,37.5,37.5,34.15,34.91,652659.0
2021-04-07,34.66,36.29,34.17,34.44,549515.0
2021-04-08,34.56,35.14,33.83,33.83,332216.0
2021-04-09,34.17,35.45,33.34,35.45,459338.0
2021-04-10,34.17,35.45,33.34,35.45,459338.0
2021-04-11,34.17,35.45,33.34,35.45,459338.0
2021-04-12,34.21,36.21,33.3,35.78,614143.0
2021-04-13,35.81,36.93,34.96,36.68,361673.0
2021-04-14,36.63,37.17,35.8,36.8,409051.0
2021-04-15,37.29,37.31,36.44,36.76,239757.0
2021-04-16,36.75,36.85,34.9,35.24,505677.0
2021-04-17,36.75,36.85,34.9,35.24,505677.0
2021-04-18,36.75,36.85,34.9,35.24,505677.0
2021-04-19,34.0,35.94,33.35,34.12,490644.0
2021-04-20,34.63,34.94,33.12,33.96,527261.0
2021-04-21,33.22,36.2,33.22,35.47,357124.0
2021-04-22,36.0,36.54,34.335,35.0,369015.0
2021-04-23,35.88,35.88,34.43,35.0,217061.0
2021-04-24,35.88,35.88,34.43,35.0,217061.0
2021-04-25,35.88,35.88,34.43,35.0,217061.0
2021-04-26,35.08,35.76,34.62,35.35,1334415.0
2021-04-27,35.37,37.3,35.12,37.1,313049.0
2021-04-28,37.18,38.19,36.32,37.59,959281.0
2021-04-29,37.9,37.99,36.27,36.6,1462490.0
2021-04-30,36.5,39.35,36.47,39.06,675126.0
2021-05-01,36.5,39.35,36.47,39.06,675126.0
2021-05-02,36.5,39.35,36.47,39.06,675126.0
2021-05-03,39.95,41.65,38.23,38.7,1199971.0
2021-05-04,38.27,39.28,36.36,38.02,427203.0
2021-05-05,38.07,39.19,38.07,38.79,269008.0
2021-05-06,38.87,38.98,36.93,37.76,191491.0
2021-05-07,37.6,38.42,37.5,38.11,195495.0
