,TRUL CN Equity,TRUL CN Equity,TRUL CN Equity,TRUL CN Equity,TRUL CN Equity
2019-03-23,18.97,18.97,17.14,17.7,778858.0
2019-03-24,18.97,18.97,17.14,17.7,778858.0
2019-03-25,16.85,17.85,16.76,17.0,378787.0
2019-03-26,17.19,17.19,16.64,16.92,267955.0
2019-03-27,17.12,17.8,16.05,17.67,684687.0
2019-03-28,17.7,18.59,17.01,18.34,590842.0
2019-03-29,18.0,18.29,17.4,17.6,368648.0
2019-03-30,18.0,18.29,17.4,17.6,368648.0
2019-03-31,18.0,18.29,17.4,17.6,368648.0
2019-04-01,18.03,19.44,17.8,19.1,545900.0
2019-04-02,19.0,19.89,18.53,19.77,597070.0
2019-04-03,19.72,21.11,19.45,20.67,1091842.0
2019-04-04,21.01,21.65,18.69,19.78,1204481.0
2019-04-05,19.47,19.97,18.83,19.68,496806.0
2019-04-06,19.47,19.97,18.83,19.68,496806.0
2019-04-07,19.47,19.97,18.83,19.68,496806.0
2019-04-08,19.9,20.51,19.73,20.31,420911.0
2019-04-09,20.32,20.46,19.1,19.45,440920.0
2019-04-10,19.06,20.13,19.06,19.38,398969.0
2019-04-11,20.96,21.18,18.2,18.71,1379080.0
2019-04-12,18.22,18.8,17.24,17.66,904934.0
2019-04-13,18.22,18.8,17.24,17.66,904934.0
2019-04-14,18.22,18.8,17.24,17.66,904934.0
2019-04-15,17.75,17.75,16.43,17.0,752350.0
2019-04-16,17.5,18.1,17.3,17.97,646907.0
2019-04-17,18.2,18.96,18.0,18.68,399041.0
2019-04-18,19.4,20.64,19.05,19.2,806480.0
2019-04-19,19.4,20.64,19.05,19.2,806480.0
2019-04-20,19.4,20.64,19.05,19.2,806480.0
2019-04-21,19.4,20.64,19.05,19.2,806480.0
2019-04-22,19.25,19.98,19.23,19.9,491377.0
2019-04-23,19.89,19.9,19.15,19.55,241726.0
2019-04-24,19.01,19.43,18.45,18.8,345682.0
2019-04-25,18.1,18.63,17.52,17.59,624978.0
2019-04-26,18.5,18.5,17.33,17.96,484519.0
2019-04-27,18.5,18.5,17.33,17.96,484519.0
2019-04-28,18.5,18.5,17.33,17.96,484519.0
2019-04-29,18.2,18.2,17.42,17.53,415042.0
2019-04-30,17.4,17.55,17.15,17.26,231551.0
2019-05-01,17.56,17.92,17.39,17.89,314039.0
2019-05-02,17.51,17.78,17.09,17.46,186930.0
2019-05-03,17.5,17.73,17.26,17.45,243462.0
2019-05-04,17.5,17.73,17.26,17.45,243462.0
2019-05-05,17.5,17.73,17.26,17.45,243462.0
2019-05-06,17.0,18.1,16.96,17.96,229615.0
2019-05-07,17.78,17.88,17.35,17.5,91947.0
2019-05-08,17.25,17.68,17.0,17.27,220042.0
2019-05-09,17.32,17.41,16.66,17.23,163064.0
2019-05-10,17.1,17.1,16.22,16.22,409044.0
2019-05-11,17.1,17.1,16.22,16.22,409044.0
2019-05-12,17.1,17.1,16.22,16.22,409044.0
2019-05-13,16.0,16.0,14.54,14.87,875970.0
2019-05-14,15.28,15.87,14.94,15.52,532701.0
2019-05-15,15.5,15.89,15.09,15.69,402434.0
2019-05-16,15.61,16.64,15.58,16.44,364973.0
2019-05-17,16.4,16.65,16.17,16.34,148557.0
2019-05-18,16.4,16.65,16.17,16.34,148557.0
2019-05-19,16.4,16.65,16.17,16.34,148557.0
2019-05-20,16.4,16.65,16.17,16.34,148557.0
2019-05-21,17.0,17.33,16.26,16.98,274478.0
2019-05-22,17.25,17.25,16.76,16.85,131053.0
2019-05-23,16.76,16.96,16.22,16.44,161203.0
2019-05-24,16.47,17.06,16.18,16.5,286673.0
2019-05-25,16.47,17.06,16.18,16.5,286673.0
2019-05-26,16.47,17.06,16.18,16.5,286673.0
2019-05-27,16.73,16.73,16.4,16.72,58926.0
2019-05-28,16.41,17.5,16.41,17.5,379285.0
2019-05-29,17.95,18.07,16.41,16.55,708024.0
2019-05-30,16.84,17.2,15.81,16.08,467945.0
2019-05-31,15.43,15.66,14.88,14.99,432321.0
2019-06-01,15.43,15.66,14.88,14.99,432321.0
2019-06-02,15.43,15.66,14.88,14.99,432321.0
2019-06-03,14.97,15.0,13.62,13.87,508485.0
2019-06-04,14.14,14.38,13.96,14.01,223979.0
2019-06-05,14.18,14.74,14.02,14.65,254219.0
2019-06-06,14.89,14.97,14.02,14.09,281762.0
2019-06-07,14.29,14.6,14.23,14.55,153926.0
2019-06-08,14.29,14.6,14.23,14.55,153926.0
2019-06-09,14.29,14.6,14.23,14.55,153926.0
2019-06-10,14.6,14.9,14.35,14.5,212138.0
2019-06-11,14.67,14.78,14.28,14.7,184855.0
2019-06-12,14.65,14.74,14.25,14.4,179228.0
2019-06-13,14.12,14.24,13.53,13.74,267287.0
2019-06-14,13.35,13.655,13.35,13.48,117172.0
2019-06-15,13.35,13.655,13.35,13.48,117172.0
2019-06-16,13.35,13.655,13.35,13.48,117172.0
2019-06-17,13.64,14.08,13.42,13.75,164509.0
2019-06-18,13.89,14.48,13.89,14.48,164753.0
2019-06-19,14.57,14.65,14.0,14.41,165524.0
2019-06-20,14.5,15.17,14.5,15.03,436286.0
2019-06-21,14.86,14.86,14.22,14.6,322035.0
2019-06-22,14.86,14.86,14.22,14.6,322035.0
2019-06-23,14.86,14.86,14.22,14.6,322035.0
2019-06-24,14.72,14.79,13.93,13.93,186533.0
2019-06-25,14.09,14.2,13.57,13.6,104830.0
2019-06-26,13.9,13.92,13.54,13.55,115017.0
2019-06-27,13.97,14.45,13.64,13.82,240235.0
2019-06-28,13.99,14.41,13.92,14.41,151536.0
2019-06-29,13.99,14.41,13.92,14.41,151536.0
2019-06-30,13.99,14.41,13.92,14.41,151536.0
2019-07-01,13.99,14.41,13.92,14.41,151536.0
2019-07-02,14.81,15.08,14.58,14.99,245688.0
2019-07-03,14.99,14.99,14.6,14.66,70635.0
2019-07-04,14.78,14.81,14.6,14.71,11891.0
2019-07-05,14.8,14.84,14.6,14.71,64709.0
2019-07-06,14.8,14.84,14.6,14.71,64709.0
2019-07-07,14.8,14.84,14.6,14.71,64709.0
2019-07-08,14.79,15.0,14.09,14.34,109228.0
2019-07-09,13.95,14.28,13.52,13.79,211378.0
2019-07-10,13.79,13.79,13.35,13.44,188016.0
2019-07-11,13.7,14.12,12.8,12.94,418468.0
2019-07-12,12.94,13.58,12.92,13.55,471680.0
2019-07-13,12.94,13.58,12.92,13.55,471680.0
2019-07-14,12.94,13.58,12.92,13.55,471680.0
2019-07-15,13.6,13.92,13.41,13.55,252536.0
2019-07-16,13.65,13.89,13.65,13.8,212608.0
2019-07-17,13.94,14.47,13.85,14.47,215116.0
2019-07-18,14.34,14.62,13.5,13.65,214117.0
2019-07-19,13.6,13.75,13.01,13.18,165426.0
2019-07-20,13.6,13.75,13.01,13.18,165426.0
2019-07-21,13.6,13.75,13.01,13.18,165426.0
2019-07-22,13.2,13.42,12.47,12.66,239448.0
2019-07-23,12.5,12.79,12.07,12.22,294445.0
2019-07-24,12.08,12.74,11.77,12.67,361740.0
2019-07-25,12.6,13.38,12.4,13.26,262830.0
2019-07-26,13.48,13.83,13.02,13.75,206888.0
2019-07-27,13.48,13.83,13.02,13.75,206888.0
2019-07-28,13.48,13.83,13.02,13.75,206888.0
2019-07-29,13.8,14.15,13.42,13.99,212784.0
2019-07-30,13.93,14.04,13.55,13.81,177900.0
2019-07-31,13.93,14.18,13.75,13.85,162485.0
2019-08-01,13.8,13.9,13.13,13.2,270605.0
2019-08-02,13.41,13.92,13.15,13.92,179345.0
2019-08-03,13.41,13.92,13.15,13.92,179345.0
2019-08-04,13.41,13.92,13.15,13.92,179345.0
2019-08-05,13.41,13.92,13.15,13.92,179345.0
2019-08-06,14.04,14.31,13.44,14.3,356729.0
2019-08-07,13.95,14.18,13.65,13.82,281916.0
2019-08-08,14.0,14.17,12.66,12.82,934069.0
2019-08-09,12.95,13.03,11.96,12.12,1417816.0
2019-08-10,12.95,13.03,11.96,12.12,1417816.0
2019-08-11,12.95,13.03,11.96,12.12,1417816.0
2019-08-12,12.12,12.47,11.96,12.01,635264.0
2019-08-13,12.21,13.24,12.05,12.94,688180.0
2019-08-14,12.57,13.24,12.34,12.855,746996.0
2019-08-15,12.86,13.3,11.84,12.55,1134090.0
2019-08-16,12.56,12.74,11.96,12.11,706279.0
2019-08-17,12.56,12.74,11.96,12.11,706279.0
2019-08-18,12.56,12.74,11.96,12.11,706279.0
2019-08-19,12.17,12.3,11.02,11.13,1035202.0
2019-08-20,11.27,11.28,10.23,11.0,3754508.0
2019-08-21,11.07,11.24,10.6,10.84,833666.0
2019-08-22,10.05,11.45,10.05,11.3,520449.0
2019-08-23,11.18,11.44,10.71,10.78,563922.0
2019-08-24,11.18,11.44,10.71,10.78,563922.0
2019-08-25,11.18,11.44,10.71,10.78,563922.0
2019-08-26,11.0,11.0,10.36,10.65,368282.0
2019-08-27,10.6,10.6,10.02,10.24,408154.0
2019-08-28,10.15,10.9,9.91,10.65,749279.0
2019-08-29,10.79,10.95,10.35,10.35,392254.0
2019-08-30,10.4,10.58,10.31,10.44,207002.0
2019-08-31,10.4,10.58,10.31,10.44,207002.0
2019-09-01,10.4,10.58,10.31,10.44,207002.0
2019-09-02,10.4,10.58,10.31,10.44,207002.0
2019-09-03,10.89,11.13,10.55,11.0,1149066.0
2019-09-04,11.08,11.09,10.37,10.57,902870.0
2019-09-05,10.61,10.75,10.36,10.56,599268.0
2019-09-06,10.6,11.1,10.5,11.0,1360647.0
2019-09-07,10.6,11.1,10.5,11.0,1360647.0
2019-09-08,10.6,11.1,10.5,11.0,1360647.0
2019-09-09,11.29,11.31,10.63,10.9,522529.0
2019-09-10,10.88,11.7,10.85,11.15,1477515.0
2019-09-11,11.0,12.48,11.0,12.3,3663777.0
2019-09-12,12.29,12.32,11.95,12.09,704067.0
2019-09-13,12.28,12.87,12.23,12.54,611805.0
2019-09-14,12.28,12.87,12.23,12.54,611805.0
2019-09-15,12.28,12.87,12.23,12.54,611805.0
2019-09-16,12.72,12.77,12.15,12.22,390583.0
2019-09-17,12.16,12.36,11.5,11.5,764353.0
2019-09-18,11.69,11.69,11.26,11.49,618819.0
2019-09-19,11.65,11.99,11.29,11.45,283016.0
2019-09-20,11.47,11.68,11.25,11.35,141049.0
2019-09-21,11.47,11.68,11.25,11.35,141049.0
2019-09-22,11.47,11.68,11.25,11.35,141049.0
2019-09-23,11.64,11.66,11.32,11.57,223174.0
2019-09-24,11.55,11.6,10.88,11.0,527659.0
2019-09-25,10.91,11.17,10.5,10.64,665622.0
2019-09-26,10.95,11.28,10.8,10.97,319727.0
2019-09-27,11.07,11.17,10.5,11.01,376607.0
2019-09-28,11.07,11.17,10.5,11.01,376607.0
2019-09-29,11.07,11.17,10.5,11.01,376607.0
2019-09-30,11.2,11.2,10.5,10.7,441143.0
2019-10-01,10.81,10.87,10.5,10.73,241567.0
2019-10-02,10.51,11.64,10.4,11.42,650413.0
2019-10-03,11.7,12.44,11.43,12.3,842554.0
2019-10-04,12.5,12.81,12.25,12.57,651747.0
2019-10-05,12.5,12.81,12.25,12.57,651747.0
2019-10-06,12.5,12.81,12.25,12.57,651747.0
2019-10-07,12.69,12.77,12.06,12.4,386303.0
2019-10-08,12.29,12.93,12.02,12.54,483871.0
2019-10-09,12.4,12.74,12.23,12.67,307892.0
2019-10-10,12.58,12.6,11.96,12.43,598266.0
2019-10-11,12.28,12.83,12.11,12.62,422379.0
2019-10-12,12.28,12.83,12.11,12.62,422379.0
2019-10-13,12.28,12.83,12.11,12.62,422379.0
2019-10-14,12.28,12.83,12.11,12.62,422379.0
2019-10-15,12.8,13.61,12.54,13.32,680596.0
2019-10-16,12.91,13.61,12.91,13.33,397545.0
2019-10-17,13.63,13.75,13.23,13.5,473795.0
2019-10-18,13.64,13.67,13.2,13.2,270217.0
2019-10-19,13.64,13.67,13.2,13.2,270217.0
2019-10-20,13.64,13.67,13.2,13.2,270217.0
2019-10-21,13.3,13.33,12.96,13.26,248046.0
2019-10-22,13.2,13.3,12.87,13.11,189852.0
2019-10-23,13.17,13.26,12.92,13.22,214949.0
2019-10-24,13.2,13.29,13.07,13.28,142727.0
2019-10-25,13.11,13.47,13.11,13.28,367742.0
2019-10-26,13.11,13.47,13.11,13.28,367742.0
2019-10-27,13.11,13.47,13.11,13.28,367742.0
2019-10-28,13.23,13.64,13.23,13.44,282448.0
2019-10-29,13.02,13.35,12.51,12.82,457220.0
2019-10-30,12.66,13.43,12.66,13.38,186446.0
2019-10-31,13.46,13.65,13.03,13.39,208517.0
2019-11-01,13.2,13.56,13.19,13.47,137087.0
2019-11-02,13.2,13.56,13.19,13.47,137087.0
2019-11-03,13.2,13.56,13.19,13.47,137087.0
2019-11-04,13.48,13.75,13.47,13.62,121338.0
2019-11-05,13.55,13.74,13.45,13.73,239217.0
2019-11-06,13.62,13.85,13.4,13.61,121638.0
2019-11-07,13.82,14.31,13.7,14.29,239832.0
2019-11-08,14.35,15.0,14.18,14.86,349454.0
2019-11-09,14.35,15.0,14.18,14.86,349454.0
2019-11-10,14.35,15.0,14.18,14.86,349454.0
2019-11-11,15.1,15.23,14.53,14.55,218327.0
2019-11-12,14.55,14.64,13.75,13.78,404708.0
2019-11-13,13.87,13.87,13.26,13.67,169387.0
2019-11-14,13.25,13.65,12.91,13.53,237613.0
2019-11-15,13.25,15.37,13.25,15.27,617846.0
2019-11-16,13.25,15.37,13.25,15.27,617846.0
2019-11-17,13.25,15.37,13.25,15.27,617846.0
2019-11-18,15.55,16.2,14.55,14.95,981596.0
2019-11-19,15.49,16.0,15.14,15.26,898674.0
2019-11-20,15.46,16.69,15.4,16.69,1215725.0
2019-11-21,16.79,17.26,16.29,16.32,1046315.0
2019-11-22,15.94,16.26,15.6,15.85,508468.0
2019-11-23,15.94,16.26,15.6,15.85,508468.0
2019-11-24,15.94,16.26,15.6,15.85,508468.0
2019-11-25,16.0,16.37,15.51,15.88,640943.0
2019-11-26,15.81,16.19,15.26,15.99,386798.0
2019-11-27,16.0,16.49,15.84,16.25,307176.0
2019-11-28,16.49,16.86,16.4,16.84,70193.0
2019-11-29,16.78,17.3,16.63,17.0,268658.0
2019-11-30,16.78,17.3,16.63,17.0,268658.0
2019-12-01,16.78,17.3,16.63,17.0,268658.0
2019-12-02,17.24,17.63,17.0,17.45,334917.0
2019-12-03,17.34,17.59,16.595,17.16,493012.0
2019-12-04,17.1,18.0,17.1,17.42,444538.0
2019-12-05,17.49,17.76,17.35,17.53,271737.0
2019-12-06,17.49,17.85,17.37,17.65,316764.0
2019-12-07,17.49,17.85,17.37,17.65,316764.0
2019-12-08,17.49,17.85,17.37,17.65,316764.0
2019-12-09,18.0,18.0,17.26,17.26,413793.0
2019-12-10,17.16,17.25,16.5,16.56,505112.0
2019-12-11,16.21,16.43,15.53,15.66,649589.0
2019-12-12,15.64,16.2,15.46,15.94,466994.0
2019-12-13,16.05,16.2,15.77,15.92,306068.0
2019-12-14,16.05,16.2,15.77,15.92,306068.0
2019-12-15,16.05,16.2,15.77,15.92,306068.0
2019-12-16,16.01,16.5,15.65,15.69,307453.0
2019-12-17,15.7,15.89,12.06,13.67,5629453.0
2019-12-18,14.05,14.26,13.2,13.92,1192876.0
2019-12-19,13.95,14.3,13.75,13.85,454950.0
2019-12-20,13.9,13.95,13.4,13.76,479425.0
2019-12-21,13.9,13.95,13.4,13.76,479425.0
2019-12-22,13.9,13.95,13.4,13.76,479425.0
2019-12-23,13.82,14.13,13.72,13.9,283439.0
2019-12-24,13.77,14.03,13.6,13.75,126792.0
2019-12-25,13.77,14.03,13.6,13.75,126792.0
2019-12-26,13.77,14.03,13.6,13.75,126792.0
2019-12-27,13.78,14.45,13.77,14.25,257938.0
2019-12-28,13.78,14.45,13.77,14.25,257938.0
2019-12-29,13.78,14.45,13.77,14.25,257938.0
2019-12-30,14.08,15.21,14.08,14.87,371805.0
2019-12-31,14.9,15.49,14.62,15.34,350973.0
2020-01-01,14.9,15.49,14.62,15.34,350973.0
2020-01-02,15.14,15.34,14.68,14.9,315783.0
2020-01-03,14.66,14.86,14.35,14.5,246709.0
2020-01-04,14.66,14.86,14.35,14.5,246709.0
2020-01-05,14.66,14.86,14.35,14.5,246709.0
2020-01-06,14.2,14.46,13.86,13.86,367822.0
2020-01-07,13.98,13.99,13.02,13.24,425135.0
2020-01-08,13.0,13.68,12.88,13.35,644009.0
2020-01-09,13.57,13.57,12.96,13.17,523080.0
2020-01-10,13.05,13.37,13.05,13.06,333863.0
2020-01-11,13.05,13.37,13.05,13.06,333863.0
2020-01-12,13.05,13.37,13.05,13.06,333863.0
2020-01-13,13.2,13.71,13.12,13.32,572818.0
2020-01-14,13.47,13.56,13.19,13.3,236674.0
2020-01-15,13.33,14.07,13.33,13.6,789596.0
2020-01-16,13.78,14.35,13.62,14.18,326364.0
2020-01-17,14.22,14.33,14.0,14.16,287379.0
2020-01-18,14.22,14.33,14.0,14.16,287379.0
2020-01-19,14.22,14.33,14.0,14.16,287379.0
2020-01-20,14.25,14.3,13.8,14.3,75382.0
2020-01-21,14.35,14.35,14.11,14.22,148940.0
2020-01-22,14.14,14.26,14.08,14.1,143061.0
2020-01-23,14.25,14.94,14.09,14.71,396562.0
2020-01-24,14.71,14.91,14.21,14.66,274683.0
2020-01-25,14.71,14.91,14.21,14.66,274683.0
2020-01-26,14.71,14.91,14.21,14.66,274683.0
2020-01-27,14.36,14.44,13.97,14.42,238059.0
2020-01-28,14.46,14.555,14.22,14.28,179238.0
2020-01-29,14.28,14.81,14.2,14.76,167841.0
2020-01-30,14.6,14.89,14.4,14.66,172138.0
2020-01-31,14.5,14.68,14.28,14.34,153576.0
2020-02-01,14.5,14.68,14.28,14.34,153576.0
2020-02-02,14.5,14.68,14.28,14.34,153576.0
2020-02-03,14.43,14.48,13.75,13.77,230414.0
2020-02-04,13.83,14.01,13.56,13.76,306195.0
2020-02-05,13.98,13.98,13.57,13.77,238918.0
2020-02-06,13.74,13.88,13.6,13.77,120459.0
2020-02-07,13.68,13.68,13.3,13.46,135956.0
2020-02-08,13.68,13.68,13.3,13.46,135956.0
2020-02-09,13.68,13.68,13.3,13.46,135956.0
2020-02-10,13.31,13.85,13.31,13.4,103020.0
2020-02-11,13.45,13.64,13.43,13.55,123309.0
2020-02-12,13.69,13.69,13.35,13.35,133702.0
2020-02-13,13.33,13.66,13.25,13.57,131506.0
2020-02-14,14.0,14.38,13.37,14.14,255686.0
2020-02-15,14.0,14.38,13.37,14.14,255686.0
2020-02-16,14.0,14.38,13.37,14.14,255686.0
2020-02-17,14.0,14.38,13.37,14.14,255686.0
2020-02-18,14.02,14.6,14.02,14.44,85964.0
2020-02-19,14.22,14.58,14.22,14.47,81823.0
2020-02-20,14.44,14.67,14.22,14.67,142015.0
2020-02-21,14.62,14.73,14.09,14.17,75282.0
2020-02-22,14.62,14.73,14.09,14.17,75282.0
2020-02-23,14.62,14.73,14.09,14.17,75282.0
2020-02-24,13.67,13.9,13.41,13.68,191688.0
2020-02-25,13.46,13.88,12.64,13.18,253021.0
2020-02-26,12.82,13.47,12.8,12.97,187813.0
2020-02-27,12.74,12.9,11.76,12.3,304273.0
2020-02-28,12.63,12.87,11.23,12.85,378394.0
2020-02-29,12.63,12.87,11.23,12.85,378394.0
2020-03-01,12.63,12.87,11.23,12.85,378394.0
2020-03-02,12.86,12.96,12.09,12.56,292627.0
2020-03-03,12.8,12.88,12.09,12.1,193332.0
2020-03-04,12.3,12.53,12.15,12.22,242989.0
2020-03-05,12.18,12.67,12.13,12.15,121635.0
2020-03-06,12.1,12.34,11.83,12.06,319390.0
2020-03-07,12.1,12.34,11.83,12.06,319390.0
2020-03-08,12.1,12.34,11.83,12.06,319390.0
2020-03-09,10.21,11.87,10.21,11.26,330105.0
2020-03-10,11.26,12.3,11.2,11.46,301646.0
2020-03-11,11.35,11.52,10.52,10.6,253133.0
2020-03-12,9.91,10.01,8.76,8.76,669453.0
2020-03-13,10.09,10.09,8.85,9.36,490659.0
2020-03-14,10.09,10.09,8.85,9.36,490659.0
2020-03-15,10.09,10.09,8.85,9.36,490659.0
2020-03-16,8.4,9.0,8.09,8.69,531476.0
2020-03-17,9.19,9.34,8.25,9.0,315452.0
2020-03-18,8.52,9.03,8.52,8.65,317382.0
2020-03-19,9.24,9.3,8.25,9.07,461766.0
2020-03-20,9.35,10.6,9.12,9.45,448463.0
2020-03-21,9.35,10.6,9.12,9.45,448463.0
2020-03-22,9.35,10.6,9.12,9.45,448463.0
2020-03-23,9.35,11.5,9.27,10.7,750558.0
2020-03-24,12.49,12.6,11.54,11.82,267701.0
2020-03-25,11.59,12.72,11.38,11.85,483789.0
2020-03-26,11.7,12.67,11.55,12.51,559349.0
2020-03-27,12.01,12.72,12.0,12.47,358223.0
2020-03-28,12.01,12.72,12.0,12.47,358223.0
2020-03-29,12.01,12.72,12.0,12.47,358223.0
2020-03-30,12.13,13.08,12.13,12.7,277573.0
2020-03-31,12.88,13.27,12.64,12.9,173547.0
2020-04-01,11.95,12.79,11.95,12.79,260292.0
2020-04-02,12.11,13.5,12.11,13.28,285636.0
2020-04-03,13.69,13.69,13.04,13.18,155905.0
2020-04-04,13.69,13.69,13.04,13.18,155905.0
2020-04-05,13.69,13.69,13.04,13.18,155905.0
2020-04-06,13.21,14.0,13.21,13.99,218229.0
2020-04-07,14.1,14.42,13.54,13.85,356483.0
2020-04-08,14.15,14.3,13.55,13.57,497026.0
2020-04-09,13.46,14.28,12.72,13.53,600696.0
2020-04-10,13.46,14.28,12.72,13.53,600696.0
2020-04-11,13.46,14.28,12.72,13.53,600696.0
2020-04-12,13.46,14.28,12.72,13.53,600696.0
2020-04-13,13.82,13.82,12.8,12.93,200851.0
2020-04-14,12.76,13.08,12.64,12.96,131202.0
2020-04-15,12.95,12.98,12.66,12.86,105135.0
2020-04-16,12.86,13.14,12.22,12.7,209585.0
2020-04-17,12.55,12.94,12.55,12.75,75372.0
2020-04-18,12.55,12.94,12.55,12.75,75372.0
2020-04-19,12.55,12.94,12.55,12.75,75372.0
2020-04-20,12.93,13.435,12.83,13.27,312129.0
2020-04-21,13.44,13.44,12.88,12.95,140800.0
2020-04-22,12.81,13.15,12.77,12.97,114542.0
2020-04-23,12.71,13.81,12.71,13.5,184631.0
2020-04-24,13.97,13.97,13.31,13.63,333536.0
2020-04-25,13.97,13.97,13.31,13.63,333536.0
2020-04-26,13.97,13.97,13.31,13.63,333536.0
2020-04-27,13.79,14.29,13.65,14.18,264352.0
2020-04-28,14.36,14.91,14.17,14.37,245592.0
2020-04-29,14.5,14.75,14.39,14.56,130156.0
2020-04-30,14.65,14.68,14.26,14.45,181776.0
2020-05-01,14.4,14.44,13.87,13.95,208971.0
2020-05-02,14.4,14.44,13.87,13.95,208971.0
2020-05-03,14.4,14.44,13.87,13.95,208971.0
2020-05-04,13.89,14.36,13.45,13.8,264833.0
2020-05-05,14.03,14.56,13.98,14.25,120143.0
2020-05-06,14.27,14.53,14.15,14.43,108265.0
2020-05-07,14.09,14.54,14.09,14.38,89601.0
2020-05-08,14.29,14.55,14.29,14.48,54117.0
