,DNLM LN Equity,DNLM LN Equity,DNLM LN Equity,DNLM LN Equity,DNLM LN Equity
2010-03-02,175.274,176.33,173.575,174.493,425983.0
2010-03-03,179.085,179.085,172.335,174.034,202543.0
2010-03-04,178.81,178.81,171.738,173.162,144529.0
2010-03-05,174.998,176.376,170.407,174.493,222175.0
2010-03-06,174.998,176.376,170.407,174.493,222175.0
2010-03-07,174.998,176.376,170.407,174.493,222175.0
2010-03-08,174.493,174.493,173.391,174.126,193431.0
2010-03-09,175.687,175.871,169.764,174.723,92205.0
2010-03-10,177.593,177.685,173.566,174.214,110425.0
2010-03-11,175.047,176.435,172.64,175.51,166975.0
2010-03-12,176.991,176.991,172.27,174.167,92787.0
2010-03-13,176.991,176.991,172.27,174.167,92787.0
2010-03-14,176.991,176.991,172.27,174.167,92787.0
2010-03-15,178.287,179.074,174.121,175.88,285944.0
2010-03-16,178.194,178.194,174.167,177.037,59368.0
2010-03-17,181.897,181.897,175.834,175.88,151690.0
2010-03-18,177.269,177.824,171.714,173.797,67549.0
2010-03-19,182.143,184.844,177.725,178.756,604047.0
2010-03-20,182.143,184.844,177.725,178.756,604047.0
2010-03-21,182.143,184.844,177.725,178.756,604047.0
2010-03-22,184.107,184.107,177.528,179.198,179785.0
2010-03-23,180.671,180.671,174.877,178.216,227458.0
2010-03-24,179.885,181.603,176.252,178.412,65371.0
2010-03-25,180.131,180.131,177.97,179.198,272544.0
2010-03-26,180.671,183.567,179.198,182.34,190627.0
2010-03-27,180.671,183.567,179.198,182.34,190627.0
2010-03-28,180.671,183.567,179.198,182.34,190627.0
2010-03-29,180.671,183.224,179.198,181.652,65130.0
2010-03-30,184.893,184.893,179.59,179.59,426161.0
2010-03-31,180.474,182.88,179.492,181.358,535958.0
2010-04-01,180.032,183.862,179.198,182.143,169999.0
2010-04-02,180.032,183.862,179.198,182.143,169999.0
2010-04-03,180.032,183.862,179.198,182.143,169999.0
2010-04-04,180.032,183.862,179.198,182.143,169999.0
2010-04-05,180.032,183.862,179.198,182.143,169999.0
2010-04-06,183.224,188.771,183.224,185.924,116295.0
2010-04-07,187.249,193.435,186.906,193.435,290900.0
2010-04-08,191.079,193.386,184.255,193.386,132143.0
2010-04-09,193.828,198.983,190.441,198.983,166506.0
2010-04-10,193.828,198.983,190.441,198.983,166506.0
2010-04-11,193.828,198.983,190.441,198.983,166506.0
2010-04-12,200.21,200.849,194.368,196.97,92819.0
2010-04-13,196.774,198.983,190.931,190.931,74997.0
2010-04-14,194.515,196.136,191.226,193.926,153087.0
2010-04-15,191.422,196.921,191.422,196.577,139061.0
2010-04-16,187.446,196.381,187.446,194.417,818428.0
2010-04-17,187.446,196.381,187.446,194.417,818428.0
2010-04-18,187.446,196.381,187.446,194.417,818428.0
2010-04-19,198.59,198.59,190.784,193.828,31847.0
2010-04-20,193.141,198.836,193.141,198.247,77744.0
2010-04-21,201.241,201.241,193.828,194.466,42613.0
2010-04-22,196.528,200.701,194.565,194.565,173873.0
2010-04-23,197.314,202.272,195.546,201.045,164724.0
2010-04-24,197.314,202.272,195.546,201.045,164724.0
2010-04-25,197.314,202.272,195.546,201.045,164724.0
2010-04-26,201.782,212.141,200.26,212.141,241527.0
2010-04-27,213.564,213.564,195.006,195.006,445970.0
2010-04-28,193.583,193.926,180.376,187.298,333257.0
2010-04-29,192.159,193.092,188.329,190.195,189208.0
2010-04-30,191.177,195.694,190.735,190.981,93456.0
2010-05-01,191.177,195.694,190.735,190.981,93456.0
2010-05-02,191.177,195.694,190.735,190.981,93456.0
2010-05-03,191.177,195.694,190.735,190.981,93456.0
2010-05-04,196.676,197.559,186.464,186.464,100360.0
2010-05-05,190.931,194.27,185.973,188.084,849223.0
2010-05-06,189.41,192.503,185.826,189.999,128959.0
2010-05-07,187.2,192.797,181.751,186.464,172431.0
2010-05-08,187.2,192.797,181.751,186.464,172431.0
2010-05-09,187.2,192.797,181.751,186.464,172431.0
2010-05-10,191.472,193.681,184.696,187.298,93362.0
2010-05-11,190.342,190.342,184.107,187.691,79140.0
2010-05-12,192.159,195.301,184.304,194.024,411692.0
2010-05-13,195.497,197.068,189.066,191.03,54086.0
2010-05-14,190.342,190.342,184.107,185.629,1607023.0
2010-05-15,190.342,190.342,184.107,185.629,1607023.0
2010-05-16,190.342,190.342,184.107,185.629,1607023.0
2010-05-17,184.107,186.12,183.714,184.549,352021.0
2010-05-18,191.422,191.422,181.652,182.634,68414.0
2010-05-19,182.389,184.402,171.932,180.818,88195.0
2010-05-20,173.061,181.407,172.472,174.239,255909.0
2010-05-21,166.58,176.35,166.58,172.864,63691.0
2010-05-22,166.58,176.35,166.58,172.864,63691.0
2010-05-23,166.58,176.35,166.58,172.864,63691.0
2010-05-24,175.663,182.389,174.926,182.389,474279.0
2010-05-25,179.247,182.291,176.497,180.523,281008.0
2010-05-26,179.345,192.552,178.216,192.552,2205465.0
2010-05-27,186.513,192.503,184.353,188.526,96206.0
2010-05-28,187.053,190.49,182.733,182.733,226971.0
2010-05-29,187.053,190.49,182.733,182.733,226971.0
2010-05-30,187.053,190.49,182.733,182.733,226971.0
2010-05-31,187.053,190.49,182.733,182.733,226971.0
2010-06-01,189.066,189.066,177.725,181.014,1685365.0
2010-06-02,183.027,183.027,171.932,176.399,806325.0
2010-06-03,180.572,180.572,173.797,178.609,156994.0
2010-06-04,183.322,183.371,171.342,171.342,125084.0
2010-06-05,183.322,183.371,171.342,171.342,125084.0
2010-06-06,183.322,183.371,171.342,171.342,125084.0
2010-06-07,171.833,183.371,168.102,181.652,89099.0
2010-06-08,175.614,180.916,169.28,169.28,144073.0
2010-06-09,171.342,172.619,169.084,172.03,65914.0
2010-06-10,162.8,176.841,162.8,171.784,100014.0
2010-06-11,170.262,171.833,168.397,170.999,64787.0
2010-06-12,170.262,171.833,168.397,170.999,64787.0
2010-06-13,170.262,171.833,168.397,170.999,64787.0
2010-06-14,171.833,172.57,166.58,172.128,199717.0
2010-06-15,168.986,171.342,167.415,168.397,338314.0
2010-06-16,169.379,169.379,163.045,164.911,645770.0
2010-06-17,166.924,166.924,162.309,164.224,128465.0
2010-06-18,165.942,167.709,162.26,167.709,724837.0
2010-06-19,165.942,167.709,162.26,167.709,724837.0
2010-06-20,165.942,167.709,162.26,167.709,724837.0
2010-06-21,169.133,171.342,166.629,169.379,287897.0
2010-06-22,173.601,174.19,164.616,171.883,207198.0
2010-06-23,166.924,173.503,166.924,169.182,44970.0
2010-06-24,172.815,172.815,166.089,166.089,81433.0
2010-06-25,169.428,169.821,160.738,160.934,96229.0
2010-06-26,169.428,169.821,160.738,160.934,96229.0
2010-06-27,169.428,169.821,160.738,160.934,96229.0
2010-06-28,162.702,163.487,157.694,162.014,282457.0
2010-06-29,157.596,167.562,157.596,160.051,150117.0
2010-06-30,158.332,162.554,158.332,162.554,88550.0
2010-07-01,158.872,163.782,156.81,163.782,141755.0
2010-07-02,162.505,165.206,159.02,159.707,80096.0
2010-07-03,162.505,165.206,159.02,159.707,80096.0
2010-07-04,162.505,165.206,159.02,159.707,80096.0
2010-07-05,161.032,162.849,158.185,160.443,58056.0
2010-07-06,162.751,164.764,158.774,164.764,128853.0
2010-07-07,163.978,169.968,161.032,167.218,112883.0
2010-07-08,171.735,171.735,164.616,168.642,64214.0
2010-07-09,171.735,176.645,171.195,173.208,105092.0
2010-07-10,171.735,176.645,171.195,173.208,105092.0
2010-07-11,171.735,176.645,171.195,173.208,105092.0
2010-07-12,172.914,178.216,170.017,175.761,86958.0
2010-07-13,178.559,187.397,173.895,186.513,567622.0
2010-07-14,188.035,190.441,184.451,189.459,163191.0
2010-07-15,190.49,190.49,187.789,189.164,110399.0
2010-07-16,186.464,190.441,179.296,184.647,109445.0
2010-07-17,186.464,190.441,179.296,184.647,109445.0
2010-07-18,186.464,190.441,179.296,184.647,109445.0
2010-07-19,184.647,188.477,183.027,183.027,31612.0
2010-07-20,186.464,186.464,182.193,182.193,44862.0
2010-07-21,186.071,189.851,181.751,189.311,124346.0
2010-07-22,185.58,193.877,185.58,191.668,68989.0
2010-07-23,193.681,196.43,189.508,191.717,774352.0
2010-07-24,193.681,196.43,189.508,191.717,774352.0
2010-07-25,193.681,196.43,189.508,191.717,774352.0
2010-07-26,195.35,196.332,193.828,196.037,30449.0
2010-07-27,198.541,199.818,192.552,192.552,569307.0
2010-07-28,192.503,193.484,189.164,189.164,124679.0
2010-07-29,188.919,189.017,185.58,186.758,53348.0
2010-07-30,187.397,197.51,184.696,195.841,41875.0
2010-07-31,187.397,197.51,184.696,195.841,41875.0
2010-08-01,187.397,197.51,184.696,195.841,41875.0
2010-08-02,195.448,201.291,195.399,198.885,86531.0
2010-08-03,197.559,199.818,196.381,198.247,30707.0
2010-08-04,196.136,196.136,192.159,194.712,21404.0
2010-08-05,197.363,197.363,190.981,192.061,306472.0
2010-08-06,196.43,196.43,190.784,192.257,23358.0
2010-08-07,196.43,196.43,190.784,192.257,23358.0
2010-08-08,196.43,196.43,190.784,192.257,23358.0
2010-08-09,191.472,195.399,191.472,192.404,53761.0
2010-08-10,194.319,195.154,190.195,195.154,50301.0
2010-08-11,191.57,195.939,186.071,193.926,219636.0
2010-08-12,191.815,192.503,189.262,189.999,84572.0
2010-08-13,187.053,190.146,187.053,188.673,5203.0
2010-08-14,187.053,190.146,187.053,188.673,5203.0
2010-08-15,187.053,190.146,187.053,188.673,5203.0
2010-08-16,188.035,193.73,186.562,190.981,14227.0
2010-08-17,190.931,192.355,190.882,191.962,18548.0
2010-08-18,188.968,191.668,183.273,184.5,53624.0
2010-08-19,186.562,189.213,184.058,186.071,40693.0
2010-08-20,186.366,186.366,181.8,184.058,18429.0
2010-08-21,186.366,186.366,181.8,184.058,18429.0
2010-08-22,186.366,186.366,181.8,184.058,18429.0
2010-08-23,184.844,190.441,181.898,189.999,24662.0
2010-08-24,186.562,189.802,184.107,186.562,60166.0
2010-08-25,191.717,192.257,186.66,187.2,23988.0
2010-08-26,186.562,195.546,186.562,195.546,198397.0
2010-08-27,196.086,196.086,182.291,182.291,49640.0
2010-08-28,196.086,196.086,182.291,182.291,49640.0
2010-08-29,196.086,196.086,182.291,182.291,49640.0
2010-08-30,196.086,196.086,182.291,182.291,49640.0
2010-08-31,189.36,197.854,186.022,194.614,63492.0
2010-09-01,189.066,195.35,189.066,194.81,34538.0
2010-09-02,191.472,195.645,191.472,194.663,38917.0
2010-09-03,194.81,194.81,188.182,189.655,74723.0
2010-09-04,194.81,194.81,188.182,189.655,74723.0
2010-09-05,194.81,194.81,188.182,189.655,74723.0
2010-09-06,193.828,193.975,191.226,192.846,55826.0
2010-09-07,197.265,197.265,185.776,192.306,54276.0
2010-09-08,195.203,195.203,189.9,191.275,17898.0
2010-09-09,195.35,195.35,187.544,192.944,43574.0
2010-09-10,190.981,193.926,190.097,193.435,117028.0
2010-09-11,190.981,193.926,190.097,193.435,117028.0
2010-09-12,190.981,193.926,190.097,193.435,117028.0
2010-09-13,189.017,196.185,189.017,193.534,122784.0
2010-09-14,195.399,195.399,188.182,189.508,230122.0
2010-09-15,192.306,194.908,189.36,194.417,190321.0
2010-09-16,192.453,196.381,187.544,187.544,95156.0
2010-09-17,192.453,192.453,185.776,185.776,555416.0
2010-09-18,192.453,192.453,185.776,185.776,555416.0
2010-09-19,192.453,192.453,185.776,185.776,555416.0
2010-09-20,188.329,192.453,182.389,191.324,55900.0
2010-09-21,187.593,192.355,187.593,192.355,28694.0
2010-09-22,195.35,195.35,187.053,187.642,61769.0
2010-09-23,185.826,190.391,185.826,188.28,46579.0
2010-09-24,185.531,192.944,185.531,191.913,20566.0
2010-09-25,185.531,192.944,185.531,191.913,20566.0
2010-09-26,185.531,192.944,185.531,191.913,20566.0
2010-09-27,188.968,195.694,188.968,190.441,27419.0
2010-09-28,187.544,192.159,187.544,190.244,31970.0
2010-09-29,189.311,191.815,186.562,186.562,35925.0
2010-09-30,185.335,193.632,185.335,192.306,139748.0
2010-10-01,193.926,193.926,189.36,191.815,34030.0
2010-10-02,193.926,193.926,189.36,191.815,34030.0
2010-10-03,193.926,193.926,189.36,191.815,34030.0
2010-10-04,190.637,193.681,189.557,192.895,19751.0
2010-10-05,190.244,198.934,189.311,198.934,91275.0
2010-10-06,200.456,214.644,200.358,209.931,392591.0
2010-10-07,211.011,211.011,206.2,206.2,131572.0
2010-10-08,206.2,209.637,203.598,206.446,87754.0
2010-10-09,206.2,209.637,203.598,206.446,87754.0
2010-10-10,206.2,209.637,203.598,206.446,87754.0
2010-10-11,211.11,219.603,209.539,216.068,305134.0
2010-10-12,217.345,220.88,213.27,220.34,117996.0
2010-10-13,220.929,227.36,219.407,225.838,525678.0
2010-10-14,218.719,236.639,218.474,233.448,143491.0
2010-10-15,228.293,233.153,227.851,230.748,158104.0
2010-10-16,228.293,233.153,227.851,230.748,158104.0
2010-10-17,228.293,233.153,227.851,230.748,158104.0
2010-10-18,227.409,231.582,225.053,225.053,75057.0
2010-10-19,235.608,235.608,224.66,227.311,227384.0
2010-10-20,227.655,231.681,225.74,230.257,322598.0
2010-10-21,227.409,234.184,227.409,233.743,667852.0
2010-10-22,236.001,243.709,233.743,240.812,304400.0
2010-10-23,236.001,243.709,233.743,240.812,304400.0
2010-10-24,236.001,243.709,233.743,240.812,304400.0
2010-10-25,244.249,247.931,241.058,247.931,112664.0
2010-10-26,241.205,245.476,238.75,238.75,99995.0
2010-10-27,241.058,241.058,235.657,235.657,120734.0
2010-10-28,225.593,240.469,225.593,239.143,89786.0
2010-10-29,237.572,241.941,234.037,236.492,80445.0
2010-10-30,237.572,241.941,234.037,236.492,80445.0
2010-10-31,237.572,241.941,234.037,236.492,80445.0
2010-11-01,238.603,238.947,235.264,238.603,27616.0
2010-11-02,243.022,243.856,239.241,241.058,27317.0
2010-11-03,241.991,244.003,238.947,243.463,59761.0
2010-11-04,252.841,252.841,239.536,246.949,72973.0
2010-11-05,244.887,246.949,234.626,244.249,301067.0
2010-11-06,244.887,246.949,234.626,244.249,301067.0
2010-11-07,244.887,246.949,234.626,244.249,301067.0
2010-11-08,243.954,247.931,243.954,247.931,257674.0
2010-11-09,235.854,245.722,235.854,242.089,64995.0
2010-11-10,239.487,243.022,239.487,241.009,43558.0
2010-11-11,239.487,252.841,238.652,244.74,142577.0
2010-11-12,244.74,245.967,228.293,245.967,34294.0
2010-11-13,244.74,245.967,228.293,245.967,34294.0
2010-11-14,244.74,245.967,228.293,245.967,34294.0
2010-11-15,243.611,250.386,243.022,247.44,104318.0
2010-11-16,249.404,255.786,243.709,243.709,64045.0
2010-11-17,232.466,243.512,232.466,242.776,31465.0
2010-11-18,250.877,252.35,242.825,244.347,50245.0
2010-11-19,242.481,247.686,242.04,243.12,26709.0
2010-11-20,242.481,247.686,242.04,243.12,26709.0
2010-11-21,242.481,247.686,242.04,243.12,26709.0
2010-11-22,260.205,266.833,243.022,248.913,130839.0
2010-11-23,250.386,250.877,246.213,246.213,68703.0
2010-11-24,239.121,255.387,239.121,250.18,19599.0
2010-11-25,252.907,257.37,247.948,252.907,36776.0
2010-11-26,254.395,257.866,247.948,251.668,73059.0
2010-11-27,254.395,257.866,247.948,251.668,73059.0
2010-11-28,254.395,257.866,247.948,251.668,73059.0
2010-11-29,249.932,268.28,249.436,249.436,50197.0
2010-11-30,247.948,265.305,247.948,249.436,103792.0
2010-12-01,260.346,264.313,247.056,249.436,160528.0
2010-12-02,265.305,268.528,249.436,263.817,165614.0
2010-12-03,267.04,267.288,258.858,259.85,53025.0
2010-12-04,267.04,267.288,258.858,259.85,53025.0
2010-12-05,267.04,267.288,258.858,259.85,53025.0
2010-12-06,262.577,269.024,255.635,260.346,48746.0
2010-12-07,262.577,262.825,253.403,255.635,102582.0
2010-12-08,253.155,260.594,252.163,252.163,89717.0
2010-12-09,252.659,265.305,252.163,262.081,89388.0
2010-12-10,260.594,272.495,256.874,271.751,62130.0
2010-12-11,260.594,272.495,256.874,271.751,62130.0
2010-12-12,260.594,272.495,256.874,271.751,62130.0
2010-12-13,271.008,272.247,265.553,272.247,33467.0
2010-12-14,269.024,269.024,264.561,267.288,182089.0
2010-12-15,275.223,275.223,258.114,272.743,71504.0
2010-12-16,273.735,275.719,261.338,264.065,49813.0
2010-12-17,267.784,287.62,257.618,272.743,268714.0
2010-12-18,267.784,287.62,257.618,272.743,268714.0
2010-12-19,267.784,287.62,257.618,272.743,268714.0
2010-12-20,288.116,288.116,260.346,261.833,86623.0
2010-12-21,249.684,270.264,243.039,266.544,130696.0
2010-12-22,255.387,267.784,251.916,267.784,34483.0
2010-12-23,264.561,268.28,263.817,267.536,18588.0
2010-12-24,262.825,267.536,262.577,262.577,3385.0
2010-12-25,262.825,267.536,262.577,262.577,3385.0
2010-12-26,262.825,267.536,262.577,262.577,3385.0
2010-12-27,262.825,267.536,262.577,262.577,3385.0
2010-12-28,262.825,267.536,262.577,262.577,3385.0
2010-12-29,254.891,261.586,254.891,260.346,48320.0
2010-12-30,263.073,270.512,259.106,259.602,23604.0
2010-12-31,261.09,265.305,253.155,253.155,19069.0
2011-01-01,261.09,265.305,253.155,253.155,19069.0
2011-01-02,261.09,265.305,253.155,253.155,19069.0
2011-01-03,261.09,265.305,253.155,253.155,19069.0
2011-01-04,253.651,260.346,253.651,260.346,46800.0
2011-01-05,256.874,268.032,251.668,262.825,30209.0
2011-01-06,251.42,267.784,251.172,252.907,57524.0
2011-01-07,257.37,260.346,256.379,259.106,26074.0
2011-01-08,257.37,260.346,256.379,259.106,26074.0
2011-01-09,257.37,260.346,256.379,259.106,26074.0
2011-01-10,257.866,267.04,255.387,261.586,39026.0
2011-01-11,240.51,252.163,240.51,246.461,1183479.0
2011-01-12,246.461,251.42,238.179,242.146,507821.0
2011-01-13,244.477,244.477,237.683,241.998,70991.0
2011-01-14,241.65,244.477,240.51,242.444,31966.0
2011-01-15,241.65,244.477,240.51,242.444,31966.0
2011-01-16,241.65,244.477,240.51,242.444,31966.0
2011-01-17,235.601,242.196,235.551,238.03,136365.0
2011-01-18,242.295,243.485,239.32,242.989,38520.0
2011-01-19,244.973,244.973,236.592,239.072,44782.0
2011-01-20,241.849,241.849,229.947,232.526,85063.0
2011-01-21,228.757,237.237,228.757,233.319,62027.0
2011-01-22,228.757,237.237,228.757,233.319,62027.0
2011-01-23,228.757,237.237,228.757,233.319,62027.0
2011-01-24,237.584,237.584,233.567,235.551,19295.0
2011-01-25,233.865,236.592,233.121,235.551,169946.0
2011-01-26,238.03,239.518,233.171,239.518,65848.0
2011-01-27,238.03,238.526,235.452,235.551,67098.0
2011-01-28,238.427,242.94,233.071,236.444,74779.0
2011-01-29,238.427,242.94,233.071,236.444,74779.0
2011-01-30,238.427,242.94,233.071,236.444,74779.0
2011-01-31,236.047,237.237,231.584,231.782,130318.0
2011-02-01,235.005,236.196,230.592,233.815,74742.0
2011-02-02,234.014,234.708,228.112,230.592,152799.0
2011-02-03,235.055,235.055,228.112,231.088,454477.0
2011-02-04,232.08,233.667,227.022,227.022,135119.0
2011-02-05,232.08,233.667,227.022,227.022,135119.0
2011-02-06,232.08,233.667,227.022,227.022,135119.0
2011-02-07,234.063,234.063,225.732,226.03,110328.0
2011-02-08,226.873,228.112,225.633,225.831,112703.0
2011-02-09,225.534,227.914,223.897,226.873,74231.0
2011-02-10,226.526,227.865,224.84,225.831,31429.0
2011-02-11,223.848,226.03,220.724,223.154,57826.0
2011-02-12,223.848,226.03,220.724,223.154,57826.0
2011-02-13,223.848,226.03,220.724,223.154,57826.0
2011-02-14,220.674,224.096,218.889,220.674,68774.0
2011-02-15,219.533,227.121,219.533,227.121,65591.0
2011-02-16,228.112,229.749,223.55,227.567,57908.0
2011-02-17,223.649,228.063,213.285,216.211,500448.0
2011-02-18,223.104,223.104,214.277,215.715,128822.0
2011-02-19,223.104,223.104,214.277,215.715,128822.0
2011-02-20,223.104,223.104,214.277,215.715,128822.0
2011-02-21,213.434,215.665,212.888,212.888,18920.0
2011-02-22,210.607,214.079,209.566,210.905,55602.0
2011-02-23,210.459,212.442,207.186,208.277,123042.0
2011-02-24,209.02,211.748,205.797,206.541,86892.0
2011-02-25,206.144,208.277,203.318,204.458,40963.0
2011-02-26,206.144,208.277,203.318,204.458,40963.0
2011-02-27,206.144,208.277,203.318,204.458,40963.0
2011-02-28,204.309,205.252,195.978,197.367,193592.0
2011-03-01,199.747,199.747,196.375,198.855,69906.0
2011-03-02,198.855,200.739,198.309,198.408,48781.0
2011-03-03,199.846,204.359,198.359,202.375,92711.0
2011-03-04,203.665,208.277,202.425,204.805,70988.0
2011-03-05,203.665,208.277,202.425,204.805,70988.0
2011-03-06,203.665,208.277,202.425,204.805,70988.0
2011-03-07,208.277,208.277,201.83,201.83,131183.0
2011-03-08,201.334,204.855,199.846,201.83,99247.0
2011-03-09,203.581,204.381,200.329,202.33,42285.0
2011-03-10,205.081,205.081,198.328,202.88,85022.0
2011-03-11,203.23,203.581,201.38,203.08,96367.0
2011-03-12,203.23,203.581,201.38,203.08,96367.0
2011-03-13,203.23,203.581,201.38,203.08,96367.0
2011-03-14,200.729,205.081,200.729,202.28,34385.0
2011-03-15,197.578,202.23,197.578,200.079,81184.0
2011-03-16,201.63,203.581,199.129,200.079,98492.0
2011-03-17,202.83,202.83,200.029,201.28,52874.0
2011-03-18,200.579,203.731,200.429,202.58,128277.0
2011-03-19,200.579,203.731,200.429,202.58,128277.0
2011-03-20,200.579,203.731,200.429,202.58,128277.0
2011-03-21,204.531,204.531,200.829,202.68,18776.0
2011-03-22,200.579,203.38,200.079,200.079,37620.0
2011-03-23,204.031,204.081,200.629,202.83,29325.0
2011-03-24,201.33,212.334,201.33,211.334,85586.0
2011-03-25,209.983,214.185,207.332,209.833,140196.0
2011-03-26,209.983,214.185,207.332,209.833,140196.0
2011-03-27,209.983,214.185,207.332,209.833,140196.0
2011-03-28,213.334,215.085,205.131,205.281,37578.0
2011-03-29,214.585,214.585,208.382,210.083,65460.0
2011-03-30,212.984,217.586,205.081,205.081,132512.0
2011-03-31,199.879,202.93,192.026,192.026,133218.0
2011-04-01,196.078,199.129,190.425,196.078,280377.0
2011-04-02,196.078,199.129,190.425,196.078,280377.0
2011-04-03,196.078,199.129,190.425,196.078,280377.0
2011-04-04,193.577,199.879,193.577,199.879,48817.0
2011-04-05,197.678,204.581,195.127,204.081,95148.0
2011-04-06,206.932,217.686,205.231,211.584,133012.0
2011-04-07,207.582,215.485,207.582,215.485,167675.0
2011-04-08,213.084,217.586,213.084,217.586,847046.0
2011-04-09,213.084,217.586,213.084,217.586,847046.0
2011-04-10,213.084,217.586,213.084,217.586,847046.0
2011-04-11,210.883,219.987,210.883,218.336,167473.0
2011-04-12,219.687,221.738,216.136,217.586,945790.0
2011-04-13,218.386,220.137,218.386,220.087,1206879.0
2011-04-14,225.089,225.089,221.588,223.188,357976.0
2011-04-15,223.889,226.29,222.388,224.939,155628.0
2011-04-16,223.889,226.29,222.388,224.939,155628.0
2011-04-17,223.889,226.29,222.388,224.939,155628.0
2011-04-18,214.085,224.639,214.085,220.587,185141.0
2011-04-19,215.585,222.788,215.585,220.337,114278.0
2011-04-20,222.338,227.84,221.288,225.089,200883.0
2011-04-21,225.089,228.09,222.688,223.688,56114.0
2011-04-22,225.089,228.09,222.688,223.688,56114.0
2011-04-23,225.089,228.09,222.688,223.688,56114.0
2011-04-24,225.089,228.09,222.688,223.688,56114.0
2011-04-25,225.089,228.09,222.688,223.688,56114.0
2011-04-26,224.789,225.739,219.487,225.739,16716.0
2011-04-27,226.089,226.74,218.737,225.089,661349.0
2011-04-28,228.39,229.441,223.789,228.29,45035.0
2011-04-29,228.39,229.441,223.789,228.29,45035.0
2011-04-30,228.39,229.441,223.789,228.29,45035.0
2011-05-01,228.39,229.441,223.789,228.29,45035.0
2011-05-02,228.39,229.441,223.789,228.29,45035.0
2011-05-03,226.69,229.291,221.988,227.34,56637.0
2011-05-04,229.141,236.143,228.19,235.993,61053.0
2011-05-05,227.59,243.596,227.59,242.146,108504.0
2011-05-06,240.645,241.746,232.592,238.544,67296.0
2011-05-07,240.645,241.746,232.592,238.544,67296.0
2011-05-08,240.645,241.746,232.592,238.544,67296.0
2011-05-09,238.144,238.244,230.591,237.094,58855.0
