,RMV LN Equity,RMV LN Equity,RMV LN Equity,RMV LN Equity,RMV LN Equity
2010-02-16,49.405,50.12,48.648,49.952,3892740.0
2010-02-17,49.573,50.792,49.573,50.54,1924760.0
2010-02-18,50.708,51.633,50.078,51.213,4245250.0
2010-02-19,50.456,51.549,50.456,51.297,3084580.0
2010-02-20,50.456,51.549,50.456,51.297,3084580.0
2010-02-21,50.456,51.549,50.456,51.297,3084580.0
2010-02-22,51.045,52.601,51.045,52.222,14759540.0
2010-02-23,52.138,52.769,50.835,51.465,4974690.0
2010-02-24,51.844,52.222,51.003,51.213,4555210.0
2010-02-25,51.339,51.718,49.867,50.288,9712420.0
2010-02-26,51.297,55.67,51.255,53.399,13553190.0
2010-02-27,51.297,55.67,51.255,53.399,13553190.0
2010-02-28,51.297,55.67,51.255,53.399,13553190.0
2010-03-01,54.198,54.661,53.315,54.451,6664860.0
2010-03-02,54.871,56.301,53.652,56.301,3999680.0
2010-03-03,56.385,58.235,55.922,56.595,6176270.0
2010-03-04,56.09,57.142,54.829,55.796,11297560.0
2010-03-05,56.385,57.436,55.586,56.931,3035670.0
2010-03-06,56.385,57.436,55.586,56.931,3035670.0
2010-03-07,56.385,57.436,55.586,56.931,3035670.0
2010-03-08,57.226,57.352,56.09,56.385,4119390.0
2010-03-09,56.132,56.637,55.334,56.343,2011290.0
2010-03-10,56.132,57.184,55.418,56.006,4955860.0
2010-03-11,55.88,56.721,55.838,56.09,5013560.0
2010-03-12,56.174,56.637,55.334,55.334,5924760.0
2010-03-13,56.174,56.637,55.334,55.334,5924760.0
2010-03-14,56.174,56.637,55.334,55.334,5924760.0
2010-03-15,54.955,55.039,53.652,53.904,5343580.0
2010-03-16,54.535,54.535,53.694,53.694,4787180.0
2010-03-17,54.451,55.039,54.198,54.703,8579630.0
2010-03-18,55.039,55.502,54.997,55.207,4006540.0
2010-03-19,55.292,55.712,54.156,54.619,4615200.0
2010-03-20,55.292,55.712,54.156,54.619,4615200.0
2010-03-21,55.292,55.712,54.156,54.619,4615200.0
2010-03-22,55.081,55.376,53.189,54.451,2826350.0
2010-03-23,54.997,54.997,53.778,54.24,4099850.0
2010-03-24,53.946,54.324,53.399,53.82,4089840.0
2010-03-25,54.156,55.544,53.82,55.334,12980350.0
2010-03-26,55.081,57.057,55.081,56.763,22841740.0
2010-03-27,55.081,57.057,55.081,56.763,22841740.0
2010-03-28,55.081,57.057,55.081,56.763,22841740.0
2010-03-29,56.469,57.814,56.469,56.931,3533120.0
2010-03-30,56.889,57.352,55.67,55.922,10709770.0
2010-03-31,56.09,56.931,55.964,56.679,2056710.0
2010-04-01,56.931,58.319,56.553,58.025,4446390.0
2010-04-02,56.931,58.319,56.553,58.025,4446390.0
2010-04-03,56.931,58.319,56.553,58.025,4446390.0
2010-04-04,56.931,58.319,56.553,58.025,4446390.0
2010-04-05,56.931,58.319,56.553,58.025,4446390.0
2010-04-06,57.688,58.529,57.057,58.319,3503140.0
2010-04-07,57.688,58.067,57.268,57.604,5627120.0
2010-04-08,56.763,57.268,55.418,56.595,5911270.0
2010-04-09,56.595,57.015,56.09,56.721,3967090.0
2010-04-10,56.595,57.015,56.09,56.721,3967090.0
2010-04-11,56.595,57.015,56.09,56.721,3967090.0
2010-04-12,56.763,56.763,55.544,56.343,1394220.0
2010-04-13,56.006,56.763,55.544,56.006,1100620.0
2010-04-14,55.754,56.763,55.628,56.637,2043280.0
2010-04-15,55.922,57.057,55.418,56.343,3801770.0
2010-04-16,56.301,57.057,55.292,55.292,2160760.0
2010-04-17,56.301,57.057,55.292,55.292,2160760.0
2010-04-18,56.301,57.057,55.292,55.292,2160760.0
2010-04-19,54.997,55.964,54.451,55.249,2726670.0
2010-04-20,55.796,56.511,55.544,56.301,4469140.0
2010-04-21,56.511,57.268,55.586,56.006,8154540.0
2010-04-22,56.301,58.151,56.006,57.94,6096190.0
2010-04-23,58.319,59.917,57.688,59.118,3518510.0
2010-04-24,58.319,59.917,57.688,59.118,3518510.0
2010-04-25,58.319,59.917,57.688,59.118,3518510.0
2010-04-26,58.739,60.001,58.067,58.151,2609110.0
2010-04-27,57.604,57.982,56.847,56.847,1374080.0
2010-04-28,56.595,56.889,55.796,56.259,4341160.0
2010-04-29,56.343,58.865,56.343,58.865,2712350.0
2010-04-30,59.076,59.37,58.193,58.487,1531810.0
2010-05-01,59.076,59.37,58.193,58.487,1531810.0
2010-05-02,59.076,59.37,58.193,58.487,1531810.0
2010-05-03,59.076,59.37,58.193,58.487,1531810.0
2010-05-04,59.202,59.664,57.982,58.865,2948170.0
2010-05-05,59.706,59.875,57.184,57.646,5688470.0
2010-05-06,57.604,59.286,56.427,59.286,7029980.0
2010-05-07,57.478,58.613,54.661,54.829,13498220.0
2010-05-08,57.478,58.613,54.661,54.829,13498220.0
2010-05-09,57.478,58.613,54.661,54.829,13498220.0
2010-05-10,56.217,57.688,55.754,57.184,10518100.0
2010-05-11,56.637,57.057,55.334,56.006,7210350.0
2010-05-12,55.539,58.811,55.539,58.343,6357410.0
2010-05-13,58.471,59.746,57.791,57.961,3087010.0
2010-05-14,58.131,58.386,56.686,57.196,12691700.0
2010-05-15,58.131,58.386,56.686,57.196,12691700.0
2010-05-16,58.131,58.386,56.686,57.196,12691700.0
2010-05-17,56.729,56.856,54.859,55.411,7056030.0
2010-05-18,56.176,56.516,55.199,56.304,5169520.0
2010-05-19,56.219,56.219,53.627,54.392,7054250.0
2010-05-20,54.901,54.901,53.032,53.202,9676360.0
2010-05-21,53.754,53.754,52.054,52.734,2887940.0
2010-05-22,53.754,53.754,52.054,52.734,2887940.0
2010-05-23,53.754,53.754,52.054,52.734,2887940.0
2010-05-24,53.754,54.009,52.394,52.692,1497230.0
2010-05-25,51.587,55.071,51.587,53.967,6525520.0
2010-05-26,54.477,55.836,53.839,55.284,3834670.0
2010-05-27,55.454,60.723,55.454,60.171,5997960.0
2010-05-28,60.341,61.658,59.066,59.278,4379330.0
2010-05-29,60.341,61.658,59.066,59.278,4379330.0
2010-05-30,60.341,61.658,59.066,59.278,4379330.0
2010-05-31,60.341,61.658,59.066,59.278,4379330.0
2010-06-01,59.363,60.808,58.726,60.808,3381880.0
2010-06-02,60.128,61.148,59.873,60.383,3095040.0
2010-06-03,61.19,61.955,60.723,61.403,2578670.0
2010-06-04,61.148,61.785,59.873,60.001,3987990.0
2010-06-05,61.148,61.785,59.873,60.001,3987990.0
2010-06-06,61.148,61.785,59.873,60.001,3987990.0
2010-06-07,60.043,61.743,58.726,61.53,5520480.0
2010-06-08,61.615,61.615,57.961,57.961,5546020.0
2010-06-09,58.641,60.553,58.641,60.553,4875740.0
2010-06-10,60.596,61.233,60.086,60.128,6742580.0
2010-06-11,60.893,60.893,58.343,58.556,9229870.0
2010-06-12,60.893,60.893,58.343,58.556,9229870.0
2010-06-13,60.893,60.893,58.343,58.556,9229870.0
2010-06-14,59.236,60.256,58.641,59.533,6727540.0
2010-06-15,59.151,60.468,58.853,60.001,2124850.0
2010-06-16,59.958,60.681,59.321,59.491,6878860.0
2010-06-17,59.236,59.618,58.131,58.853,14332070.0
2010-06-18,58.768,59.108,58.131,58.386,6271190.0
2010-06-19,58.768,59.108,58.131,58.386,6271190.0
2010-06-20,58.768,59.108,58.131,58.386,6271190.0
2010-06-21,58.853,59.533,57.494,57.748,3768760.0
2010-06-22,57.748,57.791,56.304,57.366,5560040.0
2010-06-23,58.046,58.088,56.984,57.366,2045790.0
2010-06-24,57.876,58.343,56.431,56.941,2293550.0
2010-06-25,56.729,56.941,56.134,56.219,2169020.0
2010-06-26,56.729,56.941,56.134,56.219,2169020.0
2010-06-27,56.729,56.941,56.134,56.219,2169020.0
2010-06-28,55.964,56.601,55.029,55.581,5109450.0
2010-06-29,54.859,54.859,53.117,53.244,3530700.0
2010-06-30,53.584,53.797,52.904,53.542,4368360.0
2010-07-01,52.777,54.179,52.352,52.649,6317040.0
2010-07-02,52.522,53.669,52.097,52.522,2777590.0
2010-07-03,52.522,53.669,52.097,52.522,2777590.0
2010-07-04,52.522,53.669,52.097,52.522,2777590.0
2010-07-05,52.649,52.947,52.054,52.607,1545210.0
2010-07-06,53.287,54.009,52.607,53.074,1330200.0
2010-07-07,53.287,53.287,51.332,52.394,2153830.0
2010-07-08,52.947,53.712,52.947,53.372,2229940.0
2010-07-09,53.202,53.584,52.182,52.352,1192050.0
2010-07-10,53.202,53.584,52.182,52.352,1192050.0
2010-07-11,53.202,53.584,52.182,52.352,1192050.0
2010-07-12,52.607,52.777,52.054,52.437,766930.0
2010-07-13,52.649,53.499,52.267,53.202,1015160.0
2010-07-14,53.669,53.712,52.947,53.202,1941350.0
2010-07-15,53.117,53.584,52.649,53.032,960800.0
2010-07-16,52.649,54.901,52.649,53.542,3045390.0
2010-07-17,52.649,54.901,52.649,53.542,3045390.0
2010-07-18,52.649,54.901,52.649,53.542,3045390.0
2010-07-19,53.159,53.584,50.95,51.12,1845900.0
2010-07-20,51.629,51.969,50.907,51.927,3326980.0
2010-07-21,52.267,54.094,51.587,53.797,5235110.0
2010-07-22,53.882,54.816,53.414,54.816,7832770.0
2010-07-23,55.071,56.644,54.477,56.601,10167340.0
2010-07-24,55.071,56.644,54.477,56.601,10167340.0
2010-07-25,55.071,56.644,54.477,56.601,10167340.0
2010-07-26,57.239,57.366,56.006,56.431,2058940.0
2010-07-27,57.111,57.111,55.709,56.261,1324330.0
2010-07-28,56.814,56.814,55.369,56.644,1573590.0
2010-07-29,56.516,57.154,56.261,56.516,1133260.0
2010-07-30,56.134,57.451,55.199,55.539,2041040.0
2010-07-31,56.134,57.451,55.199,55.539,2041040.0
2010-08-01,56.134,57.451,55.199,55.539,2041040.0
2010-08-02,56.346,57.961,55.411,57.494,1348090.0
2010-08-03,56.516,57.026,56.431,56.686,2068430.0
2010-08-04,56.771,56.771,55.666,56.176,4566000.0
2010-08-05,56.729,56.729,54.774,55.539,2157250.0
2010-08-06,56.006,56.006,53.797,54.392,3096340.0
2010-08-07,56.006,56.006,53.797,54.392,3096340.0
2010-08-08,56.006,56.006,53.797,54.392,3096340.0
2010-08-09,55.241,55.496,54.561,54.774,2701270.0
2010-08-10,54.264,54.307,52.819,53.074,4572790.0
2010-08-11,52.522,52.692,51.035,51.12,3537780.0
2010-08-12,51.629,51.629,50.61,50.95,2747030.0
2010-08-13,50.015,52.097,50.015,50.992,2487890.0
2010-08-14,50.015,52.097,50.015,50.992,2487890.0
2010-08-15,50.015,52.097,50.015,50.992,2487890.0
2010-08-16,50.525,51.544,49.887,50.865,2524600.0
2010-08-17,50.61,51.205,49.972,50.907,3585160.0
2010-08-18,51.162,51.417,50.312,50.95,2567190.0
2010-08-19,51.332,51.672,50.525,50.865,4376530.0
2010-08-20,50.992,50.992,50.142,50.737,1098930.0
2010-08-21,50.992,50.992,50.142,50.737,1098930.0
2010-08-22,50.992,50.992,50.142,50.737,1098930.0
2010-08-23,50.567,51.672,50.567,50.865,10688640.0
2010-08-24,50.992,50.992,49.972,50.907,1652200.0
2010-08-25,50.525,51.544,49.972,50.695,2216830.0
2010-08-26,49.802,53.117,49.802,52.862,7975940.0
2010-08-27,53.117,53.839,51.842,52.607,15233440.0
2010-08-28,53.117,53.839,51.842,52.607,15233440.0
2010-08-29,53.117,53.839,51.842,52.607,15233440.0
2010-08-30,53.117,53.839,51.842,52.607,15233440.0
2010-08-31,53.074,55.071,52.012,54.986,9526520.0
2010-09-01,55.156,57.494,55.071,57.239,6563110.0
2010-09-02,58.131,60.468,57.706,58.811,10625120.0
2010-09-03,58.301,59.491,57.961,59.066,4622400.0
2010-09-04,58.301,59.491,57.961,59.066,4622400.0
2010-09-05,58.301,59.491,57.961,59.066,4622400.0
2010-09-06,59.321,59.491,58.386,58.896,910960.0
2010-09-07,58.343,58.853,58.216,58.768,1457460.0
2010-09-08,57.918,59.023,57.918,58.853,1720310.0
2010-09-09,59.151,60.128,58.428,60.128,2783550.0
2010-09-10,60.766,67.692,60.723,62.89,22424110.0
2010-09-11,60.766,67.692,60.723,62.89,22424110.0
2010-09-12,60.766,67.692,60.723,62.89,22424110.0
2010-09-13,62.083,62.805,61.275,62.423,2183590.0
2010-09-14,63.23,63.23,61.87,62.465,1683960.0
2010-09-15,62.083,62.465,60.851,62.04,2516740.0
2010-09-16,61.828,62.848,61.615,62.253,2634230.0
2010-09-17,62.04,63.188,62.04,62.38,3453640.0
2010-09-18,62.04,63.188,62.04,62.38,3453640.0
2010-09-19,62.04,63.188,62.04,62.38,3453640.0
2010-09-20,62.338,62.933,61.955,62.253,3278070.0
2010-09-21,62.295,62.805,62.083,62.21,1138270.0
2010-09-22,62.593,62.593,61.275,61.615,2341950.0
2010-09-23,61.615,63.358,61.53,62.593,1408340.0
2010-09-24,62.253,63.74,61.658,63.06,4869410.0
2010-09-25,62.253,63.74,61.658,63.06,4869410.0
2010-09-26,62.253,63.74,61.658,63.06,4869410.0
2010-09-27,62.933,63.698,62.295,62.465,1721340.0
2010-09-28,62.04,63.06,60.638,62.253,4079070.0
2010-09-29,62.125,63.358,61.615,62.89,4741130.0
2010-09-30,62.593,63.528,62.295,62.338,4142190.0
2010-10-01,62.635,63.57,62.295,63.103,2117800.0
2010-10-02,62.635,63.57,62.295,63.103,2117800.0
2010-10-03,62.635,63.57,62.295,63.103,2117800.0
2010-10-04,63.018,63.783,62.083,62.89,5361730.0
2010-10-05,62.635,63.825,62.465,63.358,4424780.0
2010-10-06,63.953,64.845,63.23,64.377,1189990.0
2010-10-07,64.59,65.015,64.165,64.505,14429100.0
2010-10-08,64.76,64.93,64.335,64.76,1799410.0
2010-10-09,64.76,64.93,64.335,64.76,1799410.0
2010-10-10,64.76,64.93,64.335,64.76,1799410.0
2010-10-11,64.42,65.355,63.825,64.42,1863110.0
2010-10-12,64.675,64.675,63.74,64.59,4652110.0
2010-10-13,64.077,65.959,64.034,65.445,5322740.0
2010-10-14,65.445,65.659,65.018,65.36,1755830.0
2010-10-15,65.83,66.215,65.018,65.659,684060.0
2010-10-16,65.83,66.215,65.018,65.659,684060.0
2010-10-17,65.83,66.215,65.018,65.659,684060.0
2010-10-18,65.146,65.574,64.847,65.317,499230.0
2010-10-19,65.83,66.044,65.018,65.445,4273400.0
2010-10-20,65.103,65.873,64.205,65.659,2101290.0
2010-10-21,65.274,66.429,65.232,66.087,5632170.0
2010-10-22,66.258,67.156,66.258,66.857,1367220.0
2010-10-23,66.258,67.156,66.258,66.857,1367220.0
2010-10-24,66.258,67.156,66.258,66.857,1367220.0
2010-10-25,66.814,67.499,65.873,67.156,1509760.0
2010-10-26,66.729,68.14,66.729,67.37,1676650.0
2010-10-27,67.071,67.156,66.13,66.729,2621520.0
2010-10-28,67.156,71.006,67.156,69.295,4718210.0
2010-10-29,68.996,68.996,67.499,68.097,3288490.0
2010-10-30,68.996,68.996,67.499,68.097,3288490.0
2010-10-31,68.996,68.996,67.499,68.097,3288490.0
2010-11-01,68.226,68.867,67.242,67.37,744520.0
2010-11-02,66.258,68.226,65.36,67.242,4088660.0
2010-11-03,67.584,67.884,66.13,67.028,3099840.0
2010-11-04,68.055,68.055,66.515,66.943,580540.0
2010-11-05,67.285,68.055,66.472,67.712,1719420.0
2010-11-06,67.285,68.055,66.472,67.712,1719420.0
2010-11-07,67.285,68.055,66.472,67.712,1719420.0
2010-11-08,67.584,68.482,67.071,67.969,1121740.0
2010-11-09,68.097,68.183,67.114,67.156,881490.0
2010-11-10,67.413,68.012,66.985,66.985,5738870.0
2010-11-11,66.814,66.814,65.445,66.258,1917890.0
2010-11-12,65.574,67.285,64.504,66.943,984810.0
2010-11-13,65.574,67.285,64.504,66.943,984810.0
2010-11-14,65.574,67.285,64.504,66.943,984810.0
2010-11-15,66.857,67.199,65.702,66.258,21462080.0
2010-11-16,66.215,67.199,64.59,64.59,1639500.0
2010-11-17,63.521,65.745,63.521,64.932,9331900.0
2010-11-18,67.627,67.627,64.889,65.873,2054880.0
2010-11-19,65.574,65.873,64.932,65.232,561750.0
2010-11-20,65.574,65.873,64.932,65.232,561750.0
2010-11-21,65.574,65.873,64.932,65.232,561750.0
2010-11-22,65.873,67.456,65.189,65.488,1541130.0
2010-11-23,67.199,68.226,63.991,64.162,800570.0
2010-11-24,64.077,64.077,62.708,63.007,1917220.0
2010-11-25,62.836,64.889,62.622,64.248,1088470.0
2010-11-26,64.119,64.761,63.136,64.162,1010050.0
2010-11-27,64.119,64.761,63.136,64.162,1010050.0
2010-11-28,64.119,64.761,63.136,64.162,1010050.0
2010-11-29,64.761,65.659,64.162,64.162,1660220.0
2010-11-30,64.847,65.103,63.734,64.162,1500580.0
2010-12-01,64.291,65.274,63.991,65.018,1459140.0
2010-12-02,65.959,65.959,64.504,64.761,3335880.0
2010-12-03,65.018,66.002,63.863,64.932,2885070.0
2010-12-04,65.018,66.002,63.863,64.932,2885070.0
2010-12-05,65.018,66.002,63.863,64.932,2885070.0
2010-12-06,65.317,65.317,64.504,64.932,2460400.0
2010-12-07,65.445,65.445,64.847,65.189,6608760.0
2010-12-08,64.633,65.189,64.376,64.547,1477940.0
2010-12-09,64.462,64.761,63.563,64.333,563840.0
2010-12-10,64.034,65.018,63.777,64.633,834620.0
2010-12-11,64.034,65.018,63.777,64.633,834620.0
2010-12-12,64.034,65.018,63.777,64.633,834620.0
2010-12-13,65.018,65.916,64.932,65.403,1788780.0
2010-12-14,65.702,66.301,65.06,65.873,952040.0
2010-12-15,65.916,66.13,63.478,63.563,1662400.0
2010-12-16,63.221,64.675,63.007,64.333,931470.0
2010-12-17,64.761,67.798,64.291,67.627,3133800.0
2010-12-18,64.761,67.798,64.291,67.627,3133800.0
2010-12-19,64.761,67.798,64.291,67.627,3133800.0
2010-12-20,67.541,68.739,67.028,68.525,1674190.0
2010-12-21,67.328,68.739,67.328,68.568,594650.0
2010-12-22,68.696,68.696,67.456,67.841,752600.0
2010-12-23,66.9,67.841,66.6,66.771,911100.0
2010-12-24,67.67,67.712,66.558,66.558,45820.0
2010-12-25,67.67,67.712,66.558,66.558,45820.0
2010-12-26,67.67,67.712,66.558,66.558,45820.0
2010-12-27,67.67,67.712,66.558,66.558,45820.0
2010-12-28,67.67,67.712,66.558,66.558,45820.0
2010-12-29,66.429,67.071,65.83,65.83,522060.0
2010-12-30,66.515,67.499,65.873,67.499,557750.0
2010-12-31,67.755,68.055,66.643,66.643,123790.0
2011-01-01,67.755,68.055,66.643,66.643,123790.0
2011-01-02,67.755,68.055,66.643,66.643,123790.0
2011-01-03,67.755,68.055,66.643,66.643,123790.0
2011-01-04,68.055,69.766,67.114,69.466,3896120.0
2011-01-05,69.124,69.766,68.91,69.381,1151030.0
2011-01-06,69.252,69.723,68.825,69.295,2821840.0
2011-01-07,69.081,69.295,68.482,69.167,1751110.0
2011-01-08,69.081,69.295,68.482,69.167,1751110.0
2011-01-09,69.081,69.295,68.482,69.167,1751110.0
2011-01-10,68.269,68.44,67.156,67.841,847530.0
2011-01-11,68.44,68.867,67.499,68.568,1255170.0
2011-01-12,68.739,69.723,68.097,68.397,1140460.0
2011-01-13,68.183,68.183,66.002,66.215,989100.0
2011-01-14,66.558,67.456,66.002,66.472,1564490.0
2011-01-15,66.558,67.456,66.002,66.472,1564490.0
2011-01-16,66.558,67.456,66.002,66.472,1564490.0
2011-01-17,66.985,66.985,65.574,65.873,449840.0
2011-01-18,66.215,69.295,66.215,68.354,8280430.0
2011-01-19,68.44,68.44,67.798,68.14,9618510.0
2011-01-20,68.44,68.44,67.37,68.055,3078430.0
2011-01-21,68.311,68.311,66.857,67.156,6708650.0
2011-01-22,68.311,68.311,66.857,67.156,6708650.0
2011-01-23,68.311,68.311,66.857,67.156,6708650.0
2011-01-24,67.028,68.012,67.028,67.584,1130500.0
2011-01-25,68.269,68.782,67.156,68.44,12094400.0
2011-01-26,68.226,69.21,67.969,68.825,3832160.0
2011-01-27,68.825,72.161,68.311,71.819,2341270.0
2011-01-28,72.247,72.247,70.707,71.177,890070.0
2011-01-29,72.247,72.247,70.707,71.177,890070.0
2011-01-30,72.247,72.247,70.707,71.177,890070.0
2011-01-31,71.434,71.776,68.825,71.519,2570970.0
2011-02-01,71.391,73.145,69.98,73.145,1593950.0
2011-02-02,72.888,74.171,72.888,73.915,1639340.0
2011-02-03,73.273,74.343,71.947,72.161,1661290.0
2011-02-04,72.033,72.974,71.862,72.845,453130.0
2011-02-05,72.033,72.974,71.862,72.845,453130.0
2011-02-06,72.033,72.974,71.862,72.845,453130.0
2011-02-07,72.845,75.968,71.477,75.626,1273630.0
2011-02-08,75.027,76.524,75.027,76.524,995860.0
2011-02-09,76.054,78.278,76.054,77.85,3714300.0
2011-02-10,77.38,78.107,77.037,77.551,4253890.0
2011-02-11,76.909,77.508,76.225,77.422,4153390.0
2011-02-12,76.909,77.508,76.225,77.422,4153390.0
2011-02-13,76.909,77.508,76.225,77.422,4153390.0
2011-02-14,76.011,79.048,76.011,78.449,2272720.0
2011-02-15,78.748,78.877,75.84,76.652,12883960.0
2011-02-16,76.267,77.208,76.267,76.481,1983560.0
2011-02-17,77.037,77.636,76.353,76.524,1341860.0
2011-02-18,76.31,76.995,76.139,76.353,855760.0
2011-02-19,76.31,76.995,76.139,76.353,855760.0
2011-02-20,76.31,76.995,76.139,76.353,855760.0
2011-02-21,76.781,77.294,75.583,75.797,1364490.0
2011-02-22,76.396,76.396,74.642,74.856,822840.0
2011-02-23,74.171,74.471,73.23,74.385,1340320.0
2011-02-24,74.984,74.984,72.845,73.316,1681490.0
2011-02-25,74.556,77.722,74.556,76.824,3457940.0
2011-02-26,74.556,77.722,74.556,76.824,3457940.0
2011-02-27,74.556,77.722,74.556,76.824,3457940.0
2011-02-28,76.824,77.251,76.182,76.182,4020990.0
2011-03-01,76.952,77.251,76.054,76.995,12409640.0
2011-03-02,77.765,81.015,76.995,79.903,9165270.0
2011-03-03,79.689,81.743,79.262,81.657,10939490.0
2011-03-04,81.957,82.898,81.358,82.042,1563320.0
2011-03-05,81.957,82.898,81.358,82.042,1563320.0
2011-03-06,81.957,82.898,81.358,82.042,1563320.0
2011-03-07,81.529,82.47,80.716,82.085,3995670.0
2011-03-08,81.272,83.283,81.272,82.299,1411950.0
2011-03-09,82.128,82.598,81.443,82.128,2215010.0
2011-03-10,81.229,83.069,80.802,82.299,1605920.0
2011-03-11,82.769,86.491,81.957,82.555,6055960.0
2011-03-12,82.769,86.491,81.957,82.555,6055960.0
2011-03-13,82.769,86.491,81.957,82.555,6055960.0
2011-03-14,81.871,83.197,80.63,83.069,5271300.0
2011-03-15,81.614,82.812,81.315,82.256,5854820.0
2011-03-16,83.325,84.951,82.256,83.839,3465300.0
2011-03-17,83.839,83.839,82.555,82.983,6707490.0
2011-03-18,82.898,84.951,82.898,83.839,2419050.0
2011-03-19,82.898,84.951,82.898,83.839,2419050.0
2011-03-20,82.898,84.951,82.898,83.839,2419050.0
2011-03-21,84.181,84.78,81.785,82.726,1319110.0
2011-03-22,82.513,82.812,81.572,81.657,2168990.0
2011-03-23,81.144,82.598,80.759,82.256,1347170.0
2011-03-24,81.957,83.197,81.529,82.641,1481660.0
2011-03-25,83.325,83.325,81.657,82.256,1558590.0
2011-03-26,83.325,83.325,81.657,82.256,1558590.0
2011-03-27,83.325,83.325,81.657,82.256,1558590.0
2011-03-28,81.871,82.641,81.572,81.614,978740.0
2011-03-29,82.042,82.555,81.7,81.7,1996420.0
2011-03-30,82.128,82.855,81.657,81.743,2644650.0
2011-03-31,81.7,82.213,81.144,81.272,1383700.0
2011-04-01,81.4,82.17,80.973,81.957,3847580.0
2011-04-02,81.4,82.17,80.973,81.957,3847580.0
2011-04-03,81.4,82.17,80.973,81.957,3847580.0
2011-04-04,81.914,82.341,81.572,81.743,3320540.0
2011-04-05,81.572,82.128,81.187,81.657,3633130.0
2011-04-06,81.957,82.341,81.4,81.7,3070560.0
2011-04-07,81.871,81.914,81.272,81.657,1444640.0
2011-04-08,81.614,81.871,81.272,81.358,1249020.0
2011-04-09,81.614,81.871,81.272,81.358,1249020.0
2011-04-10,81.614,81.871,81.272,81.358,1249020.0
2011-04-11,81.7,82.299,80.759,81.144,831190.0
2011-04-12,81.144,81.229,79.689,79.818,729160.0
2011-04-13,79.732,80.93,78.748,80.417,1303670.0
2011-04-14,80.588,86.662,80.588,85.977,21158230.0
2011-04-15,86.063,87.089,85.55,85.977,4412470.0
2011-04-16,86.063,87.089,85.55,85.977,4412470.0
2011-04-17,86.063,87.089,85.55,85.977,4412470.0
2011-04-18,85.806,86.491,84.694,85.721,780600.0
2011-04-19,85.977,87.261,85.721,87.175,2734170.0
2011-04-20,86.918,89.913,86.918,88.629,1364990.0
2011-04-21,88.972,89.228,88.116,88.886,1898980.0
2011-04-22,88.972,89.228,88.116,88.886,1898980.0
2011-04-23,88.972,89.228,88.116,88.886,1898980.0
2011-04-24,88.972,89.228,88.116,88.886,1898980.0
2011-04-25,88.972,89.228,88.116,88.886,1898980.0
