,DEC LN Equity,DEC LN Equity,DEC LN Equity,DEC LN Equity,DEC LN Equity
2019-04-29,1313.217,1345.642,1302.408,1318.621,23768.0
2019-04-30,1324.025,1367.259,1324.025,1340.238,212453.0
2019-05-01,1351.046,1351.046,1329.429,1334.834,18091.0
2019-05-02,1329.429,1340.238,1318.621,1318.621,67146.0
2019-05-03,1324.025,1324.025,1318.621,1318.621,34564.0
2019-05-04,1324.025,1324.025,1318.621,1318.621,34564.0
2019-05-05,1324.025,1324.025,1318.621,1318.621,34564.0
2019-05-06,1324.025,1324.025,1318.621,1318.621,34564.0
2019-05-07,1340.238,1345.642,1313.217,1313.217,42880.0
2019-05-08,1318.621,1324.025,1307.813,1318.621,66637.0
2019-05-09,1318.621,1356.45,1318.621,1345.642,279860.0
2019-05-10,1340.238,1351.046,1329.429,1329.429,15586.0
2019-05-11,1340.238,1351.046,1329.429,1329.429,15586.0
2019-05-12,1340.238,1351.046,1329.429,1329.429,15586.0
2019-05-13,1329.429,1329.429,1313.217,1329.429,9262.0
2019-05-14,1351.046,1388.875,1340.238,1383.471,323642.0
2019-05-15,1383.471,1394.28,1372.663,1394.28,114967.0
2019-05-16,1394.28,1421.301,1383.471,1394.28,96311.0
2019-05-17,1410.492,1459.13,1399.684,1442.917,99131.0
2019-05-18,1410.492,1459.13,1399.684,1442.917,99131.0
2019-05-19,1410.492,1459.13,1399.684,1442.917,99131.0
2019-05-20,1442.917,1448.321,1415.896,1432.109,78073.0
2019-05-21,1437.513,1437.513,1421.301,1426.705,43377.0
2019-05-22,1432.109,1459.13,1421.301,1442.917,45024.0
2019-05-23,1448.321,1453.726,1388.875,1394.28,53434.0
2019-05-24,1415.896,1426.705,1405.088,1415.896,76958.0
2019-05-25,1415.896,1426.705,1405.088,1415.896,76958.0
2019-05-26,1415.896,1426.705,1405.088,1415.896,76958.0
2019-05-27,1415.896,1426.705,1405.088,1415.896,76958.0
2019-05-28,1405.088,1453.726,1399.684,1448.321,901033.0
2019-05-29,1421.301,1432.109,1394.28,1410.492,43998.0
2019-05-30,1415.896,1415.896,1388.875,1394.28,43506.0
2019-05-31,1399.684,1421.301,1361.855,1405.088,54093.0
2019-06-01,1399.684,1421.301,1361.855,1405.088,54093.0
2019-06-02,1399.684,1421.301,1361.855,1405.088,54093.0
2019-06-03,1415.896,1432.109,1351.046,1378.067,35253.0
2019-06-04,1372.663,1372.663,1334.834,1340.238,346280.0
2019-06-05,1340.238,1340.238,1232.154,1242.962,475456.0
2019-06-06,1199.729,1215.942,1091.645,1134.879,466916.0
2019-06-07,1145.687,1199.729,1134.879,1183.516,272190.0
2019-06-08,1145.687,1199.729,1134.879,1183.516,272190.0
2019-06-09,1145.687,1199.729,1134.879,1183.516,272190.0
2019-06-10,1178.112,1183.516,1145.687,1161.9,145375.0
2019-06-11,1161.9,1205.133,1161.9,1205.133,86408.0
2019-06-12,1221.346,1221.346,1145.687,1178.112,143289.0
2019-06-13,1194.325,1210.537,1161.9,1183.516,123711.0
2019-06-14,1199.729,1199.729,1140.283,1156.496,249212.0
2019-06-15,1199.729,1199.729,1140.283,1156.496,249212.0
2019-06-16,1199.729,1199.729,1140.283,1156.496,249212.0
2019-06-17,1188.921,1188.921,1167.304,1167.304,102654.0
2019-06-18,1178.112,1178.112,1167.304,1172.708,119585.0
2019-06-19,1188.921,1188.921,1102.454,1167.304,427143.0
2019-06-20,1172.708,1237.558,1172.708,1210.537,91154.0
2019-06-21,1210.537,1232.154,1210.537,1226.75,286661.0
2019-06-22,1210.537,1232.154,1210.537,1226.75,286661.0
2019-06-23,1210.537,1232.154,1210.537,1226.75,286661.0
2019-06-24,1242.962,1242.962,1210.537,1215.942,66404.0
2019-06-25,1242.962,1242.962,1205.133,1210.537,51141.0
2019-06-26,1210.537,1215.942,1199.729,1205.133,30698.0
2019-06-27,1210.537,1221.346,1183.516,1194.325,92496.0
2019-06-28,1199.729,1205.133,1188.921,1199.729,46307.0
2019-06-29,1199.729,1205.133,1188.921,1199.729,46307.0
2019-06-30,1199.729,1205.133,1188.921,1199.729,46307.0
2019-07-01,1199.729,1226.75,1188.921,1205.133,90891.0
2019-07-02,1210.537,1210.537,1188.921,1188.921,91108.0
2019-07-03,1183.516,1210.537,1183.516,1199.729,96201.0
2019-07-04,1194.325,1210.537,1194.325,1205.133,103670.0
2019-07-05,1210.537,1210.537,1199.729,1199.729,82402.0
2019-07-06,1210.537,1210.537,1199.729,1199.729,82402.0
2019-07-07,1210.537,1210.537,1199.729,1199.729,82402.0
2019-07-08,1199.729,1210.537,1194.325,1205.133,79407.0
2019-07-09,1156.496,1210.537,1156.496,1210.537,125566.0
2019-07-10,1205.133,1210.537,1205.133,1210.537,62648.0
2019-07-11,1232.154,1269.983,1199.729,1259.175,85697.0
2019-07-12,1253.771,1253.771,1232.154,1237.558,71659.0
2019-07-13,1253.771,1253.771,1232.154,1237.558,71659.0
2019-07-14,1253.771,1253.771,1232.154,1237.558,71659.0
2019-07-15,1226.75,1253.771,1226.75,1232.154,51767.0
2019-07-16,1215.942,1237.558,1215.942,1232.154,40785.0
2019-07-17,1226.75,1237.558,1210.537,1237.558,54385.0
2019-07-18,1221.346,1237.558,1215.942,1226.75,62370.0
2019-07-19,1232.154,1232.154,1205.133,1215.942,44609.0
2019-07-20,1232.154,1232.154,1205.133,1215.942,44609.0
2019-07-21,1232.154,1232.154,1205.133,1215.942,44609.0
2019-07-22,1215.942,1232.154,1215.942,1226.75,56199.0
2019-07-23,1221.346,1232.154,1215.942,1232.154,72684.0
2019-07-24,1232.154,1232.154,1199.729,1205.133,206231.0
2019-07-25,1210.537,1232.154,1172.708,1172.708,110274.0
2019-07-26,1205.133,1205.133,1183.516,1188.921,67477.0
2019-07-27,1205.133,1205.133,1183.516,1188.921,67477.0
2019-07-28,1205.133,1205.133,1183.516,1188.921,67477.0
2019-07-29,1199.729,1199.729,1178.112,1183.516,77924.0
2019-07-30,1188.921,1188.921,1151.091,1156.496,104980.0
2019-07-31,1151.091,1167.304,1102.454,1151.091,166545.0
2019-08-01,1167.304,1199.729,1151.091,1156.496,225533.0
2019-08-02,1188.921,1188.921,1151.091,1156.496,66422.0
2019-08-03,1188.921,1188.921,1151.091,1156.496,66422.0
2019-08-04,1188.921,1188.921,1151.091,1156.496,66422.0
2019-08-05,1188.921,1188.921,1124.07,1140.283,76359.0
2019-08-06,1151.091,1151.091,1134.879,1134.879,46729.0
2019-08-07,1151.091,1167.304,1145.687,1145.687,46559.0
2019-08-08,1145.687,1156.496,1140.283,1151.091,35480.0
2019-08-09,1151.091,1151.091,1102.454,1118.666,44752.0
2019-08-10,1151.091,1151.091,1102.454,1118.666,44752.0
2019-08-11,1151.091,1151.091,1102.454,1118.666,44752.0
2019-08-12,1113.262,1118.666,1097.049,1113.262,33680.0
2019-08-13,1102.454,1113.262,1024.633,1059.22,206070.0
2019-08-14,1107.858,1107.858,1065.705,1078.675,50205.0
2019-08-15,1078.675,1091.645,1048.412,1048.412,72087.0
2019-08-16,1059.22,1076.514,1044.088,1048.412,37378.0
2019-08-17,1059.22,1076.514,1044.088,1048.412,37378.0
2019-08-18,1059.22,1076.514,1044.088,1048.412,37378.0
2019-08-19,1080.837,1080.837,1044.088,1050.573,29735.0
2019-08-20,1059.22,1059.22,1046.25,1050.573,55426.0
2019-08-21,1054.897,1061.382,1048.412,1057.059,55276.0
2019-08-22,1050.573,1097.049,1050.573,1091.645,119945.0
2019-08-23,1059.22,1107.858,1059.22,1097.049,70315.0
2019-08-24,1059.22,1107.858,1059.22,1097.049,70315.0
2019-08-25,1059.22,1107.858,1059.22,1097.049,70315.0
2019-08-26,1059.22,1107.858,1059.22,1097.049,70315.0
2019-08-27,1097.049,1113.262,1091.645,1097.049,59526.0
2019-08-28,1091.645,1113.262,1086.241,1097.049,58536.0
2019-08-29,1118.666,1129.475,1113.262,1124.07,65475.0
2019-08-30,1113.262,1129.475,1107.858,1118.666,65243.0
2019-08-31,1113.262,1129.475,1107.858,1118.666,65243.0
2019-09-01,1113.262,1129.475,1107.858,1118.666,65243.0
2019-09-02,1129.475,1134.879,1113.262,1129.475,25078.0
2019-09-03,1124.07,1145.687,1124.07,1134.879,27163.0
2019-09-04,1134.879,1167.304,1134.879,1156.496,50258.0
2019-09-05,1176.49,1193.138,1176.49,1187.589,57939.0
2019-09-06,1198.688,1198.688,1170.941,1187.589,26385.0
2019-09-07,1198.688,1198.688,1170.941,1187.589,26385.0
2019-09-08,1198.688,1198.688,1170.941,1187.589,26385.0
2019-09-09,1209.787,1209.787,1182.039,1193.138,29830.0
2019-09-10,1182.039,1226.435,1182.039,1220.886,41942.0
2019-09-11,1198.688,1265.282,1198.688,1243.084,43867.0
2019-09-12,1248.633,1270.831,1237.534,1237.534,19762.0
2019-09-13,1237.534,1237.534,1220.886,1231.985,10905.0
2019-09-14,1237.534,1237.534,1220.886,1231.985,10905.0
2019-09-15,1237.534,1237.534,1220.886,1231.985,10905.0
2019-09-16,1237.534,1270.831,1231.985,1270.831,29781.0
2019-09-17,1265.282,1287.48,1248.633,1287.48,39009.0
2019-09-18,1281.93,1287.48,1237.534,1287.48,29154.0
2019-09-19,1293.029,1298.579,1254.183,1254.183,35985.0
2019-09-20,1231.985,1270.831,1231.985,1259.732,39637.0
2019-09-21,1231.985,1270.831,1231.985,1259.732,39637.0
2019-09-22,1231.985,1270.831,1231.985,1259.732,39637.0
2019-09-23,1298.579,1298.579,1254.183,1254.183,38366.0
2019-09-24,1231.985,1265.282,1204.237,1209.787,76079.0
2019-09-25,1198.688,1198.688,1170.941,1182.039,26552.0
2019-09-26,1187.589,1198.688,1170.941,1193.138,24809.0
2019-09-27,1198.688,1254.183,1198.688,1226.435,38923.0
2019-09-28,1198.688,1254.183,1198.688,1226.435,38923.0
2019-09-29,1198.688,1254.183,1198.688,1226.435,38923.0
2019-09-30,1226.435,1243.084,1209.787,1220.886,24114.0
2019-10-01,1226.435,1226.435,1187.589,1198.688,7691.0
2019-10-02,1182.039,1209.787,1165.391,1170.941,20685.0
2019-10-03,1154.292,1215.336,1154.292,1159.842,12012.0
2019-10-04,1165.391,1182.039,1148.743,1182.039,16329.0
2019-10-05,1165.391,1182.039,1148.743,1182.039,16329.0
2019-10-06,1165.391,1182.039,1148.743,1182.039,16329.0
2019-10-07,1170.941,1209.787,1159.842,1193.138,13193.0
2019-10-08,1209.787,1209.787,1154.292,1187.589,12055.0
2019-10-09,1182.039,1204.237,1148.743,1182.039,19038.0
2019-10-10,1148.743,1182.039,1148.743,1176.49,16795.0
2019-10-11,1165.391,1220.886,1165.391,1193.138,33370.0
2019-10-12,1165.391,1220.886,1165.391,1193.138,33370.0
2019-10-13,1165.391,1220.886,1165.391,1193.138,33370.0
2019-10-14,1248.633,1248.633,1187.589,1198.688,10254.0
2019-10-15,1209.787,1254.183,1198.688,1220.886,42341.0
2019-10-16,1226.435,1254.183,1198.688,1248.633,26455.0
2019-10-17,1259.732,1259.732,1209.787,1215.336,69603.0
2019-10-18,1215.336,1243.084,1215.336,1243.084,182692.0
2019-10-19,1215.336,1243.084,1215.336,1243.084,182692.0
2019-10-20,1215.336,1243.084,1215.336,1243.084,182692.0
2019-10-21,1243.084,1243.084,1215.336,1220.886,15867.0
2019-10-22,1226.435,1231.985,1204.237,1226.435,20966.0
2019-10-23,1231.985,1248.633,1220.886,1231.985,28327.0
2019-10-24,1243.084,1243.084,1220.886,1243.084,17014.0
2019-10-25,1209.787,1231.985,1198.688,1231.985,15622.0
2019-10-26,1209.787,1231.985,1198.688,1231.985,15622.0
2019-10-27,1209.787,1231.985,1198.688,1231.985,15622.0
2019-10-28,1231.985,1231.985,1209.787,1220.886,8183.0
2019-10-29,1209.787,1209.787,1182.039,1193.138,10530.0
2019-10-30,1193.138,1254.183,1193.138,1220.886,21283.0
2019-10-31,1220.886,1220.886,1187.589,1187.589,13632.0
2019-11-01,1176.49,1215.336,1170.941,1182.039,15345.0
2019-11-02,1176.49,1215.336,1170.941,1182.039,15345.0
2019-11-03,1176.49,1215.336,1170.941,1182.039,15345.0
2019-11-04,1231.985,1231.985,1154.292,1165.391,29318.0
2019-11-05,1170.941,1176.49,1137.644,1143.193,19925.0
2019-11-06,1204.237,1204.237,1132.094,1154.292,54547.0
2019-11-07,1165.391,1170.941,1154.292,1165.391,12915.0
2019-11-08,1165.391,1193.138,1137.644,1154.292,111834.0
2019-11-09,1165.391,1193.138,1137.644,1154.292,111834.0
2019-11-10,1165.391,1193.138,1137.644,1154.292,111834.0
2019-11-11,1165.391,1165.391,1148.743,1159.842,93350.0
2019-11-12,1143.193,1176.49,1143.193,1165.391,32115.0
2019-11-13,1154.292,1154.292,1137.644,1137.644,16017.0
2019-11-14,1165.391,1165.391,1132.094,1148.743,34080.0
2019-11-15,1159.842,1165.391,1143.193,1148.743,19081.0
2019-11-16,1159.842,1165.391,1143.193,1148.743,19081.0
2019-11-17,1159.842,1165.391,1143.193,1148.743,19081.0
2019-11-18,1148.743,1170.941,1143.193,1148.743,96211.0
2019-11-19,1148.743,1154.292,1137.644,1148.743,11168.0
2019-11-20,1143.193,1154.292,1132.094,1137.644,9603.0
2019-11-21,1220.886,1220.886,1126.545,1132.094,27248.0
2019-11-22,1132.094,1170.941,1126.545,1143.193,34210.0
2019-11-23,1132.094,1170.941,1126.545,1143.193,34210.0
2019-11-24,1132.094,1170.941,1126.545,1143.193,34210.0
2019-11-25,1159.842,1159.842,1120.995,1137.644,44468.0
2019-11-26,1126.545,1148.743,1120.995,1148.743,93299.0
2019-11-27,1148.743,1165.391,1148.743,1159.842,21737.0
2019-11-28,1168.007,1173.705,1156.612,1168.007,18327.0
2019-11-29,1150.914,1168.007,1145.217,1150.914,12168.0
2019-11-30,1150.914,1168.007,1145.217,1150.914,12168.0
2019-12-01,1150.914,1168.007,1145.217,1150.914,12168.0
2019-12-02,1145.217,1168.007,1134.961,1145.217,17409.0
2019-12-03,1139.519,1145.217,1084.822,1112.171,40775.0
2019-12-04,1116.729,1145.217,1109.892,1130.403,42300.0
2019-12-05,1109.892,1145.217,1109.892,1132.682,34384.0
2019-12-06,1156.612,1162.31,1145.217,1162.31,10346.0
2019-12-07,1156.612,1162.31,1145.217,1162.31,10346.0
2019-12-08,1156.612,1162.31,1145.217,1162.31,10346.0
2019-12-09,1162.31,1162.31,1139.519,1150.914,57321.0
2019-12-10,1150.914,1162.31,1109.892,1156.612,44470.0
2019-12-11,1139.519,1162.31,1130.403,1145.217,23940.0
2019-12-12,1145.217,1162.31,1145.217,1150.914,301578.0
2019-12-13,1185.1,1185.1,1145.217,1162.31,60386.0
2019-12-14,1185.1,1185.1,1145.217,1162.31,60386.0
2019-12-15,1185.1,1185.1,1145.217,1162.31,60386.0
2019-12-16,1162.31,1168.007,1150.914,1156.612,38216.0
2019-12-17,1150.914,1168.007,1150.914,1168.007,75385.0
2019-12-18,1179.402,1219.286,1173.705,1219.286,71106.0
2019-12-19,1207.89,1230.681,1207.89,1213.588,20000.0
2019-12-20,1185.1,1230.681,1185.1,1224.983,23989.0
2019-12-21,1185.1,1230.681,1185.1,1224.983,23989.0
2019-12-22,1185.1,1230.681,1185.1,1224.983,23989.0
2019-12-23,1230.681,1230.681,1207.89,1230.681,15388.0
2019-12-24,1219.286,1230.681,1219.286,1224.983,7227.0
2019-12-25,1219.286,1230.681,1219.286,1224.983,7227.0
2019-12-26,1219.286,1230.681,1219.286,1224.983,7227.0
2019-12-27,1230.681,1236.378,1219.286,1236.378,12750.0
2019-12-28,1230.681,1236.378,1219.286,1236.378,12750.0
2019-12-29,1230.681,1236.378,1219.286,1236.378,12750.0
2019-12-30,1224.983,1242.076,1219.286,1224.983,38914.0
2019-12-31,1219.286,1230.681,1202.193,1213.588,16801.0
2020-01-01,1219.286,1230.681,1202.193,1213.588,16801.0
2020-01-02,1230.681,1230.681,1190.798,1202.193,19011.0
2020-01-03,1196.495,1230.681,1196.495,1207.89,31488.0
2020-01-04,1196.495,1230.681,1196.495,1207.89,31488.0
2020-01-05,1196.495,1230.681,1196.495,1207.89,31488.0
2020-01-06,1207.89,1259.169,1202.193,1207.89,35824.0
2020-01-07,1207.89,1224.983,1202.193,1207.89,24568.0
2020-01-08,1224.983,1259.169,1202.193,1224.983,39992.0
2020-01-09,1224.983,1224.983,1196.495,1202.193,78093.0
2020-01-10,1196.495,1219.286,1196.495,1202.193,31529.0
2020-01-11,1196.495,1219.286,1196.495,1202.193,31529.0
2020-01-12,1196.495,1219.286,1196.495,1202.193,31529.0
2020-01-13,1219.286,1230.681,1202.193,1207.89,31573.0
2020-01-14,1207.89,1207.89,1190.798,1190.798,26584.0
2020-01-15,1219.286,1219.286,1179.402,1179.402,27826.0
2020-01-16,1207.89,1207.89,1179.402,1190.798,19495.0
2020-01-17,1190.798,1196.495,1156.612,1173.705,45103.0
2020-01-18,1190.798,1196.495,1156.612,1173.705,45103.0
2020-01-19,1190.798,1196.495,1156.612,1173.705,45103.0
2020-01-20,1168.007,1179.402,1162.31,1173.705,52365.0
2020-01-21,1162.31,1173.705,1150.914,1162.31,77824.0
2020-01-22,1150.914,1173.705,1150.914,1156.612,42150.0
2020-01-23,1156.612,1156.612,1084.822,1093.938,143461.0
2020-01-24,1116.729,1116.729,1082.543,1087.101,55982.0
2020-01-25,1116.729,1116.729,1082.543,1087.101,55982.0
2020-01-26,1116.729,1116.729,1082.543,1087.101,55982.0
2020-01-27,1125.845,1125.845,1057.474,1071.148,41815.0
2020-01-28,1087.101,1087.101,1055.195,1057.474,65519.0
2020-01-29,1066.59,1084.822,1027.846,1084.822,87448.0
2020-01-30,1071.148,1082.543,1048.358,1066.59,256005.0
2020-01-31,1066.59,1066.59,1025.567,1027.846,66898.0
2020-02-01,1066.59,1066.59,1025.567,1027.846,66898.0
2020-02-02,1066.59,1066.59,1025.567,1027.846,66898.0
2020-02-03,1036.962,1036.962,1005.056,1016.451,55195.0
2020-02-04,1043.8,1082.543,1039.241,1050.637,47784.0
2020-02-05,1062.032,1062.032,1036.962,1043.8,60609.0
2020-02-06,1052.916,1057.474,1025.567,1030.125,42269.0
2020-02-07,1046.079,1080.264,1005.056,1023.288,141913.0
2020-02-08,1046.079,1080.264,1005.056,1023.288,141913.0
2020-02-09,1046.079,1080.264,1005.056,1023.288,141913.0
2020-02-10,1014.172,1034.683,991.382,991.382,70226.0
2020-02-11,991.382,1000.498,970.87,995.94,63508.0
2020-02-12,998.219,998.219,982.266,989.103,52579.0
2020-02-13,991.382,991.382,957.196,959.475,62004.0
2020-02-14,968.591,1014.172,957.196,995.94,327626.0
2020-02-15,968.591,1014.172,957.196,995.94,327626.0
2020-02-16,968.591,1014.172,957.196,995.94,327626.0
2020-02-17,1002.777,1018.73,991.382,1000.498,31600.0
2020-02-18,1002.777,1007.335,975.428,989.103,35344.0
2020-02-19,995.94,995.94,964.033,991.382,34981.0
2020-02-20,998.219,1025.567,989.103,1025.567,51004.0
2020-02-21,1030.125,1041.521,1021.009,1036.962,46845.0
2020-02-22,1030.125,1041.521,1021.009,1036.962,46845.0
2020-02-23,1030.125,1041.521,1021.009,1036.962,46845.0
2020-02-24,1025.567,1025.567,1000.498,1025.567,49894.0
2020-02-25,1052.916,1080.264,1023.288,1048.358,63031.0
2020-02-26,1030.125,1036.962,991.382,1023.288,106604.0
2020-02-27,1025.567,1025.567,973.149,973.149,105357.0
2020-02-28,954.917,991.382,902.499,907.057,245668.0
2020-02-29,954.917,991.382,902.499,907.057,245668.0
2020-03-01,954.917,991.382,902.499,907.057,245668.0
2020-03-02,911.615,941.243,884.267,895.662,122239.0
2020-03-03,900.22,936.685,895.662,895.662,129955.0
2020-03-04,897.941,934.406,895.662,916.173,117113.0
2020-03-05,922.371,922.371,842.164,849.241,152845.0
2020-03-06,837.446,877.549,835.087,856.318,233330.0
2020-03-07,837.446,877.549,835.087,856.318,233330.0
2020-03-08,837.446,877.549,835.087,856.318,233330.0
2020-03-09,754.881,858.677,651.085,771.394,189935.0
2020-03-10,802.061,802.061,776.112,785.548,340689.0
2020-03-11,790.266,811.497,787.907,799.702,162113.0
