,MONY LN Equity,MONY LN Equity,MONY LN Equity,MONY LN Equity,MONY LN Equity
2010-03-24,35.904,36.405,34.374,35.693,224117.0
2010-03-25,36.432,36.432,34.954,35.614,764738.0
2010-03-26,35.35,36.01,34.611,35.508,14845891.0
2010-03-27,35.35,36.01,34.611,35.508,14845891.0
2010-03-28,35.35,36.01,34.611,35.508,14845891.0
2010-03-29,36.3,36.3,35.35,36.247,178889.0
2010-03-30,35.878,36.669,35.719,35.799,213371.0
2010-03-31,36.669,36.775,35.535,35.878,396105.0
2010-04-01,35.403,36.933,35.403,36.405,779982.0
2010-04-02,35.403,36.933,35.403,36.405,779982.0
2010-04-03,35.403,36.933,35.403,36.405,779982.0
2010-04-04,35.403,36.933,35.403,36.405,779982.0
2010-04-05,35.403,36.933,35.403,36.405,779982.0
2010-04-06,36.405,37.461,36.405,37.461,996707.0
2010-04-07,37.461,41.022,37.118,39.571,1239627.0
2010-04-08,39.571,40.046,38.516,39.307,656968.0
2010-04-09,39.914,41.893,39.571,40.099,1523845.0
2010-04-10,39.914,41.893,39.571,40.099,1523845.0
2010-04-11,39.914,41.893,39.571,40.099,1523845.0
2010-04-12,41.101,41.127,39.123,40.468,657274.0
2010-04-13,39.65,41.893,39.334,39.835,1709211.0
2010-04-14,39.571,40.099,39.307,39.967,141032.0
2010-04-15,39.571,40.547,39.043,39.914,137396.0
2010-04-16,40.494,40.521,39.149,39.571,778240.0
2010-04-17,40.494,40.521,39.149,39.571,778240.0
2010-04-18,40.494,40.521,39.149,39.571,778240.0
2010-04-19,38.357,39.756,38.357,39.228,686803.0
2010-04-20,39.861,40.099,38.991,39.571,173126.0
2010-04-21,39.808,40.257,39.07,39.096,2222746.0
2010-04-22,39.914,39.914,37.592,38.7,561920.0
2010-04-23,39.439,39.861,38.226,39.835,390437.0
2010-04-24,39.439,39.861,38.226,39.835,390437.0
2010-04-25,39.439,39.861,38.226,39.835,390437.0
2010-04-26,37.988,39.94,37.988,39.571,295902.0
2010-04-27,40.099,40.494,38.489,38.7,436679.0
2010-04-28,38.226,40.231,37.461,39.571,284123.0
2010-04-29,39.571,40.099,38.173,38.964,223648.0
2010-04-30,39.571,39.571,38.041,39.202,188000.0
2010-05-01,39.571,39.571,38.041,39.202,188000.0
2010-05-02,39.571,39.571,38.041,39.202,188000.0
2010-05-03,39.571,39.571,38.041,39.202,188000.0
2010-05-04,40.362,40.362,37.856,38.516,153091.0
2010-05-05,39.096,39.096,36.432,37.909,146658.0
2010-05-06,36.511,38.911,36.511,37.988,119288.0
2010-05-07,36.142,37.883,34.559,36.115,2350367.0
2010-05-08,36.142,37.883,34.559,36.115,2350367.0
2010-05-09,36.142,37.883,34.559,36.115,2350367.0
2010-05-10,36.88,38.569,36.3,37.329,253915.0
2010-05-11,37.012,37.883,35.93,37.645,159092.0
2010-05-12,37.935,37.935,36.933,37.355,4758824.0
2010-05-13,37.777,37.777,36.933,36.933,166014.0
2010-05-14,37.276,37.276,36.168,36.854,256661.0
2010-05-15,37.276,37.276,36.168,36.854,256661.0
2010-05-16,37.276,37.276,36.168,36.854,256661.0
2010-05-17,37.012,37.012,36.379,36.379,114251.0
2010-05-18,37.434,37.434,35.403,36.669,72203.0
2010-05-19,36.194,36.643,35.878,36.01,192412.0
2010-05-20,35.904,36.01,33.503,33.688,1217425.0
2010-05-21,34.691,34.691,33.24,33.372,602911.0
2010-05-22,34.691,34.691,33.24,33.372,602911.0
2010-05-23,34.691,34.691,33.24,33.372,602911.0
2010-05-24,33.767,33.767,33.372,33.503,92042.0
2010-05-25,33.503,33.503,32.184,33.161,181451.0
2010-05-26,32.211,33.081,32.184,32.712,766364.0
2010-05-27,32.976,33.002,32.211,33.002,588720.0
2010-05-28,34.532,34.532,32.184,32.184,200538.0
2010-05-29,34.532,34.532,32.184,32.184,200538.0
2010-05-30,34.532,34.532,32.184,32.184,200538.0
2010-05-31,34.532,34.532,32.184,32.184,200538.0
2010-06-01,32.448,34.453,32.184,34.295,220414.0
2010-06-02,33.556,34.295,33.266,33.767,87822.0
2010-06-03,33.767,35.139,33.688,34.48,170527.0
2010-06-04,34.638,36.01,34.321,35.35,180234.0
2010-06-05,34.638,36.01,34.321,35.35,180234.0
2010-06-06,34.638,36.01,34.321,35.35,180234.0
2010-06-07,34.374,35.878,34.11,35.614,557404.0
2010-06-08,35.245,36.933,34.321,35.614,1011272.0
2010-06-09,36.142,36.669,35.772,36.379,1169685.0
2010-06-10,35.719,36.933,35.719,36.669,340837.0
2010-06-11,36.511,36.88,35.878,36.59,190918.0
2010-06-12,36.511,36.88,35.878,36.59,190918.0
2010-06-13,36.511,36.88,35.878,36.59,190918.0
2010-06-14,35.588,36.959,35.588,36.933,365801.0
2010-06-15,36.933,39.571,36.511,38.621,639396.0
2010-06-16,38.015,39.888,38.015,39.861,149026.0
2010-06-17,37.645,40.178,37.645,38.7,398798.0
2010-06-18,39.307,39.914,37.751,39.914,911011.0
2010-06-19,39.307,39.914,37.751,39.914,911011.0
2010-06-20,39.307,39.914,37.751,39.914,911011.0
2010-06-21,39.571,40.969,39.545,40.626,433416.0
2010-06-22,39.729,41.075,39.043,40.89,522322.0
2010-06-23,38.806,43.264,38.806,41.629,2971562.0
2010-06-24,41.47,42.288,39.967,40.019,154390.0
2010-06-25,39.677,39.677,38.885,39.07,175198.0
2010-06-26,39.677,39.677,38.885,39.07,175198.0
2010-06-27,39.677,39.677,38.885,39.07,175198.0
2010-06-28,39.492,39.993,38.885,39.043,236639.0
2010-06-29,37.988,38.806,37.988,38.173,161272.0
2010-06-30,37.935,38.516,37.355,38.015,167805.0
2010-07-01,37.144,37.856,36.168,36.168,116854.0
2010-07-02,36.168,39.307,35.983,38.727,536973.0
2010-07-03,36.168,39.307,35.983,38.727,536973.0
2010-07-04,36.168,39.307,35.983,38.727,536973.0
2010-07-05,39.571,39.571,37.645,37.988,243636.0
2010-07-06,37.566,37.988,36.669,37.197,166415.0
2010-07-07,37.065,37.197,36.273,36.669,535253.0
2010-07-08,37.197,37.197,36.326,36.458,269526.0
2010-07-09,36.801,36.88,35.799,35.799,622890.0
2010-07-10,36.801,36.88,35.799,35.799,622890.0
2010-07-11,36.801,36.88,35.799,35.799,622890.0
2010-07-12,36.616,36.616,35.376,35.429,284602.0
2010-07-13,35.086,36.907,35.086,35.535,168894.0
2010-07-14,35.086,35.508,34.057,34.057,293613.0
2010-07-15,34.902,35.64,34.875,35.06,128999.0
2010-07-16,34.902,35.086,34.4,34.928,270371.0
2010-07-17,34.902,35.086,34.4,34.928,270371.0
2010-07-18,34.902,35.086,34.4,34.928,270371.0
2010-07-19,34.031,34.875,34.031,34.664,64770.0
2010-07-20,34.585,35.271,33.741,35.165,188836.0
2010-07-21,35.165,35.324,34.321,34.321,130406.0
2010-07-22,35.64,35.64,34.559,34.559,130050.0
2010-07-23,35.35,35.614,34.427,34.427,94090.0
2010-07-24,35.35,35.614,34.427,34.427,94090.0
2010-07-25,35.35,35.614,34.427,34.427,94090.0
2010-07-26,35.64,35.64,34.348,34.822,44496.0
2010-07-27,35.667,36.511,34.875,35.904,502544.0
2010-07-28,35.957,36.247,34.585,35.403,163480.0
2010-07-29,36.88,36.88,34.796,36.643,129144.0
2010-07-30,35.983,36.933,35.878,36.933,118929.0
2010-07-31,35.983,36.933,35.878,36.933,118929.0
2010-08-01,35.983,36.933,35.878,36.933,118929.0
2010-08-02,37.461,37.566,35.456,36.405,238867.0
2010-08-03,36.801,37.091,35.772,36.273,87305.0
2010-08-04,35.799,36.722,35.667,36.537,201082.0
2010-08-05,36.854,39.888,36.854,39.017,615735.0
2010-08-06,38.489,40.072,38.463,39.307,278670.0
2010-08-07,38.489,40.072,38.463,39.307,278670.0
2010-08-08,38.489,40.072,38.463,39.307,278670.0
2010-08-09,39.571,40.257,38.146,40.257,182700.0
2010-08-10,39.677,40.046,38.516,39.07,181014.0
2010-08-11,38.753,39.202,37.487,38.437,376303.0
2010-08-12,37.935,38.542,35.957,38.41,411710.0
2010-08-13,36.88,38.357,36.88,38.357,81887.0
2010-08-14,36.88,38.357,36.88,38.357,81887.0
2010-08-15,36.88,38.357,36.88,38.357,81887.0
2010-08-16,37.909,38.305,37.619,38.12,188969.0
2010-08-17,38.384,39.571,38.357,39.571,94402.0
2010-08-18,39.195,40.108,38.9,39.732,286136.0
2010-08-19,38.792,39.759,38.229,38.363,187919.0
2010-08-20,38.363,39.222,37.423,38.121,178375.0
2010-08-21,38.363,39.222,37.423,38.121,178375.0
2010-08-22,38.363,39.222,37.423,38.121,178375.0
2010-08-23,39.276,39.276,38.443,39.195,292152.0
2010-08-24,39.115,39.115,37.584,37.745,548196.0
2010-08-25,38.927,38.927,38.094,38.175,305531.0
2010-08-26,38.121,39.786,38.121,38.98,468523.0
2010-08-27,39.974,39.974,38.256,38.685,159316.0
2010-08-28,39.974,39.974,38.256,38.685,159316.0
2010-08-29,39.974,39.974,38.256,38.685,159316.0
2010-08-30,39.974,39.974,38.256,38.685,159316.0
2010-08-31,38.39,39.732,38.148,39.49,395138.0
2010-09-01,39.49,39.517,37.692,38.39,400846.0
2010-09-02,38.148,39.007,38.148,38.47,159444.0
2010-09-03,38.121,38.9,37.96,38.39,83133.0
2010-09-04,38.121,38.9,37.96,38.39,83133.0
2010-09-05,38.121,38.9,37.96,38.39,83133.0
2010-09-06,37.611,39.168,37.611,38.766,119581.0
2010-09-07,38.658,39.195,38.041,38.39,220808.0
2010-09-08,38.927,40.806,38.524,40.806,1412521.0
2010-09-09,40.806,43.491,39.544,42.095,518887.0
2010-09-10,41.907,44.564,41.772,44.001,369280.0
2010-09-11,41.907,44.564,41.772,44.001,369280.0
2010-09-12,41.907,44.564,41.772,44.001,369280.0
2010-09-13,41.343,44.564,41.343,44.564,396619.0
2010-09-14,43.222,44.35,42.524,43.41,536263.0
2010-09-15,42.739,46.068,42.551,45.584,462210.0
2010-09-16,45.101,45.423,44.323,45.074,292287.0
2010-09-17,46.98,49.746,44.833,44.833,2212899.0
2010-09-18,46.98,49.746,44.833,44.833,2212899.0
2010-09-19,46.98,49.746,44.833,44.833,2212899.0
2010-09-20,44.725,47.249,43.329,46.631,528370.0
2010-09-21,46.631,46.98,44.001,46.712,445240.0
2010-09-22,47.786,47.786,46.148,46.444,581619.0
2010-09-23,46.256,46.444,45.772,45.826,1329133.0
2010-09-24,44.967,46.148,44.967,45.88,223907.0
2010-09-25,44.967,46.148,44.967,45.88,223907.0
2010-09-26,44.967,46.148,44.967,45.88,223907.0
2010-09-27,45.987,45.987,44.296,44.296,447089.0
2010-09-28,44.376,44.484,43.383,43.571,154920.0
2010-09-29,43.437,43.759,43.115,43.491,536721.0
2010-09-30,43.034,44.001,43.034,44.001,576328.0
2010-10-01,44.189,44.537,43.195,43.249,164563.0
2010-10-02,44.189,44.537,43.195,43.249,164563.0
2010-10-03,44.189,44.537,43.195,43.249,164563.0
2010-10-04,43.893,43.893,42.39,43.464,1902054.0
2010-10-05,43.813,43.974,43.356,43.356,193225.0
2010-10-06,44.189,44.189,42.551,43.491,421705.0
2010-10-07,42.175,43.974,42.175,43.329,499504.0
2010-10-08,42.712,43.222,42.551,43.007,810818.0
2010-10-09,42.712,43.222,42.551,43.007,810818.0
2010-10-10,42.712,43.222,42.551,43.007,810818.0
2010-10-11,42.578,43.329,42.578,42.954,2321016.0
2010-10-12,42.712,43.276,42.282,42.739,249651.0
2010-10-13,42.363,42.954,42.363,42.444,7204101.0
2010-10-14,44.001,45.101,43.571,44.591,2170583.0
2010-10-15,44.564,44.564,43.759,43.947,7383819.0
2010-10-16,44.564,44.564,43.759,43.947,7383819.0
2010-10-17,44.564,44.564,43.759,43.947,7383819.0
2010-10-18,44.054,44.564,44.027,44.296,1337181.0
2010-10-19,44.296,44.618,44.027,44.296,4751632.0
2010-10-20,44.296,45.772,44.189,45.772,908085.0
2010-10-21,44.779,46.685,44.779,45.772,460764.0
2010-10-22,46.444,46.551,46.068,46.202,343226.0
2010-10-23,46.444,46.551,46.068,46.202,343226.0
2010-10-24,46.444,46.551,46.068,46.202,343226.0
2010-10-25,46.444,48.323,45.101,45.88,2470762.0
2010-10-26,45.262,45.638,44.618,45.209,104056.0
2010-10-27,45.611,45.88,44.833,44.994,14642986.0
2010-10-28,45.45,45.45,44.672,44.94,63553.0
2010-10-29,44.323,45.182,43.759,44.886,102832.0
2010-10-30,44.323,45.182,43.759,44.886,102832.0
2010-10-31,44.323,45.182,43.759,44.886,102832.0
2010-11-01,45.343,46.47,45.343,46.282,157243.0
2010-11-02,46.39,46.631,46.095,46.095,159880.0
2010-11-03,46.121,46.121,45.316,45.692,190458.0
2010-11-04,46.739,46.739,46.041,46.336,98233.0
2010-11-05,46.47,46.9,45.772,45.987,141309.0
2010-11-06,46.47,46.9,45.772,45.987,141309.0
2010-11-07,46.47,46.9,45.772,45.987,141309.0
2010-11-08,45.531,47.759,45.531,47.517,404647.0
2010-11-09,47.517,47.571,46.444,46.98,294052.0
2010-11-10,46.98,47.544,45.907,46.309,57440.0
2010-11-11,45.665,46.282,45.558,45.558,195144.0
2010-11-12,45.665,46.39,45.37,46.336,190017.0
2010-11-13,45.665,46.39,45.37,46.336,190017.0
2010-11-14,45.665,46.39,45.37,46.336,190017.0
2010-11-15,46.819,46.846,45.692,45.692,244415.0
2010-11-16,45.504,45.638,43.276,43.92,491828.0
2010-11-17,42.954,44.027,42.954,43.893,440874.0
2010-11-18,43.759,44.376,41.987,42.148,489100.0
2010-11-19,41.772,42.524,41.692,42.202,362867.0
2010-11-20,41.772,42.524,41.692,42.202,362867.0
2010-11-21,41.772,42.524,41.692,42.202,362867.0
2010-11-22,42.282,42.927,41.933,42.417,166278.0
2010-11-23,42.685,42.685,41.665,42.417,173882.0
2010-11-24,43.437,43.732,43.061,43.491,1539408.0
2010-11-25,43.652,43.705,43.142,43.544,1583872.0
2010-11-26,43.249,43.383,42.98,43.356,281056.0
2010-11-27,43.249,43.383,42.98,43.356,281056.0
2010-11-28,43.249,43.383,42.98,43.356,281056.0
2010-11-29,43.437,43.437,42.766,42.766,1691277.0
2010-11-30,44.699,44.699,42.175,42.846,277314.0
2010-12-01,43.195,43.383,42.47,43.303,50729.0
2010-12-02,43.276,43.866,43.061,43.303,2302228.0
2010-12-03,42.739,43.759,42.524,43.759,621097.0
2010-12-04,42.739,43.759,42.524,43.759,621097.0
2010-12-05,42.739,43.759,42.524,43.759,621097.0
2010-12-06,43.383,43.544,43.115,43.437,64383.0
2010-12-07,43.866,44.564,42.954,44.242,1140030.0
2010-12-08,44.135,44.135,43.195,43.222,577340.0
2010-12-09,43.598,43.598,43.007,43.491,2220777.0
2010-12-10,42.766,43.437,42.766,43.007,2756935.0
2010-12-11,42.766,43.437,42.766,43.007,2756935.0
2010-12-12,42.766,43.437,42.766,43.007,2756935.0
2010-12-13,42.819,44.001,42.605,43.383,527002.0
2010-12-14,42.766,43.625,42.39,42.954,2459377.0
2010-12-15,42.417,42.712,42.095,42.712,165372.0
2010-12-16,42.148,42.846,42.148,42.712,78221.0
2010-12-17,42.9,42.954,41.826,42.9,1151636.0
2010-12-18,42.9,42.954,41.826,42.9,1151636.0
2010-12-19,42.9,42.954,41.826,42.9,1151636.0
2010-12-20,42.175,42.954,42.175,42.954,301783.0
2010-12-21,42.631,42.954,42.417,42.551,343483.0
2010-12-22,42.658,42.954,42.336,42.417,400369.0
2010-12-23,42.417,42.417,41.933,42.148,528718.0
2010-12-24,41.88,42.014,41.88,42.014,156131.0
2010-12-25,41.88,42.014,41.88,42.014,156131.0
2010-12-26,41.88,42.014,41.88,42.014,156131.0
2010-12-27,41.88,42.014,41.88,42.014,156131.0
2010-12-28,41.88,42.014,41.88,42.014,156131.0
2010-12-29,42.47,42.47,41.88,41.88,776551.0
2010-12-30,41.88,42.39,41.021,41.182,718589.0
2010-12-31,41.343,41.88,41.048,41.88,33456.0
2011-01-01,41.343,41.88,41.048,41.88,33456.0
2011-01-02,41.343,41.88,41.048,41.88,33456.0
2011-01-03,41.343,41.88,41.048,41.88,33456.0
2011-01-04,41.826,41.88,40.994,40.994,710389.0
2011-01-05,40.86,40.86,40.269,40.618,1090543.0
2011-01-06,40.537,41.343,40.537,41.048,487891.0
2011-01-07,41.907,41.907,40.94,41.074,2263153.0
2011-01-08,41.907,41.907,40.94,41.074,2263153.0
2011-01-09,41.907,41.907,40.94,41.074,2263153.0
2011-01-10,41.074,41.45,40.806,40.967,110272.0
2011-01-11,41.343,41.531,41.074,41.531,4277888.0
2011-01-12,42.954,46.121,42.954,46.041,23801611.0
2011-01-13,45.048,46.47,44.833,46.47,252916.0
2011-01-14,45.423,46.712,45.423,46.712,108649.0
2011-01-15,45.423,46.712,45.423,46.712,108649.0
2011-01-16,45.423,46.712,45.423,46.712,108649.0
2011-01-17,46.39,46.819,45.558,46.631,300172.0
2011-01-18,46.98,47.84,46.954,47.813,349554.0
2011-01-19,47.786,47.974,47.249,47.732,664119.0
2011-01-20,48.511,48.511,47.142,47.249,179729.0
2011-01-21,47.249,47.652,46.309,47.625,362849.0
2011-01-22,47.249,47.652,46.309,47.625,362849.0
2011-01-23,47.249,47.652,46.309,47.625,362849.0
2011-01-24,47.759,48.323,46.256,46.658,130671.0
2011-01-25,46.202,46.202,45.638,46.121,204630.0
2011-01-26,46.98,47.571,46.658,47.034,185097.0
2011-01-27,47.276,47.598,46.712,47.517,127751.0
2011-01-28,47.383,47.786,46.98,47.732,1215773.0
2011-01-29,47.383,47.786,46.98,47.732,1215773.0
2011-01-30,47.383,47.786,46.98,47.732,1215773.0
2011-01-31,47.652,48.001,47.652,48.001,547459.0
2011-02-01,47.705,48.645,47.625,47.947,224558.0
2011-02-02,48.35,49.155,48.054,48.323,508932.0
2011-02-03,47.625,48.403,46.605,47.222,1268352.0
2011-02-04,47.249,47.813,46.927,47.437,87533.0
2011-02-05,47.249,47.813,46.927,47.437,87533.0
2011-02-06,47.249,47.813,46.927,47.437,87533.0
2011-02-07,46.98,48.591,46.98,47.571,70374.0
2011-02-08,48.001,48.323,47.571,47.947,4446536.0
2011-02-09,48.323,49.236,47.544,48.672,680421.0
2011-02-10,48.403,49.289,48.081,48.538,102843.0
2011-02-11,48.913,49.316,48.913,49.101,196713.0
2011-02-12,48.913,49.316,48.913,49.101,196713.0
2011-02-13,48.913,49.316,48.913,49.101,196713.0
2011-02-14,49.074,49.289,48.215,48.511,121842.0
2011-02-15,48.699,49.262,47.786,48.054,96312.0
2011-02-16,47.571,48.699,47.571,48.242,62808.0
2011-02-17,47.544,48.242,47.544,47.84,639166.0
2011-02-18,48.484,50.014,48.484,49.101,652924.0
2011-02-19,48.484,50.014,48.484,49.101,652924.0
2011-02-20,48.484,50.014,48.484,49.101,652924.0
2011-02-21,48.645,49.048,47.947,48.296,170631.0
2011-02-22,47.007,48.591,47.007,47.464,556279.0
2011-02-23,47.007,47.84,46.712,46.712,190156.0
2011-02-24,46.766,46.793,44.457,45.531,3698047.0
2011-02-25,45.96,47.168,45.101,47.168,4766545.0
2011-02-26,45.96,47.168,45.101,47.168,4766545.0
2011-02-27,45.96,47.168,45.101,47.168,4766545.0
2011-02-28,47.329,49.397,47.249,48.618,2816589.0
2011-03-01,48.752,49.021,47.571,47.786,876465.0
2011-03-02,48.511,48.645,46.336,48.027,5347548.0
2011-03-03,48.323,49.182,47.142,48.323,8799167.0
2011-03-04,48.376,49.423,48.376,49.37,2072996.0
2011-03-05,48.376,49.423,48.376,49.37,2072996.0
2011-03-06,48.376,49.423,48.376,49.37,2072996.0
2011-03-07,49.45,49.45,48.511,49.182,129805.0
2011-03-08,49.558,49.853,48.511,48.86,692464.0
2011-03-09,49.236,49.236,47.356,48.538,10862201.0
2011-03-10,48.511,48.511,47.893,48.108,128782.0
2011-03-11,47.84,48.833,47.517,47.517,169475.0
2011-03-12,47.84,48.833,47.517,47.517,169475.0
2011-03-13,47.84,48.833,47.517,47.517,169475.0
2011-03-14,47.786,48.296,47.356,47.786,985033.0
2011-03-15,46.363,47.866,45.638,47.464,8947722.0
2011-03-16,46.9,48.43,46.9,47.383,1314443.0
2011-03-17,47.786,48.162,47.249,47.383,438239.0
2011-03-18,46.739,47.276,45.746,46.954,1231980.0
2011-03-19,46.739,47.276,45.746,46.954,1231980.0
2011-03-20,46.739,47.276,45.746,46.954,1231980.0
2011-03-21,47.249,47.356,46.202,46.739,635772.0
2011-03-22,47.303,47.303,46.497,46.873,759346.0
2011-03-23,47.893,47.974,45.692,45.88,1264586.0
2011-03-24,46.336,46.712,45.907,46.336,1200021.0
2011-03-25,46.497,46.954,46.229,46.766,2774344.0
2011-03-26,46.497,46.954,46.229,46.766,2774344.0
2011-03-27,46.497,46.954,46.229,46.766,2774344.0
2011-03-28,47.437,47.437,46.578,46.766,2614654.0
2011-03-29,47.276,47.464,46.712,47.41,714799.0
2011-03-30,47.142,48.135,46.927,47.168,585885.0
2011-03-31,47.249,47.491,45.96,46.041,2188756.0
2011-04-01,46.444,47.41,45.638,47.356,1406169.0
2011-04-02,46.444,47.41,45.638,47.356,1406169.0
2011-04-03,46.444,47.41,45.638,47.356,1406169.0
2011-04-04,47.517,47.974,46.551,47.732,2449179.0
2011-04-05,47.222,48.86,47.195,48.752,4244076.0
2011-04-06,48.741,50.232,48.244,50.232,837199.0
2011-04-07,49.763,50.26,48.189,48.52,381297.0
2011-04-08,49.183,49.183,46.863,48.023,1496480.0
2011-04-09,49.183,49.183,46.863,48.023,1496480.0
2011-04-10,49.183,49.183,46.863,48.023,1496480.0
2011-04-11,48.493,49.1,47.499,47.637,219028.0
2011-04-12,47.913,48.327,47.499,48.051,170909.0
2011-04-13,49.155,50.039,48.576,49.818,271710.0
2011-04-14,49.542,50.398,47.802,49.211,818895.0
2011-04-15,48.907,49.708,48.907,49.238,203043.0
2011-04-16,48.907,49.708,48.907,49.238,203043.0
2011-04-17,48.907,49.708,48.907,49.238,203043.0
2011-04-18,48.879,48.99,48.327,48.99,240308.0
2011-04-19,48.686,49.735,48.299,49.1,673791.0
2011-04-20,49.514,50.15,48.879,49.708,151706.0
2011-04-21,49.846,49.984,49.238,49.846,37223.0
2011-04-22,49.846,49.984,49.238,49.846,37223.0
2011-04-23,49.846,49.984,49.238,49.846,37223.0
2011-04-24,49.846,49.984,49.238,49.846,37223.0
2011-04-25,49.846,49.984,49.238,49.846,37223.0
2011-04-26,50.122,51.641,50.122,51.089,104588.0
2011-04-27,51.006,51.558,50.205,51.116,250722.0
2011-04-28,51.033,52.469,51.033,52.469,1062205.0
2011-04-29,51.033,52.469,51.033,52.469,1062205.0
2011-04-30,51.033,52.469,51.033,52.469,1062205.0
2011-05-01,51.033,52.469,51.033,52.469,1062205.0
2011-05-02,51.033,52.469,51.033,52.469,1062205.0
2011-05-03,52.083,53.381,51.144,52.635,679046.0
2011-05-04,52.469,53.077,51.917,52.607,2413972.0
2011-05-05,52.884,54.375,52.884,54.126,5371304.0
2011-05-06,54.209,54.402,53.463,54.209,2737068.0
