2018-10-09,59126.38,59854.537,58252.591,58252.591,347204.0
2018-10-10,59344.827,59344.827,58252.591,58325.406,492076.0
2018-10-11,56068.119,58398.222,54684.62,55704.04,957762.0
2018-10-12,55704.04,57524.433,55339.961,56068.119,867048.0
2018-10-13,55704.04,57524.433,55339.961,56068.119,867048.0
2018-10-14,55704.04,57524.433,55339.961,56068.119,867048.0
2018-10-15,56068.119,56068.119,53155.489,53228.305,656682.0
2018-10-16,53228.305,54684.62,53228.305,54320.541,454753.0
2018-10-17,55558.408,56068.119,54611.804,55631.224,390013.0
2018-10-18,55631.224,55922.487,54975.883,55048.698,190086.0
2018-10-19,54320.541,55412.777,53883.646,54466.172,367393.0
2018-10-20,54320.541,55412.777,53883.646,54466.172,367393.0
2018-10-21,54320.541,55412.777,53883.646,54466.172,367393.0
2018-10-22,54466.172,54975.883,54393.357,54393.357,328419.0
2018-10-23,53738.015,54247.725,53446.752,53956.462,177788.0
2018-10-24,53519.568,54029.278,52791.41,52791.41,303979.0
2018-10-25,49878.781,51116.648,49514.702,49878.781,623272.0
2018-10-26,49878.781,50242.86,46456.441,47330.23,1305486.0
2018-10-27,49878.781,50242.86,46456.441,47330.23,1305486.0
2018-10-28,49878.781,50242.86,46456.441,47330.23,1305486.0
2018-10-29,45509.837,46310.81,44417.6,45000.126,439504.0
2018-10-30,43762.259,45873.915,43689.443,45218.574,746499.0
2018-10-31,45364.205,48349.65,45364.205,48349.65,1428778.0
2018-11-01,47403.046,50971.017,47403.046,50242.86,1132391.0
2018-11-02,50971.017,53738.015,50971.017,52427.332,1521013.0
2018-11-03,50971.017,53738.015,50971.017,52427.332,1521013.0
2018-11-04,50971.017,53738.015,50971.017,52427.332,1521013.0
2018-11-05,53155.489,53738.015,51699.174,52427.332,985959.0
2018-11-06,53155.489,53155.489,51699.174,52427.332,492700.0
2018-11-07,52718.595,52937.042,51553.543,52937.042,388323.0
2018-11-08,53446.752,54393.357,53155.489,54393.357,626314.0
2018-11-09,54247.725,55776.856,53883.646,55339.961,676481.0
2018-11-10,54247.725,55776.856,53883.646,55339.961,676481.0
2018-11-11,54247.725,55776.856,53883.646,55339.961,676481.0
2018-11-12,54903.067,55485.593,54684.62,55339.961,356798.0
2018-11-13,53228.305,55339.961,53228.305,55194.33,353327.0
2018-11-14,55194.33,55339.961,54611.804,55194.33,369265.0
2018-11-15,54466.172,55194.33,54247.725,54975.883,392483.0
2018-11-16,54247.725,54538.988,51335.096,51844.806,1025427.0
2018-11-17,54247.725,54538.988,51335.096,51844.806,1025427.0
2018-11-18,54247.725,54538.988,51335.096,51844.806,1025427.0
2018-11-19,52063.253,53082.673,50898.201,53082.673,420797.0
2018-11-20,52500.147,54975.883,52500.147,54611.804,650975.0
2018-11-21,54611.804,55194.33,53301.121,55194.33,587015.0
2018-11-22,54975.883,56796.276,54611.804,56068.119,655473.0
2018-11-23,56068.119,56650.644,55412.777,55412.777,116532.0
2018-11-24,56068.119,56650.644,55412.777,55412.777,116532.0
2018-11-25,56068.119,56650.644,55412.777,55412.777,116532.0
2018-11-26,55339.961,56286.566,54975.883,56068.119,392015.0
2018-11-27,56432.197,57233.17,56359.382,57014.723,519246.0
2018-11-28,56796.276,57087.539,56432.197,57014.723,221260.0
2018-11-29,57160.355,57451.618,57087.539,57305.986,616122.0
2018-11-30,57305.986,57451.618,55339.961,56650.644,772148.0
2018-12-01,57305.986,57451.618,55339.961,56650.644,772148.0
2018-12-02,57305.986,57451.618,55339.961,56650.644,772148.0
2018-12-03,57160.355,57305.986,56577.829,56577.829,252889.0
2018-12-04,56796.276,60437.063,56796.276,59708.906,910364.0
2018-12-05,58252.591,60072.984,58252.591,58762.301,500071.0
2018-12-06,58980.748,59636.09,58616.669,59272.011,332982.0
2018-12-07,59272.011,59272.011,58252.591,58252.591,325806.0
2018-12-08,59272.011,59272.011,58252.591,58252.591,325806.0
2018-12-09,59272.011,59272.011,58252.591,58252.591,325806.0
2018-12-10,58106.959,58252.591,57524.433,58252.591,448812.0
2018-12-11,59272.011,59272.011,58179.775,58471.038,184145.0
2018-12-12,58471.038,58543.854,58034.144,58471.038,266370.0
2018-12-13,58325.406,59199.195,58325.406,58471.038,211211.0
2018-12-14,58471.038,58471.038,57888.512,58106.959,126139.0
2018-12-15,58471.038,58471.038,57888.512,58106.959,126139.0
2018-12-16,58471.038,58471.038,57888.512,58106.959,126139.0
2018-12-17,58106.959,58179.775,55704.04,56432.197,599482.0
2018-12-18,55339.961,56796.276,54975.883,56432.197,420758.0
2018-12-19,56796.276,56796.276,55849.671,56432.197,282906.0
2018-12-20,55922.487,56505.013,55922.487,56359.382,239317.0
2018-12-21,55922.487,55922.487,53810.831,53810.831,1910051.0
2018-12-22,55922.487,55922.487,53810.831,53810.831,1910051.0
2018-12-23,55922.487,55922.487,53810.831,53810.831,1910051.0
2018-12-24,54611.804,55339.961,54102.094,54174.909,223834.0
2018-12-25,53155.489,53883.646,52645.779,53519.568,301951.0
2018-12-26,53228.305,53519.568,51990.437,52427.332,712322.0
2018-12-27,53810.831,53810.831,53082.673,53373.936,396097.0
2018-12-28,53738.015,54247.725,53446.752,53446.752,518947.0
2018-12-29,53738.015,54247.725,53446.752,53446.752,518947.0
2018-12-30,53738.015,54247.725,53446.752,53446.752,518947.0
2018-12-31,53738.015,54247.725,53446.752,53446.752,518947.0
2019-01-01,53738.015,54247.725,53446.752,53446.752,518947.0
2019-01-02,53665.199,53665.199,52937.042,53519.568,434746.0
2019-01-03,52500.147,53301.121,52063.253,53301.121,617773.0
2019-01-04,52427.332,54247.725,51626.359,53883.646,360932.0
2019-01-05,52427.332,54247.725,51626.359,53883.646,360932.0
2019-01-06,52427.332,54247.725,51626.359,53883.646,360932.0
2019-01-07,54320.541,54320.541,53373.936,54029.278,241839.0
2019-01-08,53883.646,54029.278,53228.305,54029.278,267098.0
2019-01-09,54247.725,54247.725,53883.646,54029.278,120536.0
2019-01-10,54247.725,54320.541,53519.568,54320.541,141115.0
2019-01-11,54538.988,55776.856,54393.357,55776.856,313937.0
2019-01-12,54538.988,55776.856,54393.357,55776.856,313937.0
2019-01-13,54538.988,55776.856,54393.357,55776.856,313937.0
2019-01-14,56796.276,56796.276,55776.856,56286.566,252096.0
2019-01-15,56068.119,58179.775,56068.119,58179.775,386763.0
2019-01-16,58179.775,59708.906,57597.249,58471.038,425607.0
