,CLX US Equity
,BEST_DIV_YLD
2020-09-14,2.62
2020-09-15,2.719
2020-09-16,2.748
2020-09-17,2.755
2020-09-18,2.737
2020-09-19,2.737
2020-09-20,2.737
2020-09-21,2.732
2020-09-22,2.683
2020-09-23,2.685
2020-09-24,2.666
2020-09-25,2.694
2020-09-26,2.694
2020-09-27,2.694
2020-09-28,2.688
2020-09-29,2.708
2020-09-30,2.711
2020-10-01,2.692
2020-10-02,2.723
2020-10-03,2.723
2020-10-04,2.723
2020-10-05,2.725
2020-10-06,2.698
2020-10-07,2.649
2020-10-08,2.677
2020-10-09,2.653
2020-10-10,2.653
2020-10-11,2.653
2020-10-12,2.645
2020-10-13,2.576
2020-10-14,2.603
2020-10-15,2.609
2020-10-16,2.65
2020-10-17,2.65
2020-10-18,2.65
2020-10-19,2.681
2020-10-20,2.705
2020-10-21,2.696
2020-10-22,2.716
2020-10-23,2.699
2020-10-24,2.699
2020-10-25,2.699
2020-10-26,2.678
2020-10-27,2.66
2020-10-28,2.715
2020-10-29,2.73
2020-10-30,2.749
2020-10-31,2.749
2020-11-01,2.749
2020-11-02,2.638
2020-11-03,2.631
2020-11-04,2.622
2020-11-05,2.622
2020-11-06,2.56
2020-11-07,2.56
2020-11-08,2.56
2020-11-09,2.865
2020-11-10,2.818
2020-11-11,2.756
2020-11-12,2.691
2020-11-13,2.693
2020-11-14,2.693
2020-11-15,2.693
2020-11-16,2.689
2020-11-17,2.67
2020-11-18,2.724
2020-11-19,2.758
2020-11-20,2.75
2020-11-21,2.75
2020-11-22,2.75
2020-11-23,2.76
2020-11-24,2.798
2020-11-25,2.781
2020-11-26,2.781
2020-11-27,2.749
2020-11-28,2.749
2020-11-29,2.749
2020-11-30,2.751
2020-12-01,2.748
2020-12-02,2.768
2020-12-03,2.775
2020-12-04,2.792
2020-12-05,2.792
2020-12-06,2.792
2020-12-07,2.783
2020-12-08,2.752
2020-12-09,2.785
2020-12-10,2.784
2020-12-11,2.768
2020-12-12,2.768
2020-12-13,2.768
2020-12-14,2.759
2020-12-15,2.75
2020-12-16,2.745
2020-12-17,2.76
2020-12-18,2.748
2020-12-19,2.748
2020-12-20,2.748
2020-12-21,2.758
2020-12-22,2.773
2020-12-23,2.76
2020-12-24,2.74
2020-12-25,2.74
2020-12-26,2.74
2020-12-27,2.74
2020-12-28,2.761
2020-12-29,2.768
2020-12-30,2.777
2020-12-31,2.765
2021-01-01,2.765
2021-01-02,2.765
2021-01-03,2.765
2021-01-04,2.786
2021-01-05,2.792
2021-01-06,2.829
2021-01-07,2.843
2021-01-08,2.822
2021-01-09,2.822
2021-01-10,2.822
2021-01-11,2.882
2021-01-12,2.875
2021-01-13,2.882
2021-01-14,2.855
2021-01-15,2.827
2021-01-16,2.827
2021-01-17,2.827
2021-01-18,2.827
2021-01-19,2.86
2021-01-20,2.854
2021-01-21,2.85
2021-01-22,2.777
2021-01-23,2.777
2021-01-24,2.777
2021-01-25,2.651
2021-01-26,2.625
2021-01-27,2.516
2021-01-28,2.668
2021-01-29,2.669
2021-01-30,2.669
2021-01-31,2.669
2021-02-01,2.662
2021-02-02,2.737
2021-02-03,2.733
2021-02-04,2.917
2021-02-05,2.955
2021-02-06,2.955
2021-02-07,2.955
2021-02-08,2.974
2021-02-09,3.016
2021-02-10,3.028
2021-02-11,3.069
2021-02-12,3.039
2021-02-13,3.039
2021-02-14,3.039
2021-02-15,3.039
2021-02-16,3.082
2021-02-17,3.01
2021-02-18,2.98
2021-02-19,3.021
2021-02-20,3.021
2021-02-21,3.021
2021-02-22,3.009
2021-02-23,3.016
2021-02-24,3.083
2021-02-25,3.118
2021-02-26,3.121
2021-02-27,3.121
2021-02-28,3.121
2021-03-01,3.143
2021-03-02,3.157
2021-03-03,3.139
2021-03-04,3.172
2021-03-05,3.065
2021-03-06,3.065
2021-03-07,3.065
2021-03-08,3.01
2021-03-09,3.044
2021-03-10,2.985
2021-03-11,3.025
2021-03-12,2.99
2021-03-13,2.99
2021-03-14,2.99
2021-03-15,2.998
2021-03-16,2.989
2021-03-17,2.981
2021-03-18,3.063
2021-03-19,3.036
2021-03-20,3.036
2021-03-21,3.036
2021-03-22,2.983
2021-03-23,2.932
2021-03-24,2.986
2021-03-25,2.962
2021-03-26,2.97
2021-03-27,2.97
2021-03-28,2.97
2021-03-29,2.895
