,STLD US Equity
2021-10-12,1.925
2021-10-13,1.944
2021-10-14,1.924
2021-10-15,1.917
2021-10-16,1.917
2021-10-17,1.917
2021-10-18,1.901
2021-10-19,1.868
2021-10-20,1.824
2021-10-21,1.881
2021-10-22,1.868
2021-10-23,1.868
2021-10-24,1.868
2021-10-25,1.768
2021-10-26,1.763
2021-10-27,1.838
2021-10-28,1.812
2021-10-29,1.795
2021-10-30,1.795
2021-10-31,1.795
2021-11-01,1.848
2021-11-02,1.891
2021-11-03,1.865
2021-11-04,1.846
2021-11-05,1.824
2021-11-06,1.824
2021-11-07,1.824
2021-11-08,1.775
2021-11-09,1.805
2021-11-10,1.834
2021-11-11,1.791
2021-11-12,1.793
2021-11-13,1.793
2021-11-14,1.793
2021-11-15,1.812
2021-11-16,1.815
2021-11-17,1.802
2021-11-18,1.783
2021-11-19,1.797
2021-11-20,1.797
2021-11-21,1.797
2021-11-22,1.692
2021-11-23,1.681
2021-11-24,1.741
2021-11-25,1.741
2021-11-26,1.786
2021-11-27,1.786
2021-11-28,1.786
2021-11-29,1.848
2021-11-30,1.897
2021-12-01,1.92
2021-12-02,1.903
2021-12-03,1.911
2021-12-04,1.911
2021-12-05,1.911
2021-12-06,1.891
2021-12-07,1.824
2021-12-08,1.852
2021-12-09,1.829
2021-12-10,1.859
2021-12-11,1.859
2021-12-12,1.859
2021-12-13,2.076
2021-12-14,2.023
2021-12-15,2.111
2021-12-16,1.99
2021-12-17,1.992
2021-12-18,1.992
2021-12-19,1.992
2021-12-20,2.093
2021-12-21,2.033
2021-12-22,2.02
2021-12-23,2.014
2021-12-24,2.014
2021-12-25,2.014
2021-12-26,2.014
2021-12-27,1.979
2021-12-28,1.993
2021-12-29,1.991
2021-12-30,1.998
2021-12-31,1.992
2022-01-01,1.992
2022-01-02,1.992
2022-01-03,2.005
2022-01-04,1.947
2022-01-05,1.874
2022-01-06,1.93
2022-01-07,1.984
2022-01-08,1.984
2022-01-09,1.984
2022-01-10,2.041
2022-01-11,2.028
2022-01-12,1.944
2022-01-13,1.968
2022-01-14,1.987
2022-01-15,1.987
2022-01-16,1.987
2022-01-17,1.987
2022-01-18,2.064
2022-01-19,2.097
2022-01-20,2.171
2022-01-21,2.357
2022-01-22,2.357
2022-01-23,2.357
2022-01-24,2.26
2022-01-25,2.378
2022-01-26,2.357
2022-01-27,2.304
2022-01-28,2.234
2022-01-29,2.234
2022-01-30,2.234
2022-01-31,2.205
2022-02-01,2.125
2022-02-02,2.069
2022-02-03,2.079
2022-02-04,2.077
2022-02-05,2.077
2022-02-06,2.077
2022-02-07,2.098
2022-02-08,2.02
2022-02-09,1.957
2022-02-10,1.995
2022-02-11,2.016
2022-02-12,2.016
2022-02-13,2.016
2022-02-14,1.987
2022-02-15,1.919
2022-02-16,1.904
2022-02-17,1.935
2022-02-18,1.914
2022-02-19,1.914
2022-02-20,1.914
2022-02-21,1.914
2022-02-22,1.942
2022-02-23,1.969
2022-02-24,1.935
2022-02-25,1.774
2022-02-26,1.774
2022-02-27,1.774
2022-02-28,1.734
2022-03-01,1.696
2022-03-02,1.617
2022-03-03,1.578
2022-03-04,1.572
2022-03-05,1.572
2022-03-06,1.572
2022-03-07,1.681
2022-03-08,1.739
2022-03-09,1.691
2022-03-10,1.681
2022-03-11,1.687
2022-03-12,1.687
2022-03-13,1.687
2022-03-14,1.702
2022-03-15,1.72
2022-03-16,1.676
2022-03-17,1.551
2022-03-18,1.493
2022-03-19,1.493
2022-03-20,1.493
2022-03-21,1.476
2022-03-22,1.493
2022-03-23,1.471
2022-03-24,1.418
2022-03-25,1.405
2022-03-26,1.405
2022-03-27,1.405
2022-03-28,1.442
2022-03-29,1.494
2022-03-30,1.497
2022-03-31,1.501
2022-04-01,1.473
2022-04-02,1.473
2022-04-03,1.473
2022-04-04,1.498
2022-04-05,1.517
2022-04-06,1.524
2022-04-07,1.497
2022-04-08,1.505
2022-04-09,1.505
2022-04-10,1.505
2022-04-11,1.497
2022-04-12,1.479
2022-04-13,1.434
2022-04-14,1.54
2022-04-15,1.54
2022-04-16,1.54
2022-04-17,1.54
2022-04-18,1.503
2022-04-19,1.479
2022-04-20,1.487
2022-04-21,1.503
2022-04-22,1.61
2022-04-23,1.61
2022-04-24,1.61
2022-04-25,1.615
2022-04-26,1.648
2022-04-27,1.638
2022-04-28,1.61
2022-04-29,1.683
2022-04-30,1.683
2022-05-01,1.683
2022-05-02,1.725
2022-05-03,1.671
2022-05-04,1.612
2022-05-05,1.773
2022-05-06,1.811
2022-05-07,1.811
2022-05-08,1.811
2022-05-09,1.869
2022-05-10,1.873
2022-05-11,1.915
2022-05-12,1.931
2022-05-13,1.947
2022-05-14,1.947
2022-05-15,1.947
2022-05-16,1.921
2022-05-17,1.839
2022-05-18,1.901
2022-05-19,1.905
2022-05-20,1.901
2022-05-21,1.901
2022-05-22,1.901
2022-05-23,1.847
2022-05-24,1.848
2022-05-25,1.789
2022-05-26,1.71
2022-05-27,1.644
2022-05-28,1.644
2022-05-29,1.644
2022-05-30,1.644
2022-05-31,1.752
2022-06-01,1.781
2022-06-02,1.76
2022-06-03,1.803
2022-06-04,1.803
2022-06-05,1.803
2022-06-06,1.816
2022-06-07,1.743
2022-06-08,1.839
2022-06-09,1.948
2022-06-10,2.018
2022-06-11,2.018
2022-06-12,2.018
2022-06-13,2.119
2022-06-14,2.106
2022-06-15,2.06
2022-06-16,2.124
2022-06-17,2.066
2022-06-18,2.066
2022-06-19,2.066
2022-06-20,2.066
2022-06-21,2.099
2022-06-22,2.202
2022-06-23,2.25
2022-06-24,2.155
2022-06-25,2.155
2022-06-26,2.155
2022-06-27,2.142
2022-06-28,2.204
2022-06-29,2.21
2022-06-30,2.233
2022-07-01,2.23
2022-07-02,2.23
2022-07-03,2.23
2022-07-04,2.23
2022-07-05,2.29
2022-07-06,2.293
2022-07-07,2.218
2022-07-08,2.232
2022-07-09,2.232
2022-07-10,2.232
2022-07-11,2.241
2022-07-12,2.248
2022-07-13,2.196
2022-07-14,2.24
2022-07-15,2.202
2022-07-16,2.202
2022-07-17,2.202
2022-07-18,2.181
2022-07-19,2.217
2022-07-20,2.185
2022-07-21,2.104
2022-07-22,2.234
2022-07-23,2.234
2022-07-24,2.234
2022-07-25,2.126
2022-07-26,2.111
2022-07-27,2.043
2022-07-28,2.006
2022-07-29,1.911
2022-07-30,1.911
2022-07-31,1.911
2022-08-01,1.923
2022-08-02,1.944
2022-08-03,1.949
2022-08-04,1.921
2022-08-05,1.889
2022-08-06,1.889
2022-08-07,1.889
2022-08-08,1.89
2022-08-09,1.834
2022-08-10,1.793
2022-08-11,1.782
2022-08-12,1.759
2022-08-13,1.759
2022-08-14,1.759
2022-08-15,1.781
2022-08-16,1.758
2022-08-17,1.792
2022-08-18,1.763
2022-08-19,1.819
2022-08-20,1.819
2022-08-21,1.819
2022-08-22,1.854
2022-08-23,1.837
2022-08-24,1.828
2022-08-25,1.715
2022-08-26,1.713
2022-08-27,1.713
2022-08-28,1.713
2022-08-29,1.726
2022-08-30,1.828
2022-08-31,1.844
2022-09-01,1.924
2022-09-02,1.909
2022-09-03,1.909
2022-09-04,1.909
2022-09-05,1.909
2022-09-06,1.875
2022-09-07,1.867
2022-09-08,1.793
2022-09-09,1.72
2022-09-10,1.72
2022-09-11,1.72
2022-09-12,1.8
2022-09-13,1.834
2022-09-14,2.015
2022-09-15,1.971
2022-09-16,2.003
2022-09-17,2.003
2022-09-18,2.003
2022-09-19,1.928
2022-09-20,1.962
2022-09-21,2.006
2022-09-22,2.051
2022-09-23,2.12
2022-09-24,2.12
2022-09-25,2.12
2022-09-26,2.136
2022-09-27,2.103
2022-09-28,2.049
2022-09-29,2.095
2022-09-30,2.088
2022-10-01,2.088
2022-10-02,2.088
2022-10-03,1.965
2022-10-04,1.898
2022-10-05,1.903
2022-10-06,1.939
2022-10-07,1.971
2022-10-08,1.971
2022-10-09,1.971
2022-10-10,1.924
2022-10-11,1.89
2022-10-12,1.896
2022-10-13,1.846
2022-10-14,1.916
2022-10-15,1.916
2022-10-16,1.916
2022-10-17,1.869
2022-10-18,1.83
2022-10-19,1.854
2022-10-20,1.715
2022-10-21,1.581
2022-10-22,1.581
2022-10-23,1.581
2022-10-24,1.526
2022-10-25,1.503
2022-10-26,1.498
2022-10-27,1.507
2022-10-28,1.556
2022-10-29,1.556
2022-10-30,1.556
2022-10-31,1.562
2022-11-01,1.519
2022-11-02,1.59
2022-11-03,1.604
2022-11-04,1.54
2022-11-05,1.54
2022-11-06,1.54
2022-11-07,1.531
2022-11-08,1.518
2022-11-09,1.596
2022-11-10,1.525
2022-11-11,1.518
2022-11-12,1.518
2022-11-13,1.518
2022-11-14,1.463
2022-11-15,1.462
2022-11-16,1.479
2022-11-17,1.454
2022-11-18,1.46
2022-11-19,1.46
2022-11-20,1.46
2022-11-21,1.426
2022-11-22,1.452
2022-11-23,1.487
2022-11-24,1.487
2022-11-25,1.486
2022-11-26,1.486
2022-11-27,1.486
2022-11-28,1.502
2022-11-29,1.506
2022-11-30,1.487
2022-12-01,1.47
2022-12-02,1.411
2022-12-03,1.411
2022-12-04,1.411
2022-12-05,1.448
2022-12-06,1.404
2022-12-07,1.413
2022-12-08,1.381
2022-12-09,1.402
2022-12-10,1.402
2022-12-11,1.402
2022-12-12,1.385
2022-12-13,1.377
2022-12-14,1.399
2022-12-15,1.491
2022-12-16,1.505
2022-12-17,1.505
2022-12-18,1.505
2022-12-19,1.497
2022-12-20,1.473
2022-12-21,1.45
2022-12-22,1.478
2022-12-23,1.482
2022-12-24,1.482
2022-12-25,1.482
2022-12-26,1.482
2022-12-27,1.477
2022-12-28,1.522
2022-12-29,1.539
2022-12-30,1.55
2022-12-31,1.55
2023-01-01,1.55
2023-01-02,1.55
2023-01-03,1.592
2023-01-04,1.535
2023-01-05,1.533
2023-01-06,1.475
2023-01-07,1.475
2023-01-08,1.475
2023-01-09,1.494
2023-01-10,1.418
2023-01-11,1.377
2023-01-12,1.372
2023-01-13,1.358
2023-01-14,1.358
2023-01-15,1.358
2023-01-16,1.358
2023-01-17,1.375
2023-01-18,1.4
2023-01-19,1.411
2023-01-20,1.402
2023-01-21,1.402
2023-01-22,1.402
2023-01-23,1.407
2023-01-24,1.402
2023-01-25,1.393
2023-01-26,1.291
2023-01-27,1.367
2023-01-28,1.367
2023-01-29,1.367
2023-01-30,1.365
2023-01-31,1.348
2023-02-01,1.297
2023-02-02,1.292
2023-02-03,1.268
2023-02-04,1.268
2023-02-05,1.268
2023-02-06,1.316
2023-02-07,1.32
2023-02-08,1.311
2023-02-09,1.34
2023-02-10,1.329
2023-02-11,1.329
2023-02-12,1.329
2023-02-13,1.314
2023-02-14,1.285
2023-02-15,1.294
2023-02-16,1.289
2023-02-17,1.301
2023-02-18,1.301
2023-02-19,1.301
2023-02-20,1.301
2023-02-21,1.335
2023-02-22,1.35
2023-02-23,1.366
2023-02-24,1.372
2023-02-25,1.372
2023-02-26,1.372
2023-02-27,1.34
2023-02-28,1.289
2023-03-01,1.368
2023-03-02,1.329
2023-03-03,1.298
2023-03-04,1.298
2023-03-05,1.298
2023-03-06,1.338
2023-03-07,1.349
2023-03-08,1.332
2023-03-09,1.378
2023-03-10,1.493
2023-03-11,1.493
2023-03-12,1.493
2023-03-13,1.535
2023-03-14,1.545
2023-03-15,1.651
2023-03-16,1.546
2023-03-17,1.581
2023-03-18,1.581
2023-03-19,1.581
2023-03-20,1.531
2023-03-21,1.484
2023-03-22,1.537
2023-03-23,1.533
2023-03-24,1.529
2023-03-25,1.529
2023-03-26,1.529
2023-03-27,1.461
2023-03-28,1.48
2023-03-29,1.464
2023-03-30,1.446
2023-03-31,1.424
2023-04-01,1.424
2023-04-02,1.424
2023-04-03,1.423
2023-04-04,1.559
2023-04-05,1.542
2023-04-06,1.538
2023-04-07,1.538
2023-04-08,1.538
2023-04-09,1.538
2023-04-10,1.497
2023-04-11,1.473
2023-04-12,1.493
2023-04-13,1.513
2023-04-14,1.523
2023-04-15,1.523
2023-04-16,1.523
2023-04-17,1.501
2023-04-18,1.493
2023-04-19,1.51
2023-04-20,1.532
2023-04-21,1.552
2023-04-22,1.552
2023-04-23,1.552
2023-04-24,1.566
2023-04-25,1.642
2023-04-26,1.683
2023-04-27,1.647
2023-04-28,1.654
2023-04-29,1.654
2023-04-30,1.654
2023-05-01,1.646
2023-05-02,1.667
2023-05-03,1.684
2023-05-04,1.784
2023-05-05,1.751
2023-05-06,1.751
2023-05-07,1.751
2023-05-08,1.756
2023-05-09,1.763
2023-05-10,1.782
2023-05-11,1.772
2023-05-12,1.769
2023-05-13,1.769
2023-05-14,1.769
2023-05-15,1.753
2023-05-16,1.799
2023-05-17,1.778
2023-05-18,1.757
2023-05-19,1.77
2023-05-20,1.77
2023-05-21,1.77
2023-05-22,1.768
2023-05-23,1.794
2023-05-24,1.843
2023-05-25,1.815
2023-05-26,1.797
2023-05-27,1.797
2023-05-28,1.797
2023-05-29,1.797
2023-05-30,1.848
2023-05-31,1.871
2023-06-01,1.865
2023-06-02,1.759
2023-06-03,1.759
2023-06-04,1.759
2023-06-05,1.76
2023-06-06,1.731
2023-06-07,1.696
2023-06-08,1.713
2023-06-09,1.733
2023-06-10,1.733
2023-06-11,1.733
2023-06-12,1.701
2023-06-13,1.605
2023-06-14,1.642
2023-06-15,1.622
2023-06-16,1.677
2023-06-17,1.677
2023-06-18,1.677
2023-06-19,1.677
2023-06-20,1.702
2023-06-21,1.684
2023-06-22,1.678
