,EIX US Equity
2020-12-01,5.751
2020-12-02,5.742
2020-12-03,5.802
2020-12-04,5.775
2020-12-05,5.775
2020-12-06,5.775
2020-12-07,5.765
2020-12-08,5.77
2020-12-09,5.676
2020-12-10,5.679
2020-12-11,5.686
2020-12-12,5.686
2020-12-13,5.686
2020-12-14,5.735
2020-12-15,5.6
2020-12-16,5.695
2020-12-17,5.677
2020-12-18,5.71
2020-12-19,5.71
2020-12-20,5.71
2020-12-21,5.77
2020-12-22,5.823
2020-12-23,5.825
2020-12-24,5.742
2020-12-25,5.742
2020-12-26,5.742
2020-12-27,5.742
2020-12-28,5.718
2020-12-29,5.743
2020-12-30,5.732
2020-12-31,5.624
2021-01-01,5.624
2021-01-02,5.624
2021-01-03,5.624
2021-01-04,5.84
2021-01-05,5.809
2021-01-06,5.641
2021-01-07,5.693
2021-01-08,5.67
2021-01-09,5.67
2021-01-10,5.67
2021-01-11,5.728
2021-01-12,5.651
2021-01-13,5.59
2021-01-14,5.732
2021-01-15,5.71
2021-01-16,5.71
2021-01-17,5.71
2021-01-18,5.71
2021-01-19,5.804
2021-01-20,5.918
2021-01-21,6.007
2021-01-22,6.01
2021-01-23,6.01
2021-01-24,6.01
2021-01-25,6.0
2021-01-26,6.03
2021-01-27,6.252
2021-01-28,6.052
2021-01-29,6.128
2021-01-30,6.128
2021-01-31,6.128
2021-02-01,6.144
2021-02-02,6.023
2021-02-03,6.048
2021-02-04,6.052
2021-02-05,6.077
2021-02-06,6.077
2021-02-07,6.077
2021-02-08,6.173
2021-02-09,6.168
2021-02-10,6.089
2021-02-11,6.109
2021-02-12,6.154
2021-02-13,6.154
2021-02-14,6.154
2021-02-15,6.154
2021-02-16,6.255
2021-02-17,6.309
2021-02-18,6.399
2021-02-19,6.454
2021-02-20,6.454
2021-02-21,6.454
2021-02-22,6.439
2021-02-23,6.373
2021-02-24,6.311
2021-02-25,6.403
2021-02-26,6.601
2021-02-27,6.601
2021-02-28,6.601
2021-03-01,6.49
2021-03-02,6.492
2021-03-03,6.387
2021-03-04,6.25
2021-03-05,6.177
2021-03-06,6.177
2021-03-07,6.177
2021-03-08,6.21
2021-03-09,6.202
2021-03-10,6.121
2021-03-11,6.197
2021-03-12,6.121
2021-03-13,6.121
2021-03-14,6.121
2021-03-15,5.983
2021-03-16,5.984
2021-03-17,5.986
2021-03-18,6.086
2021-03-19,5.993
2021-03-20,5.993
2021-03-21,5.993
2021-03-22,6.022
2021-03-23,6.035
2021-03-24,5.947
2021-03-25,5.908
2021-03-26,5.809
2021-03-27,5.809
2021-03-28,5.809
2021-03-29,5.834
2021-03-30,5.805
2021-03-31,5.888
2021-04-01,5.92
2021-04-02,5.92
2021-04-03,5.92
2021-04-04,5.92
2021-04-05,5.769
2021-04-06,5.73
2021-04-07,5.755
2021-04-08,5.72
2021-04-09,5.779
2021-04-10,5.779
2021-04-11,5.779
2021-04-12,5.766
2021-04-13,5.716
2021-04-14,5.652
2021-04-15,5.616
2021-04-16,5.624
2021-04-17,5.624
2021-04-18,5.624
2021-04-19,5.646
2021-04-20,5.609
2021-04-21,5.643
2021-04-22,5.801
2021-04-23,5.83
2021-04-24,5.83
2021-04-25,5.83
2021-04-26,5.861
2021-04-27,5.898
2021-04-28,5.909
2021-04-29,5.862
2021-04-30,5.804
2021-05-01,5.804
2021-05-02,5.804
2021-05-03,5.811
2021-05-04,5.789
2021-05-05,5.925
2021-05-06,5.857
2021-05-07,5.89
2021-05-08,5.89
2021-05-09,5.89
2021-05-10,5.849
2021-05-11,5.885
2021-05-12,6.074
2021-05-13,5.917
2021-05-14,5.896
2021-05-15,5.896
2021-05-16,5.896
2021-05-17,5.959
2021-05-18,5.981
2021-05-19,5.973
2021-05-20,5.968
2021-05-21,5.918
2021-05-22,5.918
2021-05-23,5.918
2021-05-24,5.898
2021-05-25,6.175
2021-05-26,6.134
2021-05-27,6.212
2021-05-28,6.113
2021-05-29,6.113
2021-05-30,6.113
2021-05-31,6.113
2021-06-01,6.14
2021-06-02,6.089
2021-06-03,6.074
2021-06-04,6.048
2021-06-05,6.048
2021-06-06,6.048
2021-06-07,6.076
2021-06-08,6.014
2021-06-09,6.003
2021-06-10,5.94
2021-06-11,5.891
2021-06-12,5.891
2021-06-13,5.891
2021-06-14,5.82
2021-06-15,5.829
2021-06-16,5.911
2021-06-17,5.994
2021-06-18,6.145
2021-06-19,6.145
2021-06-20,6.145
2021-06-21,6.088
2021-06-22,6.136
2021-06-23,6.208
2021-06-24,6.178
2021-06-25,5.992
2021-06-26,5.992
2021-06-27,5.992
2021-06-28,5.926
2021-06-29,5.948
2021-06-30,5.907
2021-07-01,5.897
2021-07-02,5.918
2021-07-03,5.918
2021-07-04,5.918
2021-07-05,5.918
2021-07-06,5.885
2021-07-07,5.856
2021-07-08,5.869
2021-07-09,5.793
2021-07-10,5.793
2021-07-11,5.793
2021-07-12,5.801
2021-07-13,5.891
2021-07-14,5.898
2021-07-15,5.855
2021-07-16,5.822
2021-07-17,5.822
2021-07-18,5.822
2021-07-19,6.012
2021-07-20,5.943
2021-07-21,6.011
2021-07-22,6.044
2021-07-23,6.008
2021-07-24,6.008
2021-07-25,6.008
2021-07-26,6.088
2021-07-27,5.911
2021-07-28,5.946
2021-07-29,5.904
2021-07-30,6.172
2021-07-31,6.172
2021-08-01,6.172
2021-08-02,6.105
2021-08-03,6.073
2021-08-04,6.131
2021-08-05,6.09
2021-08-06,6.108
2021-08-07,6.108
2021-08-08,6.108
2021-08-09,6.067
2021-08-10,6.02
2021-08-11,5.887
2021-08-12,5.898
2021-08-13,5.901
2021-08-14,5.901
2021-08-15,5.901
2021-08-16,5.872
2021-08-17,5.841
2021-08-18,5.743
2021-08-19,5.78
2021-08-20,5.65
2021-08-21,5.65
2021-08-22,5.65
2021-08-23,5.686
2021-08-24,5.706
2021-08-25,5.762
2021-08-26,5.834
2021-08-27,5.847
2021-08-28,5.847
2021-08-29,5.847
2021-08-30,5.847
2021-08-31,5.816
2021-09-01,5.776
2021-09-02,5.694
2021-09-03,5.741
2021-09-04,5.741
2021-09-05,5.741
2021-09-06,5.741
2021-09-07,5.741
2021-09-08,5.696
2021-09-09,5.738
2021-09-10,5.79
2021-09-11,5.79
2021-09-12,5.79
2021-09-13,5.699
2021-09-14,5.756
2021-09-15,5.701
2021-09-16,5.871
2021-09-17,5.85
2021-09-18,5.85
2021-09-19,5.85
2021-09-20,5.866
2021-09-21,5.853
2021-09-22,5.79
2021-09-23,5.864
2021-09-24,5.964
2021-09-25,5.964
2021-09-26,5.964
2021-09-27,5.951
2021-09-28,6.011
2021-09-29,6.014
2021-09-30,6.118
2021-10-01,6.166
2021-10-02,6.166
2021-10-03,6.166
2021-10-04,6.036
2021-10-05,6.095
2021-10-06,5.995
2021-10-07,5.944
2021-10-08,5.942
2021-10-09,5.942
2021-10-10,5.942
2021-10-11,6.053
2021-10-12,6.114
2021-10-13,6.017
2021-10-14,5.998
2021-10-15,5.92
2021-10-16,5.92
2021-10-17,5.92
2021-10-18,5.939
2021-10-19,5.902
2021-10-20,5.759
2021-10-21,5.725
2021-10-22,5.526
2021-10-23,5.526
2021-10-24,5.526
2021-10-25,5.467
2021-10-26,5.434
2021-10-27,5.369
2021-10-28,5.319
2021-10-29,5.308
2021-10-30,5.308
2021-10-31,5.308
2021-11-01,5.277
2021-11-02,5.271
2021-11-03,5.333
2021-11-04,5.313
2021-11-05,5.229
2021-11-06,5.229
2021-11-07,5.229
2021-11-08,5.227
2021-11-09,5.185
2021-11-10,5.116
2021-11-11,5.135
2021-11-12,5.214
2021-11-13,5.214
2021-11-14,5.214
2021-11-15,5.186
2021-11-16,5.252
2021-11-17,5.196
2021-11-18,5.185
2021-11-19,5.161
2021-11-20,5.161
2021-11-21,5.161
2021-11-22,5.161
2021-11-23,5.112
2021-11-24,5.063
2021-11-25,5.063
2021-11-26,5.157
2021-11-27,5.157
2021-11-28,5.157
2021-11-29,5.093
2021-11-30,5.151
2021-12-01,5.068
2021-12-02,5.078
2021-12-03,4.993
2021-12-04,4.993
2021-12-05,4.993
2021-12-06,4.878
2021-12-07,4.945
2021-12-08,4.974
2021-12-09,5.0
2021-12-10,4.961
2021-12-11,4.961
2021-12-12,4.961
2021-12-13,4.974
2021-12-14,5.014
2021-12-15,4.98
2021-12-16,4.932
2021-12-17,5.025
2021-12-18,5.025
2021-12-19,5.025
2021-12-20,4.992
2021-12-21,4.984
2021-12-22,4.956
2021-12-23,4.953
2021-12-24,4.953
2021-12-25,4.953
2021-12-26,4.953
2021-12-27,4.956
2021-12-28,4.914
2021-12-29,4.897
2021-12-30,4.905
2021-12-31,4.86
2022-01-01,4.86
2022-01-02,4.86
2022-01-03,4.914
2022-01-04,4.976
2022-01-05,5.088
2022-01-06,5.133
2022-01-07,5.103
2022-01-08,5.103
2022-01-09,5.103
2022-01-10,5.081
2022-01-11,5.182
2022-01-12,5.176
2022-01-13,5.205
2022-01-14,5.231
2022-01-15,5.231
2022-01-16,5.231
2022-01-17,5.231
2022-01-18,5.231
2022-01-19,5.252
2022-01-20,5.262
2022-01-21,5.295
2022-01-22,5.295
2022-01-23,5.295
2022-01-24,5.338
2022-01-25,5.381
2022-01-26,5.351
2022-01-27,5.405
2022-01-28,5.361
2022-01-29,5.361
2022-01-30,5.361
2022-01-31,5.295
2022-02-01,5.391
2022-02-02,5.371
2022-02-03,5.416
2022-02-04,5.436
2022-02-05,5.436
2022-02-06,5.436
2022-02-07,5.401
2022-02-08,5.403
2022-02-09,5.383
2022-02-10,5.489
2022-02-11,5.519
2022-02-12,5.519
2022-02-13,5.519
2022-02-14,5.536
2022-02-15,5.556
2022-02-16,5.549
2022-02-17,5.519
2022-02-18,5.547
2022-02-19,5.547
2022-02-20,5.547
2022-02-21,5.547
2022-02-22,5.534
2022-02-23,5.634
2022-02-24,5.62
2022-02-25,5.38
2022-02-26,5.38
2022-02-27,5.38
2022-02-28,5.29
2022-03-01,5.276
2022-03-02,5.207
2022-03-03,5.201
2022-03-04,5.174
2022-03-05,5.174
2022-03-06,5.174
2022-03-07,5.127
2022-03-08,5.207
2022-03-09,5.183
2022-03-10,5.16
2022-03-11,5.232
2022-03-12,5.232
2022-03-13,5.232
2022-03-14,5.253
2022-03-15,5.133
2022-03-16,5.119
2022-03-17,5.128
2022-03-18,5.251
2022-03-19,5.251
2022-03-20,5.251
2022-03-21,5.187
2022-03-22,5.148
2022-03-23,5.097
2022-03-24,5.069
2022-03-25,4.973
2022-03-26,4.973
2022-03-27,4.973
2022-03-28,4.951
2022-03-29,4.914
2022-03-30,4.884
2022-03-31,4.839
2022-04-01,4.775
2022-04-02,4.775
2022-04-03,4.775
2022-04-04,4.791
2022-04-05,4.826
2022-04-06,4.742
2022-04-07,4.799
2022-04-08,4.715
2022-04-09,4.715
2022-04-10,4.715
2022-04-11,4.791
2022-04-12,4.719
2022-04-13,4.681
2022-04-14,4.716
2022-04-15,4.716
2022-04-16,4.716
2022-04-17,4.716
2022-04-18,4.722
2022-04-19,4.718
2022-04-20,4.657
2022-04-21,4.659
2022-04-22,4.73
2022-04-23,4.73
2022-04-24,4.73
2022-04-25,4.753
2022-04-26,4.835
2022-04-27,4.822
2022-04-28,4.796
2022-04-29,4.936
2022-04-30,4.936
2022-05-01,4.936
2022-05-02,5.0
2022-05-03,4.963
2022-05-04,4.83
2022-05-05,4.935
2022-05-06,4.831
2022-05-07,4.831
2022-05-08,4.831
2022-05-09,4.839
2022-05-10,5.023
2022-05-11,4.955
2022-05-12,5.227
2022-05-13,5.137
2022-05-14,5.137
2022-05-15,5.137
2022-05-16,5.05
2022-05-17,5.044
2022-05-18,5.108
2022-05-19,5.106
2022-05-20,5.106
2022-05-21,5.106
2022-05-22,5.106
2022-05-23,5.06
2022-05-24,4.939
2022-05-25,4.915
2022-05-26,4.871
2022-05-27,4.8
2022-05-28,4.8
2022-05-29,4.8
2022-05-30,4.8
2022-05-31,4.81
2022-06-01,4.822
2022-06-02,4.779
2022-06-03,4.819
2022-06-04,4.819
2022-06-05,4.819
2022-06-06,4.845
2022-06-07,4.788
2022-06-08,4.864
2022-06-09,5.038
2022-06-10,5.02
2022-06-11,5.02
2022-06-12,5.02
2022-06-13,5.39
2022-06-14,5.495
2022-06-15,5.481
2022-06-16,5.554
2022-06-17,5.687
2022-06-18,5.687
2022-06-19,5.687
2022-06-20,5.687
2022-06-21,5.558
2022-06-22,5.573
2022-06-23,5.518
2022-06-24,5.336
2022-06-25,5.336
2022-06-26,5.336
2022-06-27,5.303
2022-06-28,5.377
2022-06-29,5.337
2022-06-30,5.305
2022-07-01,5.211
2022-07-02,5.211
2022-07-03,5.211
2022-07-04,5.211
2022-07-05,5.385
2022-07-06,5.337
2022-07-07,5.297
2022-07-08,5.318
2022-07-09,5.318
2022-07-10,5.318
2022-07-11,5.315
2022-07-12,5.334
2022-07-13,5.341
2022-07-14,5.42
2022-07-15,5.397
2022-07-16,5.397
2022-07-17,5.397
2022-07-18,5.453
2022-07-19,5.395
2022-07-20,5.464
2022-07-21,5.473
2022-07-22,5.422
2022-07-23,5.422
2022-07-24,5.422
2022-07-25,5.299
2022-07-26,5.26
2022-07-27,5.246
2022-07-28,5.078
2022-07-29,4.907
2022-07-30,4.907
2022-07-31,4.907
2022-08-01,4.964
2022-08-02,4.846
2022-08-03,4.799
2022-08-04,4.823
2022-08-05,4.872
2022-08-06,4.872
2022-08-07,4.872
2022-08-08,4.912
2022-08-09,4.882
2022-08-10,4.882
2022-08-11,4.819
2022-08-12,4.7
2022-08-13,4.7
2022-08-14,4.7
2022-08-15,4.657
2022-08-16,4.631
2022-08-17,4.615
2022-08-18,4.632
2022-08-19,4.648
2022-08-20,4.648
2022-08-21,4.648
2022-08-22,4.735
2022-08-23,4.794
2022-08-24,4.808
2022-08-25,4.744
2022-08-26,4.801
2022-08-27,4.801
2022-08-28,4.801
2022-08-29,4.774
2022-08-30,4.832
2022-08-31,4.907
2022-09-01,4.871
2022-09-02,4.893
2022-09-03,4.893
2022-09-04,4.893
2022-09-05,4.893
2022-09-06,5.04
2022-09-07,4.88
2022-09-08,4.845
2022-09-09,4.805
2022-09-10,4.805
2022-09-11,4.805
2022-09-12,4.668
2022-09-13,4.819
2022-09-14,4.778
2022-09-15,4.861
2022-09-16,4.917
2022-09-17,4.917
2022-09-18,4.917
2022-09-19,4.854
2022-09-20,4.902
2022-09-21,5.013
2022-09-22,5.044
2022-09-23,5.117
2022-09-24,5.117
2022-09-25,5.117
2022-09-26,5.254
2022-09-27,5.408
2022-09-28,5.413
2022-09-29,5.71
2022-09-30,5.799
2022-10-01,5.799
2022-10-02,5.799
2022-10-03,5.525
2022-10-04,5.395
2022-10-05,5.462
2022-10-06,5.596
2022-10-07,5.598
2022-10-08,5.598
2022-10-09,5.598
2022-10-10,5.673
2022-10-11,5.712
2022-10-12,5.907
2022-10-13,5.768
2022-10-14,5.964
2022-10-15,5.964
2022-10-16,5.964
2022-10-17,5.746
2022-10-18,5.716
2022-10-19,5.784
2022-10-20,5.98
2022-10-21,5.905
2022-10-22,5.905
2022-10-23,5.905
2022-10-24,5.891
2022-10-25,5.779
2022-10-26,5.776
2022-10-27,5.627
2022-10-28,5.455
2022-10-29,5.455
2022-10-30,5.455
2022-10-31,5.472
2022-11-01,5.429
2022-11-02,5.591
2022-11-03,5.621
2022-11-04,5.565
2022-11-05,5.565
2022-11-06,5.565
2022-11-07,5.689
2022-11-08,5.663
2022-11-09,5.732
2022-11-10,5.449
2022-11-11,5.487
2022-11-12,5.487
2022-11-13,5.487
2022-11-14,5.483
2022-11-15,5.415
2022-11-16,5.429
2022-11-17,5.537
2022-11-18,5.368
2022-11-19,5.368
2022-11-20,5.368
2022-11-21,5.347
2022-11-22,5.307
2022-11-23,5.199
2022-11-24,5.199
2022-11-25,5.158
2022-11-26,5.158
2022-11-27,5.158
2022-11-28,5.226
2022-11-29,5.217
2022-11-30,4.97
2022-12-01,5.057
2022-12-02,5.068
2022-12-03,5.068
2022-12-04,5.068
2022-12-05,5.088
2022-12-06,5.018
2022-12-07,5.068
2022-12-08,5.066
2022-12-09,5.039
2022-12-10,5.039
2022-12-11,5.039
2022-12-12,4.917
2022-12-13,4.878
2022-12-14,4.891
2022-12-15,4.958
2022-12-16,5.083
2022-12-17,5.083
2022-12-18,5.083
2022-12-19,5.094
2022-12-20,5.101
2022-12-21,5.075
2022-12-22,5.132
2022-12-23,5.078
2022-12-24,5.078
2022-12-25,5.078
2022-12-26,5.078
2022-12-27,5.029
2022-12-28,5.091
2022-12-29,5.081
2022-12-30,5.144
2022-12-31,5.144
2023-01-01,5.144
2023-01-02,5.144
2023-01-03,5.091
2023-01-04,4.929
2023-01-05,5.043
2023-01-06,4.894
2023-01-07,4.894
2023-01-08,4.894
2023-01-09,4.815
2023-01-10,4.786
2023-01-11,4.702
2023-01-12,4.768
2023-01-13,4.786
2023-01-14,4.786
2023-01-15,4.786
2023-01-16,4.786
2023-01-17,4.751
2023-01-18,4.887
2023-01-19,4.97
2023-01-20,4.891
2023-01-21,4.891
2023-01-22,4.891
2023-01-23,4.869
2023-01-24,4.778
2023-01-25,4.799
2023-01-26,4.74
2023-01-27,4.714
2023-01-28,4.714
2023-01-29,4.714
2023-01-30,4.756
2023-01-31,4.703
2023-02-01,4.781
2023-02-02,4.731
2023-02-03,4.864
2023-02-04,4.864
2023-02-05,4.864
2023-02-06,4.796
2023-02-07,4.832
2023-02-08,4.868
2023-02-09,4.942
2023-02-10,4.853
2023-02-11,4.853
2023-02-12,4.853
2023-02-13,4.781
2023-02-14,4.815
2023-02-15,4.804
2023-02-16,4.838
2023-02-17,4.812
2023-02-18,4.812
2023-02-19,4.812
2023-02-20,4.812
2023-02-21,4.875
2023-02-22,4.913
2023-02-23,4.938
2023-02-24,4.736
2023-02-25,4.736
2023-02-26,4.736
2023-02-27,4.77
2023-02-28,4.909
2023-03-01,5.032
2023-03-02,4.957
2023-03-03,4.829
2023-03-04,4.829
2023-03-05,4.829
2023-03-06,4.749
2023-03-07,4.821
2023-03-08,4.758
2023-03-09,4.849
2023-03-10,4.906
2023-03-11,4.906
2023-03-12,4.906
2023-03-13,4.821
2023-03-14,4.757
2023-03-15,4.77
2023-03-16,4.71
2023-03-17,4.795
2023-03-18,4.795
2023-03-19,4.795
2023-03-20,4.709
2023-03-21,4.791
2023-03-22,4.9
2023-03-23,4.92
2023-03-24,4.748
2023-03-25,4.748
2023-03-26,4.748
2023-03-27,4.738
2023-03-28,4.726
2023-03-29,4.652
2023-03-30,4.589
2023-03-31,4.59
2023-04-01,4.59
2023-04-02,4.59
2023-04-03,4.593
2023-04-04,4.609
2023-04-05,4.484
2023-04-06,4.456
2023-04-07,4.456
2023-04-08,4.456
2023-04-09,4.456
2023-04-10,4.442
2023-04-11,4.444
2023-04-12,4.428
2023-04-13,4.435
2023-04-14,4.518
2023-04-15,4.518
2023-04-16,4.518
2023-04-17,4.489
2023-04-18,4.487
2023-04-19,4.44
2023-04-20,4.424
2023-04-21,4.428
2023-04-22,4.428
2023-04-23,4.428
2023-04-24,4.384
2023-04-25,4.378
2023-04-26,4.424
2023-04-27,4.39
2023-04-28,4.385
2023-04-29,4.385
2023-04-30,4.385
2023-05-01,4.364
2023-05-02,4.404
2023-05-03,4.474
2023-05-04,4.423
2023-05-05,4.359
2023-05-06,4.359
2023-05-07,4.359
2023-05-08,4.397
2023-05-09,4.383
2023-05-10,4.35
2023-05-11,4.408
2023-05-12,4.38
2023-05-13,4.38
2023-05-14,4.38
2023-05-15,4.467
2023-05-16,4.591
2023-05-17,4.628
2023-05-18,4.687
2023-05-19,4.729
2023-05-20,4.729
2023-05-21,4.729
2023-05-22,4.768
2023-05-23,4.79
2023-05-24,4.847
2023-05-25,4.915
2023-05-26,4.917
2023-05-27,4.917
2023-05-28,4.917
2023-05-29,4.917
2023-05-30,4.911
2023-05-31,4.78
2023-06-01,4.84
2023-06-02,4.838
2023-06-03,4.838
2023-06-04,4.838
2023-06-05,4.83
2023-06-06,4.836
2023-06-07,4.696
2023-06-08,4.705
2023-06-09,4.764
2023-06-10,4.764
2023-06-11,4.764
2023-06-12,4.769
2023-06-13,4.753
2023-06-14,4.733
2023-06-15,4.689
2023-06-16,4.597
2023-06-17,4.597
2023-06-18,4.597
2023-06-19,4.597
2023-06-20,4.691
2023-06-21,4.63
2023-06-22,4.673
