,EFX US Equity
,BEST_DIV_YLD
2022-10-03,1.021
2022-10-04,0.971
2022-10-05,0.983
2022-10-06,1.015
2022-10-07,1.048
2022-10-08,1.048
2022-10-09,1.048
2022-10-10,1.05
2022-10-11,1.08
2022-10-12,1.074
2022-10-13,1.073
2022-10-14,1.112
2022-10-15,1.112
2022-10-16,1.112
2022-10-17,1.077
2022-10-18,1.066
2022-10-19,1.105
2022-10-20,1.178
2022-10-21,1.164
2022-10-22,1.164
2022-10-23,1.164
2022-10-24,1.127
2022-10-25,1.096
2022-10-26,1.072
2022-10-27,1.062
2022-10-28,1.035
2022-10-29,1.035
2022-10-30,1.035
2022-10-31,1.044
2022-11-01,1.047
2022-11-02,1.057
2022-11-03,1.071
2022-11-04,1.05
2022-11-05,1.05
2022-11-06,1.05
2022-11-07,1.033
2022-11-08,1.02
2022-11-09,1.037
2022-11-10,0.911
2022-11-11,0.882
2022-11-12,0.882
2022-11-13,0.882
2022-11-14,0.865
2022-11-15,0.851
2022-11-16,0.868
2022-11-17,0.886
2022-11-18,0.881
2022-11-19,0.881
2022-11-20,0.881
2022-11-21,0.897
2022-11-22,0.907
2022-11-23,0.884
2022-11-24,0.884
2022-11-25,0.873
2022-11-26,0.873
2022-11-27,0.873
2022-11-28,0.917
2022-11-29,0.926
2022-11-30,0.886
2022-12-01,0.865
2022-12-02,0.869
2022-12-03,0.869
2022-12-04,0.869
2022-12-05,0.903
2022-12-06,0.902
2022-12-07,0.903
2022-12-08,0.883
2022-12-09,0.886
2022-12-10,0.886
2022-12-11,0.886
2022-12-12,0.881
2022-12-13,0.845
2022-12-14,0.862
2022-12-15,0.884
2022-12-16,0.912
2022-12-17,0.912
2022-12-18,0.912
2022-12-19,0.915
2022-12-20,0.92
2022-12-21,0.888
2022-12-22,0.901
2022-12-23,0.894
2022-12-24,0.894
2022-12-25,0.894
2022-12-26,0.894
2022-12-27,0.9
2022-12-28,0.92
2022-12-29,0.889
2022-12-30,0.9
2022-12-31,0.9
2023-01-01,0.9
2023-01-02,0.9
2023-01-03,0.882
2023-01-04,0.855
2023-01-05,0.883
2023-01-06,0.845
2023-01-07,0.845
2023-01-08,0.845
2023-01-09,0.845
2023-01-10,0.843
2023-01-11,0.809
2023-01-12,0.799
2023-01-13,0.789
2023-01-14,0.789
2023-01-15,0.789
2023-01-16,0.789
2023-01-17,0.791
2023-01-18,0.785
2023-01-19,0.786
2023-01-20,0.768
2023-01-21,0.768
2023-01-22,0.768
2023-01-23,0.769
2023-01-24,0.77
2023-01-25,0.794
2023-01-26,0.787
2023-01-27,0.783
2023-01-28,0.783
2023-01-29,0.783
2023-01-30,0.786
2023-01-31,0.769
2023-02-01,0.761
2023-02-02,0.741
2023-02-03,0.756
2023-02-04,0.756
2023-02-05,0.756
2023-02-06,0.769
2023-02-07,0.767
2023-02-08,0.776
2023-02-09,0.832
2023-02-10,0.839
2023-02-11,0.839
2023-02-12,0.839
2023-02-13,0.809
2023-02-14,0.808
2023-02-15,0.791
2023-02-16,0.803
2023-02-17,0.808
2023-02-18,0.808
2023-02-19,0.808
2023-02-20,0.808
2023-02-21,0.838
2023-02-22,0.819
2023-02-23,0.822
2023-02-24,0.842
2023-02-25,0.842
2023-02-26,0.842
2023-02-27,0.844
2023-02-28,0.832
2023-03-01,0.839
2023-03-02,0.834
2023-03-03,0.812
2023-03-04,0.812
2023-03-05,0.812
2023-03-06,0.82
2023-03-07,0.843
2023-03-08,0.843
2023-03-09,0.854
2023-03-10,0.872
2023-03-11,0.872
2023-03-12,0.872
2023-03-13,0.864
2023-03-14,0.849
2023-03-15,0.846
2023-03-16,0.84
2023-03-17,0.839
2023-03-18,0.839
2023-03-19,0.839
2023-03-20,0.839
2023-03-21,0.83
2023-03-22,0.855
2023-03-23,0.86
2023-03-24,0.853
2023-03-25,0.853
2023-03-26,0.853
2023-03-27,0.853
2023-03-28,0.862
2023-03-29,0.848
2023-03-30,0.844
2023-03-31,0.831
2023-04-01,0.831
2023-04-02,0.831
2023-04-03,0.833
2023-04-04,0.834
2023-04-05,0.845
2023-04-06,0.858
2023-04-07,0.858
2023-04-08,0.858
2023-04-09,0.858
2023-04-10,0.852
2023-04-11,0.84
2023-04-12,0.861
2023-04-13,0.85
2023-04-14,0.862
2023-04-15,0.862
2023-04-16,0.862
2023-04-17,0.857
2023-04-18,0.865
2023-04-19,0.864
2023-04-20,0.82
2023-04-21,0.813
2023-04-22,0.813
2023-04-23,0.813
2023-04-24,0.821
2023-04-25,0.833
2023-04-26,0.834
2023-04-27,0.805
2023-04-28,0.795
2023-04-29,0.795
2023-04-30,0.795
2023-05-01,0.807
2023-05-02,0.831
2023-05-03,0.827
2023-05-04,0.839
2023-05-05,0.827
2023-05-06,0.827
2023-05-07,0.827
2023-05-08,0.825
2023-05-09,0.83
2023-05-10,0.814
2023-05-11,0.812
2023-05-12,0.814
2023-05-13,0.814
2023-05-14,0.814
2023-05-15,0.807
2023-05-16,0.817
2023-05-17,0.807
2023-05-18,0.789
2023-05-19,0.79
2023-05-20,0.79
2023-05-21,0.79
2023-05-22,0.771
2023-05-23,0.79
2023-05-24,0.797
2023-05-25,0.8
2023-05-26,0.787
2023-05-27,0.787
2023-05-28,0.787
2023-05-29,0.787
2023-05-30,0.786
2023-05-31,0.794
2023-06-01,0.795
2023-06-02,0.776
2023-06-03,0.776
2023-06-04,0.776
2023-06-05,0.776
2023-06-06,0.756
2023-06-07,0.748
2023-06-08,0.741
2023-06-09,0.741
2023-06-10,0.741
2023-06-11,0.741
2023-06-12,0.725
2023-06-13,0.713
2023-06-14,0.722
2023-06-15,0.714
2023-06-16,0.722
2023-06-17,0.722
2023-06-18,0.722
2023-06-19,0.722
