,QCOM US Equity
,BEST_DIV_YLD
2020-09-13,3.004
2020-09-14,3.003
2020-09-15,2.923
2020-09-16,2.974
2020-09-17,2.966
2020-09-18,3.078
2020-09-19,3.078
2020-09-20,3.078
2020-09-21,3.045
2020-09-22,2.994
2020-09-23,3.082
2020-09-24,3.037
2020-09-25,2.976
2020-09-26,2.976
2020-09-27,2.976
2020-09-28,2.876
2020-09-29,2.903
2020-09-30,2.896
2020-10-01,2.851
2020-10-02,2.951
2020-10-03,2.951
2020-10-04,2.951
2020-10-05,2.827
2020-10-06,2.851
2020-10-07,2.77
2020-10-08,2.785
2020-10-09,2.729
2020-10-10,2.729
2020-10-11,2.729
2020-10-12,2.69
2020-10-13,2.673
2020-10-14,2.624
2020-10-15,2.65
2020-10-16,2.641
2020-10-17,2.641
2020-10-18,2.641
2020-10-19,2.653
2020-10-20,2.656
2020-10-21,2.651
2020-10-22,2.654
2020-10-23,2.644
2020-10-24,2.644
2020-10-25,2.644
2020-10-26,2.7
2020-10-27,2.706
2020-10-28,2.803
2020-10-29,2.695
2020-10-30,2.762
2020-10-31,2.762
2020-11-01,2.762
2020-11-02,2.749
2020-11-03,2.716
2020-11-04,2.642
2020-11-05,2.343
2020-11-06,2.35
2020-11-07,2.35
2020-11-08,2.35
2020-11-09,2.389
2020-11-10,2.432
2020-11-11,2.307
2020-11-12,2.368
2020-11-13,2.362
2020-11-14,2.362
2020-11-15,2.362
2020-11-16,2.286
2020-11-17,2.291
2020-11-18,2.317
2020-11-19,2.31
2020-11-20,2.333
2020-11-21,2.333
2020-11-22,2.333
2020-11-23,2.369
2020-11-24,2.335
2020-11-25,2.365
2020-11-26,2.365
2020-11-27,2.369
2020-11-28,2.369
2020-11-29,2.369
2020-11-30,2.315
2020-12-01,2.253
2020-12-02,2.262
2020-12-03,2.263
2020-12-04,2.153
2020-12-05,2.153
2020-12-06,2.153
2020-12-07,2.147
2020-12-08,2.137
2020-12-09,2.175
2020-12-10,2.178
2020-12-11,2.352
2020-12-12,2.352
2020-12-13,2.352
2020-12-14,2.319
2020-12-15,2.287
2020-12-16,2.266
2020-12-17,2.269
2020-12-18,2.301
2020-12-19,2.301
2020-12-20,2.301
2020-12-21,2.311
2020-12-22,2.318
2020-12-23,2.309
2020-12-24,2.28
2020-12-25,2.28
2020-12-26,2.28
2020-12-27,2.28
2020-12-28,2.297
2020-12-29,2.285
2020-12-30,2.263
2020-12-31,2.227
2021-01-01,2.227
2021-01-02,2.227
2021-01-03,2.227
2021-01-04,2.285
2021-01-05,2.226
2021-01-06,2.244
2021-01-07,2.179
2021-01-08,2.166
2021-01-09,2.166
2021-01-10,2.166
2021-01-11,2.173
2021-01-12,2.197
2021-01-13,2.155
2021-01-14,2.109
2021-01-15,2.16
2021-01-16,2.16
2021-01-17,2.16
2021-01-18,2.16
2021-01-19,2.072
2021-01-20,2.061
2021-01-21,2.059
2021-01-22,2.089
2021-01-23,2.089
2021-01-24,2.089
2021-01-25,2.064
2021-01-26,2.087
2021-01-27,2.208
2021-01-28,2.181
2021-01-29,2.171
2021-01-30,2.171
2021-01-31,2.171
2021-02-01,2.1
2021-02-02,2.059
2021-02-03,2.09
2021-02-04,2.293
2021-02-05,2.326
2021-02-06,2.326
2021-02-07,2.326
2021-02-08,2.302
2021-02-09,2.322
2021-02-10,2.332
2021-02-11,2.331
2021-02-12,2.293
2021-02-13,2.293
2021-02-14,2.293
2021-02-15,2.293
2021-02-16,2.306
2021-02-17,2.344
2021-02-18,2.358
2021-02-19,2.341
2021-02-20,2.341
2021-02-21,2.341
2021-02-22,2.433
2021-02-23,2.474
2021-02-24,2.405
2021-02-25,2.503
2021-02-26,2.491
2021-02-27,2.491
2021-02-28,2.491
2021-03-01,2.432
2021-03-02,2.476
2021-03-03,2.565
2021-03-04,2.642
2021-03-05,2.603
2021-03-06,2.603
2021-03-07,2.603
2021-03-08,2.741
2021-03-09,2.615
2021-03-10,2.641
2021-03-11,2.563
2021-03-12,2.598
2021-03-13,2.598
2021-03-14,2.598
2021-03-15,2.565
2021-03-16,2.527
2021-03-17,2.521
2021-03-18,2.603
2021-03-19,2.577
2021-03-20,2.577
2021-03-21,2.577
2021-03-22,2.518
2021-03-23,2.548
2021-03-24,2.655
2021-03-25,2.653
2021-03-26,2.539
2021-03-27,2.539
2021-03-28,2.539
2021-03-29,2.572
2021-03-30,2.595
2021-03-31,2.547
2021-04-01,2.451
2021-04-02,2.451
