,POOL US Equity
,BEST_DIV_YLD
2020-09-14,1.191
2020-09-15,1.19
2020-09-16,1.223
2020-09-17,1.207
2020-09-18,1.219
2020-09-19,1.219
2020-09-20,1.219
2020-09-21,1.222
2020-09-22,1.193
2020-09-23,1.195
2020-09-24,1.184
2020-09-25,1.165
2020-09-26,1.165
2020-09-27,1.165
2020-09-28,1.129
2020-09-29,1.118
2020-09-30,1.098
2020-10-01,1.119
2020-10-02,1.138
2020-10-03,1.138
2020-10-04,1.138
2020-10-05,1.12
2020-10-06,1.12
2020-10-07,1.107
2020-10-08,1.077
2020-10-09,1.077
2020-10-10,1.077
2020-10-11,1.077
2020-10-12,1.077
2020-10-13,1.077
2020-10-14,1.077
2020-10-15,1.077
2020-10-16,1.077
2020-10-17,1.077
2020-10-18,1.077
2020-10-19,1.077
2020-10-20,1.077
2020-10-21,1.077
2020-10-22,1.077
2020-10-23,1.077
2020-10-24,1.077
2020-10-25,1.077
2020-10-26,1.077
2020-10-27,1.077
2020-10-28,1.077
2020-10-29,1.077
2020-10-30,1.077
2020-10-31,1.077
2020-11-01,1.077
2020-11-02,1.077
2020-11-03,1.077
2020-11-04,1.077
2020-11-05,1.077
2020-11-06,1.077
2020-11-07,1.077
2020-11-08,1.077
2020-11-09,1.077
2020-11-10,1.077
2020-11-11,1.077
2020-11-12,1.077
2020-11-13,1.077
2020-11-14,1.077
2020-11-15,1.077
2020-11-16,1.077
2020-11-17,1.077
2020-11-18,1.077
2020-11-19,1.077
2020-11-20,1.077
2020-11-21,1.077
2020-11-22,1.077
2020-11-23,1.077
2020-11-24,1.077
2020-11-25,1.077
2020-11-26,1.077
2020-11-27,1.077
2020-11-28,1.077
2020-11-29,1.077
2020-11-30,1.077
2020-12-01,1.077
2020-12-02,1.077
2020-12-03,1.077
2020-12-04,1.077
2020-12-05,1.077
2020-12-06,1.077
2020-12-07,1.077
2020-12-08,1.077
2020-12-09,1.077
2020-12-10,1.077
2020-12-11,1.077
2020-12-12,1.077
2020-12-13,1.077
2020-12-14,1.077
2020-12-15,1.077
2020-12-16,1.077
2020-12-17,1.077
2020-12-18,1.077
2020-12-19,1.077
2020-12-20,1.077
2020-12-21,1.077
2020-12-22,1.077
2020-12-23,1.077
2020-12-24,1.077
2020-12-25,1.077
2020-12-26,1.077
2020-12-27,1.077
2020-12-28,1.077
2020-12-29,1.077
2020-12-30,1.077
2020-12-31,1.077
2021-01-01,1.077
2021-01-02,1.077
2021-01-03,1.077
2021-01-04,1.077
2021-01-05,1.077
2021-01-06,1.077
2021-01-07,1.077
2021-01-08,1.077
2021-01-09,1.077
2021-01-10,1.077
2021-01-11,1.077
2021-01-12,1.077
2021-01-13,1.077
2021-01-14,1.077
2021-01-15,1.077
2021-01-16,1.077
2021-01-17,1.077
2021-01-18,1.077
2021-01-19,1.077
2021-01-20,1.077
2021-01-21,1.077
2021-01-22,1.077
2021-01-23,1.077
2021-01-24,1.077
2021-01-25,1.077
2021-01-26,1.077
2021-01-27,1.077
2021-01-28,1.077
2021-01-29,1.077
2021-01-30,1.077
2021-01-31,1.077
2021-02-01,1.077
2021-02-02,1.077
2021-02-03,1.077
2021-02-04,1.077
2021-02-05,1.077
2021-02-06,1.077
2021-02-07,1.077
2021-02-08,1.077
2021-02-09,1.077
2021-02-10,1.077
2021-02-11,1.077
2021-02-12,1.077
2021-02-13,1.077
2021-02-14,1.077
2021-02-15,1.077
2021-02-16,1.221
2021-02-17,1.232
2021-02-18,1.231
2021-02-19,1.248
2021-02-20,1.248
2021-02-21,1.248
2021-02-22,1.294
2021-02-23,1.278
2021-02-24,1.239
2021-02-25,1.26
2021-02-26,1.215
2021-02-27,1.215
2021-02-28,1.215
2021-03-01,1.217
2021-03-02,1.23
2021-03-03,1.229
2021-03-04,1.257
2021-03-05,1.232
2021-03-06,1.232
2021-03-07,1.232
2021-03-08,1.239
2021-03-09,1.209
2021-03-10,1.183
2021-03-11,1.171
2021-03-12,1.186
2021-03-13,1.186
2021-03-14,1.186
2021-03-15,1.168
2021-03-16,1.181
2021-03-17,1.197
2021-03-18,1.206
2021-03-19,1.192
2021-03-20,1.192
2021-03-21,1.192
2021-03-22,1.208
2021-03-23,1.191
2021-03-24,1.194
2021-03-25,1.211
2021-03-26,1.188
2021-03-27,1.188
2021-03-28,1.188
2021-03-29,1.182
2021-03-30,1.186
2021-03-31,1.176
2021-04-01,1.155
2021-04-02,1.155
2021-04-03,1.155
2021-04-04,1.155
2021-04-05,1.138
2021-04-06,1.135
2021-04-07,1.139
2021-04-08,1.126
2021-04-09,1.099
2021-04-10,1.099
2021-04-11,1.099
2021-04-12,1.094
2021-04-13,1.096
2021-04-14,1.105
2021-04-15,1.085
2021-04-16,1.063
2021-04-17,1.063
2021-04-18,1.063
2021-04-19,1.061
2021-04-20,1.052
2021-04-21,1.053
2021-04-22,0.989
2021-04-23,1.02
2021-04-24,1.02
2021-04-25,1.02
2021-04-26,1.035
2021-04-27,1.014
