,EBSB US Equity
2020-04-17,3.365
2020-04-18,3.365
2020-04-19,3.365
2020-04-20,3.428
2020-04-21,3.484
2020-04-22,3.491
2020-04-23,3.377
2020-04-24,3.458
2020-04-25,3.458
2020-04-26,3.458
2020-04-27,3.05
2020-04-28,2.886
2020-04-29,2.754
2020-04-30,2.962
2020-05-01,3.039
2020-05-02,3.039
2020-05-03,3.039
2020-05-04,3.11
2020-05-05,3.158
2020-05-06,3.267
2020-05-07,3.141
2020-05-08,3.047
2020-05-09,3.047
2020-05-10,3.047
2020-05-11,3.213
2020-05-12,3.345
2020-05-13,3.493
2020-05-14,3.482
2020-05-15,3.5
2020-05-16,3.5
2020-05-17,3.5
2020-05-18,3.085
2020-05-19,3.404
2020-05-20,3.222
2020-05-21,3.243
2020-05-22,3.289
2020-05-23,3.289
2020-05-24,3.289
2020-05-25,3.289
2020-05-26,3.118
2020-05-27,2.888
2020-05-28,2.99
2020-05-29,3.029
2020-05-30,3.029
2020-05-31,3.029
2020-06-01,3.055
2020-06-02,3.115
2020-06-03,2.967
2020-06-04,3.024
2020-06-05,2.653
2020-06-06,2.653
2020-06-07,2.653
2020-06-08,2.674
2020-06-09,2.717
2020-06-10,2.99
2020-06-11,3.222
2020-06-12,3.166
2020-06-13,3.166
2020-06-14,3.166
2020-06-15,3.129
2020-06-16,3.003
2020-06-17,2.913
2020-06-18,2.889
2020-06-19,2.946
2020-06-20,2.946
2020-06-21,2.946
2020-06-22,2.94
2020-06-23,2.962
2020-06-24,3.052
2020-06-25,2.975
2020-06-26,3.021
2020-06-27,3.021
2020-06-28,3.021
2020-06-29,2.896
2020-06-30,2.836
2020-07-01,2.972
2020-07-02,2.999
2020-07-03,2.999
2020-07-04,2.999
2020-07-05,2.999
2020-07-06,2.98
2020-07-07,3.064
2020-07-08,3.085
2020-07-09,3.143
2020-07-10,3.005
2020-07-11,3.005
2020-07-12,3.005
2020-07-13,2.999
2020-07-14,2.994
2020-07-15,2.777
2020-07-16,2.817
2020-07-17,2.899
2020-07-18,2.899
2020-07-19,2.899
2020-07-20,2.988
2020-07-21,2.807
2020-07-22,2.724
2020-07-23,2.735
2020-07-24,2.793
2020-07-25,2.793
2020-07-26,2.793
2020-07-27,2.811
2020-07-28,2.767
2020-07-29,2.767
2020-07-30,2.861
2020-07-31,2.885
2020-08-01,2.885
2020-08-02,2.885
2020-08-03,2.866
2020-08-04,2.879
2020-08-05,2.844
2020-08-06,2.834
2020-08-07,2.695
2020-08-08,2.695
2020-08-09,2.695
2020-08-10,2.634
2020-08-11,2.597
2020-08-12,2.62
2020-08-13,2.722
2020-08-14,2.684
2020-08-15,2.684
2020-08-16,2.684
2020-08-17,2.753
2020-08-18,2.836
2020-08-19,2.815
2020-08-20,2.866
2020-08-21,2.896
2020-08-22,2.896
2020-08-23,2.896
2020-08-24,2.8
2020-08-25,2.832
2020-08-26,2.881
2020-08-27,2.832
2020-08-28,2.822
2020-08-29,2.822
2020-08-30,2.822
2020-08-31,2.827
2020-09-01,2.829
2020-09-02,2.838
2020-09-03,2.834
2020-09-04,2.848
2020-09-05,2.848
2020-09-06,2.848
2020-09-07,2.848
2020-09-08,2.938
2020-09-09,2.954
2020-09-10,2.94
2020-09-11,2.962
2020-09-12,2.962
2020-09-13,2.962
2020-09-14,2.943
2020-09-15,2.978
2020-09-16,2.943
2020-09-17,2.983
2020-09-18,3.03
2020-09-19,3.03
2020-09-20,3.03
2020-09-21,3.19
2020-09-22,3.231
2020-09-23,3.323
2020-09-24,3.263
2020-09-25,3.276
2020-09-26,3.276
2020-09-27,3.276
2020-09-28,3.147
2020-09-29,3.19
2020-09-30,3.156
2020-10-01,3.111
2020-10-02,3.03
2020-10-03,3.03
2020-10-04,3.03
2020-10-05,2.917
2020-10-06,2.924
2020-10-07,2.833
2020-10-08,2.792
2020-10-09,2.797
2020-10-10,2.797
2020-10-11,2.797
2020-10-12,2.745
2020-10-13,2.828
2020-10-14,2.875
2020-10-15,2.811
2020-10-16,2.778
2020-10-17,2.778
2020-10-18,2.778
2020-10-19,2.801
2020-10-20,2.766
2020-10-21,2.752
2020-10-22,2.647
2020-10-23,2.603
2020-10-24,2.603
2020-10-25,2.603
2020-10-26,2.759
2020-10-27,2.818
2020-10-28,2.768
2020-10-29,2.637
2020-10-30,2.624
2020-10-31,2.624
2020-11-01,2.624
2020-11-02,2.57
2020-11-03,2.544
2020-11-04,2.738
2020-11-05,2.709
2020-11-06,2.773
2020-11-07,2.773
2020-11-08,2.773
2020-11-09,2.412
2020-11-10,2.338
2020-11-11,2.391
2020-11-12,2.445
2020-11-13,2.395
2020-11-14,2.395
2020-11-15,2.395
2020-11-16,2.247
2020-11-17,2.257
2020-11-18,2.304
2020-11-19,2.279
2020-11-20,2.292
2020-11-21,2.292
2020-11-22,2.292
2020-11-23,2.279
2020-11-24,2.173
2020-11-25,2.234
2020-11-26,2.234
2020-11-27,2.272
2020-11-28,2.272
2020-11-29,2.272
2020-11-30,2.394
2020-12-01,2.332
2020-12-02,2.3
2020-12-03,2.304
2020-12-04,2.242
2020-12-05,2.242
2020-12-06,2.242
2020-12-07,2.242
2020-12-08,2.254
2020-12-09,2.237
2020-12-10,2.248
2020-12-11,2.257
2020-12-12,2.257
2020-12-13,2.257
2020-12-14,2.267
2020-12-15,2.218
2020-12-16,2.212
2020-12-17,2.194
2020-12-18,2.242
2020-12-19,2.242
2020-12-20,2.242
2020-12-21,2.253
2020-12-22,2.265
2020-12-23,2.193
2020-12-24,2.205
2020-12-25,2.205
2020-12-26,2.205
2020-12-27,2.205
2020-12-28,2.157
2020-12-29,2.189
2020-12-30,2.182
2020-12-31,2.179
2021-01-01,2.179
2021-01-02,2.179
2021-01-03,2.179
2021-01-04,2.22
2021-01-05,2.201
2021-01-06,2.043
2021-01-07,2.025
2021-01-08,2.069
2021-01-09,2.069
2021-01-10,2.069
2021-01-11,2.049
2021-01-12,2.016
2021-01-13,2.037
2021-01-14,2.003
2021-01-15,2.03
2021-01-16,2.03
2021-01-17,2.03
2021-01-18,2.03
2021-01-19,2.021
2021-01-20,2.029
2021-01-21,2.086
2021-01-22,2.059
2021-01-23,2.059
2021-01-24,2.059
2021-01-25,2.069
2021-01-26,2.109
2021-01-27,2.239
2021-01-28,2.073
2021-01-29,2.144
2021-01-30,2.144
2021-01-31,2.144
2021-02-01,2.146
2021-02-02,2.093
2021-02-03,2.111
2021-02-04,2.038
2021-02-05,2.042
2021-02-06,2.042
2021-02-07,2.042
2021-02-08,1.986
2021-02-09,1.976
2021-02-10,1.966
2021-02-11,1.98
2021-02-12,1.965
2021-02-13,1.965
2021-02-14,1.965
2021-02-15,1.965
2021-02-16,1.964
2021-02-17,1.969
2021-02-18,1.992
2021-02-19,1.935
2021-02-20,1.935
2021-02-21,1.935
2021-02-22,1.923
2021-02-23,1.908
2021-02-24,1.899
2021-02-25,1.904
2021-02-26,1.939
2021-02-27,1.939
2021-02-28,1.939
2021-03-01,1.882
2021-03-02,1.877
2021-03-03,1.831
2021-03-04,1.827
2021-03-05,1.78
2021-03-06,1.78
2021-03-07,1.78
2021-03-08,1.735
2021-03-09,1.758
2021-03-10,1.725
2021-03-11,1.712
2021-03-12,1.683
2021-03-13,1.683
2021-03-14,1.683
2021-03-15,1.71
2021-03-16,1.717
2021-03-17,1.704
2021-03-18,1.713
2021-03-19,1.691
2021-03-20,1.691
2021-03-21,1.691
2021-03-22,1.735
2021-03-23,1.783
2021-03-24,1.789
2021-03-25,1.746
2021-03-26,1.695
2021-03-27,1.695
2021-03-28,1.695
2021-03-29,1.745
2021-03-30,1.729
2021-03-31,1.754
2021-04-01,1.734
2021-04-02,1.734
2021-04-03,1.734
2021-04-04,1.734
2021-04-05,1.72
2021-04-06,1.74
2021-04-07,1.753
2021-04-08,1.748
2021-04-09,1.751
2021-04-10,1.751
2021-04-11,1.751
2021-04-12,1.75
2021-04-13,1.789
2021-04-14,1.755
2021-04-15,1.753
2021-04-16,1.759
2021-04-17,1.759
2021-04-18,1.759
2021-04-19,1.769
2021-04-20,1.819
2021-04-21,1.803
2021-04-22,1.813
2021-04-23,1.474
2021-04-24,1.474
2021-04-25,1.474
2021-04-26,1.44
2021-04-27,1.431
2021-04-28,1.427
2021-04-29,1.442
2021-04-30,1.462
2021-05-01,1.462
2021-05-02,1.462
2021-05-03,1.442
2021-05-04,1.453
2021-05-05,1.474
2021-05-06,1.474
2021-05-07,1.5
2021-05-08,1.5
2021-05-09,1.5
2021-05-10,1.511
2021-05-11,1.539
2021-05-12,1.573
2021-05-13,1.529
2021-05-14,1.49
2021-05-15,1.49
2021-05-16,1.49
2021-05-17,1.488
2021-05-18,1.522
2021-05-19,1.533
2021-05-20,1.517
2021-05-21,1.498
2021-05-22,1.498
2021-05-23,1.498
2021-05-24,1.513
2021-05-25,1.554
2021-05-26,1.511
2021-05-27,1.473
2021-05-28,1.465
2021-05-29,1.465
2021-05-30,1.465
2021-05-31,1.465
2021-06-01,1.458
2021-06-02,1.482
2021-06-03,1.469
2021-06-04,1.471
2021-06-05,1.471
2021-06-06,1.471
2021-06-07,1.459
2021-06-08,1.463
2021-06-09,1.478
2021-06-10,1.491
2021-06-11,1.506
2021-06-12,1.506
2021-06-13,1.506
2021-06-14,1.518
2021-06-15,1.497
2021-06-16,1.469
2021-06-17,1.517
2021-06-18,1.582
2021-06-19,1.582
2021-06-20,1.582
2021-06-21,1.535
2021-06-22,1.534
2021-06-23,1.535
2021-06-24,1.519
2021-06-25,1.518
2021-06-26,1.518
2021-06-27,1.518
2021-06-28,1.576
2021-06-29,1.581
2021-06-30,1.572
2021-07-01,1.57
2021-07-02,1.589
2021-07-03,1.589
2021-07-04,1.589
2021-07-05,1.589
2021-07-06,1.647
2021-07-07,1.652
2021-07-08,1.688
2021-07-09,1.647
2021-07-10,1.647
2021-07-11,1.647
2021-07-12,1.644
2021-07-13,2.081
2021-07-14,2.07
2021-07-15,2.038
2021-07-16,2.079
2021-07-17,2.079
2021-07-18,2.079
2021-07-19,2.118
2021-07-20,2.099
2021-07-21,2.087
2021-07-22,2.135
2021-07-23,2.121
2021-07-24,2.121
2021-07-25,2.121
2021-07-26,2.105
2021-07-27,2.128
2021-07-28,2.101
2021-07-29,2.084
2021-07-30,2.104
2021-07-31,2.104
2021-08-01,2.104
2021-08-02,2.081
2021-08-03,2.063
2021-08-04,2.093
2021-08-05,2.071
2021-08-06,2.013
2021-08-07,2.013
2021-08-08,2.013
2021-08-09,2.018
2021-08-10,1.953
2021-08-11,1.942
2021-08-12,1.942
2021-08-13,1.956
2021-08-14,1.956
2021-08-15,1.956
2021-08-16,1.946
2021-08-17,1.97
2021-08-18,1.988
2021-08-19,1.976
2021-08-20,1.923
2021-08-21,1.923
2021-08-22,1.923
2021-08-23,1.904
2021-08-24,1.922
2021-08-25,1.924
2021-08-26,1.948
2021-08-27,1.906
2021-08-28,1.906
2021-08-29,1.906
2021-08-30,1.954
2021-08-31,1.935
2021-09-01,1.946
2021-09-02,1.953
2021-09-03,1.965
2021-09-04,1.965
2021-09-05,1.965
2021-09-06,1.965
2021-09-07,1.991
2021-09-08,2.003
2021-09-09,2.026
2021-09-10,2.08
2021-09-11,2.08
2021-09-12,2.08
2021-09-13,2.065
2021-09-14,2.122
2021-09-15,2.102
2021-09-16,2.091
2021-09-17,2.051
2021-09-18,2.051
2021-09-19,2.051
2021-09-20,2.104
2021-09-21,2.098
2021-09-22,2.06
2021-09-23,1.986
2021-09-24,1.977
2021-09-25,1.977
2021-09-26,1.977
2021-09-27,1.918
2021-09-28,1.938
2021-09-29,1.89
2021-09-30,1.927
2021-10-01,1.851
2021-10-02,1.851
2021-10-03,1.851
2021-10-04,1.846
2021-10-05,1.887
2021-10-06,1.867
2021-10-07,1.819
2021-10-08,1.801
2021-10-09,1.801
2021-10-10,1.801
2021-10-11,1.789
2021-10-12,1.802
2021-10-13,1.835
2021-10-14,1.827
2021-10-15,1.819
2021-10-16,1.819
2021-10-17,1.819
2021-10-18,1.8
2021-10-19,1.786
2021-10-20,1.732
2021-10-21,1.755
2021-10-22,1.723
2021-10-23,1.723
2021-10-24,1.723
2021-10-25,1.752
2021-10-26,1.775
2021-10-27,1.799
2021-10-28,1.73
2021-10-29,1.724
2021-10-30,1.724
2021-10-31,1.724
2021-11-01,1.665
2021-11-02,1.663
2021-11-03,1.61
2021-11-04,1.627
2021-11-05,1.614
2021-11-06,1.614
2021-11-07,1.614
2021-11-08,1.585
2021-11-09,1.59
2021-11-10,1.645
2021-11-11,1.623
2021-11-12,1.656
2021-11-13,1.656
2021-11-14,1.656
2021-11-15,1.656
2021-11-16,1.656
2021-11-17,1.656
2021-11-18,1.656
2021-11-19,1.656
2021-11-20,1.656
2021-11-21,1.656
2021-11-22,1.656
2021-11-23,1.656
2021-11-24,1.656
2021-11-25,1.656
2021-11-26,1.656
2021-11-27,1.656
2021-11-28,1.656
2021-11-29,1.656
2021-11-30,1.656
2021-12-01,1.656
2021-12-02,1.656
2021-12-03,1.656
2021-12-04,1.656
2021-12-05,1.656
2021-12-06,1.656
2021-12-07,1.656
2021-12-08,1.656
2021-12-09,1.656
2021-12-10,1.656
2021-12-11,1.656
2021-12-12,1.656
2021-12-13,1.656
2021-12-14,1.656
2021-12-15,1.656
2021-12-16,1.656
2021-12-17,1.656
2021-12-18,1.656
2021-12-19,1.656
2021-12-20,1.656
2021-12-21,1.656
2021-12-22,1.656
2021-12-23,1.656
2021-12-24,1.656
2021-12-25,1.656
2021-12-26,1.656
2021-12-27,1.656
2021-12-28,1.656
2021-12-29,1.656
2021-12-30,1.656
2021-12-31,1.656
2022-01-01,1.656
2022-01-02,1.656
2022-01-03,1.656
2022-01-04,1.656
2022-01-05,1.656
2022-01-06,1.656
2022-01-07,1.656
2022-01-08,1.656
2022-01-09,1.656
2022-01-10,1.656
2022-01-11,1.656
2022-01-12,1.656
2022-01-13,1.656
2022-01-14,1.656
2022-01-15,1.656
2022-01-16,1.656
2022-01-17,1.656
2022-01-18,1.656
2022-01-19,1.656
2022-01-20,1.656
2022-01-21,1.656
2022-01-22,1.656
2022-01-23,1.656
2022-01-24,1.656
2022-01-25,1.656
2022-01-26,1.656
2022-01-27,1.656
2022-01-28,1.656
2022-01-29,1.656
2022-01-30,1.656
2022-01-31,1.656
2022-02-01,1.656
2022-02-02,1.656
2022-02-03,1.656
2022-02-04,1.656
2022-02-05,1.656
2022-02-06,1.656
2022-02-07,1.656
2022-02-08,1.656
2022-02-09,1.656
2022-02-10,1.656
2022-02-11,1.656
2022-02-12,1.656
2022-02-13,1.656
2022-02-14,1.656
2022-02-15,1.656
2022-02-16,1.656
2022-02-17,1.656
2022-02-18,1.656
2022-02-19,1.656
2022-02-20,1.656
2022-02-21,1.656
2022-02-22,1.656
2022-02-23,1.656
2022-02-24,1.656
2022-02-25,1.656
2022-02-26,1.656
2022-02-27,1.656
2022-02-28,1.656
2022-03-01,1.656
2022-03-02,1.656
2022-03-03,1.656
2022-03-04,1.656
2022-03-05,1.656
2022-03-06,1.656
2022-03-07,1.656
2022-03-08,1.656
2022-03-09,1.656
2022-03-10,1.656
2022-03-11,1.656
2022-03-12,1.656
2022-03-13,1.656
2022-03-14,1.656
2022-03-15,1.656
2022-03-16,1.656
2022-03-17,1.656
2022-03-18,1.656
2022-03-19,1.656
2022-03-20,1.656
2022-03-21,1.656
2022-03-22,1.656
2022-03-23,1.656
2022-03-24,1.656
2022-03-25,1.656
2022-03-26,1.656
2022-03-27,1.656
2022-03-28,1.656
2022-03-29,1.656
2022-03-30,1.656
2022-03-31,1.656
2022-04-01,1.656
2022-04-02,1.656
2022-04-03,1.656
2022-04-04,1.656
2022-04-05,1.656
2022-04-06,1.656
2022-04-07,1.656
2022-04-08,1.656
2022-04-09,1.656
2022-04-10,1.656
2022-04-11,1.656
2022-04-12,1.656
2022-04-13,1.656
2022-04-14,1.656
2022-04-15,1.656
2022-04-16,1.656
2022-04-17,1.656
2022-04-18,1.656
2022-04-19,1.656
2022-04-20,1.656
2022-04-21,1.656
2022-04-22,1.656
2022-04-23,1.656
2022-04-24,1.656
2022-04-25,1.656
2022-04-26,1.656
2022-04-27,1.656
2022-04-28,1.656
2022-04-29,1.656
2022-04-30,1.656
2022-05-01,1.656
2022-05-02,1.656
2022-05-03,1.656
2022-05-04,1.656
2022-05-05,1.656
2022-05-06,1.656
2022-05-07,1.656
2022-05-08,1.656
2022-05-09,1.656
2022-05-10,1.656
2022-05-11,1.656
2022-05-12,1.656
2022-05-13,1.656
2022-05-14,1.656
2022-05-15,1.656
2022-05-16,1.656
2022-05-17,1.656
2022-05-18,1.656
2022-05-19,1.656
2022-05-20,1.656
2022-05-21,1.656
2022-05-22,1.656
2022-05-23,1.656
2022-05-24,1.656
2022-05-25,1.656
2022-05-26,1.656
2022-05-27,1.656
2022-05-28,1.656
2022-05-29,1.656
2022-05-30,1.656
2022-05-31,1.656
2022-06-01,1.656
2022-06-02,1.656
2022-06-03,1.656
2022-06-04,1.656
2022-06-05,1.656
2022-06-06,1.656
2022-06-07,1.656
2022-06-08,1.656
2022-06-09,1.656
2022-06-10,1.656
2022-06-11,1.656
2022-06-12,1.656
2022-06-13,1.656
2022-06-14,1.656
2022-06-15,1.656
2022-06-16,1.656
2022-06-17,1.656
2022-06-18,1.656
2022-06-19,1.656
2022-06-20,1.656
2022-06-21,1.656
2022-06-22,1.656
2022-06-23,1.656
2022-06-24,1.656
2022-06-25,1.656
2022-06-26,1.656
2022-06-27,1.656
2022-06-28,1.656
2022-06-29,1.656
2022-06-30,1.656
2022-07-01,1.656
2022-07-02,1.656
2022-07-03,1.656
2022-07-04,1.656
2022-07-05,1.656
2022-07-06,1.656
2022-07-07,1.656
2022-07-08,1.656
2022-07-09,1.656
2022-07-10,1.656
2022-07-11,1.656
2022-07-12,1.656
2022-07-13,1.656
2022-07-14,1.656
2022-07-15,1.656
2022-07-16,1.656
2022-07-17,1.656
2022-07-18,1.656
2022-07-19,1.656
2022-07-20,1.656
2022-07-21,1.656
2022-07-22,1.656
2022-07-23,1.656
2022-07-24,1.656
2022-07-25,1.656
2022-07-26,1.656
2022-07-27,1.656
2022-07-28,1.656
2022-07-29,1.656
2022-07-30,1.656
2022-07-31,1.656
2022-08-01,1.656
2022-08-02,1.656
2022-08-03,1.656
2022-08-04,1.656
2022-08-05,1.656
2022-08-06,1.656
2022-08-07,1.656
2022-08-08,1.656
2022-08-09,1.656
2022-08-10,1.656
2022-08-11,1.656
2022-08-12,1.656
2022-08-13,1.656
2022-08-14,1.656
2022-08-15,1.656
2022-08-16,1.656
2022-08-17,1.656
2022-08-18,1.656
2022-08-19,1.656
2022-08-20,1.656
2022-08-21,1.656
2022-08-22,1.656
2022-08-23,1.656
2022-08-24,1.656
2022-08-25,1.656
2022-08-26,1.656
2022-08-27,1.656
2022-08-28,1.656
2022-08-29,1.656
2022-08-30,1.656
2022-08-31,1.656
2022-09-01,1.656
2022-09-02,1.656
2022-09-03,1.656
2022-09-04,1.656
2022-09-05,1.656
2022-09-06,1.656
2022-09-07,1.656
2022-09-08,1.656
2022-09-09,1.656
2022-09-10,1.656
2022-09-11,1.656
2022-09-12,1.656
2022-09-13,1.656
2022-09-14,1.656
2022-09-15,1.656
2022-09-16,1.656
2022-09-17,1.656
2022-09-18,1.656
2022-09-19,1.656
2022-09-20,1.656
2022-09-21,1.656
2022-09-22,1.656
2022-09-23,1.656
2022-09-24,1.656
2022-09-25,1.656
2022-09-26,1.656
2022-09-27,1.656
2022-09-28,1.656
2022-09-29,1.656
2022-09-30,1.656
2022-10-01,1.656
2022-10-02,1.656
2022-10-03,1.656
2022-10-04,1.656
2022-10-05,1.656
2022-10-06,1.656
2022-10-07,1.656
2022-10-08,1.656
2022-10-09,1.656
2022-10-10,1.656
2022-10-11,1.656
2022-10-12,1.656
2022-10-13,1.656
2022-10-14,1.656
2022-10-15,1.656
2022-10-16,1.656
2022-10-17,1.656
2022-10-18,1.656
2022-10-19,1.656
2022-10-20,1.656
2022-10-21,1.656
2022-10-22,1.656
2022-10-23,1.656
2022-10-24,1.656
2022-10-25,1.656
2022-10-26,1.656
2022-10-27,1.656
2022-10-28,1.656
2022-10-29,1.656
2022-10-30,1.656
2022-10-31,1.656
2022-11-01,1.656
2022-11-02,1.656
2022-11-03,1.656
2022-11-04,1.656
2022-11-05,1.656
2022-11-06,1.656
2022-11-07,1.656
2022-11-08,1.656
2022-11-09,1.656
2022-11-10,1.656
2022-11-11,1.656
2022-11-12,1.656
2022-11-13,1.656
2022-11-14,1.656
2022-11-15,1.656
2022-11-16,1.656
2022-11-17,1.656
2022-11-18,1.656
2022-11-19,1.656
2022-11-20,1.656
2022-11-21,1.656
2022-11-22,1.656
2022-11-23,1.656
2022-11-24,1.656
2022-11-25,1.656
2022-11-26,1.656
2022-11-27,1.656
2022-11-28,1.656
2022-11-29,1.656
2022-11-30,1.656
2022-12-01,1.656
2022-12-02,1.656
2022-12-03,1.656
2022-12-04,1.656
2022-12-05,1.656
2022-12-06,1.656
2022-12-07,1.656
2022-12-08,1.656
2022-12-09,1.656
2022-12-10,1.656
2022-12-11,1.656
2022-12-12,1.656
2022-12-13,1.656
2022-12-14,1.656
2022-12-15,1.656
2022-12-16,1.656
2022-12-17,1.656
2022-12-18,1.656
2022-12-19,1.656
2022-12-20,1.656
2022-12-21,1.656
2022-12-22,1.656
2022-12-23,1.656
2022-12-24,1.656
2022-12-25,1.656
2022-12-26,1.656
2022-12-27,1.656
2022-12-28,1.656
2022-12-29,1.656
2022-12-30,1.656
2022-12-31,1.656
2023-01-01,1.656
2023-01-02,1.656
2023-01-03,1.656
2023-01-04,1.656
2023-01-05,1.656
2023-01-06,1.656
2023-01-07,1.656
2023-01-08,1.656
2023-01-09,1.656
2023-01-10,1.656
2023-01-11,1.656
2023-01-12,1.656
2023-01-13,1.656
2023-01-14,1.656
2023-01-15,1.656
2023-01-16,1.656
2023-01-17,1.656
2023-01-18,1.656
2023-01-19,1.656
2023-01-20,1.656
2023-01-21,1.656
2023-01-22,1.656
2023-01-23,1.656
2023-01-24,1.656
2023-01-25,1.656
2023-01-26,1.656
2023-01-27,1.656
2023-01-28,1.656
2023-01-29,1.656
2023-01-30,1.656
2023-01-31,1.656
2023-02-01,1.656
2023-02-02,1.656
2023-02-03,1.656
2023-02-04,1.656
2023-02-05,1.656
2023-02-06,1.656
2023-02-07,1.656
2023-02-08,1.656
2023-02-09,1.656
2023-02-10,1.656
2023-02-11,1.656
2023-02-12,1.656
2023-02-13,1.656
2023-02-14,1.656
2023-02-15,1.656
2023-02-16,1.656
2023-02-17,1.656
2023-02-18,1.656
2023-02-19,1.656
2023-02-20,1.656
2023-02-21,1.656
2023-02-22,1.656
2023-02-23,1.656
2023-02-24,1.656
2023-02-25,1.656
2023-02-26,1.656
2023-02-27,1.656
2023-02-28,1.656
2023-03-01,1.656
2023-03-02,1.656
2023-03-03,1.656
2023-03-04,1.656
2023-03-05,1.656
2023-03-06,1.656
2023-03-07,1.656
2023-03-08,1.656
2023-03-09,1.656
2023-03-10,1.656
2023-03-11,1.656
2023-03-12,1.656
2023-03-13,1.656
2023-03-14,1.656
2023-03-15,1.656
2023-03-16,1.656
2023-03-17,1.656
2023-03-18,1.656
2023-03-19,1.656
2023-03-20,1.656
2023-03-21,1.656
2023-03-22,1.656
2023-03-23,1.656
2023-03-24,1.656
2023-03-25,1.656
2023-03-26,1.656
2023-03-27,1.656
2023-03-28,1.656
2023-03-29,1.656
2023-03-30,1.656
2023-03-31,1.656
2023-04-01,1.656
2023-04-02,1.656
2023-04-03,1.656
2023-04-04,1.656
2023-04-05,1.656
2023-04-06,1.656
2023-04-07,1.656
2023-04-08,1.656
2023-04-09,1.656
2023-04-10,1.656
2023-04-11,1.656
2023-04-12,1.656
2023-04-13,1.656
2023-04-14,1.656
2023-04-15,1.656
2023-04-16,1.656
2023-04-17,1.656
2023-04-18,1.656
2023-04-19,1.656
2023-04-20,1.656
2023-04-21,1.656
2023-04-22,1.656
2023-04-23,1.656
2023-04-24,1.656
2023-04-25,1.656
2023-04-26,1.656
2023-04-27,1.656
2023-04-28,1.656
2023-04-29,1.656
2023-04-30,1.656
2023-05-01,1.656
2023-05-02,1.656
2023-05-03,1.656
2023-05-04,1.656
2023-05-05,1.656
2023-05-06,1.656
2023-05-07,1.656
2023-05-08,1.656
2023-05-09,1.656
2023-05-10,1.656
2023-05-11,1.656
2023-05-12,1.656
2023-05-13,1.656
2023-05-14,1.656
2023-05-15,1.656
2023-05-16,1.656
2023-05-17,1.656
2023-05-18,1.656
2023-05-19,1.656
2023-05-20,1.656
2023-05-21,1.656
2023-05-22,1.656
2023-05-23,1.656
2023-05-24,1.656
2023-05-25,1.656
2023-05-26,1.656
2023-05-27,1.656
2023-05-28,1.656
2023-05-29,1.656
2023-05-30,1.656
2023-05-31,1.656
2023-06-01,1.656
2023-06-02,1.656
2023-06-03,1.656
2023-06-04,1.656
2023-06-05,1.656
2023-06-06,1.656
2023-06-07,1.656
2023-06-08,1.656
2023-06-09,1.656
2023-06-10,1.656
2023-06-11,1.656
2023-06-12,1.656
2023-06-13,1.656
2023-06-14,1.656
2023-06-15,1.656
2023-06-16,1.656
2023-06-17,1.656
2023-06-18,1.656
2023-06-19,1.656
2023-06-20,1.656
2023-06-21,1.656
2023-06-22,1.656
