,TRGP US Equity
,BEST_DIV_YLD
2020-05-08,3.117
2020-05-09,3.117
2020-05-10,3.117
2020-05-11,3.215
2020-05-12,2.983
2020-05-13,3.055
2020-05-14,3.032
2020-05-15,2.862
2020-05-16,2.862
2020-05-17,2.862
2020-05-18,2.467
2020-05-19,2.573
2020-05-20,2.478
2020-05-21,2.485
2020-05-22,2.385
2020-05-23,2.385
2020-05-24,2.385
2020-05-25,2.385
2020-05-26,2.353
2020-05-27,2.336
2020-05-28,2.348
2020-05-29,2.405
2020-05-30,2.405
2020-05-31,2.405
2020-06-01,2.352
2020-06-02,2.221
2020-06-03,2.102
2020-06-04,1.963
2020-06-05,1.838
2020-06-06,1.838
2020-06-07,1.838
2020-06-08,1.645
2020-06-09,1.775
2020-06-10,1.877
2020-06-11,2.203
2020-06-12,2.192
2020-06-13,2.192
2020-06-14,2.192
2020-06-15,1.959
2020-06-16,1.884
2020-06-17,2.025
2020-06-18,1.981
2020-06-19,2.087
2020-06-20,2.087
2020-06-21,2.087
2020-06-22,2.062
2020-06-23,2.094
2020-06-24,2.25
2020-06-25,2.202
2020-06-26,2.366
2020-06-27,2.366
2020-06-28,2.366
2020-06-29,2.291
2020-06-30,2.144
2020-07-01,2.242
2020-07-02,2.256
2020-07-03,2.256
2020-07-04,2.256
2020-07-05,2.256
2020-07-06,2.25
2020-07-07,2.28
2020-07-08,2.332
2020-07-09,2.491
2020-07-10,2.409
2020-07-11,2.409
2020-07-12,2.409
2020-07-13,2.516
2020-07-14,2.41
2020-07-15,2.256
2020-07-16,2.25
2020-07-17,2.318
2020-07-18,2.318
2020-07-19,2.318
2020-07-20,2.355
2020-07-21,2.189
2020-07-22,2.246
2020-07-23,2.258
2020-07-24,2.291
2020-07-25,2.291
2020-07-26,2.291
2020-07-27,2.373
2020-07-28,2.403
2020-07-29,2.249
2020-07-30,2.291
2020-07-31,2.341
2020-08-01,2.341
2020-08-02,2.341
2020-08-03,2.278
2020-08-04,2.169
2020-08-05,2.123
2020-08-06,2.211
2020-08-07,2.182
2020-08-08,2.182
2020-08-09,2.182
2020-08-10,2.094
2020-08-11,2.182
2020-08-12,2.138
2020-08-13,2.227
2020-08-14,2.143
2020-08-15,2.143
2020-08-16,2.143
2020-08-17,2.183
2020-08-18,2.318
2020-08-19,2.331
2020-08-20,2.306
2020-08-21,2.326
2020-08-22,2.326
2020-08-23,2.326
2020-08-24,2.339
2020-08-25,2.389
2020-08-26,2.503
2020-08-27,2.45
2020-08-28,2.408
2020-08-29,2.408
2020-08-30,2.408
2020-08-31,2.516
2020-09-01,2.522
2020-09-02,2.519
2020-09-03,2.6
2020-09-04,2.619
2020-09-05,2.619
2020-09-06,2.619
2020-09-07,2.619
2020-09-08,2.768
2020-09-09,2.775
2020-09-10,2.872
2020-09-11,2.909
2020-09-12,2.909
2020-09-13,2.909
2020-09-14,2.81
2020-09-15,2.847
2020-09-16,2.65
2020-09-17,2.675
2020-09-18,2.786
2020-09-19,2.786
2020-09-20,2.786
2020-09-21,2.913
2020-09-22,2.933
2020-09-23,3.055
2020-09-24,3.066
2020-09-25,3.022
2020-09-26,3.022
2020-09-27,3.022
2020-09-28,2.921
2020-09-29,2.927
2020-09-30,3.05
2020-10-01,3.151
2020-10-02,2.991
2020-10-03,2.991
2020-10-04,2.991
2020-10-05,2.7
2020-10-06,2.752
2020-10-07,2.647
2020-10-08,2.503
2020-10-09,2.552
2020-10-10,2.552
2020-10-11,2.552
2020-10-12,2.547
2020-10-13,2.535
2020-10-14,2.469
2020-10-15,2.478
2020-10-16,2.586
2020-10-17,2.586
2020-10-18,2.586
2020-10-19,2.671
2020-10-20,2.552
2020-10-21,2.595
2020-10-22,2.491
2020-10-23,2.501
2020-10-24,2.501
2020-10-25,2.501
2020-10-26,2.665
2020-10-27,2.617
2020-10-28,2.715
2020-10-29,2.656
2020-10-30,2.649
2020-10-31,2.649
2020-11-01,2.649
2020-11-02,2.646
2020-11-03,2.563
2020-11-04,2.543
2020-11-05,2.397
2020-11-06,2.509
2020-11-07,2.509
2020-11-08,2.509
2020-11-09,2.173
2020-11-10,2.101
2020-11-11,2.101
2020-11-12,2.128
2020-11-13,2.071
2020-11-14,2.071
2020-11-15,2.071
2020-11-16,1.971
2020-11-17,1.877
2020-11-18,1.875
2020-11-19,1.83
2020-11-20,1.842
2020-11-21,1.842
2020-11-22,1.842
2020-11-23,1.717
2020-11-24,1.687
2020-11-25,1.702
2020-11-26,1.702
2020-11-27,1.736
2020-11-28,1.736
2020-11-29,1.736
2020-11-30,1.81
2020-12-01,1.801
2020-12-02,1.759
2020-12-03,1.708
2020-12-04,1.603
2020-12-05,1.603
2020-12-06,1.603
2020-12-07,1.653
2020-12-08,1.619
2020-12-09,1.636
2020-12-10,1.515
2020-12-11,1.505
2020-12-12,1.505
2020-12-13,1.505
2020-12-14,1.55
2020-12-15,1.509
2020-12-16,1.504
2020-12-17,1.532
2020-12-18,1.578
2020-12-19,1.578
2020-12-20,1.578
2020-12-21,1.57
2020-12-22,1.595
2020-12-23,1.584
2020-12-24,1.602
2020-12-25,1.602
2020-12-26,1.602
2020-12-27,1.602
2020-12-28,1.653
2020-12-29,1.628
2020-12-30,1.624
2020-12-31,1.612
2021-01-01,1.612
2021-01-02,1.612
2021-01-03,1.612
2021-01-04,1.626
2021-01-05,1.531
2021-01-06,1.489
2021-01-07,1.396
2021-01-08,1.456
2021-01-09,1.456
2021-01-10,1.456
2021-01-11,1.456
2021-01-12,1.961
2021-01-13,1.981
2021-01-14,1.957
2021-01-15,2.025
2021-01-16,2.025
2021-01-17,2.025
2021-01-18,2.025
2021-01-19,2.022
2021-01-20,1.939
2021-01-21,2.114
2021-01-22,2.114
2021-01-23,2.114
2021-01-24,2.114
2021-01-25,2.174
2021-01-26,2.204
2021-01-27,2.253
2021-01-28,2.168
2021-01-29,2.214
2021-01-30,2.214
2021-01-31,2.214
2021-02-01,2.164
2021-02-02,2.074
2021-02-03,2.018
2021-02-04,2.033
2021-02-05,2.004
2021-02-06,2.004
2021-02-07,2.004
2021-02-08,1.938
2021-02-09,1.999
2021-02-10,1.951
2021-02-11,1.992
2021-02-12,1.971
2021-02-13,1.971
2021-02-14,1.971
2021-02-15,1.971
2021-02-16,1.952
2021-02-17,1.955
2021-02-18,2.051
2021-02-19,2.022
2021-02-20,2.022
2021-02-21,2.022
2021-02-22,1.995
2021-02-23,1.955
2021-02-24,1.881
2021-02-25,1.919
2021-02-26,1.98
2021-02-27,1.98
2021-02-28,1.98
2021-03-01,1.91
2021-03-02,1.903
2021-03-03,1.897
2021-03-04,1.833
2021-03-05,1.702
2021-03-06,1.702
2021-03-07,1.702
2021-03-08,1.713
2021-03-09,1.761
2021-03-10,1.709
2021-03-11,1.707
2021-03-12,1.691
2021-03-13,1.691
2021-03-14,1.691
2021-03-15,1.73
2021-03-16,1.785
2021-03-17,2.237
2021-03-18,2.302
2021-03-19,2.298
2021-03-20,2.298
2021-03-21,2.298
2021-03-22,2.33
2021-03-23,2.428
2021-03-24,2.388
2021-03-25,2.341
2021-03-26,2.174
2021-03-27,2.174
2021-03-28,2.174
2021-03-29,2.228
2021-03-30,2.221
2021-03-31,2.222
2021-04-01,2.198
2021-04-02,2.198
2021-04-03,2.198
2021-04-04,2.198
2021-04-05,2.255
2021-04-06,2.264
2021-04-07,2.19
2021-04-08,2.239
2021-04-09,2.273
2021-04-10,2.273
2021-04-11,2.273
2021-04-12,2.255
2021-04-13,2.23
2021-04-14,2.148
2021-04-15,2.586
2021-04-16,2.114
2021-04-17,2.114
2021-04-18,2.114
2021-04-19,2.139
2021-04-20,2.189
2021-04-21,2.157
2021-04-22,2.153
2021-04-23,2.079
2021-04-24,2.079
2021-04-25,2.079
2021-04-26,2.063
2021-04-27,2.081
2021-04-28,2.043
2021-04-29,2.021
2021-04-30,2.028
2021-05-01,2.028
2021-05-02,2.028
2021-05-03,1.979
2021-05-04,1.983
2021-05-05,1.931
2021-05-06,1.893
2021-05-07,1.84
2021-05-08,1.84
2021-05-09,1.84
2021-05-10,1.864
2021-05-11,1.873
2021-05-12,1.863
2021-05-13,1.877
2021-05-14,1.826
2021-05-15,1.826
2021-05-16,1.826
2021-05-17,1.801
2021-05-18,1.826
2021-05-19,1.984
2021-05-20,1.957
2021-05-21,1.961
2021-05-22,1.961
2021-05-23,1.961
2021-05-24,1.957
2021-05-25,2.029
2021-05-26,1.996
2021-05-27,1.951
2021-05-28,1.946
2021-05-29,1.946
2021-05-30,1.946
2021-05-31,1.946
2021-06-01,1.896
2021-06-02,1.863
2021-06-03,1.836
2021-06-04,1.635
2021-06-05,1.635
2021-06-06,1.635
2021-06-07,1.598
2021-06-08,1.605
2021-06-09,1.673
2021-06-10,1.625
2021-06-11,1.611
2021-06-12,1.611
2021-06-13,1.611
2021-06-14,1.607
2021-06-15,1.585
2021-06-16,1.545
2021-06-17,1.667
2021-06-18,1.712
2021-06-19,1.712
