,VEI NO Equity,VEI NO Equity,VEI NO Equity,VEI NO Equity,VEI NO Equity
2010-02-07,21.26,21.26,20.58,21.26,45500.0
2010-02-08,21.26,21.473,21.048,21.473,52200.0
2010-02-09,21.26,21.685,21.26,21.685,35500.0
2010-02-10,21.685,21.685,20.835,20.835,37370.0
2010-02-11,21.175,21.175,21.005,21.133,4400.0
2010-02-12,21.048,21.792,20.835,20.92,79108.0
2010-02-13,21.048,21.792,20.835,20.92,79108.0
2010-02-14,21.048,21.792,20.835,20.92,79108.0
2010-02-15,21.005,21.218,20.963,21.218,3800.0
2010-02-16,21.175,21.685,21.175,21.685,16600.0
2010-02-17,22.004,22.004,21.367,21.685,26110.0
2010-02-18,21.218,21.792,21.048,21.685,12600.0
2010-02-19,21.218,21.792,21.133,21.473,16100.0
2010-02-20,21.218,21.792,21.133,21.473,16100.0
2010-02-21,21.218,21.792,21.133,21.473,16100.0
2010-02-22,21.473,21.579,21.26,21.26,11015.0
2010-02-23,21.26,21.26,19.772,20.197,83818.0
2010-02-24,20.665,20.665,19.985,19.985,62037.0
2010-02-25,19.985,20.155,19.815,19.985,138200.0
2010-02-26,19.985,20.197,19.942,19.942,165600.0
2010-02-27,19.985,20.197,19.942,19.942,165600.0
2010-02-28,19.985,20.197,19.942,19.942,165600.0
2010-03-01,19.985,20.197,19.857,20.197,277867.0
2010-03-02,20.197,20.197,20.112,20.197,9959.0
2010-03-03,20.282,20.282,20.027,20.197,17645.0
2010-03-04,20.07,20.07,19.9,19.985,19300.0
2010-03-05,19.985,20.367,19.985,20.367,36530.0
2010-03-06,19.985,20.367,19.985,20.367,36530.0
2010-03-07,19.985,20.367,19.985,20.367,36530.0
2010-03-08,20.325,20.58,19.729,20.58,115448.0
2010-03-09,20.537,20.92,20.282,20.665,95900.0
2010-03-10,20.835,21.048,20.58,21.005,41400.0
2010-03-11,21.09,21.685,21.09,21.473,624790.0
2010-03-12,21.685,21.898,21.09,21.175,38400.0
2010-03-13,21.685,21.898,21.09,21.175,38400.0
2010-03-14,21.685,21.898,21.09,21.175,38400.0
2010-03-15,21.367,21.367,20.835,21.048,53599.0
2010-03-16,20.92,21.048,20.92,21.048,38204.0
2010-03-17,20.878,20.878,20.41,20.75,84880.0
2010-03-18,20.963,20.963,20.495,20.75,39678.0
2010-03-19,20.792,20.792,20.452,20.792,66958.0
2010-03-20,20.792,20.792,20.452,20.792,66958.0
2010-03-21,20.792,20.792,20.452,20.792,66958.0
2010-03-22,20.835,20.92,20.41,20.75,88399.0
2010-03-23,20.75,20.878,20.537,20.707,29481.0
2010-03-24,20.622,20.835,20.367,20.537,120928.0
2010-03-25,20.792,20.878,20.41,20.707,126468.0
2010-03-26,20.495,20.537,20.325,20.495,64450.0
2010-03-27,20.495,20.537,20.325,20.495,64450.0
2010-03-28,20.495,20.537,20.325,20.495,64450.0
2010-03-29,20.495,20.537,19.985,20.367,16589.0
2010-03-30,20.41,21.048,20.41,21.048,35140.0
2010-03-31,20.622,20.835,20.58,20.622,8900.0
2010-04-01,20.622,20.835,20.58,20.622,8900.0
2010-04-02,20.622,20.835,20.58,20.622,8900.0
2010-04-03,20.622,20.835,20.58,20.622,8900.0
2010-04-04,20.622,20.835,20.58,20.622,8900.0
2010-04-05,20.622,20.835,20.58,20.622,8900.0
2010-04-06,20.835,21.175,20.495,21.048,55300.0
2010-04-07,20.963,21.133,20.792,20.792,73690.0
2010-04-08,20.622,20.835,20.58,20.75,1877100.0
2010-04-09,20.963,21.175,20.707,21.005,113920.0
2010-04-10,20.963,21.175,20.707,21.005,113920.0
2010-04-11,20.963,21.175,20.707,21.005,113920.0
2010-04-12,20.92,21.218,20.537,20.58,43419.0
2010-04-13,20.58,20.963,20.452,20.58,57789.0
2010-04-14,20.792,21.175,20.665,21.133,110022.0
2010-04-15,20.835,21.218,20.452,21.218,66006.0
2010-04-16,21.218,21.26,21.09,21.26,30912.0
2010-04-17,21.218,21.26,21.09,21.26,30912.0
2010-04-18,21.218,21.26,21.09,21.26,30912.0
2010-04-19,20.835,21.473,20.835,21.473,96103.0
2010-04-20,21.26,21.579,21.26,21.579,63187.0
2010-04-21,21.367,21.579,21.26,21.26,60976.0
2010-04-22,21.26,21.579,21.26,21.473,94889.0
2010-04-23,21.26,21.579,21.048,21.26,26273.0
2010-04-24,21.26,21.579,21.048,21.26,26273.0
2010-04-25,21.26,21.579,21.048,21.26,26273.0
2010-04-26,21.579,21.685,21.175,21.26,229452.0
2010-04-27,21.175,21.367,20.792,20.792,47312.0
2010-04-28,21.048,21.367,20.878,21.048,41335.0
2010-04-29,21.367,21.473,20.92,21.048,86290.0
2010-04-30,21.367,21.367,21.048,21.133,66272.0
2010-05-01,21.367,21.367,21.048,21.133,66272.0
2010-05-02,21.367,21.367,21.048,21.133,66272.0
2010-05-03,21.09,22.323,21.09,22.323,68269.0
2010-05-04,21.898,21.898,20.665,20.665,79195.0
2010-05-05,20.835,20.963,19.602,19.772,74944.0
2010-05-06,20.895,20.895,19.547,19.997,137150.0
2010-05-07,19.772,20.221,19.233,19.547,128780.0
2010-05-08,19.772,20.221,19.233,19.547,128780.0
2010-05-09,19.772,20.221,19.233,19.547,128780.0
2010-05-10,20.221,20.671,19.817,19.997,48134.0
2010-05-11,20.221,20.536,19.727,19.727,90640.0
2010-05-12,19.997,19.997,19.727,19.772,47331.0
2010-05-13,19.997,19.997,19.727,19.772,47331.0
2010-05-14,19.862,19.862,18.469,19.233,66498.0
2010-05-15,19.862,19.862,18.469,19.233,66498.0
2010-05-16,19.862,19.862,18.469,19.233,66498.0
2010-05-17,19.862,19.862,18.469,19.233,66498.0
2010-05-18,18.873,19.278,18.424,18.424,50183.0
2010-05-19,18.199,18.379,17.975,18.109,149461.0
2010-05-20,18.424,18.873,18.199,18.783,105462.0
2010-05-21,18.873,19.457,18.424,19.098,512363.0
2010-05-22,18.873,19.457,18.424,19.098,512363.0
2010-05-23,18.873,19.457,18.424,19.098,512363.0
2010-05-24,18.873,19.457,18.424,19.098,512363.0
2010-05-25,19.278,19.278,17.885,18.199,179387.0
2010-05-26,17.975,18.963,17.975,18.514,119805.0
2010-05-27,18.514,19.188,18.514,18.963,52793.0
2010-05-28,19.008,19.008,18.514,18.649,34982.0
2010-05-29,19.008,19.008,18.514,18.649,34982.0
2010-05-30,19.008,19.008,18.514,18.649,34982.0
2010-05-31,18.873,19.772,17.84,18.064,576970.0
2010-06-01,18.244,18.334,17.975,18.064,199121.0
2010-06-02,17.93,18.154,17.57,18.019,102284.0
2010-06-03,18.514,18.738,18.199,18.424,85152.0
2010-06-04,18.109,18.649,17.75,17.75,65832.0
2010-06-05,18.109,18.649,17.75,17.75,65832.0
2010-06-06,18.109,18.649,17.75,17.75,65832.0
2010-06-07,17.75,18.424,17.166,18.064,88109.0
2010-06-08,17.885,18.559,17.885,18.199,237944.0
2010-06-09,18.154,18.738,17.975,18.424,58866.0
2010-06-10,18.379,18.873,18.064,18.873,22033.0
2010-06-11,18.918,18.918,18.244,18.873,27575.0
2010-06-12,18.918,18.918,18.244,18.873,27575.0
2010-06-13,18.918,18.918,18.244,18.873,27575.0
2010-06-14,19.323,19.323,19.008,19.143,8332.0
2010-06-15,19.278,19.323,18.559,18.918,96234.0
2010-06-16,19.098,19.098,18.109,18.424,145362.0
2010-06-17,18.514,18.604,18.154,18.244,23588.0
2010-06-18,18.469,18.469,18.064,18.154,151868.0
2010-06-19,18.469,18.469,18.064,18.154,151868.0
2010-06-20,18.469,18.469,18.064,18.154,151868.0
2010-06-21,18.334,18.334,17.975,17.975,23528.0
2010-06-22,17.75,18.649,17.75,18.469,53571.0
2010-06-23,18.424,18.694,18.109,18.424,15257.0
2010-06-24,18.783,18.783,17.84,18.199,31025.0
2010-06-25,17.975,18.019,17.525,17.705,139453.0
2010-06-26,17.975,18.019,17.525,17.705,139453.0
2010-06-27,17.975,18.019,17.525,17.705,139453.0
2010-06-28,17.795,17.885,17.57,17.795,11759.0
2010-06-29,17.795,17.795,17.121,17.3,43262.0
2010-06-30,17.3,17.705,17.3,17.525,25436.0
2010-07-01,17.975,17.975,17.076,17.076,16688.0
2010-07-02,17.57,17.57,17.076,17.076,9806.0
2010-07-03,17.57,17.57,17.076,17.076,9806.0
2010-07-04,17.57,17.57,17.076,17.076,9806.0
2010-07-05,17.48,17.525,17.256,17.525,10251.0
2010-07-06,17.525,18.244,17.435,18.244,35256.0
2010-07-07,18.244,18.604,17.75,18.424,24684.0
2010-07-08,18.694,18.828,17.795,18.019,31858.0
2010-07-09,17.84,18.064,17.615,17.615,463410.0
2010-07-10,17.84,18.064,17.615,17.615,463410.0
2010-07-11,17.84,18.064,17.615,17.615,463410.0
2010-07-12,17.525,18.199,17.121,17.121,8907.0
2010-07-13,17.525,17.705,17.031,17.705,68894.0
2010-07-14,18.559,18.559,17.525,17.84,7086.0
2010-07-15,17.84,18.109,17.84,17.975,17776.0
2010-07-16,17.975,17.975,17.57,17.57,5066.0
2010-07-17,17.975,17.975,17.57,17.57,5066.0
2010-07-18,17.975,17.975,17.57,17.57,5066.0
2010-07-19,17.57,17.795,17.57,17.57,4282.0
2010-07-20,17.435,17.705,17.166,17.211,12957.0
2010-07-21,17.076,17.705,16.716,17.705,49864.0
2010-07-22,17.885,17.885,17.525,17.75,25965.0
2010-07-23,18.064,18.379,17.525,17.525,19242.0
2010-07-24,18.064,18.379,17.525,17.525,19242.0
2010-07-25,18.064,18.379,17.525,17.525,19242.0
2010-07-26,17.66,17.975,17.435,17.615,17209.0
2010-07-27,17.615,17.93,17.39,17.75,30332.0
2010-07-28,17.975,18.424,17.705,17.975,11286.0
2010-07-29,18.019,18.424,17.84,18.424,21630.0
2010-07-30,17.975,18.019,17.975,18.019,8560.0
2010-07-31,17.975,18.019,17.975,18.019,8560.0
2010-08-01,17.975,18.019,17.975,18.019,8560.0
2010-08-02,17.975,18.783,17.975,18.649,12604.0
2010-08-03,18.649,19.008,18.649,18.873,60267.0
2010-08-04,18.873,19.098,18.873,18.873,12812.0
2010-08-05,19.098,20.131,18.918,19.997,62771.0
2010-08-06,19.997,20.85,19.772,19.772,33354.0
2010-08-07,19.997,20.85,19.772,19.772,33354.0
2010-08-08,19.997,20.85,19.772,19.772,33354.0
2010-08-09,19.772,20.446,19.682,20.221,18992.0
2010-08-10,20.221,20.581,19.997,20.221,73895.0
2010-08-11,20.401,20.401,20.042,20.176,27759.0
2010-08-12,19.772,20.221,19.547,19.772,27498.0
2010-08-13,18.873,20.042,18.873,19.772,179171.0
2010-08-14,18.873,20.042,18.873,19.772,179171.0
2010-08-15,18.873,20.042,18.873,19.772,179171.0
2010-08-16,19.772,19.772,19.413,19.547,98680.0
2010-08-17,19.547,19.907,19.368,19.592,52981.0
2010-08-18,19.772,19.772,19.547,19.547,117101.0
2010-08-19,19.727,19.997,19.413,19.547,28416.0
2010-08-20,19.547,19.637,19.323,19.413,177967.0
2010-08-21,19.547,19.637,19.323,19.413,177967.0
2010-08-22,19.547,19.637,19.323,19.413,177967.0
2010-08-23,19.188,19.457,18.918,19.143,14754.0
2010-08-24,18.963,19.188,18.783,19.053,45770.0
2010-08-25,19.323,19.323,18.514,18.649,36835.0
2010-08-26,18.109,18.738,18.109,18.424,15430.0
2010-08-27,18.649,18.783,18.289,18.783,30841.0
2010-08-28,18.649,18.783,18.289,18.783,30841.0
2010-08-29,18.649,18.783,18.289,18.783,30841.0
2010-08-30,18.873,19.053,18.424,18.514,27049.0
2010-08-31,18.649,18.649,18.289,18.604,226908.0
2010-09-01,18.873,18.873,18.154,18.694,40067.0
2010-09-02,18.649,18.873,18.559,18.873,15392.0
2010-09-03,18.649,18.828,18.469,18.649,37301.0
2010-09-04,18.649,18.828,18.469,18.649,37301.0
2010-09-05,18.649,18.828,18.469,18.649,37301.0
2010-09-06,18.559,18.828,18.559,18.649,8984.0
2010-09-07,18.649,18.738,18.649,18.649,10125.0
2010-09-08,18.738,18.873,18.649,18.649,28407.0
2010-09-09,18.649,18.873,18.649,18.783,9596.0
2010-09-10,18.873,19.098,18.783,19.008,95762.0
2010-09-11,18.873,19.098,18.783,19.008,95762.0
2010-09-12,18.873,19.098,18.783,19.008,95762.0
2010-09-13,19.143,19.368,18.963,19.233,26567.0
2010-09-14,19.323,19.323,18.963,19.188,19788.0
2010-09-15,19.098,19.233,19.098,19.098,38602.0
2010-09-16,19.053,19.233,19.053,19.143,9590.0
2010-09-17,19.278,19.368,19.098,19.323,41670.0
2010-09-18,19.278,19.368,19.098,19.323,41670.0
2010-09-19,19.278,19.368,19.098,19.323,41670.0
2010-09-20,19.323,19.547,19.323,19.547,27675.0
2010-09-21,19.772,19.772,19.413,19.547,9556.0
2010-09-22,19.817,19.817,19.547,19.682,88377.0
2010-09-23,19.772,20.042,19.682,19.727,20735.0
2010-09-24,19.592,20.221,19.592,19.772,61658.0
2010-09-25,19.592,20.221,19.592,19.772,61658.0
2010-09-26,19.592,20.221,19.592,19.772,61658.0
2010-09-27,19.772,20.221,19.772,20.042,18029.0
2010-09-28,19.547,19.997,19.547,19.682,4680.0
2010-09-29,20.087,20.401,19.817,20.221,252027.0
2010-09-30,20.356,20.356,20.087,20.221,164171.0
2010-10-01,20.221,20.671,20.221,20.626,182325.0
2010-10-02,20.221,20.671,20.221,20.626,182325.0
2010-10-03,20.221,20.671,20.221,20.626,182325.0
2010-10-04,20.446,20.716,20.266,20.626,34135.0
2010-10-05,20.626,21.12,20.536,21.03,112811.0
2010-10-06,21.12,21.12,21.03,21.12,386795.0
2010-10-07,21.12,21.255,21.12,21.255,31125.0
2010-10-08,21.255,21.255,21.03,21.12,195930.0
2010-10-09,21.255,21.255,21.03,21.12,195930.0
2010-10-10,21.255,21.255,21.03,21.12,195930.0
2010-10-11,21.3,21.569,21.255,21.3,64019.0
2010-10-12,21.525,21.569,20.671,20.671,610293.0
2010-10-13,21.12,21.569,21.12,21.569,122694.0
2010-10-14,21.749,22.019,21.39,22.019,86436.0
2010-10-15,21.794,22.199,21.794,22.199,34252.0
2010-10-16,21.794,22.199,21.794,22.199,34252.0
2010-10-17,21.794,22.199,21.794,22.199,34252.0
2010-10-18,22.019,22.199,21.659,21.794,50901.0
2010-10-19,22.019,22.019,21.794,21.974,26892.0
2010-10-20,21.839,22.019,21.839,22.019,4036.0
2010-10-21,21.794,22.199,21.794,22.199,27083.0
2010-10-22,21.884,22.019,21.839,21.929,19353.0
2010-10-23,21.884,22.019,21.839,21.929,19353.0
2010-10-24,21.884,22.019,21.839,21.929,19353.0
2010-10-25,21.839,22.019,21.659,22.019,26791.0
2010-10-26,21.839,22.199,21.839,22.154,24259.0
2010-10-27,22.154,22.243,21.974,22.154,25329.0
2010-10-28,22.154,22.243,21.659,22.243,36831.0
2010-10-29,21.794,22.109,21.569,21.794,19479.0
2010-10-30,21.794,22.109,21.569,21.794,19479.0
2010-10-31,21.794,22.109,21.569,21.794,19479.0
2010-11-01,22.019,22.019,21.659,21.884,7658.0
2010-11-02,21.569,21.884,21.569,21.794,24809.0
2010-11-03,21.839,21.839,21.12,21.569,36655.0
2010-11-04,21.569,21.974,21.569,21.929,108212.0
2010-11-05,21.929,22.243,21.839,22.154,150270.0
2010-11-06,21.929,22.243,21.839,22.154,150270.0
2010-11-07,21.929,22.243,21.839,22.154,150270.0
2010-11-08,22.243,22.918,22.199,22.918,268399.0
2010-11-09,22.918,23.142,22.693,23.03,357471.0
2010-11-10,23.03,23.03,22.805,22.918,232240.0
2010-11-11,22.918,22.918,22.333,22.468,299771.0
2010-11-12,22.423,22.468,22.064,22.333,27719.0
2010-11-13,22.423,22.468,22.064,22.333,27719.0
2010-11-14,22.423,22.468,22.064,22.333,27719.0
2010-11-15,22.243,22.693,22.064,22.468,74862.0
2010-11-16,22.468,22.468,22.019,22.154,114589.0
2010-11-17,21.929,22.109,21.794,22.019,160507.0
2010-11-18,22.019,22.109,21.839,22.019,196408.0
2010-11-19,22.019,22.423,21.794,22.423,298522.0
2010-11-20,22.019,22.423,21.794,22.423,298522.0
2010-11-21,22.019,22.423,21.794,22.423,298522.0
2010-11-22,22.468,22.693,22.243,22.468,120486.0
2010-11-23,22.019,22.378,21.749,21.974,346425.0
2010-11-24,22.019,22.288,21.974,22.199,10743.0
2010-11-25,22.199,22.199,21.929,21.974,36403.0
2010-11-26,21.974,22.019,21.569,22.019,56915.0
2010-11-27,21.974,22.019,21.569,22.019,56915.0
2010-11-28,21.974,22.019,21.569,22.019,56915.0
2010-11-29,21.839,22.019,21.345,21.525,28905.0
2010-11-30,21.569,21.569,21.12,21.435,50954.0
2010-12-01,21.794,22.019,21.12,21.704,33909.0
2010-12-02,22.019,22.199,21.12,22.019,118091.0
2010-12-03,22.288,22.288,21.794,22.019,39799.0
2010-12-04,22.288,22.288,21.794,22.019,39799.0
2010-12-05,22.288,22.288,21.794,22.019,39799.0
2010-12-06,22.109,22.243,21.659,21.659,32762.0
2010-12-07,21.659,22.154,21.659,22.154,83580.0
2010-12-08,21.884,22.154,21.704,21.749,47378.0
2010-12-09,21.614,22.109,21.614,21.794,15340.0
2010-12-10,21.974,21.974,21.569,21.659,28253.0
2010-12-11,21.974,21.974,21.569,21.659,28253.0
2010-12-12,21.974,21.974,21.569,21.659,28253.0
2010-12-13,21.839,22.064,21.569,21.974,36795.0
2010-12-14,21.974,22.064,21.749,21.749,28928.0
2010-12-15,22.154,22.288,21.884,22.288,95152.0
2010-12-16,22.243,22.918,22.199,22.805,57583.0
2010-12-17,22.805,22.805,22.468,22.693,38507.0
2010-12-18,22.805,22.805,22.468,22.693,38507.0
2010-12-19,22.805,22.805,22.468,22.693,38507.0
2010-12-20,22.581,22.918,22.468,22.918,21596.0
2010-12-21,22.918,23.142,22.693,23.03,85136.0
2010-12-22,23.367,23.704,22.918,23.255,140884.0
2010-12-23,23.367,23.816,23.367,23.816,32738.0
2010-12-24,23.367,23.816,23.367,23.816,32738.0
2010-12-25,23.367,23.816,23.367,23.816,32738.0
2010-12-26,23.367,23.816,23.367,23.816,32738.0
2010-12-27,23.929,24.041,23.367,23.816,12893.0
2010-12-28,23.816,23.929,23.592,23.929,10996.0
2010-12-29,24.041,24.041,23.479,24.041,23272.0
2010-12-30,24.153,24.153,23.479,23.592,26167.0
2010-12-31,24.153,24.153,23.479,23.592,26167.0
2011-01-01,24.153,24.153,23.479,23.592,26167.0
2011-01-02,24.153,24.153,23.479,23.592,26167.0
2011-01-03,23.592,23.704,22.805,22.918,61447.0
2011-01-04,22.918,23.142,22.805,23.03,66134.0
2011-01-05,22.918,23.142,22.693,22.918,95944.0
2011-01-06,23.255,23.255,22.918,23.255,11195.0
2011-01-07,23.142,23.592,23.142,23.367,34124.0
2011-01-08,23.142,23.592,23.142,23.367,34124.0
2011-01-09,23.142,23.592,23.142,23.367,34124.0
2011-01-10,23.816,23.816,23.142,23.367,9585.0
2011-01-11,23.367,23.367,22.918,23.255,52210.0
2011-01-12,22.805,23.367,22.693,23.367,48717.0
2011-01-13,23.367,23.479,22.918,23.142,33377.0
2011-01-14,22.693,23.367,22.693,23.367,42123.0
2011-01-15,22.693,23.367,22.693,23.367,42123.0
2011-01-16,22.693,23.367,22.693,23.367,42123.0
2011-01-17,23.367,23.479,22.918,23.479,119663.0
2011-01-18,23.03,23.592,23.03,23.592,47131.0
2011-01-19,23.142,23.816,23.142,23.816,23655.0
2011-01-20,23.367,23.816,23.367,23.816,56988.0
2011-01-21,23.816,24.266,23.816,24.266,36807.0
2011-01-22,23.816,24.266,23.816,24.266,36807.0
2011-01-23,23.816,24.266,23.816,24.266,36807.0
2011-01-24,24.153,24.266,23.704,23.816,213139.0
2011-01-25,23.479,24.041,23.479,24.041,57224.0
2011-01-26,23.816,23.816,23.367,23.592,363967.0
2011-01-27,22.918,22.918,21.794,22.468,650246.0
2011-01-28,22.243,22.581,22.064,22.288,86259.0
2011-01-29,22.243,22.581,22.064,22.288,86259.0
2011-01-30,22.243,22.581,22.064,22.288,86259.0
2011-01-31,22.154,23.367,22.019,23.142,69310.0
2011-02-01,23.367,23.367,22.918,23.255,50989.0
2011-02-02,23.367,23.367,22.468,22.805,100943.0
2011-02-03,22.918,22.918,22.468,22.581,53318.0
2011-02-04,22.581,22.693,22.423,22.581,169340.0
2011-02-05,22.581,22.693,22.423,22.581,169340.0
2011-02-06,22.581,22.693,22.423,22.581,169340.0
2011-02-07,22.693,22.693,22.378,22.581,56214.0
2011-02-08,22.468,23.03,22.468,22.805,37793.0
2011-02-09,22.805,23.03,22.581,23.03,88488.0
2011-02-10,23.03,23.142,22.805,23.03,90246.0
2011-02-11,23.03,23.142,22.468,22.693,84353.0
2011-02-12,23.03,23.142,22.468,22.693,84353.0
2011-02-13,23.03,23.142,22.468,22.693,84353.0
2011-02-14,23.142,23.255,23.03,23.142,261028.0
2011-02-15,23.142,23.142,22.805,23.03,38348.0
2011-02-16,23.03,23.03,22.805,22.918,98642.0
2011-02-17,22.918,23.03,22.468,22.468,216152.0
2011-02-18,22.693,22.918,22.468,22.918,29998.0
2011-02-19,22.693,22.918,22.468,22.918,29998.0
2011-02-20,22.693,22.918,22.468,22.918,29998.0
2011-02-21,23.03,23.03,22.581,22.918,26993.0
2011-02-22,22.693,22.805,22.423,22.693,23985.0
2011-02-23,22.805,22.805,22.199,22.468,40399.0
2011-02-24,22.423,22.468,21.839,22.288,32880.0
2011-02-25,22.109,22.378,22.109,22.288,21212.0
2011-02-26,22.109,22.378,22.109,22.288,21212.0
2011-02-27,22.109,22.378,22.109,22.288,21212.0
2011-02-28,22.423,22.423,22.019,22.019,30557.0
2011-03-01,22.019,22.333,21.794,21.794,62785.0
2011-03-02,21.749,21.749,21.345,21.614,58553.0
2011-03-03,21.614,22.199,21.569,21.884,28045.0
2011-03-04,22.019,22.199,22.019,22.199,14482.0
2011-03-05,22.019,22.199,22.019,22.199,14482.0
2011-03-06,22.019,22.199,22.019,22.199,14482.0
2011-03-07,22.019,22.064,21.794,22.064,42776.0
2011-03-08,21.884,22.064,21.884,22.019,7728.0
2011-03-09,22.288,22.581,22.288,22.468,733028.0
2011-03-10,22.468,22.468,22.333,22.423,13441.0
2011-03-11,22.288,22.333,21.569,21.614,32299.0
2011-03-12,22.288,22.333,21.569,21.614,32299.0
2011-03-13,22.288,22.333,21.569,21.614,32299.0
2011-03-14,21.569,22.243,21.03,21.03,47204.0
2011-03-15,20.761,22.019,20.671,21.569,94366.0
2011-03-16,22.423,22.423,21.794,21.794,12208.0
2011-03-17,21.614,22.333,21.614,22.333,27748.0
2011-03-18,22.378,22.581,22.199,22.468,38305.0
2011-03-19,22.378,22.581,22.199,22.468,38305.0
2011-03-20,22.378,22.581,22.199,22.468,38305.0
2011-03-21,22.064,22.468,21.794,22.468,27763.0
2011-03-22,22.468,22.468,21.794,22.333,48732.0
2011-03-23,22.243,22.468,22.243,22.243,65462.0
2011-03-24,22.243,22.333,22.109,22.333,49293.0
2011-03-25,22.468,22.468,22.109,22.423,10593.0
2011-03-26,22.468,22.468,22.109,22.423,10593.0
2011-03-27,22.468,22.468,22.109,22.423,10593.0
2011-03-28,22.468,22.581,22.468,22.581,57228.0
2011-03-29,22.468,22.581,22.333,22.468,334281.0
2011-03-30,22.581,22.918,22.468,22.918,282475.0
2011-03-31,23.03,23.03,22.805,22.805,37660.0
2011-04-01,23.03,23.142,23.03,23.142,17735.0
2011-04-02,23.03,23.142,23.03,23.142,17735.0
2011-04-03,23.03,23.142,23.03,23.142,17735.0
2011-04-04,23.255,23.255,22.693,22.693,21260.0
2011-04-05,23.03,23.03,22.693,22.693,11170.0
2011-04-06,22.693,23.592,22.693,23.592,147689.0
2011-04-07,23.704,23.816,23.255,23.816,90372.0
2011-04-08,23.592,24.041,23.592,23.592,20564.0
2011-04-09,23.592,24.041,23.592,23.592,20564.0
2011-04-10,23.592,24.041,23.592,23.592,20564.0
2011-04-11,23.142,24.041,22.918,22.918,66796.0
2011-04-12,23.704,23.704,22.918,23.255,9600.0
2011-04-13,22.918,23.367,22.918,23.367,14560.0
2011-04-14,23.367,23.367,23.03,23.142,4464.0
2011-04-15,23.367,23.367,22.918,22.918,107058.0
2011-04-16,23.367,23.367,22.918,22.918,107058.0
2011-04-17,23.367,23.367,22.918,22.918,107058.0
2011-04-18,23.142,23.255,22.693,22.918,6319.0
2011-04-19,22.918,22.918,22.693,22.918,15458.0
2011-04-20,22.918,22.918,22.581,22.805,4645.0
2011-04-21,22.918,22.918,22.581,22.805,4645.0
2011-04-22,22.918,22.918,22.581,22.805,4645.0
2011-04-23,22.918,22.918,22.581,22.805,4645.0
2011-04-24,22.918,22.918,22.581,22.805,4645.0
2011-04-25,22.918,22.918,22.581,22.805,4645.0
2011-04-26,22.918,23.367,22.918,23.142,40441.0
2011-04-27,23.367,23.479,22.918,23.255,121023.0
2011-04-28,23.704,23.704,23.03,23.592,12522.0
2011-04-29,23.704,23.816,23.142,23.816,19791.0
2011-04-30,23.704,23.816,23.142,23.816,19791.0
2011-05-01,23.704,23.816,23.142,23.816,19791.0
2011-05-02,23.816,24.041,23.816,23.929,23685.0
2011-05-03,24.266,24.266,23.816,24.041,59877.0
2011-05-04,24.266,24.266,23.255,23.816,59146.0
2011-05-05,23.698,25.231,23.698,24.17,91000.0
2011-05-06,23.109,24.524,23.109,24.524,56180.0
2011-05-07,23.109,24.524,23.109,24.524,56180.0
2011-05-08,23.109,24.524,23.109,24.524,56180.0
2011-05-09,24.524,24.524,24.17,24.524,158172.0
2011-05-10,24.524,24.524,24.406,24.524,133891.0
