,SALM NO Equity,SALM NO Equity,SALM NO Equity,SALM NO Equity,SALM NO Equity
2010-03-30,27.194,27.194,27.004,27.058,4220.0
2010-03-31,27.058,27.058,26.95,27.058,6000.0
2010-04-01,27.058,27.058,26.95,27.058,6000.0
2010-04-02,27.058,27.058,26.95,27.058,6000.0
2010-04-03,27.058,27.058,26.95,27.058,6000.0
2010-04-04,27.058,27.058,26.95,27.058,6000.0
2010-04-05,27.058,27.058,26.95,27.058,6000.0
2010-04-06,26.842,26.842,26.193,26.734,12020.0
2010-04-07,27.329,27.6,26.95,27.6,58357.0
2010-04-08,27.6,28.682,27.329,27.87,97800.0
2010-04-09,28.411,29.088,27.87,29.088,6600.0
2010-04-10,28.411,29.088,27.87,29.088,6600.0
2010-04-11,28.411,29.088,27.87,29.088,6600.0
2010-04-12,28.141,29.764,28.141,28.411,41141.0
2010-04-13,27.194,27.464,27.194,27.464,398.0
2010-04-14,28.141,28.547,27.6,28.547,121310.0
2010-04-15,28.547,28.547,28.141,28.411,10656.0
2010-04-16,28.411,30.035,28.276,29.223,50758.0
2010-04-17,28.411,30.035,28.276,29.223,50758.0
2010-04-18,28.411,30.035,28.276,29.223,50758.0
2010-04-19,30.305,31.388,29.223,29.223,16175.0
2010-04-20,29.764,30.847,29.764,29.764,20735.0
2010-04-21,30.305,31.117,28.817,28.817,14756.0
2010-04-22,28.953,29.764,28.953,29.764,7000.0
2010-04-23,30.711,31.929,30.305,31.253,15392.0
2010-04-24,30.711,31.929,30.305,31.253,15392.0
2010-04-25,30.711,31.929,30.305,31.253,15392.0
2010-04-26,30.847,33.011,30.847,32.2,6869.0
2010-04-27,32.335,33.823,31.929,32.2,25825.0
2010-04-28,31.388,31.658,30.035,30.035,4653.0
2010-04-29,30.576,31.658,30.305,30.576,13250.0
2010-04-30,31.794,31.794,30.576,30.847,8890.0
2010-05-01,31.794,31.794,30.576,30.847,8890.0
2010-05-02,31.794,31.794,30.576,30.847,8890.0
2010-05-03,30.847,33.552,30.711,31.929,28402.0
2010-05-04,31.929,32.47,31.794,31.929,37878.0
2010-05-05,31.388,32.47,30.576,31.929,34771.0
2010-05-06,31.929,31.929,30.035,30.847,10074.0
2010-05-07,29.764,29.9,27.87,27.87,28930.0
2010-05-08,29.764,29.9,27.87,27.87,28930.0
2010-05-09,29.764,29.9,27.87,27.87,28930.0
2010-05-10,28.682,29.223,28.682,29.223,143411.0
2010-05-11,29.088,30.305,29.088,29.764,13558.0
2010-05-12,29.764,31.658,29.223,30.847,24107.0
2010-05-13,29.764,31.658,29.223,30.847,24107.0
2010-05-14,30.847,31.794,30.847,31.388,51810.0
2010-05-15,30.847,31.794,30.847,31.388,51810.0
2010-05-16,30.847,31.794,30.847,31.388,51810.0
2010-05-17,30.847,31.794,30.847,31.388,51810.0
2010-05-18,31.388,31.794,30.576,31.117,29841.0
2010-05-19,30.305,30.305,28.682,28.953,6406.0
2010-05-20,29.764,29.764,27.87,28.141,37729.0
2010-05-21,28.141,28.411,26.571,26.788,135097.0
2010-05-22,28.141,28.411,26.571,26.788,135097.0
2010-05-23,28.141,28.411,26.571,26.788,135097.0
2010-05-24,28.141,28.411,26.571,26.788,135097.0
2010-05-25,26.95,27.6,24.894,24.894,18932.0
2010-05-26,26.896,29.223,26.463,29.223,41801.0
2010-05-27,29.223,29.223,28.411,28.411,5616.0
2010-05-28,28.411,30.035,28.411,29.764,18664.0
2010-05-29,28.411,30.035,28.411,29.764,18664.0
2010-05-30,28.411,30.035,28.411,29.764,18664.0
2010-05-31,29.494,29.494,28.953,28.953,6510.0
2010-06-01,28.953,29.494,28.411,28.682,35553.0
2010-06-02,29.088,30.305,29.088,30.305,47326.0
2010-06-03,31.545,31.545,30.841,31.122,12301.0
2010-06-04,30.559,31.263,30.136,31.263,13890.0
2010-06-05,30.559,31.263,30.136,31.263,13890.0
2010-06-06,30.559,31.263,30.136,31.263,13890.0
2010-06-07,30.136,30.136,29.292,29.292,1112.0
2010-06-08,29.292,29.292,29.292,29.292,1802.0
2010-06-09,29.292,29.292,29.292,29.292,500.0
2010-06-10,29.714,30.136,29.573,30.136,9521.0
2010-06-11,29.714,30.418,29.714,30.418,45991.0
2010-06-12,29.714,30.418,29.714,30.418,45991.0
2010-06-13,29.714,30.418,29.714,30.418,45991.0
2010-06-14,30.277,30.418,28.728,28.728,11160.0
2010-06-15,28.165,30.136,28.165,29.855,42069.0
2010-06-16,29.01,30.418,28.728,30.418,46731.0
2010-06-17,30.277,31.263,30.277,31.263,19280.0
2010-06-18,31.263,31.545,29.573,29.573,61900.0
2010-06-19,31.263,31.545,29.573,29.573,61900.0
2010-06-20,31.263,31.545,29.573,29.573,61900.0
2010-06-21,31.263,31.545,30.418,30.841,8793.0
2010-06-22,29.714,30.136,29.573,29.573,3947.0
2010-06-23,29.573,29.573,29.573,29.573,21243.0
2010-06-24,29.573,29.573,29.573,29.573,21243.0
2010-06-25,29.573,29.573,29.01,29.01,9318.0
2010-06-26,29.573,29.573,29.01,29.01,9318.0
2010-06-27,29.573,29.573,29.01,29.01,9318.0
2010-06-28,29.01,29.01,27.038,27.038,1859.0
2010-06-29,29.292,29.292,25.348,27.038,33364.0
2010-06-30,27.038,27.038,26.813,27.038,7417.0
2010-07-01,28.165,28.165,25.405,26.475,38213.0
2010-07-02,26.475,27.038,26.081,26.081,6903.0
2010-07-03,26.475,27.038,26.081,26.081,6903.0
2010-07-04,26.475,27.038,26.081,26.081,6903.0
2010-07-05,25.743,25.968,25.63,25.968,5946.0
2010-07-06,28.109,28.109,28.109,28.109,61900.0
2010-07-07,27.038,29.151,27.038,29.01,4960.0
2010-07-08,29.292,29.855,29.292,29.855,2131.0
2010-07-09,30.277,30.418,29.01,29.714,4478.0
2010-07-10,30.277,30.418,29.01,29.714,4478.0
2010-07-11,30.277,30.418,29.01,29.714,4478.0
2010-07-12,29.714,29.855,29.151,29.151,1302.0
2010-07-13,28.728,28.728,26.024,27.602,21380.0
2010-07-14,28.165,28.728,28.165,28.728,1300.0
2010-07-15,28.728,28.728,27.207,28.728,606.0
2010-07-16,27.771,27.883,27.658,27.883,824.0
2010-07-17,27.771,27.883,27.658,27.883,824.0
2010-07-18,27.771,27.883,27.658,27.883,824.0
2010-07-19,28.728,28.728,28.728,28.728,144.0
2010-07-20,28.728,28.728,27.602,27.602,5350.0
2010-07-21,27.602,28.728,27.602,28.728,8800.0
2010-07-22,28.728,28.728,28.728,28.728,8800.0
2010-07-23,27.32,28.165,27.32,28.165,1820.0
2010-07-24,27.32,28.165,27.32,28.165,1820.0
2010-07-25,27.32,28.165,27.32,28.165,1820.0
2010-07-26,27.602,28.587,27.151,28.587,4169.0
2010-07-27,28.165,28.447,28.165,28.447,800.0
2010-07-28,28.587,28.728,28.587,28.728,2353.0
2010-07-29,28.728,28.728,28.728,28.728,2353.0
2010-07-30,29.573,29.573,29.573,29.573,50.0
2010-07-31,29.573,29.573,29.573,29.573,50.0
2010-08-01,29.573,29.573,29.573,29.573,50.0
2010-08-02,29.573,29.573,29.573,29.573,50.0
2010-08-03,29.573,29.855,29.292,29.855,11670.0
2010-08-04,29.573,29.573,29.573,29.573,499.0
2010-08-05,29.573,29.573,29.573,29.573,70000.0
2010-08-06,30.981,30.981,28.447,28.447,425.0
2010-08-07,30.981,30.981,28.447,28.447,425.0
2010-08-08,30.981,30.981,28.447,28.447,425.0
2010-08-09,28.728,30.136,28.728,29.855,3487.0
2010-08-10,30.981,30.981,29.855,29.855,20350.0
2010-08-11,30.136,30.559,29.855,29.855,3240.0
2010-08-12,29.292,30.136,29.292,30.136,15000.0
2010-08-13,30.418,30.418,29.292,29.292,900.0
2010-08-14,30.418,30.418,29.292,29.292,900.0
2010-08-15,30.418,30.418,29.292,29.292,900.0
2010-08-16,29.855,30.7,29.855,30.7,3543.0
2010-08-17,30.7,30.7,30.277,30.559,33456.0
2010-08-18,30.981,30.981,30.418,30.7,103162.0
2010-08-19,30.7,30.7,29.292,29.292,5807.0
2010-08-20,29.292,29.292,28.447,28.447,2801.0
2010-08-21,29.292,29.292,28.447,28.447,2801.0
2010-08-22,29.292,29.292,28.447,28.447,2801.0
2010-08-23,29.573,29.573,28.447,28.447,4244.0
2010-08-24,28.165,28.728,27.602,27.883,8188.0
2010-08-25,27.883,27.883,25.968,25.968,48019.0
2010-08-26,27.038,27.32,26.757,27.038,24319.0
2010-08-27,26.475,27.038,26.475,26.869,44970.0
2010-08-28,26.475,27.038,26.475,26.869,44970.0
2010-08-29,26.475,27.038,26.475,26.869,44970.0
2010-08-30,27.602,27.602,27.038,27.32,4420.0
2010-08-31,27.038,27.038,26.869,27.038,66382.0
2010-09-01,29.01,29.01,27.151,27.545,3590.0
2010-09-02,28.165,28.165,26.757,27.038,3431.0
2010-09-03,27.602,28.165,27.602,27.883,9608.0
2010-09-04,27.602,28.165,27.602,27.883,9608.0
2010-09-05,27.602,28.165,27.602,27.883,9608.0
2010-09-06,28.165,28.165,27.883,27.883,1021.0
2010-09-07,29.01,29.01,28.165,28.165,8727.0
2010-09-08,28.165,28.306,28.109,28.165,94373.0
2010-09-09,28.447,28.869,28.165,28.587,5985.0
2010-09-10,28.447,28.587,28.447,28.447,2023.0
2010-09-11,28.447,28.587,28.447,28.447,2023.0
2010-09-12,28.447,28.587,28.447,28.447,2023.0
2010-09-13,28.447,29.151,28.447,29.151,3622.0
2010-09-14,29.01,29.151,28.728,29.151,16700.0
2010-09-15,29.151,29.151,28.447,28.447,10628.0
2010-09-16,29.292,29.292,28.869,29.01,7624.0
2010-09-17,28.728,29.292,28.587,28.587,4367.0
2010-09-18,28.728,29.292,28.587,28.587,4367.0
2010-09-19,28.728,29.292,28.587,28.587,4367.0
2010-09-20,28.587,28.587,28.587,28.587,4367.0
2010-09-21,29.01,29.292,29.01,29.01,8769.0
2010-09-22,29.01,29.01,28.447,28.728,15429.0
2010-09-23,28.447,28.587,28.165,28.587,1092.0
2010-09-24,28.447,28.447,28.165,28.165,4440.0
2010-09-25,28.447,28.447,28.165,28.165,4440.0
2010-09-26,28.447,28.447,28.165,28.165,4440.0
2010-09-27,28.165,28.165,28.165,28.165,4440.0
2010-09-28,28.306,29.573,28.306,29.573,18350.0
2010-09-29,29.292,29.714,28.869,29.573,53742.0
2010-09-30,29.292,29.292,29.292,29.292,3283.0
2010-10-01,29.292,29.292,29.292,29.292,503.0
2010-10-02,29.292,29.292,29.292,29.292,503.0
2010-10-03,29.292,29.292,29.292,29.292,503.0
2010-10-04,29.292,29.292,29.292,29.292,316.0
2010-10-05,27.883,27.883,27.883,27.883,6650.0
2010-10-06,28.728,29.292,28.728,29.292,36353.0
2010-10-07,29.292,29.292,29.292,29.292,315.0
2010-10-08,29.292,30.981,29.292,30.981,21400.0
2010-10-09,29.292,30.981,29.292,30.981,21400.0
2010-10-10,29.292,30.981,29.292,30.981,21400.0
2010-10-11,30.418,30.418,29.855,29.855,505.0
2010-10-12,29.855,29.855,29.855,29.855,505.0
2010-10-13,29.855,31.263,29.855,31.263,16210.0
2010-10-14,31.545,31.545,30.418,31.263,44270.0
2010-10-15,31.545,32.108,29.855,32.108,116516.0
2010-10-16,31.545,32.108,29.855,32.108,116516.0
2010-10-17,31.545,32.108,29.855,32.108,116516.0
2010-10-18,32.108,32.108,30.559,30.559,8078.0
2010-10-19,30.559,31.826,30.559,31.263,26590.0
2010-10-20,30.981,31.545,30.981,30.981,11870.0
2010-10-21,32.108,32.108,31.263,31.263,7050.0
2010-10-22,31.545,31.545,31.263,31.263,14405.0
2010-10-23,31.545,31.545,31.263,31.263,14405.0
2010-10-24,31.545,31.545,31.263,31.263,14405.0
2010-10-25,30.981,32.108,30.7,31.545,77935.0
2010-10-26,32.108,32.39,31.404,32.39,5422.0
2010-10-27,31.545,32.39,30.981,32.39,15099.0
2010-10-28,32.39,32.39,32.108,32.108,26532.0
2010-10-29,32.108,32.953,32.108,32.671,16173.0
2010-10-30,32.108,32.953,32.108,32.671,16173.0
2010-10-31,32.108,32.953,32.108,32.671,16173.0
2010-11-01,32.953,33.235,32.39,32.671,37020.0
2010-11-02,32.953,32.953,31.545,32.812,77856.0
2010-11-03,32.953,32.953,30.841,30.841,16601.0
2010-11-04,31.263,32.39,31.263,32.39,72535.0
2010-11-05,32.671,32.671,32.531,32.671,19282.0
2010-11-06,32.671,32.671,32.531,32.671,19282.0
2010-11-07,32.671,32.671,32.531,32.671,19282.0
2010-11-08,32.531,32.671,31.545,32.39,15285.0
2010-11-09,32.249,32.249,31.967,31.967,23600.0
2010-11-10,32.108,32.249,31.404,31.545,17710.0
2010-11-11,31.826,32.39,31.826,32.249,36245.0
2010-11-12,31.826,32.531,31.826,32.108,22400.0
2010-11-13,31.826,32.531,31.826,32.108,22400.0
2010-11-14,31.826,32.531,31.826,32.108,22400.0
2010-11-15,31.967,31.967,31.545,31.545,26800.0
2010-11-16,31.545,32.671,30.981,30.981,26452.0
2010-11-17,30.7,32.108,30.418,30.981,35145.0
2010-11-18,30.981,30.981,30.981,30.981,305.0
2010-11-19,31.122,32.108,31.122,31.545,21530.0
2010-11-20,31.122,32.108,31.122,31.545,21530.0
2010-11-21,31.122,32.108,31.122,31.545,21530.0
2010-11-22,32.108,32.108,31.545,32.108,14849.0
2010-11-23,32.671,32.671,31.545,31.545,17809.0
2010-11-24,32.108,32.108,32.108,32.108,36200.0
2010-11-25,31.122,31.545,31.122,31.545,2203.0
2010-11-26,31.545,31.967,31.545,31.545,2157.0
2010-11-27,31.545,31.967,31.545,31.545,2157.0
2010-11-28,31.545,31.967,31.545,31.545,2157.0
2010-11-29,31.545,31.545,30.841,31.263,8877.0
2010-11-30,30.559,30.841,30.418,30.418,11466.0
2010-12-01,30.418,30.7,30.136,30.7,51931.0
2010-12-02,31.263,31.545,31.263,31.545,3790.0
2010-12-03,31.545,32.671,31.545,32.671,7887.0
2010-12-04,31.545,32.671,31.545,32.671,7887.0
2010-12-05,31.545,32.671,31.545,32.671,7887.0
2010-12-06,32.671,33.375,32.108,32.108,13662.0
2010-12-07,32.39,32.671,31.404,31.404,15505.0
2010-12-08,31.545,32.108,31.545,32.108,20158.0
2010-12-09,32.108,32.108,32.108,32.108,20158.0
2010-12-10,31.122,31.686,30.559,31.122,509006.0
2010-12-11,31.122,31.686,30.559,31.122,509006.0
2010-12-12,31.122,31.686,30.559,31.122,509006.0
2010-12-13,31.122,32.108,31.122,32.108,128832.0
2010-12-14,32.812,33.657,32.812,33.094,18569.0
2010-12-15,33.516,33.516,33.235,33.516,36069.0
2010-12-16,33.094,33.375,33.094,33.375,30522.0
2010-12-17,33.235,33.375,33.094,33.094,17999.0
2010-12-18,33.235,33.375,33.094,33.094,17999.0
2010-12-19,33.235,33.375,33.094,33.094,17999.0
2010-12-20,33.235,33.235,32.671,32.953,49833.0
2010-12-21,32.953,33.375,32.953,32.953,26543.0
2010-12-22,33.235,33.235,32.671,33.235,23273.0
2010-12-23,33.235,35.206,33.094,35.206,31812.0
2010-12-24,33.235,35.206,33.094,35.206,31812.0
2010-12-25,33.235,35.206,33.094,35.206,31812.0
2010-12-26,33.235,35.206,33.094,35.206,31812.0
2010-12-27,34.08,34.08,33.657,33.939,4315.0
2010-12-28,34.361,34.925,34.361,34.502,43046.0
2010-12-29,34.361,34.643,33.235,34.643,33221.0
2010-12-30,34.361,34.643,34.08,34.643,133477.0
2010-12-31,34.361,34.643,34.08,34.643,133477.0
2011-01-01,34.361,34.643,34.08,34.643,133477.0
2011-01-02,34.361,34.643,34.08,34.643,133477.0
2011-01-03,34.643,34.643,34.502,34.643,46604.0
2011-01-04,34.925,34.925,33.798,33.798,7750.0
2011-01-05,33.798,34.361,33.798,33.798,25197.0
2011-01-06,34.925,34.925,34.08,34.361,13699.0
2011-01-07,33.798,34.361,33.798,34.361,22349.0
2011-01-08,33.798,34.361,33.798,34.361,22349.0
2011-01-09,33.798,34.361,33.798,34.361,22349.0
2011-01-10,34.361,34.643,33.516,34.361,36211.0
2011-01-11,34.361,34.643,33.798,34.361,27424.0
2011-01-12,34.361,34.502,33.657,33.657,7051.0
2011-01-13,34.361,34.502,33.939,34.361,17615.0
2011-01-14,34.361,34.925,34.361,34.643,40054.0
2011-01-15,34.361,34.925,34.361,34.643,40054.0
2011-01-16,34.361,34.925,34.361,34.643,40054.0
2011-01-17,34.643,34.643,33.798,34.361,20103.0
2011-01-18,34.361,34.361,33.939,34.361,8952.0
2011-01-19,34.361,34.361,34.08,34.361,152984.0
2011-01-20,34.361,34.361,33.516,34.22,17402.0
2011-01-21,34.22,34.361,34.08,34.22,8439.0
2011-01-22,34.22,34.361,34.08,34.22,8439.0
2011-01-23,34.22,34.361,34.08,34.22,8439.0
2011-01-24,34.361,34.361,34.08,34.361,23912.0
2011-01-25,34.361,34.361,33.798,33.798,71436.0
2011-01-26,34.08,34.08,34.08,34.08,33633.0
2011-01-27,34.08,34.22,33.939,34.08,16179.0
2011-01-28,34.22,34.784,33.798,34.784,65342.0
2011-01-29,34.22,34.784,33.798,34.784,65342.0
2011-01-30,34.22,34.784,33.798,34.784,65342.0
2011-01-31,34.361,36.333,34.361,36.333,35391.0
2011-02-01,36.333,36.333,35.629,36.051,8729.0
2011-02-02,35.91,36.051,35.488,36.051,9693.0
2011-02-03,36.051,36.051,35.206,36.051,24125.0
2011-02-04,36.051,36.051,35.065,36.051,15058.0
2011-02-05,36.051,36.051,35.065,36.051,15058.0
2011-02-06,36.051,36.051,35.065,36.051,15058.0
2011-02-07,36.051,36.051,35.488,36.051,9919.0
2011-02-08,36.051,36.051,35.488,36.051,30060.0
2011-02-09,35.488,36.051,35.206,35.629,39186.0
2011-02-10,35.769,36.614,35.769,35.91,111603.0
2011-02-11,36.333,36.614,36.333,36.333,26153.0
2011-02-12,36.333,36.614,36.333,36.333,26153.0
2011-02-13,36.333,36.614,36.333,36.333,26153.0
2011-02-14,36.474,36.755,35.769,36.755,16757.0
2011-02-15,36.755,37.6,35.769,36.755,46127.0
2011-02-16,37.178,37.319,36.333,36.896,6757.0
2011-02-17,36.051,36.896,35.488,35.769,26782.0
2011-02-18,36.614,36.614,35.769,35.769,7076.0
2011-02-19,36.614,36.614,35.769,35.769,7076.0
2011-02-20,36.614,36.614,35.769,35.769,7076.0
2011-02-21,36.333,36.333,35.769,35.769,19108.0
2011-02-22,35.488,35.91,35.488,35.488,4525.0
2011-02-23,35.488,36.333,35.488,36.192,14321.0
2011-02-24,37.459,38.304,35.488,35.488,54691.0
2011-02-25,36.051,36.051,35.769,35.769,2857.0
2011-02-26,36.051,36.051,35.769,35.769,2857.0
2011-02-27,36.051,36.051,35.769,35.769,2857.0
2011-02-28,36.614,36.614,36.333,36.614,4043.0
2011-03-01,37.178,37.459,35.629,36.192,14874.0
2011-03-02,35.769,36.333,35.488,36.333,7657.0
2011-03-03,36.333,37.178,36.192,36.755,4308.0
2011-03-04,36.474,37.459,36.474,37.178,30294.0
2011-03-05,36.474,37.459,36.474,37.178,30294.0
2011-03-06,36.474,37.459,36.474,37.178,30294.0
2011-03-07,36.896,37.178,36.896,37.178,2282.0
2011-03-08,37.178,37.178,36.614,37.037,26408.0
2011-03-09,36.051,36.614,36.051,36.614,400.0
2011-03-10,36.614,36.614,36.051,36.614,14921.0
2011-03-11,36.614,37.178,34.361,34.361,26511.0
2011-03-12,36.614,37.178,34.361,34.361,26511.0
2011-03-13,36.614,37.178,34.361,34.361,26511.0
2011-03-14,34.361,36.614,34.361,36.614,21059.0
2011-03-15,34.643,36.051,34.361,34.925,63236.0
2011-03-16,35.769,36.192,35.488,35.488,12050.0
2011-03-17,35.488,36.051,35.488,35.488,32010.0
2011-03-18,36.614,36.755,36.051,36.051,24295.0
2011-03-19,36.614,36.755,36.051,36.051,24295.0
2011-03-20,36.614,36.755,36.051,36.051,24295.0
2011-03-21,36.051,37.178,36.051,37.178,40016.0
2011-03-22,37.178,37.178,36.051,36.614,7527.0
2011-03-23,36.614,37.178,36.614,37.037,15650.0
2011-03-24,37.037,37.037,36.614,37.037,11822.0
2011-03-25,37.459,37.459,37.178,37.178,7263.0
2011-03-26,37.459,37.459,37.178,37.178,7263.0
2011-03-27,37.459,37.459,37.178,37.178,7263.0
2011-03-28,37.037,37.178,36.896,36.896,4300.0
2011-03-29,37.037,37.037,36.051,37.037,7096.0
2011-03-30,37.037,37.037,37.037,37.037,21636.0
2011-03-31,35.91,37.882,35.91,37.178,64055.0
2011-04-01,37.178,37.319,36.896,36.896,13688.0
2011-04-02,37.178,37.319,36.896,36.896,13688.0
2011-04-03,37.178,37.319,36.896,36.896,13688.0
2011-04-04,37.459,37.459,36.614,37.459,50923.0
2011-04-05,37.741,38.023,37.459,37.741,24498.0
2011-04-06,38.023,38.023,37.319,37.319,17435.0
2011-04-07,38.023,38.023,37.319,37.741,31716.0
2011-04-08,37.741,37.882,37.459,37.741,17212.0
2011-04-09,37.741,37.882,37.459,37.741,17212.0
2011-04-10,37.741,37.882,37.459,37.741,17212.0
2011-04-11,37.741,38.586,37.741,38.304,39169.0
2011-04-12,38.868,38.868,37.319,37.319,18685.0
2011-04-13,37.741,37.741,37.459,37.459,1781.0
2011-04-14,37.459,37.459,37.459,37.459,19200.0
2011-04-15,38.868,38.868,37.741,38.023,43844.0
2011-04-16,38.868,38.868,37.741,38.023,43844.0
2011-04-17,38.868,38.868,37.741,38.023,43844.0
2011-04-18,38.023,38.868,37.741,37.741,18058.0
2011-04-19,37.741,37.741,37.741,37.741,2397.0
2011-04-20,37.741,37.741,37.741,37.741,892.0
2011-04-21,37.741,37.741,37.741,37.741,892.0
2011-04-22,37.741,37.741,37.741,37.741,892.0
2011-04-23,37.741,37.741,37.741,37.741,892.0
2011-04-24,37.741,37.741,37.741,37.741,892.0
2011-04-25,37.741,37.741,37.741,37.741,892.0
2011-04-26,36.051,38.304,36.051,38.304,7717.0
2011-04-27,38.304,39.008,37.178,37.741,16457.0
2011-04-28,38.868,38.868,37.741,37.741,38560.0
2011-04-29,37.741,38.304,37.178,38.304,16151.0
2011-04-30,37.741,38.304,37.178,38.304,16151.0
2011-05-01,37.741,38.304,37.178,38.304,16151.0
2011-05-02,38.304,38.304,37.741,37.741,23531.0
2011-05-03,37.741,38.023,37.459,37.459,1012.0
2011-05-04,38.023,38.868,37.037,37.037,9129.0
2011-05-05,36.755,37.178,36.614,37.178,1053.0
2011-05-06,37.741,37.741,35.91,37.037,22950.0
2011-05-07,37.741,37.741,35.91,37.037,22950.0
2011-05-08,37.741,37.741,35.91,37.037,22950.0
2011-05-09,37.178,37.319,36.192,36.192,12497.0
2011-05-10,36.333,37.178,36.333,37.037,7908.0
2011-05-11,36.614,38.023,36.614,37.741,4690.0
